# material: Multi colored PLA
# geometry: Rectangular
# preform_diameter: 205.0
# material_color: Multi
# temperature_C: 50210.0
# drawdown_ratio: 50.0
# trial_number: 045
# operator: Ahmed
# start_time: 2026-05-14 17:29:25
# notes: Stream observation
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.02,205.28,400.32
1.42,2.01,5.02,195.50,400.32
1.62,2.00,5.01,175.95,399.93
1.82,2.00,5.01,205.28,399.93
2.02,2.01,5.01,224.83,400.86
2.22,2.02,5.01,215.05,401.78
2.42,2.02,5.01,210.17,401.78
2.62,2.00,5.02,185.73,399.39
2.82,2.01,5.01,185.73,400.86
3.02,2.02,5.01,171.07,401.78
3.22,2.00,5.01,166.18,399.93
3.42,2.00,4.99,127.08,400.46
3.62,2.05,5.07,0.00,401.87
3.82,2.06,5.06,0.00,403.31
4.02,2.01,5.01,141.74,400.86
4.22,2.01,5.02,171.07,400.32
4.42,2.01,5.01,171.07,400.86
4.62,2.01,5.01,180.84,400.86
4.82,2.02,5.02,171.07,401.25
5.02,2.01,5.02,161.29,400.32
5.22,2.00,4.99,161.29,400.46
5.42,2.01,5.01,171.07,400.86
5.62,2.02,5.01,180.84,401.78
5.82,2.00,5.02,175.95,399.39
6.02,1.99,5.01,180.84,399.00
6.22,1.99,5.02,180.84,398.46
6.42,2.01,5.01,185.73,400.86
6.62,2.02,5.01,190.62,401.78
6.82,2.02,5.03,190.62,400.71
7.02,1.99,4.99,210.17,399.53
7.22,2.01,5.02,180.84,400.32
7.42,2.02,5.02,156.40,401.25
7.62,2.01,4.99,161.29,401.39
7.82,1.99,5.01,131.96,399.00
8.02,2.00,5.01,146.63,399.93
8.22,2.01,5.01,127.08,400.86
8.42,2.06,5.07,0.00,402.78
8.62,2.06,5.07,0.00,402.78
8.82,2.06,5.09,0.00,402.25
9.02,2.01,5.01,141.74,400.86
9.22,2.02,5.02,151.52,401.25
9.42,2.02,5.01,166.18,401.78
9.62,2.00,5.01,180.84,399.93
9.82,2.00,4.99,175.95,400.46
10.02,2.02,5.01,180.84,401.78
10.22,2.02,5.02,185.73,401.25
10.42,2.01,5.02,166.18,400.32
10.62,2.02,5.02,175.95,401.25
10.82,2.01,5.01,185.73,400.86
11.02,2.01,5.01,180.84,400.86
11.22,1.99,5.01,161.29,399.00
11.42,2.01,5.02,171.07,400.32
11.62,1.99,4.99,175.95,399.53
11.82,2.01,5.02,180.84,400.32
12.02,2.01,5.02,166.18,400.32
12.22,2.01,5.01,180.84,400.86
12.42,2.01,5.01,161.29,400.86
12.62,2.02,4.99,171.07,402.32
12.82,2.01,5.02,156.40,400.32
13.02,2.00,5.02,127.08,399.39
13.22,2.07,5.07,0.00,403.69
13.42,2.05,5.06,0.00,402.40
13.62,2.02,5.02,151.52,401.25
13.82,2.01,5.02,161.29,400.32
14.02,1.99,5.01,171.07,399.00
14.22,2.01,5.01,185.73,400.86
14.42,2.01,5.02,185.73,400.32
14.62,2.01,5.02,195.50,400.32
14.82,2.00,5.01,180.84,399.93
15.02,2.00,5.01,190.62,399.93
15.22,2.01,5.01,205.28,400.86
15.42,2.02,5.02,190.62,401.25
15.62,2.00,5.02,175.95,399.39
15.82,2.00,5.01,200.39,399.93
16.02,2.01,5.01,210.17,400.86
16.22,2.02,5.02,200.39,401.25
16.42,2.01,5.02,195.50,400.32
16.62,2.00,5.02,175.95,399.39
16.82,1.99,5.01,180.84,399.00
17.02,2.00,5.02,175.95,399.39
17.22,2.01,5.02,175.95,400.32
17.42,2.02,5.02,166.18,401.25
17.62,2.00,5.01,136.85,399.93
17.82,2.00,5.01,136.85,399.93
18.02,2.06,5.07,0.00,402.78
18.22,2.06,5.09,0.00,402.25
18.42,2.07,5.07,0.00,403.69
18.62,2.01,5.01,127.08,400.86
18.82,2.02,5.01,156.40,401.78
19.02,2.00,5.02,166.18,399.39
19.22,2.00,5.01,180.84,399.93
19.42,2.01,5.03,180.84,399.79
19.62,2.01,5.02,210.17,400.32
19.82,2.00,5.01,205.28,399.93
20.02,2.01,5.01,205.28,400.86
20.22,2.01,5.01,190.62,400.86
20.42,2.01,5.01,200.39,400.86
20.62,1.99,5.02,205.28,398.46
20.82,2.00,5.01,205.28,399.93
21.02,2.02,5.01,244.38,401.78
21.22,2.00,5.02,254.15,399.39
21.42,2.00,5.01,244.38,399.93
21.62,2.01,5.02,205.28,400.32
21.82,2.01,5.01,205.28,400.86
22.02,2.01,5.01,224.83,400.86
22.22,2.01,5.01,190.62,400.86
22.42,2.02,4.99,171.07,402.32
22.62,1.99,5.01,151.52,399.00
22.82,2.01,5.01,141.74,400.86
23.02,2.06,5.09,0.00,402.25
23.22,2.06,5.07,0.00,402.78
23.42,2.02,5.01,156.40,401.78
23.62,2.01,5.03,156.40,399.79
23.82,2.00,5.01,190.62,399.93
24.02,2.01,5.02,205.28,400.32
24.22,2.00,5.02,200.39,399.39
24.42,2.00,5.02,210.17,399.39
24.62,2.01,5.02,180.84,400.32
24.82,2.01,4.99,185.73,401.39
25.02,1.99,5.01,195.50,399.00
25.22,2.01,5.01,195.50,400.86
