# material: Nylon PA6
# geometry: 3 Channel Spiral
# preform_diameter: 20.0
# material_color: White
# temperature_C: 290.0
# drawdown_ratio: 50.0
# trial_number: 020
# operator: Akila_Ahmed
# start_time: 2026-03-11 13:51:25
# notes: The load cell test to find the ternsion created on the preform. Feed and Draw speeds set to default.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.94,4.62,1085.04,409.61
1.42,1.93,4.59,850.44,409.82
1.62,1.93,4.60,669.60,409.22
1.82,1.94,4.60,571.85,410.20
2.02,1.92,4.59,513.20,408.82
2.22,1.94,4.60,469.21,410.20
2.42,1.94,4.59,435.00,410.80
2.62,1.94,4.60,425.22,410.20
2.82,1.94,4.60,425.22,410.20
3.02,1.94,4.59,391.01,410.80
3.22,1.98,4.66,0.00,412.71
3.42,1.94,4.60,420.33,410.20
3.62,1.95,4.60,410.56,411.19
3.82,1.94,4.58,420.33,411.41
4.02,2.00,4.67,0.00,414.04
4.22,1.98,4.67,0.00,412.11
4.42,1.98,4.67,0.00,412.11
4.62,1.98,4.64,0.00,413.30
4.82,2.00,4.66,0.00,414.64
5.02,1.94,4.59,400.78,410.80
5.22,1.94,4.60,395.89,410.20
5.42,1.95,4.60,371.46,411.19
5.62,1.98,4.66,0.00,412.71
5.82,1.98,4.67,0.00,412.11
6.02,1.99,4.67,0.00,413.08
6.22,1.98,4.66,0.00,412.71
6.42,1.98,4.68,0.00,411.52
6.62,1.94,4.60,356.79,410.20
6.82,1.92,4.59,347.02,408.82
7.02,1.95,4.60,356.79,411.19
7.22,1.97,4.68,0.00,410.55
7.42,1.99,4.64,0.00,414.27
7.62,1.93,4.60,351.91,409.22
7.82,1.93,4.62,347.02,408.62
8.02,1.94,4.60,337.24,410.20
8.22,1.95,4.60,347.02,411.19
8.42,1.93,4.56,337.24,411.02
8.62,1.93,4.60,332.36,409.22
8.82,1.95,4.62,351.91,410.59
9.02,1.94,4.60,342.13,410.20
9.22,1.93,4.60,351.91,409.22
9.42,1.92,4.59,347.02,408.82
9.62,1.93,4.60,347.02,409.22
9.82,1.92,4.62,356.79,407.63
10.02,1.92,4.59,351.91,408.82
10.22,1.93,4.60,351.91,409.22
10.42,1.93,4.59,332.36,409.82
10.62,1.95,4.60,342.13,411.19
10.82,1.94,4.58,312.81,411.41
11.02,1.95,4.60,303.03,411.19
11.22,1.95,4.62,298.14,410.59
11.42,1.93,4.60,307.92,409.22
11.62,1.94,4.60,293.26,410.20
11.82,1.93,4.59,298.14,409.82
12.02,1.93,4.60,298.14,409.22
12.22,1.93,4.62,322.58,408.62
12.42,1.94,4.59,322.58,410.80
12.62,1.95,4.59,322.58,411.79
12.82,1.93,4.59,307.92,409.82
13.02,1.93,4.60,293.26,409.22
13.22,1.94,4.62,307.92,409.61
13.42,1.94,4.60,288.37,410.20
13.62,1.94,4.62,307.92,409.61
13.82,1.93,4.59,342.13,409.82
14.02,1.94,4.60,327.47,410.20
14.22,1.92,4.62,303.03,407.63
14.42,1.94,4.60,307.92,410.20
14.62,1.92,4.59,298.14,408.82
14.82,1.94,4.60,303.03,410.20
15.02,1.93,4.62,293.26,408.62
15.22,1.92,4.60,293.26,408.23
15.42,1.94,4.60,293.26,410.20
15.62,1.94,4.62,303.03,409.61
15.82,1.93,4.59,322.58,409.82
16.02,1.93,4.62,317.69,408.62
16.22,1.94,4.60,307.92,410.20
16.42,1.94,4.60,312.81,410.20
16.62,1.93,4.60,307.92,409.22
16.82,1.94,4.60,322.58,410.20
17.02,1.95,4.60,327.47,411.19
17.22,1.94,4.59,317.69,410.80
17.42,1.95,4.60,303.03,411.19
17.62,1.92,4.60,312.81,408.23
17.82,1.93,4.60,307.92,409.22
18.02,1.92,4.59,312.81,408.82
18.22,1.94,4.60,317.69,410.20
18.42,1.93,4.60,322.58,409.22
18.62,1.94,4.60,317.69,410.20
18.82,1.93,4.60,307.92,409.22
19.02,1.94,4.59,312.81,410.80
19.22,1.93,4.60,342.13,409.22
19.42,1.94,4.59,332.36,410.80
19.62,1.94,4.59,303.03,410.80
19.82,1.94,4.60,307.92,410.20
20.02,1.95,4.59,307.92,411.79
20.22,1.95,4.60,317.69,411.19
20.42,1.92,4.60,307.92,408.23
20.62,1.94,4.60,303.03,410.20
20.82,1.93,4.60,317.69,409.22
21.02,1.94,4.60,307.92,410.20
21.22,1.94,4.62,298.14,409.61
