# material: Nylon PA6
# geometry: 3_Ch_5th AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 053
# operator: Ahmed
# start_time: 2026-05-25 17:30:05
# notes: The feeding speed is 1.2 mm/min and winding speed is 3 m/min
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,2.99,146.63,400.64
1.42,1.20,2.98,136.85,401.55
1.62,1.20,2.98,136.85,401.55
1.82,1.21,2.99,136.85,402.19
2.02,1.21,2.99,146.63,402.19
2.22,1.19,2.98,141.74,399.99
2.42,1.21,2.98,151.52,403.10
2.62,1.19,3.01,146.63,398.20
2.82,1.21,2.98,141.74,403.10
3.02,1.21,2.99,151.52,402.19
3.22,1.20,2.99,161.29,400.64
3.42,1.19,2.98,141.74,399.99
3.62,1.21,2.98,146.63,403.10
3.82,1.18,2.98,141.74,398.42
4.02,1.21,2.98,146.63,403.10
4.22,1.19,2.99,136.85,399.09
4.42,1.20,2.98,141.74,401.55
4.62,1.19,2.98,136.85,399.99
4.82,1.20,2.99,151.52,400.64
5.02,1.20,2.98,146.63,401.55
5.22,1.21,2.99,146.63,402.19
5.42,1.20,2.97,151.52,402.45
5.62,1.21,2.98,161.29,403.10
5.82,1.19,2.99,161.29,399.09
6.02,1.22,2.99,166.18,403.74
6.22,1.19,2.98,151.52,399.99
6.42,1.22,2.99,151.52,403.74
6.62,1.19,2.98,151.52,399.99
6.82,1.21,2.99,156.40,402.19
7.02,1.22,2.97,156.40,405.56
7.22,1.20,2.99,156.40,400.64
7.42,1.18,2.98,146.63,398.42
7.62,1.20,2.99,161.29,400.64
7.82,1.19,2.98,166.18,399.99
8.02,1.20,2.98,166.18,401.55
8.22,1.21,2.98,166.18,403.10
8.42,1.20,3.01,156.40,399.75
8.62,1.22,2.98,171.07,404.65
8.82,1.21,2.99,166.18,402.19
9.02,1.19,2.98,171.07,399.99
9.22,1.19,2.99,180.84,399.09
9.42,1.20,2.98,180.84,401.55
9.62,1.21,2.98,161.29,403.10
9.82,1.20,2.99,161.29,400.64
10.02,1.21,2.99,161.29,402.19
10.22,1.21,2.97,151.52,404.01
10.42,1.21,2.99,161.29,402.19
10.62,1.20,2.99,171.07,400.64
10.82,1.19,2.99,161.29,399.09
11.02,1.21,2.99,171.07,402.19
11.22,1.18,2.98,171.07,398.42
11.42,1.21,2.98,175.95,403.10
11.62,1.21,2.98,156.40,403.10
11.82,1.22,2.99,161.29,403.74
12.02,1.20,2.97,161.29,402.45
12.22,1.20,2.99,166.18,400.64
12.42,1.18,2.98,156.40,398.42
12.62,1.19,2.99,161.29,399.09
12.82,1.21,2.97,171.07,404.01
13.02,1.21,2.98,161.29,403.10
13.22,1.19,2.99,161.29,399.09
13.42,1.21,2.99,171.07,402.19
13.62,1.19,2.98,171.07,399.99
13.82,1.21,2.98,175.95,403.10
14.02,1.20,2.99,175.95,400.64
14.22,1.21,2.99,156.40,402.19
14.42,1.20,2.99,171.07,400.64
14.62,1.21,2.99,166.18,402.19
14.82,1.20,2.98,166.18,401.55
15.02,1.21,2.98,156.40,403.10
15.22,1.19,2.97,166.18,400.89
15.42,1.21,2.99,171.07,402.19
15.62,1.20,2.98,166.18,401.55
15.82,1.21,2.98,156.40,403.10
16.02,1.21,2.98,161.29,403.10
16.22,1.20,2.98,156.40,401.55
16.42,1.21,2.98,166.18,403.10
16.62,1.19,2.99,156.40,399.09
16.82,1.20,2.97,161.29,402.45
17.02,1.21,2.98,166.18,403.10
17.22,1.21,2.99,151.52,402.19
17.42,1.20,2.98,166.18,401.55
17.62,1.19,2.99,171.07,399.09
17.82,1.21,2.99,161.29,402.19
18.02,1.21,2.99,151.52,402.19
18.22,1.19,3.01,146.63,398.20
18.42,1.20,2.98,161.29,401.55
18.62,1.19,2.98,151.52,399.99
18.82,1.21,2.98,151.52,403.10
19.02,1.21,2.98,166.18,403.10
19.22,1.22,2.99,161.29,403.74
19.42,1.20,2.98,146.63,401.55
19.62,1.21,2.99,156.40,402.19
19.82,1.19,2.99,146.63,399.09
20.02,1.21,2.99,166.18,402.19
20.22,1.19,3.01,146.63,398.20
20.42,1.22,2.99,151.52,403.74
20.62,1.19,2.99,156.40,399.09
20.82,1.22,2.99,151.52,403.74
21.02,1.20,3.01,156.40,399.75
21.22,1.21,2.99,151.52,402.19
21.42,1.19,2.97,141.74,400.89
21.62,1.22,2.97,146.63,405.56
21.82,1.20,2.98,151.52,401.55
22.02,1.22,2.99,161.29,403.74
22.22,1.19,2.99,146.63,399.09
22.42,1.21,2.99,156.40,402.19
22.62,1.19,2.98,161.29,399.99
22.82,1.21,2.99,166.18,402.19
