# material: Nylon PA6
# geometry: 3ch 1st AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 057
# operator: Akila_Ahmed
# start_time: 2026-05-26 13:34:59
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. 1st Aspect ratio 0.3. Predicted diameter 347.5 micrometers.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.16,2.91,351.91,399.80
1.42,1.15,2.95,332.36,393.87
1.62,1.14,2.93,317.69,394.06
1.82,1.15,2.93,312.81,397.28
2.02,1.15,2.94,298.14,394.77
2.22,1.15,2.94,298.14,394.77
2.42,1.15,2.94,307.92,394.77
2.62,1.15,2.91,293.26,396.59
2.82,1.16,2.93,312.81,398.88
3.02,1.15,2.94,307.92,394.77
3.22,1.16,2.94,303.03,397.97
3.42,1.14,2.93,298.14,394.06
3.62,1.15,2.94,283.48,394.77
3.82,1.14,2.93,263.93,394.06
4.02,1.15,2.95,293.26,393.87
4.22,1.14,2.95,288.37,392.27
4.42,1.15,2.93,293.26,395.68
4.62,1.15,2.91,283.48,398.20
4.82,1.15,2.94,288.37,396.37
5.02,1.15,2.93,288.37,397.28
5.22,1.15,2.94,249.27,396.37
5.42,1.15,2.95,249.27,395.47
5.62,1.14,2.95,259.04,392.27
5.82,1.15,2.94,268.82,394.77
6.02,1.16,2.94,278.59,397.97
6.22,1.18,2.93,278.59,402.06
6.42,1.16,2.93,268.82,398.88
6.62,1.18,2.94,293.26,401.14
6.82,1.18,2.94,288.37,401.14
7.02,1.18,2.94,288.37,401.14
7.22,1.20,2.93,298.14,405.21
7.42,1.20,2.94,278.59,404.29
7.62,1.22,2.94,273.70,407.41
7.82,1.19,2.91,288.37,404.57
8.02,1.20,2.94,288.37,404.29
8.22,1.17,2.95,293.26,398.65
8.42,1.20,2.94,283.48,404.29
8.62,1.20,2.93,263.93,405.21
8.82,1.20,2.94,273.70,404.29
9.02,1.18,2.93,273.70,402.06
9.22,1.19,2.94,278.59,402.72
9.42,1.21,2.93,293.26,406.78
9.62,1.20,2.93,273.70,405.21
9.82,1.19,2.93,288.37,403.64
10.02,1.20,2.93,288.37,405.21
10.22,1.20,2.97,259.04,402.45
10.42,1.19,2.93,254.15,403.64
10.62,1.19,2.93,254.15,403.64
10.82,1.20,2.95,259.04,403.37
11.02,1.19,2.94,263.93,402.72
11.22,1.19,2.95,278.59,401.80
11.42,1.22,2.98,278.59,404.65
11.62,1.20,2.98,283.48,401.55
11.82,1.19,2.97,278.59,400.89
12.02,1.19,2.97,283.48,400.89
12.22,1.20,2.95,278.59,403.37
12.42,1.20,2.97,268.82,402.45
12.62,1.19,2.95,254.15,401.80
12.82,1.20,2.94,244.38,404.29
13.02,1.19,2.99,239.49,399.09
13.22,1.20,2.95,239.49,403.37
13.42,1.20,2.98,244.38,401.55
13.62,1.20,2.98,244.38,401.55
13.82,1.20,2.97,278.59,402.45
14.02,1.19,2.98,303.03,399.99
14.22,1.20,2.98,327.47,401.55
14.42,1.19,2.97,322.58,400.89
14.62,1.20,2.97,337.24,402.45
14.82,1.20,2.98,327.47,401.55
15.02,1.21,2.98,337.24,403.10
15.22,1.19,2.98,327.47,399.99
15.42,1.19,2.97,322.58,400.89
15.62,1.19,2.99,317.69,399.09
15.82,1.19,2.97,312.81,400.89
16.02,1.21,2.98,307.92,403.10
16.22,1.19,2.97,303.03,400.89
16.42,1.19,2.97,298.14,400.89
16.62,1.21,2.98,312.81,403.10
16.82,1.20,2.98,283.48,401.55
17.02,1.21,2.99,268.82,402.19
17.22,1.19,2.98,268.82,399.99
17.42,1.20,2.99,268.82,400.64
17.62,1.19,2.98,259.04,399.99
17.82,1.18,2.98,268.82,398.42
18.02,1.20,2.98,283.48,401.55
18.22,1.20,2.97,278.59,402.45
18.42,1.20,2.97,293.26,402.45
18.62,1.20,2.97,278.59,402.45
18.82,1.20,2.98,288.37,401.55
19.02,1.19,2.98,268.82,399.99
19.22,1.21,3.02,268.82,400.40
19.42,1.19,3.02,268.82,397.31
19.62,1.19,2.97,273.70,400.89
19.82,1.20,2.99,303.03,400.64
20.02,1.20,2.97,283.48,402.45
20.22,1.21,2.98,298.14,403.10
20.42,1.19,2.97,288.37,400.89
20.62,1.21,2.98,288.37,403.10
20.82,1.19,2.97,263.93,400.89
21.02,1.20,2.98,288.37,401.55
21.22,1.22,3.02,273.70,401.94
21.42,1.21,2.98,273.70,403.10
21.62,1.21,2.99,273.70,402.19
21.82,1.18,2.97,263.93,399.32
22.02,1.21,2.99,263.93,402.19
22.22,1.19,2.97,263.93,400.89
22.42,1.20,2.99,268.82,400.64
22.62,1.18,2.97,254.15,399.32
22.82,1.19,2.95,259.04,401.80
23.02,1.20,2.99,254.15,400.64
23.22,1.20,2.98,244.38,401.55
23.42,1.19,2.98,263.93,399.99
23.62,1.20,2.95,268.82,403.37
23.82,1.20,2.98,278.59,401.55
24.02,1.19,2.97,259.04,400.89
24.22,1.20,2.98,273.70,401.55
24.42,1.20,3.01,288.37,399.75
24.62,1.20,2.98,263.93,401.55
24.82,1.21,2.99,278.59,402.19
25.02,1.20,2.99,303.03,400.64
25.22,1.19,2.99,303.03,399.09
25.42,1.19,2.97,303.03,400.89
25.62,1.20,3.01,298.14,399.75
25.82,1.19,2.97,268.82,400.89
26.02,1.19,2.98,263.93,399.99
26.22,1.19,2.97,278.59,400.89
26.42,1.20,2.98,303.03,401.55
26.62,1.20,2.99,298.14,400.64
26.82,1.18,2.97,288.37,399.32
27.02,1.21,2.99,298.14,402.19
27.22,1.19,2.98,307.92,399.99
27.42,1.21,2.99,307.92,402.19
27.62,1.19,2.99,293.26,399.09
27.82,1.20,2.98,307.92,401.55
28.02,1.21,2.99,293.26,402.19
28.22,1.20,2.98,288.37,401.55
28.42,1.21,2.99,273.70,402.19
28.62,1.20,2.95,278.59,403.37
28.82,1.20,2.98,268.82,401.55
29.02,1.18,2.98,254.15,398.42
29.22,1.19,2.97,278.59,400.89
29.42,1.19,2.99,278.59,399.09
29.62,1.20,2.99,268.82,400.64
29.82,1.19,3.02,263.93,397.31
30.02,1.18,2.98,263.93,398.42
30.22,1.21,2.98,263.93,403.10
30.42,1.19,2.98,259.04,399.99
30.62,1.21,2.98,244.38,403.10
30.82,1.21,2.98,244.38,403.10
31.02,1.20,2.98,268.82,401.55
31.22,1.19,2.99,249.27,399.09
31.42,1.20,2.98,273.70,401.55
31.62,1.20,2.97,278.59,402.45
31.82,1.19,2.98,273.70,399.99
32.02,1.19,2.98,307.92,399.99
32.22,1.19,2.95,303.03,401.80
32.42,1.20,2.99,303.03,400.64
32.62,1.21,2.98,298.14,403.10
32.82,1.21,2.98,298.14,403.10
33.02,1.20,2.98,298.14,401.55
33.22,1.19,2.98,303.03,399.99
33.42,1.21,2.95,317.69,404.93
33.62,1.18,2.97,298.14,399.32
33.82,1.21,2.99,307.92,402.19
34.02,1.20,2.95,288.37,403.37
34.22,1.20,2.98,303.03,401.55
34.42,1.20,2.98,298.14,401.55
34.62,1.20,2.98,283.48,401.55
34.82,1.21,2.99,278.59,402.19
35.02,1.20,2.98,273.70,401.55
35.22,1.20,2.99,278.59,400.64
35.42,1.19,2.98,273.70,399.99
35.62,1.21,2.97,288.37,404.01
35.82,1.20,2.97,278.59,402.45
36.02,1.20,2.97,273.70,402.45
36.22,1.19,2.99,303.03,399.09
36.42,1.18,2.98,312.81,398.42
36.62,1.20,2.99,332.36,400.64
36.82,1.18,2.97,342.13,399.32
37.02,1.20,2.98,332.36,401.55
37.22,1.19,2.98,327.47,399.99
37.42,1.19,3.02,337.24,397.31
37.62,1.21,2.98,342.13,403.10
37.82,1.20,2.98,307.92,401.55
38.02,1.20,2.98,293.26,401.55
38.22,1.19,2.97,283.48,400.89
38.42,1.20,2.98,298.14,401.55
38.62,1.21,2.99,298.14,402.19
38.82,1.19,2.99,307.92,399.09
39.02,1.19,2.98,307.92,399.99
39.22,1.21,2.98,317.69,403.10
39.42,1.20,2.98,312.81,401.55
39.62,1.19,2.99,312.81,399.09
39.82,1.20,2.99,322.58,400.64
40.02,1.18,2.97,327.47,399.32
40.22,1.21,2.98,337.24,403.10
40.42,1.19,2.98,327.47,399.99
40.62,1.19,3.01,337.24,398.20
40.82,1.20,2.99,356.79,400.64
41.02,1.18,2.98,361.68,398.42
41.22,1.18,2.98,351.91,398.42
41.42,1.19,2.95,337.24,401.80
41.62,1.21,2.98,327.47,403.10
41.82,1.20,2.97,307.92,402.45
42.02,1.20,2.97,322.58,402.45
42.22,1.21,2.97,342.13,404.01
42.42,1.19,2.98,322.58,399.99
42.62,1.21,2.99,317.69,402.19
42.82,1.21,2.98,322.58,403.10
43.02,1.19,2.99,332.36,399.09
43.22,1.20,2.97,317.69,402.45
43.42,1.21,2.98,322.58,403.10
43.62,1.19,2.95,327.47,401.80
43.82,1.20,2.98,327.47,401.55
44.02,1.21,2.98,337.24,403.10
44.22,1.19,2.95,347.02,401.80
44.42,1.20,2.98,351.91,401.55
44.62,1.19,2.98,347.02,399.99
44.82,1.19,2.98,337.24,399.99
45.02,1.21,2.99,312.81,402.19
45.22,1.20,2.98,317.69,401.55
45.42,1.19,2.99,303.03,399.09
45.62,1.19,2.95,288.37,401.80
45.82,1.20,2.98,307.92,401.55
46.02,1.20,2.97,322.58,402.45
46.22,1.21,2.99,327.47,402.19
46.42,1.19,2.97,312.81,400.89
46.62,1.19,2.98,307.92,399.99
46.82,1.19,2.99,303.03,399.09
47.02,1.18,2.99,317.69,397.53
47.22,1.19,2.99,332.36,399.09
47.42,1.18,2.97,351.91,399.32
47.62,1.21,2.97,371.46,404.01
47.82,1.19,2.97,376.34,400.89
48.02,1.20,2.98,376.34,401.55
48.22,1.20,2.98,356.79,401.55
48.42,1.21,2.98,332.36,403.10
48.62,1.19,2.98,332.36,399.99
48.82,1.19,2.98,312.81,399.99
49.02,1.21,2.99,327.47,402.19
49.22,1.20,2.97,327.47,402.45
49.42,1.20,2.98,337.24,401.55
49.62,1.18,2.99,327.47,397.53
49.82,1.20,2.98,327.47,401.55
50.02,1.19,2.97,307.92,400.89
50.22,1.20,2.98,307.92,401.55
50.42,1.19,2.98,298.14,399.99
50.62,1.21,2.99,312.81,402.19
50.82,1.19,3.01,322.58,398.20
51.02,1.19,2.95,327.47,401.80
51.22,1.19,2.98,361.68,399.99
51.42,1.17,2.99,361.68,395.96
51.62,1.20,2.99,420.33,400.64
51.82,1.20,2.98,356.79,401.55
52.02,1.20,2.98,327.47,401.55
52.22,1.22,2.98,332.36,404.65
52.42,1.18,2.98,337.24,398.42
52.62,1.18,2.99,342.13,397.53
52.82,1.21,2.99,347.02,402.19
53.02,1.20,2.98,342.13,401.55
53.22,1.19,2.98,337.24,399.99
53.42,1.20,2.99,337.24,400.64
53.62,1.21,2.98,347.02,403.10
53.82,1.17,2.97,337.24,397.75
54.02,1.21,2.99,342.13,402.19
54.22,1.19,2.98,347.02,399.99
54.42,1.20,3.02,347.02,398.86
54.62,1.19,2.99,337.24,399.09
54.82,1.18,2.98,342.13,398.42
55.02,1.21,2.98,337.24,403.10
55.22,1.17,2.98,351.91,396.85
55.42,1.20,2.99,342.13,400.64
55.62,1.19,2.98,322.58,399.99
55.82,1.20,2.98,332.36,401.55
56.02,1.19,2.98,322.58,399.99
56.22,1.20,2.97,332.36,402.45
56.42,1.20,2.99,327.47,400.64
56.62,1.18,2.98,322.58,398.42
56.82,1.19,2.98,317.69,399.99
57.02,1.20,2.98,312.81,401.55
57.22,1.21,2.99,327.47,402.19
57.42,1.19,2.99,327.47,399.09
57.62,1.19,2.97,322.58,400.89
57.82,1.21,2.98,351.91,403.10
58.02,1.18,2.97,322.58,399.32
58.22,1.21,2.99,312.81,402.19
58.42,1.21,2.98,317.69,403.10
58.62,1.20,2.98,342.13,401.55
58.82,1.21,2.99,332.36,402.19
59.02,1.18,2.98,351.91,398.42
59.22,1.20,2.99,361.68,400.64
59.42,1.20,2.99,361.68,400.64
59.62,1.20,2.99,361.68,400.64
59.82,1.19,2.98,381.23,399.99
60.02,1.20,2.99,395.89,400.64
60.22,1.21,2.99,391.01,402.19
60.42,1.22,2.97,405.67,405.56
60.62,1.20,2.98,405.67,401.55
60.82,1.19,2.99,391.01,399.09
61.02,1.20,2.98,391.01,401.55
61.22,1.19,2.98,366.57,399.99
61.42,1.20,2.99,366.57,400.64
61.62,1.21,2.98,351.91,403.10
61.82,1.19,2.97,342.13,400.89
62.02,1.22,2.98,361.68,404.65
62.22,1.18,2.98,351.91,398.42
62.42,1.19,2.98,347.02,399.99
62.62,1.21,2.99,332.36,402.19
62.82,1.21,2.98,307.92,403.10
63.02,1.19,2.99,322.58,399.09
63.22,1.20,2.95,327.47,403.37
63.42,1.21,2.98,337.24,403.10
63.62,1.19,2.97,342.13,400.89
63.82,1.19,2.99,342.13,399.09
64.02,1.20,2.97,327.47,402.45
64.22,1.19,2.98,332.36,399.99
64.42,1.20,2.99,312.81,400.64
64.62,1.21,2.97,307.92,404.01
64.82,1.18,2.99,312.81,397.53
65.02,1.19,2.97,317.69,400.89
65.22,1.20,2.99,327.47,400.64
65.42,1.18,2.97,322.58,399.32
65.62,1.21,2.98,332.36,403.10
65.82,1.20,2.99,342.13,400.64
66.02,1.21,2.97,332.36,404.01
66.22,1.21,2.99,322.58,402.19
66.42,1.19,2.95,327.47,401.80
66.62,1.19,2.99,327.47,399.09
66.82,1.20,2.95,327.47,403.37
67.02,1.18,2.99,317.69,397.53
67.22,1.18,2.98,303.03,398.42
67.42,1.20,2.98,307.92,401.55
67.62,1.19,2.98,288.37,399.99
67.82,1.20,2.99,298.14,400.64
68.02,1.20,2.99,288.37,400.64
68.22,1.19,2.95,293.26,401.80
68.42,1.20,2.98,273.70,401.55
68.62,1.18,2.97,293.26,399.32
68.82,1.19,2.98,303.03,399.99
69.02,1.19,2.98,312.81,399.99
69.22,1.21,2.99,322.58,402.19
69.42,1.19,2.97,317.69,400.89
69.62,1.19,2.97,337.24,400.89
69.82,1.21,2.95,356.79,404.93
70.02,1.20,2.98,356.79,401.55
70.22,1.20,2.99,366.57,400.64
70.42,1.20,2.97,356.79,402.45
70.62,1.20,2.99,366.57,400.64
70.82,1.18,2.99,351.91,397.53
71.02,1.21,2.98,347.02,403.10
71.22,1.19,2.97,327.47,400.89
71.42,1.19,2.98,332.36,399.99
71.62,1.19,2.98,351.91,399.99
71.82,1.20,2.97,347.02,402.45
72.02,1.20,2.99,337.24,400.64
72.22,1.19,2.97,317.69,400.89
72.42,1.21,2.98,351.91,403.10
72.62,1.19,2.97,351.91,400.89
72.82,1.20,2.98,356.79,401.55
73.02,1.19,2.99,342.13,399.09
73.22,1.20,2.97,347.02,402.45
73.42,1.21,2.99,332.36,402.19
73.62,1.19,2.98,317.69,399.99
73.82,1.21,2.98,322.58,403.10
74.02,1.19,2.98,347.02,399.99
74.22,1.20,2.98,337.24,401.55
74.42,1.19,2.99,312.81,399.09
74.62,1.21,2.97,332.36,404.01
74.82,1.18,2.99,312.81,397.53
75.02,1.20,2.98,327.47,401.55
75.22,1.21,2.98,317.69,403.10
75.42,1.19,2.97,327.47,400.89
75.62,1.21,2.99,317.69,402.19
75.82,1.20,2.97,317.69,402.45
76.02,1.20,2.98,322.58,401.55
76.22,1.20,2.98,312.81,401.55
76.42,1.20,2.98,312.81,401.55
76.62,1.18,3.01,322.58,396.64
76.82,1.20,2.97,322.58,402.45
77.02,1.20,2.98,337.24,401.55
77.22,1.19,2.99,312.81,399.09
77.42,1.20,2.99,317.69,400.64
77.62,1.18,2.97,307.92,399.32
77.82,1.19,2.97,293.26,400.89
78.02,1.20,2.99,288.37,400.64
78.22,1.20,2.97,303.03,402.45
78.42,1.20,2.99,303.03,400.64
78.62,1.19,2.97,307.92,400.89
78.82,1.20,2.98,327.47,401.55
79.02,1.19,2.95,337.24,401.80
79.22,1.21,2.99,347.02,402.19
79.42,1.20,2.97,342.13,402.45
79.62,1.21,2.98,337.24,403.10
79.82,1.21,2.99,347.02,402.19
80.02,1.20,2.97,322.58,402.45
80.22,1.18,2.99,312.81,397.53
80.42,1.20,2.99,303.03,400.64
80.62,1.20,2.99,307.92,400.64
80.82,1.19,2.99,298.14,399.09
81.02,1.21,2.97,293.26,404.01
81.22,1.19,2.97,283.48,400.89
81.42,1.19,2.97,278.59,400.89
81.62,1.18,2.98,283.48,398.42
81.82,1.18,2.97,298.14,399.32
82.02,1.20,2.99,273.70,400.64
82.22,1.19,2.97,278.59,400.89
82.42,1.19,2.99,288.37,399.09
82.62,1.18,2.97,298.14,399.32
82.82,1.21,2.98,327.47,403.10
83.02,1.20,2.99,317.69,400.64
83.22,1.20,2.97,327.47,402.45
83.42,1.20,2.97,337.24,402.45
83.62,1.18,2.97,317.69,399.32
83.82,1.21,2.98,317.69,403.10
84.02,1.18,2.97,317.69,399.32
84.22,1.21,2.99,312.81,402.19
84.42,1.19,2.98,293.26,399.99
84.62,1.20,2.98,312.81,401.55
84.82,1.18,2.97,312.81,399.32
85.02,1.20,2.99,312.81,400.64
85.22,1.19,2.98,351.91,399.99
85.42,1.20,2.98,347.02,401.55
85.62,1.21,2.99,342.13,402.19
85.82,1.19,2.97,347.02,400.89
86.02,1.18,2.98,342.13,398.42
86.22,1.19,2.97,322.58,400.89
86.42,1.21,2.98,332.36,403.10
86.62,1.19,2.99,327.47,399.09
86.82,1.20,2.97,312.81,402.45
87.02,1.20,2.99,317.69,400.64
87.22,1.20,2.97,317.69,402.45
87.42,1.20,2.98,317.69,401.55
87.62,1.19,2.98,307.92,399.99
87.82,1.20,2.99,322.58,400.64
88.02,1.20,2.98,303.03,401.55
88.22,1.19,2.99,317.69,399.09
88.42,1.18,2.99,312.81,397.53
88.62,1.19,2.99,307.92,399.09
88.82,1.19,2.97,303.03,400.89
89.02,1.19,2.97,303.03,400.89
89.22,1.21,2.99,307.92,402.19
89.42,1.20,2.98,293.26,401.55
89.62,1.19,2.95,307.92,401.80
89.82,1.19,2.99,317.69,399.09
90.02,1.18,2.97,322.58,399.32
90.22,1.20,2.98,337.24,401.55
90.42,1.18,2.98,337.24,398.42
90.62,1.18,2.98,327.47,398.42
90.82,1.19,2.99,332.36,399.09
91.02,1.19,2.97,332.36,400.89
91.22,1.19,2.98,327.47,399.99
91.42,1.19,2.95,312.81,401.80
91.62,1.21,2.99,317.69,402.19
91.82,1.20,2.98,317.69,401.55
92.02,1.20,2.98,307.92,401.55
92.22,1.21,2.99,293.26,402.19
92.42,1.18,2.98,307.92,398.42
92.62,1.19,2.98,317.69,399.99
92.82,1.18,2.99,317.69,397.53
93.02,1.20,2.98,322.58,401.55
93.22,1.19,2.98,337.24,399.99
93.42,1.20,2.97,312.81,402.45
93.62,1.19,2.97,298.14,400.89
93.82,1.20,2.97,307.92,402.45
94.02,1.21,2.99,303.03,402.19
94.22,1.19,2.99,298.14,399.09
94.42,1.19,2.99,327.47,399.09
94.62,1.19,2.97,332.36,400.89
94.82,1.21,2.98,347.02,403.10
95.02,1.19,2.98,366.57,399.99
95.22,1.19,2.95,356.79,401.80
95.42,1.20,2.97,366.57,402.45
95.62,1.20,2.97,356.79,402.45
95.82,1.20,2.99,361.68,400.64
96.02,1.19,2.99,356.79,399.09
96.22,1.20,2.99,381.23,400.64
96.42,1.21,2.99,371.46,402.19
96.62,1.19,2.97,386.12,400.89
96.82,1.20,2.97,381.23,402.45
97.02,1.19,2.99,366.57,399.09
97.22,1.21,2.99,361.68,402.19
97.42,1.18,2.97,347.02,399.32
97.62,1.19,2.98,337.24,399.99
97.82,1.20,2.98,327.47,401.55
98.02,1.20,2.99,351.91,400.64
98.22,1.18,2.98,356.79,398.42
98.42,1.18,2.95,361.68,400.23
98.62,1.19,2.98,356.79,399.99
98.82,1.19,2.99,312.81,399.09
99.02,1.20,2.98,307.92,401.55
99.22,1.19,2.97,283.48,400.89
99.42,1.20,2.95,307.92,403.37
99.62,1.21,2.98,312.81,403.10
99.82,1.18,2.98,322.58,398.42
100.02,1.20,2.99,312.81,400.64
100.22,1.21,2.97,307.92,404.01
100.42,1.21,2.98,303.03,403.10
100.62,1.19,2.98,293.26,399.99
100.82,1.20,2.98,307.92,401.55
101.02,1.21,2.98,312.81,403.10
101.22,1.19,2.99,317.69,399.09
101.42,1.21,2.99,312.81,402.19
101.62,1.18,2.97,322.58,399.32
101.82,1.20,2.99,293.26,400.64
102.02,1.18,2.99,273.70,397.53
102.22,1.20,2.97,283.48,402.45
102.42,1.19,2.99,273.70,399.09
102.62,1.20,2.98,278.59,401.55
102.82,1.21,2.98,312.81,403.10
103.02,1.18,2.97,317.69,399.32
103.22,1.20,2.98,332.36,401.55
103.42,1.19,2.98,332.36,399.99
103.62,1.19,2.97,342.13,400.89
103.82,1.21,2.99,342.13,402.19
104.02,1.20,2.97,347.02,402.45
104.22,1.18,2.98,332.36,398.42
104.42,1.18,2.98,322.58,398.42
104.62,1.20,2.98,337.24,401.55
104.82,1.19,2.99,332.36,399.09
105.02,1.20,2.94,322.58,404.29
105.22,1.22,2.98,327.47,404.65
105.42,1.18,2.97,307.92,399.32
105.62,1.20,2.98,307.92,401.55
105.82,1.19,2.97,303.03,400.89
106.02,1.20,3.01,322.58,399.75
106.22,1.20,2.99,332.36,400.64
106.42,1.20,2.95,327.47,403.37
106.62,1.21,2.98,332.36,403.10
106.82,1.18,2.98,347.02,398.42
107.02,1.20,2.99,361.68,400.64
107.22,1.19,2.97,361.68,400.89
107.42,1.18,2.99,371.46,397.53
107.62,1.21,2.99,342.13,402.19
107.82,1.21,2.98,356.79,403.10
108.02,1.20,2.98,322.58,401.55
108.22,1.21,2.98,303.03,403.10
108.42,1.21,2.99,303.03,402.19
108.62,1.18,2.99,293.26,397.53
108.82,1.20,2.98,312.81,401.55
109.02,1.21,2.98,312.81,403.10
109.22,1.18,2.98,317.69,398.42
109.42,1.21,2.99,327.47,402.19
109.62,1.18,2.97,303.03,399.32
109.82,1.20,2.98,307.92,401.55
110.02,1.21,2.99,322.58,402.19
110.22,1.20,2.97,312.81,402.45
110.42,1.20,2.99,312.81,400.64
110.62,1.18,2.97,298.14,399.32
110.82,1.21,2.97,288.37,404.01
111.02,1.20,2.97,278.59,402.45
111.22,1.20,2.99,278.59,400.64
111.42,1.19,2.97,283.48,400.89
111.62,1.20,2.98,307.92,401.55
111.82,1.21,2.99,293.26,402.19
112.02,1.20,2.97,303.03,402.45
112.22,1.21,2.99,293.26,402.19
112.42,1.19,2.97,273.70,400.89
112.62,1.20,3.01,288.37,399.75
112.82,1.19,2.97,283.48,400.89
113.02,1.20,2.99,298.14,400.64
113.22,1.21,2.98,298.14,403.10
113.42,1.18,2.97,303.03,399.32
113.62,1.21,2.99,303.03,402.19
113.82,1.19,2.97,312.81,400.89
114.02,1.20,3.01,327.47,399.75
114.22,1.21,2.97,293.26,404.01
114.42,1.18,2.99,307.92,397.53
114.62,1.19,2.99,317.69,399.09
114.82,1.20,2.97,327.47,402.45
115.02,1.21,2.99,327.47,402.19
115.22,1.19,2.95,303.03,401.80
115.42,1.20,2.98,298.14,401.55
115.62,1.19,2.97,307.92,400.89
115.82,1.20,2.99,312.81,400.64
116.02,1.21,2.99,303.03,402.19
116.22,1.18,2.97,293.26,399.32
116.42,1.21,2.99,283.48,402.19
116.62,1.19,2.99,259.04,399.09
116.82,1.20,2.98,263.93,401.55
117.02,1.19,2.97,268.82,400.89
117.22,1.20,2.97,268.82,402.45
117.42,1.20,2.98,273.70,401.55
117.62,1.19,2.97,249.27,400.89
117.82,1.19,2.98,263.93,399.99
118.02,1.18,2.98,249.27,398.42
118.22,1.20,2.97,283.48,402.45
118.42,1.19,2.98,283.48,399.99
118.62,1.17,2.97,307.92,397.75
118.82,1.21,2.98,303.03,403.10
119.02,1.19,2.98,288.37,399.99
119.22,1.20,2.98,298.14,401.55
119.42,1.20,2.95,293.26,403.37
119.62,1.19,2.95,293.26,401.80
119.82,1.21,3.02,278.59,400.40
120.02,1.18,2.97,278.59,399.32
