# material: Nylon PA6
# geometry: 3ch 2nd AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 056
# operator: Akila_Ahmed
# start_time: 2026-05-26 12:11:34
# notes: Feed and draw speeds set to 1.2 mm per min and 3 m per min. 2nd Aspect Ratio 0.4. Predicted diameter 347.5 micrometers.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.19,2.99,303.03,399.09
1.42,1.19,2.98,293.26,399.99
1.62,1.19,2.98,312.81,399.99
1.82,1.20,2.99,312.81,400.64
2.02,1.18,2.98,312.81,398.42
2.22,1.20,2.98,307.92,401.55
2.42,1.19,2.98,283.48,399.99
2.62,1.20,2.98,298.14,401.55
2.82,1.20,3.01,317.69,399.75
3.02,1.18,3.01,303.03,396.64
3.22,1.20,2.99,303.03,400.64
3.42,1.21,3.01,283.48,401.29
3.62,1.20,2.99,303.03,400.64
3.82,1.20,2.99,307.92,400.64
4.02,1.19,2.97,303.03,400.89
4.22,1.20,2.98,327.47,401.55
4.42,1.20,3.01,293.26,399.75
4.62,1.18,2.98,312.81,398.42
4.82,1.21,2.99,303.03,402.19
5.02,1.19,2.97,283.48,400.89
5.22,1.19,2.99,283.48,399.09
5.42,1.19,2.98,293.26,399.99
5.62,1.19,2.97,303.03,400.89
5.82,1.20,2.98,303.03,401.55
6.02,1.19,2.99,298.14,399.09
6.22,1.21,2.97,293.26,404.01
6.42,1.20,3.01,298.14,399.75
6.62,1.18,2.99,312.81,397.53
6.82,1.19,2.99,337.24,399.09
7.02,1.19,2.98,332.36,399.99
7.22,1.20,2.99,327.47,400.64
7.42,1.21,2.99,332.36,402.19
7.62,1.18,2.98,327.47,398.42
7.82,1.20,2.97,312.81,402.45
8.02,1.19,2.98,293.26,399.99
8.22,1.18,2.98,293.26,398.42
8.42,1.20,2.99,278.59,400.64
8.62,1.19,2.99,278.59,399.09
8.82,1.20,2.99,283.48,400.64
9.02,1.20,2.98,288.37,401.55
9.22,1.18,2.97,298.14,399.32
9.42,1.19,3.01,307.92,398.20
9.62,1.20,2.95,317.69,403.37
9.82,1.20,2.97,298.14,402.45
10.02,1.21,2.99,307.92,402.19
10.22,1.20,2.99,307.92,400.64
10.42,1.20,2.99,283.48,400.64
10.62,1.19,2.99,303.03,399.09
10.82,1.19,2.99,322.58,399.09
11.02,1.21,2.97,347.02,404.01
11.22,1.20,2.98,337.24,401.55
11.42,1.20,2.98,332.36,401.55
11.62,1.21,2.99,347.02,402.19
11.82,1.19,2.97,342.13,400.89
12.02,1.20,2.97,342.13,402.45
12.22,1.20,2.99,327.47,400.64
12.42,1.19,2.97,312.81,400.89
12.62,1.19,2.99,307.92,399.09
12.82,1.21,2.98,288.37,403.10
13.02,1.19,2.99,298.14,399.09
13.22,1.19,2.99,312.81,399.09
13.42,1.19,2.97,332.36,400.89
13.62,1.21,3.01,327.47,401.29
13.82,1.21,3.02,322.58,400.40
14.02,1.20,2.97,327.47,402.45
14.22,1.20,2.99,342.13,400.64
14.42,1.20,2.97,342.13,402.45
14.62,1.20,3.01,327.47,399.75
14.82,1.19,2.99,337.24,399.09
15.02,1.18,2.98,347.02,398.42
15.22,1.18,2.98,332.36,398.42
15.42,1.19,2.98,298.14,399.99
15.62,1.20,2.99,298.14,400.64
15.82,1.20,2.99,307.92,400.64
16.02,1.19,2.98,303.03,399.99
16.22,1.20,3.01,298.14,399.75
16.42,1.20,2.99,288.37,400.64
16.62,1.20,2.99,268.82,400.64
16.82,1.19,2.99,278.59,399.09
17.02,1.20,2.99,263.93,400.64
17.22,1.21,2.99,278.59,402.19
17.42,1.20,2.98,288.37,401.55
17.62,1.19,2.98,293.26,399.99
17.82,1.19,2.98,303.03,399.99
18.02,1.19,2.98,288.37,399.99
18.22,1.20,2.98,259.04,401.55
18.42,1.21,2.99,268.82,402.19
18.62,1.20,2.98,278.59,401.55
18.82,1.21,2.99,288.37,402.19
19.02,1.18,2.99,263.93,397.53
19.22,1.19,2.98,278.59,399.99
19.42,1.21,2.99,254.15,402.19
19.62,1.19,2.99,254.15,399.09
19.82,1.19,2.99,278.59,399.09
20.02,1.19,2.98,283.48,399.99
20.22,1.19,2.98,273.70,399.99
20.42,1.20,2.98,278.59,401.55
20.62,1.20,2.99,268.82,400.64
20.82,1.18,2.97,259.04,399.32
21.02,1.20,3.01,263.93,399.75
21.22,1.20,2.98,263.93,401.55
21.42,1.20,2.99,273.70,400.64
21.62,1.21,2.99,259.04,402.19
21.82,1.19,2.97,268.82,400.89
22.02,1.21,2.99,283.48,402.19
22.22,1.21,2.98,312.81,403.10
22.42,1.20,2.97,322.58,402.45
22.62,1.21,2.99,327.47,402.19
22.82,1.20,2.97,303.03,402.45
23.02,1.19,2.99,263.93,399.09
23.22,1.18,2.99,254.15,397.53
23.42,1.18,2.98,244.38,398.42
23.62,1.19,2.99,244.38,399.09
23.82,1.19,2.98,283.48,399.99
24.02,1.21,2.99,293.26,402.19
24.22,1.21,2.97,303.03,404.01
24.42,1.18,2.97,293.26,399.32
24.62,1.20,2.99,312.81,400.64
24.82,1.19,2.99,312.81,399.09
25.02,1.19,2.99,307.92,399.09
25.22,1.20,2.98,307.92,401.55
25.42,1.17,2.97,293.26,397.75
25.62,1.19,3.01,293.26,398.20
25.82,1.18,2.98,293.26,398.42
26.02,1.20,2.98,307.92,401.55
26.22,1.21,2.95,303.03,404.93
26.42,1.20,2.97,307.92,402.45
26.62,1.21,2.98,303.03,403.10
26.82,1.19,2.98,278.59,399.99
27.02,1.18,2.99,273.70,397.53
27.22,1.19,2.99,263.93,399.09
27.42,1.18,2.97,288.37,399.32
27.62,1.18,2.99,293.26,397.53
27.82,1.20,2.98,293.26,401.55
28.02,1.19,2.98,312.81,399.99
28.22,1.20,2.98,327.47,401.55
