# material: Nylon PA6
# geometry: 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 295.0
# drawdown_ratio: 50.0
# trial_number: 011
# operator: Ahmed_Akila
# start_time: 2026-02-12 13:20:23
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.96,4.94,1251.22,398.87
1.42,1.94,4.91,1422.29,397.11
1.62,1.96,4.93,1617.79,399.41
1.82,1.96,4.93,1881.72,399.41
2.02,1.96,4.93,1436.95,398.47
2.22,1.96,4.93,1006.84,398.47
2.42,1.96,4.91,747.80,399.96
2.62,1.96,4.93,620.72,398.47
2.82,1.96,4.93,537.63,398.47
3.02,1.96,4.91,483.87,399.01
3.22,1.96,4.93,488.76,398.47
3.42,1.96,4.90,425.22,399.56
3.62,1.96,4.93,415.44,399.41
3.82,1.95,4.93,425.22,397.52
4.02,1.96,4.93,439.88,399.41
4.22,1.96,4.91,430.11,399.01
4.42,1.96,4.93,454.55,399.41
4.62,1.96,4.91,459.43,399.01
4.82,1.96,4.93,449.66,398.47
5.02,1.96,4.93,454.55,399.41
5.22,1.96,4.93,435.00,398.47
5.42,1.96,4.93,444.77,399.41
5.62,1.96,4.94,415.44,398.87
5.82,1.96,4.91,410.56,399.96
6.02,1.94,4.94,395.89,396.03
6.22,1.94,4.93,386.12,396.57
6.42,1.96,4.93,395.89,399.41
6.62,1.94,4.93,391.01,396.57
6.82,1.96,4.93,386.12,398.47
7.02,1.96,4.93,391.01,398.47
7.22,1.96,4.91,376.34,399.01
7.42,1.96,4.94,386.12,398.87
7.62,1.96,4.93,371.46,398.47
7.82,1.95,4.93,386.12,397.52
8.02,1.95,4.91,386.12,398.06
8.22,1.95,4.91,395.89,398.06
8.42,1.95,4.93,425.22,397.52
8.62,1.95,4.91,430.11,398.06
8.82,1.96,4.93,454.55,398.47
9.02,1.96,4.91,439.88,399.01
9.22,1.96,4.91,425.22,399.01
9.42,1.96,4.93,410.56,398.47
9.62,1.96,4.93,395.89,398.47
9.82,1.95,4.93,400.78,397.52
10.02,1.96,4.91,410.56,399.01
10.22,1.95,4.93,420.33,397.52
10.42,1.95,4.91,435.00,398.06
10.62,1.95,4.91,430.11,398.06
10.82,1.96,4.93,430.11,399.41
11.02,1.95,4.91,405.67,398.06
11.22,1.96,4.93,400.78,399.41
11.42,1.96,4.93,415.44,398.47
11.62,1.96,4.93,391.01,398.47
11.82,1.96,4.93,391.01,399.41
12.02,1.96,4.91,391.01,399.01
12.22,1.96,4.93,391.01,398.47
12.42,1.95,4.93,400.78,397.52
12.62,1.96,4.93,415.44,398.47
12.82,1.96,4.93,420.33,399.41
13.02,1.96,4.93,405.67,398.47
13.22,1.96,4.95,420.33,398.33
13.42,1.96,4.93,435.00,398.47
13.62,1.95,4.93,444.77,397.52
13.82,1.96,4.93,449.66,399.41
14.02,1.95,4.91,430.11,398.06
14.22,1.96,4.93,435.00,399.41
14.42,1.95,4.93,435.00,397.52
14.62,1.94,4.93,439.88,396.57
14.82,1.96,4.93,464.32,398.47
15.02,1.96,4.93,449.66,398.47
15.22,1.96,4.91,444.77,399.01
15.42,1.96,4.93,469.21,399.41
15.62,1.95,4.91,435.00,398.06
15.82,1.96,4.93,449.66,399.41
16.02,1.96,4.93,430.11,398.47
16.22,1.96,4.93,435.00,399.41
