# material: Nylon PA6
# geometry: 5ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 280.0
# drawdown_ratio: 50.0
# trial_number: 010
# operator: Ahmed_Akila_Hamdi
# start_time: 2026-02-11 12:35:46
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,4.99,478.98,402.32
1.42,2.03,5.02,493.65,402.17
1.62,2.04,4.99,454.55,404.17
1.82,2.03,4.99,444.77,403.25
2.02,2.03,5.01,435.00,402.71
2.22,2.02,4.95,435.00,403.95
2.42,2.04,5.01,425.22,403.63
2.62,2.02,5.01,391.01,401.78
2.82,2.03,5.01,415.44,402.71
3.02,2.09,5.07,0.00,405.50
3.22,2.08,5.05,0.00,405.67
3.42,2.08,5.06,0.00,405.13
3.62,2.09,5.06,0.00,406.04
3.82,2.08,5.06,0.00,405.13
4.02,2.08,5.07,0.00,404.60
4.22,2.03,4.99,449.66,403.25
4.42,2.03,5.01,435.00,402.71
4.62,2.08,5.06,0.00,405.13
4.82,2.08,5.05,0.00,405.67
5.02,2.09,5.07,0.00,405.50
5.22,2.07,5.05,0.00,404.76
5.42,2.04,5.01,552.30,403.63
5.62,2.03,4.99,576.74,403.25
5.82,2.03,4.99,562.07,403.25
6.02,2.02,5.01,576.74,401.78
6.22,2.08,5.06,0.00,405.13
6.42,2.08,5.07,0.00,404.60
6.62,2.02,5.01,596.29,401.78
6.82,2.03,4.98,615.84,403.79
7.02,2.03,4.99,615.84,403.25
7.22,2.03,5.01,650.05,402.71
7.42,2.03,4.98,625.61,403.79
7.62,2.08,5.06,0.00,405.13
7.82,2.01,4.99,679.37,401.39
8.02,2.04,4.99,806.45,404.17
8.22,2.03,5.02,962.85,402.17
8.42,2.01,4.99,1173.02,401.39
8.62,2.03,5.01,1549.36,402.71
8.82,2.03,5.01,1827.96,402.71
9.02,2.02,4.99,1974.58,402.32
9.22,2.02,4.99,2478.01,402.32
9.42,2.01,4.99,2199.41,401.39
9.62,2.02,4.99,1735.09,402.32
9.82,2.03,5.01,1559.14,402.71
10.02,2.03,4.99,1446.73,403.25
10.22,2.03,5.01,1314.76,402.71
10.42,2.03,4.99,1173.02,403.25
10.62,2.02,4.98,1060.61,402.86
10.82,2.03,5.01,884.65,402.71
11.02,2.02,5.01,703.81,401.78
11.22,2.03,4.99,571.85,403.25
11.42,2.03,5.01,503.42,402.71
11.62,2.01,4.98,454.55,401.94
11.82,2.03,5.01,444.77,402.71
12.02,2.01,4.99,439.88,401.39
12.22,2.02,4.99,459.43,402.32
12.42,2.03,5.01,459.43,402.71
12.62,2.02,4.99,454.55,402.32
12.82,2.03,4.99,474.10,403.25
13.02,2.02,5.01,459.43,401.78
13.22,2.03,4.98,439.88,403.79
13.42,2.02,4.99,420.33,402.32
13.62,2.01,4.98,400.78,401.94
13.82,2.03,4.99,400.78,403.25
14.02,2.02,4.99,391.01,402.32
14.22,2.02,4.99,381.23,402.32
14.42,2.02,5.01,376.34,401.78
14.62,2.03,5.01,361.68,402.71
14.82,2.04,5.01,376.34,403.63
15.02,2.07,5.07,0.00,403.69
15.22,2.08,5.05,0.00,405.67
15.42,2.08,5.07,0.00,404.60
15.62,2.07,5.05,0.00,404.76
15.82,2.03,4.99,371.46,403.25
16.02,2.04,4.99,391.01,404.17
16.22,2.02,4.99,386.12,402.32
16.42,2.04,5.01,381.23,403.63
16.62,2.02,4.99,366.57,402.32
16.82,2.02,4.99,347.02,402.32
17.02,2.01,4.97,351.91,402.48
17.22,2.02,4.99,347.02,402.32
17.42,2.03,5.01,361.68,402.71
17.62,2.03,4.99,366.57,403.25
17.82,2.01,4.98,356.79,401.94
18.02,2.03,5.01,351.91,402.71
18.22,2.01,5.01,342.13,400.86
18.42,2.02,4.99,342.13,402.32
18.62,2.03,5.01,322.58,402.71
18.82,2.03,4.99,312.81,403.25
19.02,2.02,5.01,303.03,401.78
19.22,2.01,4.99,288.37,401.39
19.42,2.03,4.99,298.14,403.25
19.62,2.02,5.01,293.26,401.78
19.82,2.01,4.99,283.48,401.39
20.02,2.03,5.01,293.26,402.71
20.22,2.03,5.01,307.92,402.71
20.42,2.03,4.98,307.92,403.79
20.62,2.03,4.99,298.14,403.25
20.82,2.02,4.99,288.37,402.32
21.02,2.03,4.99,298.14,403.25
21.22,2.02,5.01,303.03,401.78
21.42,2.02,4.99,293.26,402.32
21.62,2.03,5.01,303.03,402.71
21.82,2.02,4.99,307.92,402.32
22.02,2.02,4.99,298.14,402.32
22.22,2.03,5.01,293.26,402.71
22.42,2.01,4.99,303.03,401.39
22.62,2.03,4.99,298.14,403.25
22.82,2.03,5.01,288.37,402.71
23.02,2.03,4.99,288.37,403.25
23.22,2.03,5.01,322.58,402.71
23.42,2.02,5.01,322.58,401.78
23.62,2.03,4.99,317.69,403.25
23.82,2.03,5.01,332.36,402.71
24.02,2.02,4.99,337.24,402.32
24.22,2.03,4.99,356.79,403.25
24.42,2.01,4.99,366.57,401.39
24.62,2.02,5.01,356.79,401.78
24.82,2.04,5.01,337.24,403.63
25.02,2.02,4.99,342.13,402.32
25.22,2.04,5.01,347.02,403.63
25.42,2.03,5.01,342.13,402.71
25.62,2.02,4.99,347.02,402.32
25.82,2.03,5.03,361.68,401.63
26.02,2.03,5.01,366.57,402.71
26.22,2.02,4.99,351.91,402.32
26.42,2.03,5.01,351.91,402.71
26.62,2.01,5.02,322.58,400.32
26.82,2.02,4.99,298.14,402.32
27.02,2.02,4.99,288.37,402.32
27.22,2.03,4.98,303.03,403.79
27.42,2.04,5.01,307.92,403.63
27.62,2.01,4.99,268.82,401.39
27.82,2.02,5.01,259.04,401.78
28.02,2.02,5.01,249.27,401.78
28.22,2.01,4.99,244.38,401.39
28.42,2.02,4.99,239.49,402.32
28.62,2.03,5.05,244.38,401.10
28.82,2.03,4.99,273.70,403.25
29.02,2.03,4.99,263.93,403.25
29.22,2.02,5.01,263.93,401.78
29.42,2.04,4.99,278.59,404.17
29.62,2.02,5.02,273.70,401.25
29.82,2.01,4.99,268.82,401.39
30.02,2.02,4.99,273.70,402.32
30.22,2.01,4.99,259.04,401.39
30.42,2.03,4.99,273.70,403.25
30.62,2.03,5.01,268.82,402.71
30.82,2.02,4.99,254.15,402.32
31.02,2.03,5.01,268.82,402.71
31.22,2.03,5.01,268.82,402.71
31.42,2.04,4.99,268.82,404.17
31.62,2.04,5.01,273.70,403.63
31.82,2.00,4.97,273.70,401.55
32.02,2.04,4.99,278.59,404.17
32.22,2.03,4.98,273.70,403.79
32.42,2.02,5.01,273.70,401.78
32.62,2.02,4.97,278.59,403.41
32.82,2.03,4.99,273.70,403.25
33.02,2.02,4.99,283.48,402.32
33.22,2.04,5.01,249.27,403.63
33.42,2.03,4.98,254.15,403.79
33.62,2.03,5.01,263.93,402.71
33.82,2.02,4.99,254.15,402.32
34.02,2.04,4.99,278.59,404.17
34.22,2.03,5.01,298.14,402.71
34.42,2.02,5.01,259.04,401.78
34.62,2.04,5.01,278.59,403.63
34.82,2.03,4.99,298.14,403.25
35.02,2.01,4.98,307.92,401.94
35.22,2.02,4.98,307.92,402.86
35.42,2.04,5.01,278.59,403.63
35.62,2.03,4.99,273.70,403.25
35.82,2.03,5.01,278.59,402.71
36.02,2.01,4.99,273.70,401.39
36.22,2.03,5.02,283.48,402.17
36.42,2.02,5.01,293.26,401.78
36.62,2.02,4.99,283.48,402.32
36.82,2.03,4.99,288.37,403.25
37.02,2.03,4.99,278.59,403.25
37.22,2.03,4.99,268.82,403.25
37.42,2.03,5.03,298.14,401.63
37.62,2.01,4.98,273.70,401.94
37.82,2.03,4.99,278.59,403.25
38.02,2.01,4.98,268.82,401.94
38.22,2.02,4.99,259.04,402.32
38.42,2.03,4.99,259.04,403.25
38.62,2.02,4.99,244.38,402.32
38.82,2.01,5.02,273.70,400.32
39.02,2.03,5.01,278.59,402.71
39.22,2.02,4.99,268.82,402.32
39.42,2.02,5.01,249.27,401.78
39.62,2.03,5.01,268.82,402.71
39.82,2.03,4.99,263.93,403.25
40.02,2.03,5.01,278.59,402.71
40.22,2.03,5.01,268.82,402.71
40.42,2.02,5.01,254.15,401.78
40.62,2.03,5.01,239.49,402.71
40.82,2.02,5.02,263.93,401.25
41.02,2.03,4.98,244.38,403.79
41.22,2.03,4.99,249.27,403.25
41.42,2.03,4.99,254.15,403.25
41.62,2.03,4.99,268.82,403.25
41.82,2.03,5.01,229.72,402.71
42.02,2.02,4.99,244.38,402.32
42.22,2.04,5.01,254.15,403.63
