# material: Nylon PA6
# geometry: 7ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 170*
# drawdown_ratio: 50.0
# trial_number: 008
# operator: Ahmed_Akila
# start_time: 2026-02-06 10:18:37
# notes: Strating at a temperature of 170 read by the thermocouple; depending on the draw; the temperautre will be increased.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,4.99,205.28,401.39
1.42,2.04,4.99,190.62,404.17
1.62,2.03,4.99,244.38,403.25
1.82,2.03,4.99,410.56,403.25
2.02,2.03,4.98,640.27,403.79
2.22,2.04,5.01,420.33,403.63
2.42,2.02,4.99,332.36,402.32
2.62,2.03,4.99,273.70,403.25
2.82,2.03,5.01,278.59,402.71
3.02,2.02,5.01,234.60,401.78
3.22,2.02,5.01,293.26,401.78
3.42,2.04,5.01,210.17,403.63
3.62,2.09,5.06,0.00,406.04
3.82,2.02,4.99,229.72,402.32
4.02,2.04,4.99,175.95,404.17
4.22,2.03,4.99,156.40,403.25
4.42,2.03,4.99,151.52,403.25
4.62,2.04,4.99,361.68,404.17
4.82,2.02,4.98,161.29,402.86
5.02,2.03,4.99,171.07,403.25
5.22,2.03,4.99,215.05,403.25
5.42,2.02,4.98,175.95,402.86
5.62,2.01,4.99,180.84,401.39
5.82,2.09,5.06,0.00,406.04
6.02,2.03,4.99,161.29,403.25
6.22,2.02,4.99,200.39,402.32
6.42,2.03,4.99,239.49,403.25
6.62,2.03,4.99,298.14,403.25
6.82,2.04,4.99,273.70,404.17
7.02,2.03,5.01,210.17,402.71
7.22,2.01,4.99,254.15,401.39
7.42,2.03,4.99,229.72,403.25
7.62,2.03,5.01,376.34,402.71
7.82,2.04,5.01,395.89,403.63
8.02,2.01,4.98,171.07,401.94
8.22,2.03,5.02,219.94,402.17
8.42,2.07,5.05,0.00,404.76
8.62,2.08,5.05,0.00,405.67
8.82,2.08,5.06,0.00,405.13
9.02,2.09,5.07,0.00,405.50
9.22,2.08,5.05,0.00,405.67
9.42,2.08,5.06,0.00,405.13
9.62,2.09,5.06,0.00,406.04
9.82,2.08,5.06,0.00,405.13
10.02,2.09,5.06,0.00,406.04
10.22,2.09,5.06,0.00,406.04
10.42,2.03,4.99,219.94,403.25
10.62,2.08,5.05,0.00,405.67
10.82,2.03,4.99,185.73,403.25
11.02,2.09,5.06,0.00,406.04
11.22,2.04,5.01,166.18,403.63
11.42,2.02,5.01,175.95,401.78
11.62,2.03,4.99,195.50,403.25
11.82,2.08,5.06,0.00,405.13
12.02,2.09,5.07,0.00,405.50
12.22,2.07,5.05,0.00,404.76
12.42,2.09,5.06,0.00,406.04
12.62,2.09,5.06,0.00,406.04
12.82,2.08,5.05,0.00,405.67
13.02,2.09,5.06,0.00,406.04
13.22,2.09,5.06,0.00,406.04
13.42,2.09,5.06,0.00,406.04
13.62,2.09,5.06,0.00,406.04
13.82,2.07,5.06,0.00,404.22
14.02,2.08,5.06,0.00,405.13
14.22,2.09,5.06,0.00,406.04
14.42,2.07,5.06,0.00,404.22
14.62,2.08,5.05,0.00,405.67
14.82,2.09,5.06,0.00,406.95
15.02,2.07,5.05,0.00,404.76
15.22,2.08,5.05,0.00,405.67
15.42,2.09,5.06,0.00,406.95
15.62,2.07,5.05,0.00,404.76
15.82,2.08,5.06,0.00,405.13
16.02,2.09,5.07,0.00,405.50
16.22,2.07,5.06,0.00,404.22
16.42,2.08,5.05,0.00,405.67
16.62,2.09,5.06,0.00,406.04
16.82,2.07,5.07,0.00,403.69
17.02,2.09,5.06,0.00,406.04
17.22,2.09,5.06,0.00,406.04
17.42,2.07,5.05,0.00,404.76
17.62,2.09,5.09,0.00,405.87
17.82,2.09,5.09,0.00,405.87
18.02,2.07,5.05,0.00,404.76
18.22,2.08,5.06,0.00,405.13
18.42,2.02,4.99,161.29,402.32
18.62,2.07,5.06,0.00,404.22
18.82,2.09,5.07,0.00,406.41
19.02,2.07,5.06,0.00,404.22
19.22,2.08,5.06,0.00,405.13
19.42,2.09,5.03,0.00,407.12
19.62,2.09,5.06,0.00,406.04
19.82,2.08,5.05,0.00,405.67
20.02,2.09,5.06,0.00,406.04
20.22,2.09,5.06,0.00,406.04
20.42,2.07,5.05,0.00,404.76
20.62,2.09,5.06,0.00,406.04
20.82,2.09,5.06,0.00,406.04
21.02,2.07,5.06,0.00,404.22
21.22,2.03,5.01,205.28,402.71
21.42,2.07,5.05,0.00,404.76
21.62,2.08,5.06,0.00,405.13
21.82,2.03,4.99,151.52,403.25
22.02,2.09,5.06,0.00,406.04
22.22,2.07,5.06,0.00,404.22
22.42,2.09,5.06,0.00,406.04
22.62,2.03,5.01,351.91,402.71
22.82,2.02,4.99,444.77,402.32
23.02,2.03,4.99,410.56,403.25
23.22,2.03,4.99,322.58,403.25
23.42,2.03,5.01,381.23,402.71
23.62,2.03,4.99,239.49,403.25
23.82,2.03,4.99,288.37,403.25
24.02,2.02,4.99,156.40,402.32
24.22,2.03,4.99,210.17,403.25
24.42,2.03,4.98,166.18,403.79
24.62,2.01,4.99,273.70,401.39
24.82,2.04,4.99,190.62,404.17
