# material: Nylon PA6
# geometry: Solid Cylinder 
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 000
# operator: Ahmed
# start_time: 2026-05-23 16:03:41
# notes: With sealing the second heating element 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.15,2.99,146.63,391.22
1.42,1.16,2.98,122.19,395.27
1.62,1.16,2.99,146.63,394.38
1.82,1.15,2.99,131.96,392.80
2.02,1.15,2.99,141.74,392.80
2.22,1.14,2.98,136.85,390.50
2.42,1.15,2.99,151.52,392.80
2.62,1.16,2.98,136.85,395.27
2.82,1.16,3.02,151.52,392.63
3.02,1.15,2.98,141.74,392.10
3.22,1.16,3.01,141.74,393.50
3.42,1.15,2.99,141.74,391.22
3.62,1.15,3.01,151.52,391.92
3.82,1.15,2.99,136.85,391.22
4.02,1.16,3.02,156.40,392.63
4.22,1.15,3.01,146.63,391.92
4.42,1.16,2.99,161.29,394.38
4.62,1.13,2.98,141.74,388.89
4.82,1.15,3.01,136.85,391.92
5.02,1.14,2.98,141.74,390.50
5.22,1.15,3.01,141.74,390.34
5.42,1.16,2.99,151.52,394.38
5.62,1.15,3.01,127.08,390.34
5.82,1.15,2.99,151.52,392.80
6.02,1.15,2.98,136.85,392.10
6.22,1.15,2.98,166.18,393.69
6.42,1.15,2.99,156.40,391.22
6.62,1.16,2.99,151.52,394.38
6.82,1.15,3.01,146.63,391.92
7.02,1.17,2.98,166.18,396.85
7.22,1.15,3.01,161.29,390.34
7.42,1.15,2.99,156.40,392.80
7.62,1.15,2.99,156.40,391.22
7.82,1.15,2.99,175.95,392.80
8.02,1.15,2.98,166.18,393.69
8.22,1.15,2.99,166.18,392.80
8.42,1.15,3.01,156.40,391.92
8.62,1.15,3.01,156.40,390.34
8.82,1.15,3.01,171.07,391.92
9.02,1.15,2.98,185.73,393.69
9.22,1.14,3.01,171.07,388.75
9.42,1.16,2.99,171.07,394.38
9.62,1.14,2.98,156.40,390.50
9.82,1.16,2.99,185.73,394.38
10.02,1.15,2.98,156.40,392.10
10.22,1.15,2.99,171.07,392.80
10.42,1.15,2.98,171.07,393.69
10.62,1.16,2.99,175.95,394.38
10.82,1.15,3.01,156.40,391.92
11.02,1.17,2.99,166.18,395.96
11.22,1.14,2.98,171.07,390.50
11.42,1.15,3.01,175.95,391.92
11.62,1.16,2.97,175.95,396.16
