# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 050
# operator: Akila_Ahmed
# start_time: 2026-05-22 11:23:06
# notes: Feed and Draw speed set to 1.2 mm per min and 3.0 m per min. 0.3 Layer Thickness. Experiment for Micromachines paper
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.14,2.91,566.96,394.97
1.42,1.11,2.87,547.41,392.81
1.62,1.14,2.90,542.52,395.89
1.82,1.14,2.91,527.86,394.97
2.02,1.12,2.89,532.75,393.54
2.22,1.14,2.90,571.85,395.89
2.42,1.13,2.89,522.97,395.18
2.62,1.13,2.86,527.86,397.03
2.82,1.13,2.90,552.30,394.26
3.02,1.12,2.87,557.18,394.46
3.22,1.14,2.89,576.74,396.80
3.42,1.12,2.90,581.62,392.63
3.62,1.12,2.90,610.95,392.63
3.82,1.14,2.90,610.95,395.89
4.02,1.13,2.90,615.84,394.26
4.22,1.12,2.89,625.61,393.54
4.42,1.14,2.90,645.16,395.89
4.62,1.11,2.93,630.50,389.19
4.82,1.13,2.89,654.94,395.18
5.02,1.14,2.86,645.16,398.66
5.22,1.12,2.89,640.27,393.54
5.42,1.14,2.90,625.61,395.89
5.62,1.14,2.90,620.72,395.89
5.82,1.11,2.87,581.62,392.81
6.02,1.12,2.91,591.40,391.72
6.22,1.14,2.90,557.18,395.89
6.42,1.13,2.89,552.30,395.18
6.62,1.12,2.90,562.07,392.63
6.82,1.12,2.89,552.30,393.54
7.02,1.14,2.89,566.96,396.80
7.22,1.14,2.89,566.96,396.80
7.42,1.12,2.87,557.18,394.46
7.62,1.14,2.90,547.41,395.89
7.82,1.12,2.87,552.30,394.46
8.02,1.13,2.90,547.41,394.26
8.22,1.14,2.90,532.75,395.89
8.42,1.12,2.90,532.75,392.63
8.62,1.14,2.90,542.52,395.89
8.82,1.12,2.90,513.20,392.63
9.02,1.15,2.90,532.75,397.50
9.22,1.14,2.90,532.75,395.89
9.42,1.14,2.89,518.08,396.80
9.62,1.13,2.90,513.20,394.26
9.82,1.14,2.89,518.08,396.80
10.02,1.13,2.91,532.75,393.35
10.22,1.13,2.89,513.20,395.18
10.42,1.11,2.91,508.31,390.09
10.62,1.13,2.91,498.53,393.35
10.82,1.14,2.90,508.31,395.89
11.02,1.12,2.89,498.53,393.54
11.22,1.13,2.90,513.20,394.26
11.42,1.15,2.89,513.20,398.43
11.62,1.12,2.89,508.31,393.54
11.82,1.14,2.89,493.65,396.80
12.02,1.12,2.89,478.98,393.54
12.22,1.13,2.89,474.10,395.18
12.42,1.12,2.90,464.32,392.63
12.62,1.13,2.90,454.55,394.26
12.82,1.14,2.89,459.43,396.80
13.02,1.12,2.91,449.66,391.72
13.22,1.11,2.90,444.77,390.99
13.42,1.14,2.89,454.55,396.80
13.62,1.14,2.87,454.55,397.73
13.82,1.14,2.90,444.77,395.89
14.02,1.14,2.89,454.55,396.80
14.22,1.13,2.89,459.43,395.18
14.42,1.13,2.90,449.66,394.26
14.62,1.14,2.91,430.11,394.97
14.82,1.14,2.90,425.22,395.89
15.02,1.12,2.91,405.67,391.72
15.22,1.12,2.89,405.67,393.54
15.42,1.13,2.89,410.56,395.18
15.62,1.12,2.90,400.78,392.63
15.82,1.13,2.89,405.67,395.18
16.02,1.13,2.89,405.67,395.18
16.22,1.12,2.87,405.67,394.46
16.42,1.14,2.87,410.56,397.73
16.62,1.14,2.89,425.22,396.80
16.82,1.14,2.90,410.56,395.89
17.02,1.14,2.90,439.88,395.89
17.22,1.12,2.89,444.77,393.54
17.42,1.15,2.87,483.87,399.36
17.62,1.13,2.89,488.76,395.18
17.82,1.13,2.89,488.76,395.18
18.02,1.14,2.89,503.42,396.80
18.22,1.12,2.87,478.98,394.46
18.42,1.13,2.90,469.21,394.26
18.62,1.14,2.90,464.32,395.89
18.82,1.14,2.90,454.55,395.89
19.02,1.13,2.93,478.98,392.45
19.22,1.13,2.89,498.53,395.18
19.42,1.13,2.90,503.42,394.26
19.62,1.13,2.91,488.76,393.35
19.82,1.13,2.87,410.56,396.10
20.02,1.14,2.89,405.67,396.80
20.22,1.14,2.89,395.89,396.80
20.42,1.13,2.90,371.46,394.26
20.62,1.14,2.90,371.46,395.89
20.82,1.15,2.89,381.23,398.43
21.02,1.11,2.90,371.46,390.99
21.22,1.13,2.87,381.23,396.10
21.42,1.14,2.89,386.12,396.80
21.62,1.12,2.91,371.46,391.72
21.82,1.13,2.87,381.23,396.10
22.02,1.15,2.91,391.01,396.59
22.22,1.13,2.87,381.23,396.10
