# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 050_1
# operator: Ahmed
# start_time: 2026-05-23 14:47:44
# notes: Second test of 0.3 mm on 23rd May 2026
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.15,2.98,420.33,392.10
1.42,1.15,2.99,415.44,392.80
1.62,1.15,3.01,400.78,390.34
1.82,1.16,2.98,395.89,395.27
2.02,1.15,2.99,415.44,391.22
2.22,1.15,2.99,410.56,391.22
2.42,1.15,2.99,400.78,391.22
2.62,1.16,2.99,386.12,394.38
2.82,1.16,2.99,376.34,394.38
3.02,1.15,2.98,351.91,392.10
3.22,1.16,3.01,347.02,393.50
3.42,1.16,2.97,361.68,396.16
3.62,1.16,2.99,351.91,394.38
3.82,1.15,2.98,337.24,392.10
4.02,1.15,3.01,351.91,390.34
4.22,1.15,3.01,347.02,391.92
4.42,1.15,2.99,342.13,392.80
4.62,1.15,2.98,351.91,393.69
4.82,1.16,2.99,371.46,394.38
5.02,1.16,2.98,361.68,395.27
5.22,1.15,2.98,366.57,393.69
5.42,1.15,2.99,361.68,391.22
5.62,1.16,2.98,361.68,395.27
5.82,1.15,2.99,376.34,391.22
6.02,1.14,2.99,366.57,389.62
6.22,1.15,2.99,386.12,392.80
6.42,1.14,2.98,371.46,390.50
6.62,1.16,3.01,381.23,393.50
6.82,1.15,2.98,351.91,393.69
7.02,1.16,2.99,347.02,394.38
7.22,1.16,3.01,347.02,393.50
7.42,1.15,2.99,356.79,392.80
7.62,1.16,2.99,361.68,394.38
7.82,1.15,2.98,371.46,393.69
8.02,1.14,2.98,366.57,390.50
8.22,1.14,2.99,356.79,389.62
8.42,1.16,2.99,356.79,394.38
8.62,1.15,2.98,361.68,393.69
8.82,1.16,2.98,366.57,395.27
9.02,1.14,3.01,351.91,388.75
9.22,1.16,2.99,347.02,394.38
9.42,1.16,2.98,351.91,395.27
9.62,1.16,3.01,361.68,393.50
9.82,1.15,3.01,356.79,390.34
10.02,1.16,2.99,347.02,394.38
10.22,1.15,2.98,347.02,392.10
10.42,1.15,3.01,347.02,391.92
10.62,1.16,3.01,351.91,393.50
10.82,1.15,2.97,347.02,394.58
11.02,1.16,3.01,332.36,393.50
11.22,1.16,3.01,322.58,393.50
11.42,1.15,2.99,327.47,391.22
11.62,1.15,2.98,317.69,392.10
11.82,1.16,2.99,327.47,394.38
12.02,1.15,3.01,317.69,391.92
12.22,1.16,2.99,342.13,394.38
12.42,1.14,2.97,337.24,391.38
12.62,1.16,3.02,347.02,392.63
12.82,1.14,2.98,332.36,390.50
13.02,1.15,3.01,342.13,390.34
13.22,1.16,3.01,327.47,393.50
13.42,1.15,2.99,351.91,392.80
13.62,1.13,3.01,347.02,387.15
13.82,1.15,2.99,347.02,392.80
14.02,1.15,2.99,347.02,391.22
14.22,1.15,2.98,351.91,393.69
14.42,1.15,3.01,347.02,391.92
14.62,1.16,2.98,342.13,395.27
14.82,1.16,3.01,351.91,393.50
15.02,1.16,2.99,327.47,394.38
