# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 050_7
# operator: Akila_Ahmed
# start_time: 2026-06-02 13:59:10
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. 0.3 mm Layer Thickness Experiment.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.26,3.06,0.00,405.34
1.42,1.24,3.07,0.00,401.44
1.62,1.23,3.03,0.00,402.58
1.82,1.24,3.06,0.00,402.32
2.02,1.25,3.05,0.00,404.72
2.22,1.27,3.05,0.00,407.73
2.42,1.25,3.05,0.00,404.72
2.62,1.26,3.06,0.00,405.34
2.82,1.23,3.03,0.00,402.58
3.02,1.27,3.06,0.00,406.83
3.22,1.24,3.03,0.00,404.10
3.42,1.24,3.06,0.00,402.32
3.62,1.25,3.03,0.00,405.62
3.82,1.26,3.03,0.00,407.13
4.02,1.24,3.05,0.00,403.21
4.22,1.26,3.09,0.00,403.57
4.42,1.25,3.05,0.00,404.72
4.62,1.26,3.05,0.00,406.23
4.82,1.26,3.05,0.00,406.23
5.02,1.26,3.07,0.00,404.45
5.22,1.27,3.05,0.00,407.73
5.42,1.26,3.06,0.00,405.34
5.62,1.23,3.03,0.00,402.58
5.82,1.26,3.06,0.00,405.34
6.02,1.25,3.03,0.00,405.62
6.22,1.26,3.07,0.00,404.45
6.42,1.24,3.03,0.00,404.10
6.62,1.26,3.05,0.00,406.23
6.82,1.24,3.06,0.00,402.32
7.02,1.26,3.06,0.00,405.34
7.22,1.26,3.03,0.00,407.13
7.42,1.24,3.06,0.00,402.32
7.62,1.26,3.05,0.00,406.23
7.82,1.26,3.05,0.00,406.23
8.02,1.25,3.05,0.00,404.72
8.22,1.26,3.06,0.00,405.34
8.42,1.24,3.03,0.00,404.10
8.62,1.26,3.05,0.00,406.23
8.82,1.24,3.05,0.00,403.21
9.02,1.24,3.06,0.00,402.32
9.22,1.25,3.01,0.00,407.42
9.42,1.26,3.06,0.00,405.34
9.62,1.24,3.06,0.00,402.32
9.82,1.26,3.06,0.00,405.34
10.02,1.24,3.03,0.00,404.10
10.22,1.26,3.05,0.00,406.23
10.42,1.24,3.03,0.00,404.10
10.62,1.26,3.06,0.00,405.34
10.82,1.26,3.06,0.00,405.34
11.02,1.26,3.05,0.00,406.23
11.22,1.26,3.06,0.00,405.34
11.42,1.25,3.05,0.00,404.72
11.62,1.23,3.05,0.00,401.69
11.82,1.25,3.05,0.00,404.72
12.02,1.27,3.07,0.00,405.95
12.22,1.26,3.03,0.00,407.13
12.42,1.25,3.05,0.00,404.72
12.62,1.25,3.05,0.00,404.72
12.82,1.25,3.07,0.00,402.95
13.02,1.26,3.05,0.00,406.23
13.22,1.19,2.99,298.14,399.09
13.42,1.19,2.99,283.48,399.09
13.62,1.19,2.97,259.04,400.89
13.82,1.19,2.97,249.27,400.89
14.02,1.20,2.99,293.26,400.64
14.22,1.19,2.98,307.92,399.99
14.42,1.20,2.99,288.37,400.64
14.62,1.21,2.98,273.70,403.10
14.82,1.20,2.99,263.93,400.64
15.02,1.19,2.98,249.27,399.99
15.22,1.20,2.98,263.93,401.55
15.42,1.19,2.97,254.15,400.89
15.62,1.20,2.98,273.70,401.55
15.82,1.20,2.95,288.37,403.37
16.02,1.20,2.99,283.48,400.64
16.22,1.19,2.99,283.48,399.09
16.42,1.19,2.97,283.48,400.89
16.62,1.20,2.99,273.70,400.64
16.82,1.19,2.98,288.37,399.99
17.02,1.21,2.99,303.03,402.19
17.22,1.17,2.97,298.14,397.75
17.42,1.21,2.99,293.26,402.19
17.62,1.20,2.97,283.48,402.45
17.82,1.18,2.99,268.82,397.53
18.02,1.18,2.97,254.15,399.32
18.22,1.19,2.98,283.48,399.99
18.42,1.20,2.98,273.70,401.55
18.62,1.20,2.99,288.37,400.64
18.82,1.19,2.99,293.26,399.09
19.02,1.19,2.95,273.70,401.80
19.22,1.17,2.97,283.48,397.75
19.42,1.19,2.98,283.48,399.99
19.62,1.21,2.98,278.59,403.10
19.82,1.19,2.98,249.27,399.99
20.02,1.20,2.98,249.27,401.55
20.22,1.19,2.97,249.27,400.89
20.42,1.18,2.99,244.38,397.53
20.62,1.20,2.98,268.82,401.55
20.82,1.20,2.98,268.82,401.55
21.02,1.17,2.99,254.15,395.96
21.22,1.20,2.98,244.38,401.55
21.42,1.19,2.97,259.04,400.89
21.62,1.20,2.98,273.70,401.55
21.82,1.17,2.97,273.70,397.75
22.02,1.20,2.98,293.26,401.55
22.22,1.18,2.97,298.14,399.32
22.42,1.20,2.98,298.14,401.55
22.62,1.19,2.98,283.48,399.99
22.82,1.21,2.97,288.37,404.01
23.02,1.19,2.98,288.37,399.99
23.22,1.20,2.97,283.48,402.45
23.42,1.20,2.98,278.59,401.55
23.62,1.19,2.95,268.82,401.80
23.82,1.20,2.98,278.59,401.55
24.02,1.17,2.97,303.03,397.75
24.22,1.17,3.01,337.24,395.07
24.42,1.18,2.97,327.47,399.32
24.62,1.20,2.98,322.58,401.55
24.82,1.19,2.98,278.59,399.99
25.02,1.19,2.98,263.93,399.99
25.22,1.19,2.98,263.93,399.99
25.42,1.19,2.99,268.82,399.09
25.62,1.20,2.99,283.48,400.64
25.82,1.20,2.95,273.70,403.37
26.02,1.19,2.98,283.48,399.99
26.22,1.17,2.97,259.04,397.75
26.42,1.20,2.99,278.59,400.64
26.62,1.19,2.97,273.70,400.89
26.82,1.20,2.97,283.48,402.45
27.02,1.20,2.97,293.26,402.45
27.22,1.20,2.98,273.70,401.55
