# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 051_2
# operator: Akila_Ahmed
# start_time: 2026-05-25 11:32:53
# notes: Feed and draw speed set to 1.2 mm per min and 3.0 m per min. 0.2 Layer Thickness experiment.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,2.98,332.36,403.10
1.42,1.21,2.99,342.13,402.19
1.62,1.19,3.01,322.58,398.20
1.82,1.21,2.99,322.58,402.19
2.02,1.19,3.01,322.58,398.20
2.22,1.19,2.99,317.69,399.09
2.42,1.18,2.99,332.36,397.53
2.62,1.20,2.95,337.24,403.37
2.82,1.21,2.98,337.24,403.10
3.02,1.20,2.99,322.58,400.64
3.22,1.22,2.99,327.47,403.74
3.42,1.21,2.97,337.24,404.01
3.62,1.21,2.98,327.47,403.10
3.82,1.19,2.98,322.58,399.99
4.02,1.21,2.99,342.13,402.19
4.22,1.19,2.99,337.24,399.09
4.42,1.22,2.99,347.02,403.74
4.62,1.21,2.98,347.02,403.10
4.82,1.20,2.99,366.57,400.64
5.02,1.21,3.01,351.91,401.29
5.22,1.21,2.99,332.36,402.19
5.42,1.19,2.99,332.36,399.09
5.62,1.19,2.98,322.58,399.99
5.82,1.20,2.99,337.24,400.64
6.02,1.20,2.99,322.58,400.64
6.22,1.22,2.99,332.36,403.74
6.42,1.19,2.98,312.81,399.99
6.62,1.21,2.99,327.47,402.19
6.82,1.20,2.98,312.81,401.55
7.02,1.20,2.97,303.03,402.45
7.22,1.21,2.99,293.26,402.19
7.42,1.20,2.98,298.14,401.55
7.62,1.20,2.99,317.69,400.64
7.82,1.20,2.97,303.03,402.45
8.02,1.22,2.98,322.58,404.65
8.22,1.20,2.97,298.14,402.45
8.42,1.20,2.99,317.69,400.64
8.62,1.19,2.98,317.69,399.99
8.82,1.20,2.98,312.81,401.55
9.02,1.21,2.99,307.92,402.19
9.22,1.22,2.97,317.69,405.56
9.42,1.21,2.99,307.92,402.19
9.62,1.18,2.97,327.47,399.32
9.82,1.18,2.99,347.02,397.53
10.02,1.21,2.97,332.36,404.01
10.22,1.21,2.99,332.36,402.19
10.42,1.19,2.97,312.81,400.89
10.62,1.20,2.93,322.58,405.21
10.82,1.21,2.97,337.24,404.01
11.02,1.21,2.99,332.36,402.19
11.22,1.19,2.99,342.13,399.09
11.42,1.21,2.98,356.79,403.10
11.62,1.18,2.99,366.57,397.53
11.82,1.20,2.99,376.34,400.64
12.02,1.19,3.01,386.12,398.20
12.22,1.19,2.97,366.57,400.89
12.42,1.21,2.98,347.02,403.10
12.62,1.19,2.99,327.47,399.09
12.82,1.21,2.98,332.36,403.10
13.02,1.19,2.94,317.69,402.72
13.22,1.20,2.98,327.47,401.55
13.42,1.21,3.01,317.69,401.29
13.62,1.22,2.98,317.69,404.65
13.82,1.20,2.99,317.69,400.64
14.02,1.19,2.98,312.81,399.99
14.22,1.21,2.98,342.13,403.10
14.42,1.20,2.97,337.24,402.45
14.62,1.22,2.99,351.91,403.74
14.82,1.19,2.99,337.24,399.09
15.02,1.18,2.97,356.79,399.32
15.22,1.20,2.99,351.91,400.64
15.42,1.22,2.99,361.68,403.74
15.62,1.19,2.99,347.02,399.09
15.82,1.21,2.97,361.68,404.01
16.02,1.21,3.01,347.02,401.29
16.22,1.20,2.98,342.13,401.55
16.42,1.22,2.99,332.36,403.74
16.62,1.19,2.99,337.24,399.09
16.82,1.21,2.99,332.36,402.19
17.02,1.20,2.98,317.69,401.55
17.22,1.22,2.98,327.47,404.65
