# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 052-1
# operator: Ahmed
# start_time: 2026-05-23 13:05:32
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.15,2.99,327.47,392.80
1.42,1.15,2.99,322.58,392.80
1.62,1.16,3.01,312.81,393.50
1.82,1.15,2.98,307.92,393.69
2.02,1.16,2.99,312.81,394.38
2.22,1.14,2.98,337.24,390.50
2.42,1.15,2.97,337.24,394.58
2.62,1.14,2.99,337.24,389.62
2.82,1.15,2.97,342.13,394.58
3.02,1.15,2.98,337.24,393.69
3.22,1.15,2.97,347.02,394.58
3.42,1.15,2.97,327.47,392.98
3.62,1.16,2.99,337.24,394.38
3.82,1.15,2.99,332.36,391.22
4.02,1.15,2.98,332.36,392.10
4.22,1.15,2.99,347.02,392.80
4.42,1.15,2.98,347.02,393.69
4.62,1.15,2.97,366.57,392.98
4.82,1.16,2.99,381.23,394.38
5.02,1.15,2.99,376.34,391.22
5.22,1.15,2.97,395.89,394.58
5.42,1.16,2.98,400.78,395.27
5.62,1.16,2.99,386.12,394.38
5.82,1.15,2.97,366.57,394.58
6.02,1.16,2.99,351.91,394.38
6.22,1.16,3.01,361.68,393.50
6.42,1.16,2.99,361.68,394.38
6.62,1.15,2.99,371.46,391.22
6.82,1.16,2.99,366.57,394.38
7.02,1.16,2.99,371.46,394.38
7.22,1.16,2.98,376.34,395.27
7.42,1.15,3.01,361.68,390.34
7.62,1.15,2.98,381.23,393.69
7.82,1.16,2.99,386.12,394.38
8.02,1.15,2.99,361.68,392.80
8.22,1.14,2.97,381.23,391.38
8.42,1.15,2.99,381.23,392.80
8.62,1.15,2.98,391.01,392.10
8.82,1.15,2.99,381.23,391.22
9.02,1.15,2.99,391.01,392.80
9.22,1.14,2.99,376.34,389.62
9.42,1.15,2.98,376.34,393.69
9.62,1.16,2.98,376.34,395.27
9.82,1.15,2.99,361.68,392.80
10.02,1.15,2.97,351.91,394.58
10.22,1.16,3.01,361.68,393.50
10.42,1.14,2.97,356.79,391.38
10.62,1.16,2.98,337.24,395.27
10.82,1.16,2.98,327.47,395.27
11.02,1.15,2.97,322.58,392.98
11.22,1.15,2.99,317.69,391.22
11.42,1.15,2.98,317.69,392.10
11.62,1.15,2.98,322.58,393.69
11.82,1.16,2.99,332.36,394.38
12.02,1.14,2.98,332.36,390.50
12.22,1.15,2.98,356.79,393.69
12.42,1.16,2.99,347.02,394.38
12.62,1.16,2.98,366.57,395.27
12.82,1.15,2.95,351.91,395.47
13.02,1.15,2.99,356.79,391.22
13.22,1.16,2.99,361.68,394.38
13.42,1.15,2.99,376.34,391.22
13.62,1.15,2.99,386.12,392.80
13.82,1.14,3.01,361.68,388.75
14.02,1.13,2.99,366.57,388.02
14.22,1.16,2.99,356.79,394.38
14.42,1.15,2.98,347.02,392.10
14.62,1.15,2.99,356.79,392.80
14.82,1.16,2.98,361.68,395.27
15.02,1.15,3.01,361.68,391.92
15.22,1.15,2.98,351.91,393.69
15.42,1.16,2.99,342.13,394.38
15.62,1.15,2.98,347.02,392.10
15.82,1.15,2.99,347.02,392.80
16.02,1.15,2.99,322.58,391.22
16.22,1.14,2.98,327.47,390.50
16.42,1.15,2.98,327.47,393.69
16.62,1.16,2.99,327.47,394.38
16.82,1.14,2.98,337.24,390.50
17.02,1.15,2.99,332.36,392.80
17.22,1.16,2.99,327.47,394.38
17.42,1.15,2.97,342.13,392.98
17.62,1.15,2.99,347.02,392.80
17.82,1.16,2.99,347.02,394.38
18.02,1.15,2.98,347.02,393.69
18.22,1.16,2.99,342.13,394.38
18.42,1.15,2.98,332.36,392.10
18.62,1.14,2.97,337.24,391.38
18.82,1.15,2.99,337.24,392.80
19.02,1.16,2.99,337.24,394.38
19.22,1.15,2.98,317.69,393.69
19.42,1.15,2.99,322.58,392.80
19.62,1.16,2.99,312.81,394.38
19.82,1.16,2.99,322.58,394.38
