# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 052
# operator: Ahmed
# start_time: 2026-05-23 12:25:41
# notes: none
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.15,2.99,371.46,392.80
1.42,1.15,2.99,361.68,392.80
1.62,1.15,2.98,376.34,392.10
1.82,1.15,2.99,376.34,392.80
2.02,1.15,2.99,356.79,391.22
2.22,1.15,2.98,342.13,392.10
2.42,1.14,2.99,342.13,389.62
2.62,1.15,2.99,337.24,391.22
2.82,1.14,2.98,337.24,390.50
3.02,1.14,2.99,312.81,389.62
3.22,1.16,3.02,307.92,392.63
3.42,1.15,2.99,312.81,391.22
3.62,1.15,3.01,317.69,390.34
3.82,1.15,2.99,317.69,392.80
4.02,1.16,3.01,307.92,393.50
4.22,1.15,2.97,303.03,394.58
4.42,1.15,2.99,307.92,391.22
4.62,1.14,3.01,317.69,388.75
4.82,1.15,2.99,337.24,392.80
5.02,1.16,2.97,337.24,396.16
5.22,1.14,2.98,322.58,390.50
5.42,1.15,2.98,322.58,393.69
5.62,1.16,2.99,337.24,394.38
5.82,1.15,2.98,332.36,392.10
6.02,1.15,2.99,347.02,392.80
6.22,1.16,2.99,337.24,394.38
6.42,1.15,2.98,342.13,392.10
6.62,1.16,2.99,361.68,394.38
6.82,1.15,2.99,356.79,392.80
7.02,1.15,3.01,356.79,390.34
7.22,1.15,3.02,342.13,391.05
7.42,1.16,2.99,307.92,394.38
7.62,1.16,2.98,288.37,395.27
7.82,1.15,2.98,273.70,393.69
8.02,1.16,2.99,268.82,394.38
8.22,1.16,2.98,288.37,395.27
8.42,1.15,2.99,278.59,392.80
8.62,1.15,2.99,278.59,392.80
8.82,1.16,2.99,278.59,394.38
9.02,1.14,2.98,288.37,390.50
9.22,1.17,2.99,303.03,395.96
9.42,1.16,3.01,307.92,393.50
9.62,1.14,2.99,317.69,389.62
9.82,1.16,2.99,317.69,394.38
10.02,1.15,2.98,303.03,392.10
10.22,1.15,2.99,312.81,391.22
10.42,1.15,2.99,317.69,392.80
10.62,1.15,2.99,327.47,392.80
10.82,1.15,2.98,298.14,392.10
