# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 052_2
# operator: Akila_Ahmed
# start_time: 2026-05-25 10:14:19
# notes: Feed and draw speeds set to 1.2 mm per min and 3 m per min; 0.1 Layer Thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.15,1.15,2.94,322.58,394.77
1.35,1.12,2.94,278.59,389.93
1.55,1.14,2.90,288.37,395.89
1.75,1.15,2.95,293.26,393.87
1.95,1.13,2.94,278.59,391.55
2.15,1.15,2.94,303.03,396.37
2.35,1.13,2.94,298.14,391.55
2.55,1.15,2.94,298.14,394.77
2.75,1.15,2.94,317.69,394.77
2.95,1.15,2.94,332.36,394.77
3.15,1.13,2.91,317.69,393.35
3.35,1.15,2.94,307.92,394.77
3.55,1.13,2.93,298.14,392.45
3.75,1.12,2.94,298.14,389.93
3.95,1.15,2.94,293.26,394.77
4.15,1.13,2.93,273.70,392.45
4.35,1.14,2.93,268.82,394.06
4.55,1.15,2.97,263.93,392.98
4.75,1.15,2.91,263.93,396.59
4.95,1.15,2.94,249.27,394.77
5.15,1.14,2.94,273.70,393.16
5.35,1.15,2.94,263.93,394.77
5.55,1.15,2.95,259.04,393.87
5.75,1.14,2.95,263.93,392.27
5.95,1.14,2.93,293.26,394.06
6.15,1.15,2.95,298.14,393.87
6.35,1.15,2.95,303.03,395.47
6.55,1.15,2.93,303.03,397.28
6.75,1.15,2.95,317.69,393.87
6.95,1.15,2.95,317.69,395.47
7.15,1.15,2.93,337.24,395.68
7.35,1.15,2.93,332.36,395.68
7.55,1.15,2.97,337.24,392.98
7.75,1.13,2.93,312.81,392.45
7.95,1.15,2.95,317.69,393.87
8.15,1.15,2.95,312.81,395.47
8.35,1.13,2.93,327.47,392.45
8.55,1.15,2.94,307.92,394.77
8.75,1.14,2.90,327.47,395.89
8.95,1.15,2.93,327.47,397.28
9.15,1.15,2.91,332.36,396.59
9.35,1.12,2.95,322.58,389.04
9.55,1.15,2.93,332.36,395.68
9.75,1.15,2.94,342.13,394.77
9.95,1.13,2.93,337.24,392.45
10.15,1.15,2.93,342.13,395.68
10.35,1.15,2.95,347.02,395.47
10.55,1.13,2.93,317.69,392.45
10.75,1.14,2.93,317.69,394.06
10.95,1.15,2.94,303.03,394.77
11.15,1.13,2.94,312.81,391.55
11.35,1.15,2.94,298.14,396.37
