# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 052_3
# operator: Akila_Ahmed
# start_time: 2026-05-25 13:33:04
# notes: Feed and draw speed set to 1.2 mm per min and 3 m per min. 0.1layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,2.98,469.21,401.55
1.42,1.21,2.99,493.65,402.19
1.62,1.19,2.99,483.87,399.09
1.82,1.21,2.97,488.76,404.01
2.02,1.21,2.98,474.10,403.10
2.22,1.20,2.98,464.32,401.55
2.42,1.21,2.99,464.32,402.19
2.62,1.19,2.98,425.22,399.99
2.82,1.21,2.98,425.22,403.10
3.02,1.21,2.99,400.78,402.19
3.22,1.20,2.95,415.44,403.37
3.42,1.21,2.99,410.56,402.19
3.62,1.21,2.98,410.56,403.10
3.82,1.19,2.99,410.56,399.09
4.02,1.21,2.98,410.56,403.10
4.22,1.21,2.99,400.78,402.19
4.42,1.18,3.01,410.56,396.64
4.62,1.20,2.97,415.44,402.45
4.82,1.21,2.98,420.33,403.10
5.02,1.20,2.97,405.67,402.45
5.22,1.22,2.99,391.01,403.74
5.42,1.21,2.97,410.56,404.01
5.62,1.21,2.99,415.44,402.19
5.82,1.18,2.98,391.01,398.42
6.02,1.20,2.99,410.56,400.64
6.22,1.19,2.99,395.89,399.09
6.42,1.20,2.99,410.56,400.64
6.62,1.21,2.98,395.89,403.10
6.82,1.17,2.98,410.56,396.85
7.02,1.19,2.98,425.22,399.99
7.22,1.21,2.97,435.00,404.01
7.42,1.22,2.99,410.56,403.74
7.62,1.20,2.99,405.67,400.64
7.82,1.20,2.99,405.67,400.64
8.02,1.19,2.98,395.89,399.99
8.22,1.20,2.97,381.23,402.45
8.42,1.19,2.98,376.34,399.99
8.62,1.20,2.99,386.12,400.64
8.82,1.21,2.98,391.01,403.10
9.02,1.21,2.98,400.78,403.10
9.22,1.21,2.99,391.01,402.19
9.42,1.20,2.97,386.12,402.45
9.62,1.20,3.01,391.01,399.75
9.82,1.21,2.97,386.12,404.01
10.02,1.21,2.99,386.12,402.19
10.22,1.19,3.01,381.23,398.20
10.42,1.22,2.99,405.67,403.74
10.62,1.19,2.97,405.67,400.89
10.82,1.20,2.98,425.22,401.55
11.02,1.19,2.99,410.56,399.09
11.22,1.20,2.99,430.11,400.64
11.42,1.22,2.99,420.33,403.74
11.62,1.19,2.97,444.77,400.89
11.82,1.18,2.99,454.55,397.53
12.02,1.22,2.97,469.21,405.56
12.22,1.21,2.98,488.76,403.10
12.42,1.19,2.98,469.21,399.99
12.62,1.20,2.97,469.21,402.45
12.82,1.21,2.99,469.21,402.19
13.02,1.22,2.99,444.77,403.74
13.22,1.20,2.99,410.56,400.64
13.42,1.22,2.97,410.56,405.56
13.62,1.20,2.99,395.89,400.64
13.82,1.19,2.99,386.12,399.09
14.02,1.21,2.98,386.12,403.10
14.22,1.19,2.98,371.46,399.99
14.42,1.21,2.99,351.91,402.19
14.62,1.19,2.97,337.24,400.89
14.82,1.21,2.98,351.91,403.10
15.02,1.22,2.98,347.02,404.65
15.22,1.20,2.97,366.57,402.45
15.42,1.21,2.99,351.91,402.19
15.62,1.20,2.98,366.57,401.55
15.82,1.21,2.99,371.46,402.19
16.02,1.19,2.98,356.79,399.99
16.22,1.22,2.99,356.79,403.74
16.42,1.19,2.97,332.36,400.89
16.62,1.21,2.99,327.47,402.19
16.82,1.20,2.99,312.81,400.64
17.02,1.20,2.98,327.47,401.55
17.22,1.22,2.99,322.58,403.74
17.42,1.21,2.99,317.69,402.19
17.62,1.19,2.98,293.26,399.99
17.82,1.20,2.97,298.14,402.45
18.02,1.21,2.99,307.92,402.19
18.22,1.19,2.97,303.03,400.89
18.42,1.20,2.98,337.24,401.55
18.62,1.19,2.98,342.13,399.99
18.82,1.20,2.99,356.79,400.64
19.02,1.19,2.99,351.91,399.09
19.22,1.22,2.97,351.91,405.56
19.42,1.19,2.99,347.02,399.09
19.62,1.18,2.99,361.68,397.53
19.82,1.20,2.99,371.46,400.64
20.02,1.21,2.97,356.79,404.01
20.22,1.22,2.98,371.46,404.65
20.42,1.21,2.95,351.91,404.93
20.62,1.21,2.99,356.79,402.19
20.82,1.21,2.98,303.03,403.10
21.02,1.21,2.98,293.26,403.10
21.22,1.21,2.99,317.69,402.19
21.42,1.20,2.98,327.47,401.55
21.62,1.20,2.99,337.24,400.64
21.82,1.19,2.99,332.36,399.09
22.02,1.21,2.99,342.13,402.19
22.22,1.19,2.97,327.47,400.89
22.42,1.20,2.99,337.24,400.64
22.62,1.21,2.99,332.36,402.19
22.82,1.21,2.98,337.24,403.10
23.02,1.22,2.99,327.47,403.74
23.22,1.21,2.99,347.02,402.19
23.42,1.20,2.99,337.24,400.64
23.62,1.19,2.97,347.02,400.89
23.82,1.21,2.99,342.13,402.19
24.02,1.19,2.97,322.58,400.89
24.22,1.22,2.97,332.36,405.56
24.42,1.21,2.99,332.36,402.19
24.62,1.20,2.97,317.69,402.45
24.82,1.22,2.99,322.58,403.74
25.02,1.22,2.98,312.81,404.65
25.22,1.22,2.98,327.47,404.65
25.42,1.22,2.99,317.69,403.74
25.62,1.20,3.01,332.36,399.75
25.82,1.19,2.98,312.81,399.99
26.02,1.20,3.01,312.81,399.75
26.22,1.20,2.99,312.81,400.64
26.42,1.21,2.97,303.03,404.01
26.62,1.21,2.98,317.69,403.10
26.82,1.21,2.98,322.58,403.10
27.02,1.20,2.99,322.58,400.64
27.22,1.19,2.97,298.14,400.89
27.42,1.21,2.99,307.92,402.19
27.62,1.20,2.98,317.69,401.55
27.82,1.21,2.99,337.24,402.19
28.02,1.21,2.99,342.13,402.19
28.22,1.21,2.97,351.91,404.01
28.42,1.21,3.01,337.24,401.29
28.62,1.20,2.98,312.81,401.55
28.82,1.21,2.97,293.26,404.01
29.02,1.20,2.98,278.59,401.55
29.22,1.20,2.98,273.70,401.55
29.42,1.20,3.01,278.59,399.75
29.62,1.20,2.99,273.70,400.64
29.82,1.21,2.99,303.03,402.19
30.02,1.20,2.99,312.81,400.64
30.22,1.21,2.98,317.69,403.10
30.42,1.21,2.99,317.69,402.19
30.62,1.21,2.99,307.92,402.19
30.82,1.20,2.98,307.92,401.55
31.02,1.21,2.99,307.92,402.19
31.22,1.20,3.01,307.92,399.75
31.42,1.21,2.98,317.69,403.10
31.62,1.19,2.98,307.92,399.99
31.82,1.19,2.97,312.81,400.89
32.02,1.21,2.99,307.92,402.19
32.22,1.21,2.95,307.92,404.93
32.42,1.22,2.98,317.69,404.65
32.62,1.19,2.98,278.59,399.99
32.82,1.22,2.99,293.26,403.74
33.02,1.20,3.01,293.26,399.75
33.22,1.20,2.99,293.26,400.64
33.42,1.19,2.99,307.92,399.09
33.62,1.20,2.97,307.92,402.45
33.82,1.21,2.98,312.81,403.10
34.02,1.19,2.98,298.14,399.99
34.22,1.21,2.99,307.92,402.19
34.42,1.19,2.98,317.69,399.99
34.62,1.20,2.98,317.69,401.55
34.82,1.19,2.99,312.81,399.09
35.02,1.20,2.99,298.14,400.64
35.22,1.20,2.99,307.92,400.64
35.42,1.19,2.99,307.92,399.09
35.62,1.22,2.99,322.58,403.74
35.82,1.21,2.98,312.81,403.10
36.02,1.20,2.98,322.58,401.55
36.22,1.21,2.98,317.69,403.10
36.42,1.20,2.99,322.58,400.64
36.62,1.21,2.98,307.92,403.10
36.82,1.20,2.99,307.92,400.64
37.02,1.20,2.99,312.81,400.64
37.22,1.21,2.99,312.81,402.19
37.42,1.21,2.99,317.69,402.19
37.62,1.19,2.99,312.81,399.09
37.82,1.20,2.98,322.58,401.55
38.02,1.21,2.98,322.58,403.10
38.22,1.21,2.99,303.03,402.19
38.42,1.22,2.99,317.69,403.74
38.62,1.19,2.99,322.58,399.09
38.82,1.21,2.99,322.58,402.19
39.02,1.19,3.01,303.03,398.20
39.22,1.22,2.98,317.69,404.65
39.42,1.19,3.02,298.14,397.31
39.62,1.19,2.99,312.81,399.09
39.82,1.21,2.99,303.03,402.19
40.02,1.20,2.97,312.81,402.45
40.22,1.22,2.98,317.69,404.65
40.42,1.20,2.95,298.14,403.37
40.62,1.20,2.99,293.26,400.64
40.82,1.20,2.98,293.26,401.55
41.02,1.20,2.99,293.26,400.64
41.22,1.20,2.99,312.81,400.64
41.42,1.21,2.98,317.69,403.10
41.62,1.21,2.99,317.69,402.19
41.82,1.20,2.98,312.81,401.55
42.02,1.21,2.99,327.47,402.19
42.22,1.19,2.97,322.58,400.89
42.42,1.21,2.99,347.02,402.19
42.62,1.20,2.99,337.24,400.64
42.82,1.19,2.99,337.24,399.09
43.02,1.19,2.97,347.02,400.89
43.22,1.21,2.98,342.13,403.10
43.42,1.19,2.99,322.58,399.09
43.62,1.20,2.97,332.36,402.45
43.82,1.21,2.98,317.69,403.10
44.02,1.19,2.99,322.58,399.09
44.22,1.21,2.99,327.47,402.19
44.42,1.20,2.97,327.47,402.45
44.62,1.20,2.98,332.36,401.55
44.82,1.19,2.97,317.69,400.89
45.02,1.20,2.99,322.58,400.64
45.22,1.21,2.99,298.14,402.19
45.42,1.20,2.99,303.03,400.64
45.62,1.22,2.99,317.69,403.74
45.82,1.21,2.99,327.47,402.19
46.02,1.21,2.99,322.58,402.19
46.22,1.19,2.97,317.69,400.89
46.42,1.20,2.99,317.69,400.64
46.62,1.21,2.99,317.69,402.19
46.82,1.22,2.99,327.47,403.74
47.02,1.20,3.01,312.81,399.75
47.22,1.19,2.97,312.81,400.89
47.42,1.19,2.97,322.58,400.89
47.62,1.20,3.01,307.92,399.75
47.82,1.21,3.02,298.14,400.40
48.02,1.20,2.97,293.26,402.45
48.22,1.20,3.02,303.03,398.86
48.42,1.19,2.99,273.70,399.09
48.62,1.22,2.99,283.48,403.74
48.82,1.20,2.98,293.26,401.55
49.02,1.22,2.97,303.03,405.56
49.22,1.20,2.99,307.92,400.64
49.42,1.21,2.99,322.58,402.19
49.62,1.21,2.97,332.36,404.01
49.82,1.20,2.99,332.36,400.64
50.02,1.20,2.99,342.13,400.64
50.22,1.21,2.98,366.57,403.10
50.42,1.22,2.99,371.46,403.74
50.62,1.19,2.99,342.13,399.09
50.82,1.22,3.01,351.91,402.84
51.02,1.17,2.99,312.81,395.96
51.22,1.20,3.01,317.69,399.75
51.42,1.19,2.99,312.81,399.09
51.62,1.19,2.99,317.69,399.09
51.82,1.22,2.98,337.24,404.65
52.02,1.19,2.97,312.81,400.89
52.22,1.21,2.98,317.69,403.10
52.42,1.21,2.98,312.81,403.10
52.62,1.21,2.99,312.81,402.19
52.82,1.19,2.99,312.81,399.09
53.02,1.21,2.97,327.47,404.01
53.22,1.21,2.99,327.47,402.19
53.42,1.19,2.99,342.13,399.09
53.62,1.21,2.99,347.02,402.19
53.82,1.19,3.01,347.02,398.20
54.02,1.21,2.99,351.91,402.19
54.22,1.19,2.98,347.02,399.99
54.42,1.21,2.99,347.02,402.19
54.62,1.20,2.99,332.36,400.64
54.82,1.21,2.98,347.02,403.10
55.02,1.20,2.99,351.91,400.64
