# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 052_4
# operator: Akila_Ahmed
# start_time: 2026-05-27 11:40:21
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. 0.1 Layer Thickness duration test for 10 mm length preform.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.15,1.12,2.91,601.17,391.72
1.35,1.10,2.90,581.62,389.34
1.55,1.12,2.91,542.52,391.72
1.75,1.13,2.89,513.20,395.18
1.95,1.14,2.89,542.52,396.80
2.15,1.10,2.90,547.41,389.34
2.35,1.13,2.90,571.85,394.26
2.55,1.12,2.90,586.51,392.63
2.75,1.13,2.91,576.74,393.35
2.95,1.11,2.91,557.18,390.09
3.15,1.11,2.89,537.63,391.90
3.35,1.13,2.89,518.08,395.18
3.55,1.13,2.91,493.65,393.35
3.75,1.12,2.91,459.43,391.72
3.95,1.10,2.90,425.22,389.34
4.15,1.11,2.91,405.67,390.09
4.35,1.12,2.91,405.67,391.72
4.55,1.13,2.91,410.56,393.35
4.75,1.12,2.91,386.12,391.72
4.95,1.12,2.90,410.56,392.63
5.15,1.12,2.89,395.89,393.54
5.35,1.15,2.91,405.67,396.59
5.55,1.13,2.91,430.11,393.35
5.75,1.12,2.91,425.22,391.72
5.95,1.11,2.90,435.00,390.99
6.15,1.13,2.91,459.43,393.35
6.35,1.12,2.90,454.55,392.63
6.55,1.12,2.89,444.77,393.54
6.75,1.10,2.90,425.22,389.34
6.95,1.12,2.89,430.11,393.54
7.15,1.14,2.91,439.88,394.97
7.35,1.14,2.91,430.11,394.97
7.55,1.12,2.91,439.88,391.72
7.75,1.11,2.90,420.33,390.99
7.95,1.12,2.90,425.22,392.63
8.15,1.12,2.90,415.44,392.63
8.35,1.13,2.91,430.11,393.35
8.55,1.13,2.89,430.11,395.18
8.75,1.12,2.90,435.00,392.63
8.95,1.13,2.90,430.11,394.26
9.15,1.13,2.91,435.00,393.35
9.35,1.12,2.89,420.33,393.54
9.55,1.11,2.89,425.22,391.90
9.75,1.12,2.91,405.67,391.72
9.95,1.13,2.90,395.89,394.26
10.15,1.13,2.91,361.68,393.35
10.35,1.10,2.89,337.24,390.25
10.55,1.11,2.90,342.13,390.99
10.75,1.12,2.89,312.81,393.54
10.95,1.11,2.94,327.47,388.30
11.15,1.10,2.91,312.81,388.44
11.35,1.10,2.91,342.13,388.44
11.55,1.13,2.90,342.13,394.26
11.75,1.13,2.93,361.68,392.45
11.95,1.13,2.90,371.46,394.26
12.15,1.12,2.90,351.91,392.63
12.35,1.12,2.90,351.91,392.63
12.55,1.13,2.91,342.13,393.35
12.75,1.12,2.90,347.02,392.63
12.95,1.11,2.90,337.24,390.99
13.15,1.13,2.89,366.57,395.18
13.35,1.12,2.91,356.79,391.72
13.55,1.13,2.93,361.68,392.45
13.75,1.14,2.90,376.34,395.89
13.95,1.11,2.90,381.23,390.99
14.15,1.12,2.91,395.89,391.72
14.35,1.13,2.89,395.89,395.18
14.55,1.11,2.89,386.12,391.90
14.75,1.12,2.90,361.68,392.63
14.95,1.13,2.91,361.68,393.35
15.15,1.12,2.91,351.91,391.72
15.35,1.12,2.91,347.02,391.72
15.55,1.11,2.90,327.47,390.99
15.75,1.11,2.93,322.58,389.19
15.95,1.12,2.89,322.58,393.54
16.15,1.12,2.90,327.47,392.63
16.35,1.12,2.91,332.36,391.72
16.55,1.12,2.93,322.58,390.82
16.75,1.13,2.89,332.36,395.18
16.95,1.13,2.91,332.36,393.35
17.15,1.12,2.90,366.57,392.63
