# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 052_5
# operator: Akila_Ahmed
# start_time: 2026-06-01 09:47:03
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. 0.1 Layer Thickness experiment.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.15,2.91,361.68,396.59
1.42,1.14,2.91,386.12,394.97
1.62,1.15,2.94,376.34,396.37
1.82,1.16,2.93,371.46,398.88
2.02,1.15,2.93,386.12,395.68
2.22,1.15,2.93,400.78,397.28
2.42,1.14,2.93,386.12,394.06
2.62,1.13,2.93,391.01,392.45
2.82,1.13,2.91,420.33,393.35
3.02,1.16,2.91,405.67,399.80
3.22,1.15,2.94,410.56,396.37
3.42,1.15,2.91,410.56,398.20
3.62,1.15,2.93,376.34,395.68
3.82,1.15,2.93,361.68,395.68
4.02,1.16,2.93,342.13,398.88
4.22,1.14,2.91,337.24,394.97
4.42,1.15,2.94,342.13,394.77
4.62,1.15,2.94,327.47,396.37
4.82,1.13,2.90,317.69,394.26
5.02,1.15,2.93,327.47,395.68
5.22,1.15,2.93,332.36,397.28
5.42,1.13,2.91,317.69,393.35
5.62,1.15,2.91,342.13,396.59
5.82,1.15,2.94,351.91,394.77
6.02,1.15,2.91,376.34,398.20
6.22,1.14,2.93,400.78,394.06
6.42,1.15,2.90,381.23,397.50
6.62,1.15,2.94,395.89,394.77
6.82,1.15,2.91,386.12,396.59
7.02,1.15,2.90,381.23,397.50
7.22,1.15,2.93,400.78,397.28
7.42,1.15,2.93,395.89,397.28
7.62,1.14,2.90,361.68,395.89
7.82,1.15,2.91,386.12,396.59
8.02,1.15,2.93,376.34,397.28
8.22,1.15,2.91,376.34,398.20
8.42,1.15,2.93,366.57,395.68
8.62,1.16,2.93,386.12,398.88
8.82,1.15,2.93,376.34,397.28
9.02,1.14,2.91,332.36,394.97
9.22,1.15,2.93,327.47,395.68
9.42,1.15,2.93,322.58,397.28
9.62,1.15,2.93,332.36,395.68
9.82,1.15,2.90,342.13,399.12
10.02,1.15,2.93,347.02,397.28
10.22,1.14,2.93,361.68,394.06
10.42,1.14,2.91,351.91,394.97
10.62,1.14,2.91,361.68,394.97
10.82,1.15,2.93,371.46,397.28
11.02,1.14,2.94,361.68,393.16
11.22,1.15,2.91,361.68,396.59
11.42,1.15,2.91,351.91,398.20
11.62,1.15,2.94,347.02,396.37
11.82,1.14,2.93,371.46,394.06
12.02,1.16,2.93,356.79,398.88
12.22,1.15,2.94,351.91,394.77
12.42,1.15,2.94,327.47,396.37
12.62,1.14,2.91,327.47,394.97
12.82,1.15,2.93,322.58,397.28
13.02,1.13,2.93,332.36,392.45
13.22,1.15,2.90,342.13,397.50
13.42,1.15,2.91,361.68,398.20
13.62,1.14,2.94,342.13,393.16
13.82,1.13,2.90,356.79,394.26
14.02,1.15,2.93,366.57,395.68
14.22,1.15,2.93,381.23,397.28
14.42,1.15,2.93,376.34,395.68
14.62,1.13,2.91,391.01,393.35
14.82,1.14,2.93,381.23,394.06
15.02,1.12,2.91,366.57,391.72
15.22,1.13,2.94,351.91,391.55
15.42,1.16,2.93,361.68,398.88
15.62,1.15,2.91,376.34,398.20
15.82,1.15,2.90,376.34,397.50
16.02,1.15,2.93,371.46,397.28
16.22,1.15,2.94,366.57,396.37
16.42,1.15,2.91,361.68,396.59
16.62,1.14,2.91,366.57,394.97
16.82,1.15,2.93,376.34,397.28
17.02,1.15,2.94,351.91,394.77
17.22,1.15,2.90,342.13,397.50
17.42,1.15,2.94,351.91,396.37
17.62,1.15,2.90,337.24,399.12
17.82,1.13,2.90,327.47,394.26
18.02,1.15,2.93,342.13,395.68
18.22,1.15,2.93,327.47,397.28
18.42,1.14,2.91,342.13,394.97
18.62,1.15,2.93,322.58,395.68
18.82,1.14,2.94,342.13,393.16
19.02,1.15,2.93,312.81,397.28
19.22,1.14,2.91,312.81,394.97
19.42,1.16,2.93,347.02,398.88
19.62,1.16,2.93,356.79,398.88
19.82,1.13,2.94,356.79,391.55
20.02,1.15,2.91,395.89,396.59
20.22,1.15,2.94,391.01,394.77
20.42,1.14,2.93,395.89,394.06
20.62,1.14,2.91,395.89,394.97
20.82,1.15,2.93,386.12,395.68
21.02,1.16,2.93,366.57,398.88
21.22,1.15,2.93,342.13,397.28
21.42,1.14,2.89,322.58,396.80
21.62,1.15,2.93,307.92,395.68
21.82,1.15,2.93,317.69,395.68
22.02,1.13,2.93,317.69,392.45
22.22,1.13,2.91,347.02,393.35
22.42,1.15,2.91,391.01,396.59
22.62,1.15,2.91,391.01,398.20
22.82,1.13,2.91,381.23,393.35
23.02,1.14,2.93,381.23,394.06
23.22,1.15,2.94,356.79,396.37
23.42,1.13,2.91,356.79,393.35
23.62,1.15,2.90,337.24,397.50
23.82,1.15,2.94,342.13,394.77
24.02,1.15,2.93,312.81,397.28
24.22,1.13,2.91,298.14,393.35
24.42,1.15,2.93,317.69,397.28
24.62,1.15,2.93,312.81,395.68
24.82,1.15,2.94,303.03,396.37
25.02,1.15,2.91,327.47,396.59
25.22,1.15,2.91,307.92,398.20
25.42,1.15,2.93,298.14,395.68
25.62,1.13,2.89,293.26,395.18
25.82,1.15,2.93,298.14,395.68
26.02,1.16,2.93,288.37,398.88
26.22,1.15,2.95,278.59,395.47
26.42,1.15,2.91,307.92,396.59
26.62,1.16,2.93,317.69,398.88
26.82,1.15,2.91,317.69,396.59
27.02,1.14,2.93,298.14,394.06
27.22,1.15,2.91,298.14,396.59
27.42,1.15,2.94,288.37,396.37
27.62,1.15,2.91,322.58,398.20
27.82,1.15,2.90,342.13,397.50
28.02,1.15,2.91,347.02,396.59
28.22,1.16,2.95,351.91,397.06
28.42,1.15,2.94,347.02,396.37
28.62,1.15,2.90,347.02,397.50
28.82,1.14,2.93,327.47,394.06
29.02,1.13,2.93,307.92,392.45
29.22,1.14,2.91,303.03,394.97
29.42,1.15,2.93,312.81,397.28
29.62,1.15,2.94,327.47,396.37
29.82,1.14,2.93,332.36,394.06
30.02,1.15,2.91,347.02,396.59
30.22,1.15,2.91,356.79,398.20
30.42,1.13,2.91,342.13,393.35
30.62,1.14,2.90,356.79,395.89
30.82,1.15,2.93,351.91,395.68
31.02,1.14,2.93,327.47,394.06
31.22,1.15,2.91,337.24,398.20
31.42,1.15,2.93,342.13,397.28
31.62,1.14,2.93,347.02,394.06
31.82,1.14,2.90,371.46,395.89
32.02,1.15,2.94,347.02,394.77
32.22,1.15,2.93,351.91,397.28
32.42,1.14,2.93,312.81,394.06
32.62,1.14,2.90,312.81,395.89
32.82,1.15,2.91,317.69,398.20
33.02,1.15,2.91,342.13,398.20
33.22,1.13,2.91,332.36,393.35
33.42,1.15,2.91,356.79,398.20
33.62,1.14,2.93,361.68,394.06
33.82,1.15,2.94,361.68,394.77
34.02,1.15,2.91,376.34,398.20
34.22,1.15,2.91,347.02,398.20
34.42,1.14,2.91,322.58,394.97
34.62,1.14,2.90,337.24,395.89
34.82,1.15,2.93,347.02,395.68
35.02,1.15,2.93,356.79,395.68
35.22,1.14,2.93,371.46,394.06
35.42,1.15,2.91,376.34,396.59
35.62,1.15,2.90,347.02,397.50
35.82,1.15,2.93,312.81,397.28
36.02,1.13,2.90,298.14,394.26
36.22,1.15,2.93,273.70,395.68
36.42,1.15,2.93,283.48,397.28
36.62,1.15,2.94,288.37,394.77
36.82,1.15,2.91,307.92,396.59
37.02,1.15,2.94,307.92,394.77
37.22,1.16,2.94,332.36,397.97
37.42,1.13,2.90,347.02,394.26
37.62,1.15,2.94,347.02,394.77
37.82,1.14,2.91,327.47,394.97
38.02,1.15,2.94,312.81,396.37
38.22,1.15,2.93,298.14,395.68
38.42,1.15,2.94,293.26,394.77
38.62,1.14,2.94,278.59,393.16
38.82,1.13,2.90,268.82,394.26
39.02,1.15,2.93,288.37,397.28
