# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 052_6
# operator: Akila_Ahmed
# start_time: 2026-06-01 10:55:04
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. 0.1 mm Layer Thickness experiment.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.19,2.98,205.28,399.99
1.42,1.20,3.02,210.17,398.86
1.62,1.18,2.99,205.28,397.53
1.82,1.19,2.99,195.50,399.09
2.02,1.19,3.01,219.94,398.20
2.22,1.18,2.99,215.05,397.53
2.42,1.19,2.98,219.94,399.99
2.62,1.20,2.99,1930.60,400.64
2.82,1.16,2.95,5000.00,397.06
3.02,1.19,2.99,234.60,399.09
3.22,1.20,2.99,244.38,400.64
3.42,1.16,2.97,224.83,396.16
3.62,1.20,2.99,239.49,400.64
3.82,1.19,2.99,259.04,399.09
4.02,1.19,2.99,273.70,399.09
4.22,1.16,2.95,5000.00,397.06
4.42,1.18,2.98,273.70,398.42
4.62,1.19,2.98,288.37,399.99
4.82,1.19,3.01,293.26,398.20
5.02,1.19,2.99,288.37,399.09
5.22,1.20,2.99,298.14,400.64
5.42,1.19,2.99,273.70,399.09
5.62,1.19,3.01,303.03,398.20
5.82,1.19,2.99,307.92,399.09
6.02,1.20,3.01,303.03,399.75
6.22,1.18,3.01,283.48,396.64
6.42,1.17,2.98,278.59,396.85
6.62,1.19,2.98,322.58,399.99
6.82,1.18,2.99,307.92,397.53
7.02,1.19,2.98,283.48,399.99
7.22,1.21,2.98,273.70,403.10
7.42,1.19,2.98,288.37,399.99
7.62,1.20,2.99,303.03,400.64
7.82,1.20,3.01,317.69,399.75
8.02,1.19,2.99,351.91,399.09
8.22,1.19,2.99,361.68,399.09
8.42,1.18,2.99,347.02,397.53
8.62,1.19,2.98,342.13,399.99
8.82,1.19,2.99,322.58,399.09
9.02,1.19,2.97,307.92,400.89
9.22,1.19,2.99,307.92,399.09
9.42,1.17,2.98,307.92,396.85
9.62,1.20,2.99,307.92,400.64
9.82,1.20,3.01,303.03,399.75
10.02,1.17,2.98,312.81,396.85
10.22,1.20,2.98,312.81,401.55
10.42,1.20,2.99,317.69,400.64
10.62,1.20,2.99,332.36,400.64
10.82,1.20,2.99,322.58,400.64
11.02,1.19,2.99,317.69,399.09
11.22,1.20,2.99,303.03,400.64
11.42,1.17,2.98,298.14,396.85
11.62,1.20,2.99,288.37,400.64
11.82,1.20,2.99,288.37,400.64
12.02,1.18,2.98,293.26,398.42
12.22,1.19,2.99,298.14,399.09
12.42,1.19,3.01,303.03,398.20
12.62,1.19,2.97,303.03,400.89
12.82,1.18,2.99,327.47,397.53
13.02,1.19,2.98,312.81,399.99
13.22,1.19,2.99,288.37,399.09
13.42,1.20,3.01,293.26,399.75
13.62,1.18,2.97,317.69,399.32
13.82,1.20,2.98,342.13,401.55
14.02,1.18,2.99,312.81,397.53
14.22,1.18,3.02,312.81,395.76
14.42,1.19,2.99,307.92,399.09
14.62,1.18,2.98,317.69,398.42
14.82,1.18,2.99,307.92,397.53
15.02,1.19,2.98,317.69,399.99
15.22,1.19,3.01,322.58,398.20
15.42,1.20,3.01,337.24,399.75
15.62,1.19,2.99,361.68,399.09
15.82,1.20,2.99,386.12,400.64
16.02,1.18,2.98,386.12,398.42
16.22,1.21,3.01,376.34,401.29
16.42,1.18,3.01,371.46,396.64
16.62,1.19,2.98,347.02,399.99
16.82,1.18,2.99,337.24,397.53
17.02,1.18,2.97,327.47,399.32
17.22,1.18,2.99,332.36,397.53
17.42,1.18,2.98,347.02,398.42
17.62,1.20,2.99,337.24,400.64
17.82,1.20,2.99,351.91,400.64
18.02,1.18,2.99,337.24,397.53
18.22,1.21,2.99,347.02,402.19
18.42,1.20,3.01,337.24,399.75
18.62,1.19,2.99,342.13,399.09
18.82,1.19,3.01,342.13,398.20
19.02,1.20,2.98,327.47,401.55
19.22,1.19,2.99,332.36,399.09
19.42,1.18,2.98,342.13,398.42
19.62,1.20,2.99,356.79,400.64
19.82,1.20,2.99,351.91,400.64
20.02,1.19,2.98,366.57,399.99
20.22,1.20,2.99,361.68,400.64
20.42,1.20,2.97,366.57,402.45
20.62,1.18,2.99,371.46,397.53
20.82,1.17,2.99,337.24,395.96
21.02,1.20,2.99,327.47,400.64
21.22,1.20,2.98,337.24,401.55
21.42,1.19,2.97,312.81,400.89
21.62,1.19,2.98,317.69,399.99
21.82,1.20,3.01,327.47,399.75
22.02,1.20,2.99,317.69,400.64
22.22,1.19,3.01,332.36,398.20
22.42,1.19,3.01,327.47,398.20
22.62,1.20,2.99,351.91,400.64
22.82,1.20,2.99,356.79,400.64
23.02,1.20,3.01,356.79,399.75
23.22,1.20,2.98,386.12,401.55
23.42,1.18,2.99,366.57,397.53
23.62,1.20,2.99,391.01,400.64
23.82,1.20,2.99,395.89,400.64
24.02,1.19,2.99,395.89,399.09
24.22,1.21,2.99,381.23,402.19
24.42,1.18,2.98,376.34,398.42
24.62,1.20,2.98,347.02,401.55
24.82,1.19,2.99,332.36,399.09
25.02,1.20,2.98,337.24,401.55
25.22,1.20,2.99,337.24,400.64
25.42,1.20,3.01,337.24,399.75
25.62,1.19,3.01,337.24,398.20
25.82,1.21,2.99,342.13,402.19
26.02,1.17,2.98,351.91,396.85
26.22,1.19,2.99,342.13,399.09
26.42,1.20,2.99,337.24,400.64
26.62,1.18,2.97,356.79,399.32
26.82,1.21,2.99,400.78,402.19
27.02,1.20,2.97,420.33,402.45
27.22,1.20,2.99,435.00,400.64
27.42,1.19,3.01,449.66,398.20
27.62,1.19,2.99,503.42,399.09
27.82,1.19,2.98,522.97,399.99
28.02,1.18,2.99,483.87,397.53
28.22,1.20,2.99,444.77,400.64
28.42,1.18,2.98,420.33,398.42
28.62,1.19,3.01,415.44,398.20
28.82,1.20,2.99,430.11,400.64
29.02,1.20,2.98,415.44,401.55
29.22,1.20,2.99,420.33,400.64
29.42,1.20,2.99,454.55,400.64
29.62,1.19,2.97,488.76,400.89
29.82,1.20,2.98,474.10,401.55
30.02,1.19,2.99,498.53,399.09
30.22,1.21,2.99,527.86,402.19
30.42,1.20,2.98,547.41,401.55
30.62,1.19,2.98,562.07,399.99
30.82,1.19,2.99,581.62,399.09
31.02,1.18,2.97,571.85,399.32
31.22,1.19,2.99,566.96,399.09
31.42,1.19,2.99,566.96,399.09
31.62,1.20,3.02,576.74,398.86
31.82,1.20,2.99,581.62,400.64
32.02,1.18,2.98,547.41,398.42
32.22,1.18,2.99,542.52,397.53
32.42,1.20,2.98,508.31,401.55
32.62,1.19,2.99,483.87,399.09
32.82,1.19,3.01,454.55,398.20
33.02,1.18,2.98,439.88,398.42
33.22,1.19,3.02,435.00,397.31
33.42,1.17,2.99,439.88,395.96
33.62,1.20,3.01,444.77,399.75
33.82,1.19,2.98,420.33,399.99
34.02,1.19,2.99,420.33,399.09
34.22,1.19,2.99,435.00,399.09
34.42,1.19,2.98,459.43,399.99
34.62,1.20,2.99,503.42,400.64
34.82,1.18,3.01,518.08,396.64
35.02,1.19,2.98,532.75,399.99
35.22,1.19,2.99,557.18,399.09
35.42,1.17,2.99,552.30,395.96
35.62,1.21,2.98,562.07,403.10
35.82,1.18,2.98,591.40,398.42
36.02,1.19,2.99,606.06,399.09
36.22,1.19,3.02,586.51,397.31
36.42,1.17,3.01,581.62,395.07
36.62,1.20,2.99,571.85,400.64
36.82,1.18,2.99,557.18,397.53
37.02,1.20,2.94,581.62,404.29
37.22,1.20,2.99,606.06,400.64
37.42,1.19,2.99,591.40,399.09
37.62,1.19,2.99,591.40,399.09
37.82,1.19,2.99,606.06,399.09
38.02,1.18,2.99,610.95,397.53
38.22,1.20,3.03,615.84,397.98
38.42,1.19,2.99,635.39,399.09
38.62,1.20,3.01,640.27,399.75
38.82,1.20,2.99,610.95,400.64
39.02,1.21,2.98,586.51,403.10
39.22,1.19,3.01,557.18,398.20
39.42,1.17,3.01,566.96,395.07
39.62,1.20,2.99,615.84,400.64
39.82,1.20,3.01,654.94,399.75
40.02,1.19,2.98,664.71,399.99
40.22,1.20,2.99,669.60,400.64
40.42,1.19,2.99,733.14,399.09
40.62,1.19,2.98,767.35,399.99
40.82,1.19,3.01,845.55,398.20
41.02,1.20,2.98,865.10,401.55
41.22,1.19,2.99,899.32,399.09
41.42,1.19,3.01,938.42,398.20
41.62,1.20,2.99,928.64,400.64
41.82,1.19,2.99,869.99,399.09
42.02,1.17,3.02,830.89,394.19
42.22,1.21,2.99,821.11,402.19
42.42,1.20,3.01,889.54,399.75
42.62,1.19,2.99,953.08,399.09
42.82,1.21,2.99,957.97,402.19
43.02,1.20,2.99,923.75,400.64
43.22,1.20,2.99,913.98,400.64
43.42,1.18,3.01,948.19,396.64
43.62,1.19,2.99,962.85,399.09
43.82,1.19,2.98,977.52,399.99
44.02,1.19,2.99,904.20,399.09
44.22,1.20,2.99,826.00,400.64
44.42,1.19,2.98,801.56,399.99
44.62,1.17,2.98,821.11,396.85
44.82,1.20,2.99,777.13,400.64
45.02,1.20,2.95,767.35,403.37
45.22,1.19,2.99,728.25,399.09
45.42,1.18,3.01,679.37,396.64
45.62,1.20,2.99,645.16,400.64
45.82,1.19,2.99,571.85,399.09
46.02,1.19,2.99,625.61,399.09
46.22,1.20,3.01,669.60,399.75
46.42,1.19,2.98,659.82,399.99
46.62,1.19,2.98,689.15,399.99
46.82,1.19,2.97,733.14,400.89
47.02,1.20,2.99,713.59,400.64
47.22,1.21,2.99,635.39,402.19
47.42,1.19,2.98,591.40,399.99
47.62,1.20,3.01,586.51,399.75
47.82,1.19,3.01,532.75,398.20
48.02,1.19,2.99,508.31,399.09
48.22,1.20,2.99,498.53,400.64
48.42,1.18,3.01,469.21,396.64
48.62,1.19,2.99,464.32,399.09
48.82,1.17,3.01,459.43,395.07
49.02,1.20,2.97,527.86,402.45
49.22,1.20,2.99,552.30,400.64
49.42,1.17,2.98,576.74,396.85
49.62,1.18,2.99,674.49,397.53
49.82,1.19,3.01,664.71,398.20
50.02,1.19,2.99,659.82,399.09
50.22,1.20,3.01,625.61,399.75
50.42,1.18,2.97,659.82,399.32
50.62,1.20,2.98,689.15,401.55
50.82,1.17,2.98,664.71,396.85
51.02,1.19,2.97,635.39,400.89
51.22,1.19,3.01,606.06,398.20
51.42,1.18,2.97,576.74,399.32
51.62,1.20,2.99,552.30,400.64
51.82,1.19,3.01,518.08,398.20
52.02,1.20,2.98,503.42,401.55
52.22,1.18,2.99,469.21,397.53
52.42,1.19,2.97,435.00,400.89
52.62,1.18,3.01,430.11,396.64
52.82,1.18,2.98,415.44,398.42
53.02,1.19,2.97,425.22,400.89
53.22,1.20,2.99,415.44,400.64
53.42,1.17,2.97,405.67,397.75
53.62,1.18,2.99,425.22,397.53
53.82,1.19,2.98,430.11,399.99
54.02,1.19,2.99,464.32,399.09
54.22,1.18,2.99,508.31,397.53
54.42,1.19,2.99,518.08,399.09
54.62,1.20,2.99,493.65,400.64
54.82,1.18,2.98,444.77,398.42
55.02,1.19,2.95,430.11,401.80
55.22,1.19,3.01,395.89,398.20
55.42,1.17,2.98,371.46,396.85
55.62,1.18,2.99,356.79,397.53
55.82,1.17,3.01,361.68,395.07
56.02,1.20,3.01,386.12,399.75
56.22,1.19,2.99,405.67,399.09
56.42,1.18,2.97,425.22,399.32
56.62,1.21,2.99,420.33,402.19
56.82,1.19,2.98,410.56,399.99
57.02,1.20,2.99,425.22,400.64
57.22,1.20,3.01,449.66,399.75
57.42,1.19,2.98,459.43,399.99
57.62,1.20,2.99,469.21,400.64
57.82,1.19,2.98,498.53,399.99
58.02,1.20,2.99,522.97,400.64
58.22,1.20,3.01,532.75,399.75
58.42,1.18,2.99,513.20,397.53
58.62,1.19,2.98,498.53,399.99
58.82,1.18,2.98,483.87,398.42
59.02,1.20,2.99,498.53,400.64
59.22,1.18,2.98,522.97,398.42
59.42,1.19,2.98,537.63,399.99
59.62,1.20,2.99,527.86,400.64
59.82,1.17,2.98,503.42,396.85
60.02,1.19,2.97,483.87,400.89
60.22,1.20,2.99,449.66,400.64
60.42,1.19,2.98,454.55,399.99
60.62,1.18,2.99,464.32,397.53
60.82,1.19,2.98,459.43,399.99
61.02,1.19,2.99,478.98,399.09
61.22,1.20,2.99,464.32,400.64
61.42,1.18,2.97,454.55,399.32
61.62,1.18,2.99,474.10,397.53
61.82,1.18,2.98,449.66,398.42
62.02,1.19,2.99,464.32,399.09
62.22,1.18,2.99,420.33,397.53
62.42,1.19,2.99,405.67,399.09
62.62,1.20,2.98,381.23,401.55
62.82,1.17,2.98,366.57,396.85
63.02,1.21,2.99,366.57,402.19
63.22,1.19,2.99,395.89,399.09
63.42,1.19,2.94,395.89,402.72
63.62,1.17,2.99,415.44,395.96
63.82,1.17,2.98,410.56,396.85
64.02,1.20,2.99,405.67,400.64
64.22,1.17,2.99,386.12,395.96
64.42,1.18,3.01,386.12,396.64
64.62,1.20,3.01,391.01,399.75
64.82,1.18,2.99,356.79,397.53
65.02,1.19,2.99,342.13,399.09
65.22,1.19,2.95,351.91,401.80
65.42,1.19,2.99,337.24,399.09
65.62,1.19,2.99,347.02,399.09
65.82,1.18,2.98,347.02,398.42
66.02,1.19,2.99,342.13,399.09
66.22,1.19,2.99,322.58,399.09
66.42,1.20,2.98,347.02,401.55
66.62,1.20,3.01,361.68,399.75
66.82,1.19,3.01,361.68,398.20
67.02,1.20,2.99,381.23,400.64
67.22,1.20,2.99,386.12,400.64
67.42,1.19,2.99,381.23,399.09
67.62,1.20,2.99,391.01,400.64
67.82,1.18,2.98,391.01,398.42
68.02,1.20,3.01,410.56,399.75
68.22,1.20,2.99,400.78,400.64
68.42,1.18,2.99,391.01,397.53
68.62,1.19,2.98,391.01,399.99
68.82,1.17,3.01,376.34,395.07
69.02,1.19,2.98,376.34,399.99
69.22,1.19,2.98,376.34,399.99
69.42,1.19,2.99,366.57,399.09
69.62,1.20,2.99,366.57,400.64
69.82,1.20,3.01,361.68,399.75
70.02,1.19,2.99,391.01,399.09
70.22,1.20,3.01,395.89,399.75
70.42,1.20,2.98,415.44,401.55
70.62,1.20,2.99,430.11,400.64
70.82,1.19,3.01,439.88,398.20
71.02,1.19,2.99,444.77,399.09
71.22,1.20,2.99,449.66,400.64
71.42,1.19,2.98,449.66,399.99
71.62,1.20,2.99,444.77,400.64
71.82,1.18,2.98,439.88,398.42
72.02,1.20,2.99,435.00,400.64
72.22,1.18,3.01,410.56,396.64
72.42,1.20,2.97,410.56,402.45
72.62,1.20,3.01,410.56,399.75
72.82,1.17,2.99,410.56,395.96
73.02,1.19,2.99,420.33,399.09
73.22,1.19,2.98,420.33,399.99
73.42,1.19,2.99,420.33,399.09
73.62,1.20,2.99,415.44,400.64
73.82,1.17,2.99,444.77,395.96
74.02,1.19,3.02,488.76,397.31
74.22,1.18,3.02,488.76,395.76
74.42,1.21,2.99,464.32,402.19
74.62,1.19,3.01,439.88,398.20
74.82,1.17,2.98,430.11,396.85
75.02,1.19,3.01,386.12,398.20
75.22,1.17,2.98,381.23,396.85
75.42,1.20,2.99,386.12,400.64
75.62,1.21,3.01,395.89,401.29
75.82,1.18,2.99,430.11,397.53
76.02,1.20,2.99,420.33,400.64
76.22,1.17,2.99,415.44,395.96
