# material: Nylon PA6
# geometry: Solid Spiral with 100 rotations
# preform_diameter: 20.0
# material_color: White
# temperature_C: 290.0
# drawdown_ratio: 50.0
# trial_number: 017
# operator: Ahmed_Akila
# start_time: 2026-02-24 09:48:50
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.17,3.14,767.35,386.54
1.42,1.16,3.13,782.01,385.83
1.62,1.16,3.11,782.01,386.66
1.82,1.16,3.14,791.79,385.00
2.02,1.17,3.17,772.24,384.90
2.22,1.16,3.14,762.46,385.00
2.42,1.17,3.15,782.01,385.72
2.62,1.15,3.14,796.68,383.46
2.82,1.18,3.15,821.11,387.24
3.02,1.15,3.13,826.00,384.28
3.22,1.16,3.13,889.54,385.83
3.42,1.16,3.14,913.98,385.00
3.62,1.15,3.14,869.99,383.46
3.82,1.16,3.14,850.44,385.00
4.02,1.15,3.14,840.66,383.46
4.22,1.17,3.11,826.00,388.20
4.42,1.18,3.15,869.99,387.24
4.62,1.16,3.15,860.21,384.18
4.82,1.17,3.15,904.20,385.72
5.02,1.16,3.14,977.52,385.00
5.22,1.16,3.14,962.85,385.00
5.42,1.18,3.14,933.53,388.07
5.62,1.15,3.15,923.75,382.64
5.82,1.17,3.14,938.42,386.54
6.02,1.16,3.17,899.32,383.37
6.22,1.17,3.14,894.43,386.54
6.42,1.18,3.14,904.20,388.07
6.62,1.15,3.15,899.32,382.64
6.82,1.16,3.11,918.87,386.66
7.02,1.17,3.14,923.75,386.54
7.22,1.15,3.14,889.54,383.46
7.42,1.16,3.13,884.65,385.83
7.62,1.17,3.14,855.33,386.54
7.82,1.15,3.13,806.45,382.73
8.02,1.18,3.14,762.46,388.07
8.22,1.17,3.15,723.36,385.72
8.42,1.17,3.15,708.70,385.72
8.62,1.17,3.15,694.04,385.72
8.82,1.15,3.13,664.71,384.28
9.02,1.18,3.14,654.94,388.07
9.22,1.16,3.14,635.39,385.00
9.42,1.16,3.13,625.61,385.83
9.62,1.18,3.14,645.16,388.07
9.82,1.15,3.11,625.61,385.11
10.02,1.18,3.11,669.60,389.74
10.22,1.18,3.14,669.60,388.07
10.42,1.16,3.13,654.94,385.83
10.62,1.15,3.15,669.60,382.64
10.82,1.15,3.15,635.39,381.10
11.02,1.16,3.14,635.39,385.00
11.22,1.17,3.13,650.05,387.37
11.42,1.15,3.13,640.27,382.73
11.62,1.17,3.15,630.50,385.72
11.82,1.15,3.14,635.39,383.46
12.02,1.16,3.13,635.39,385.83
12.22,1.18,3.15,625.61,387.24
12.42,1.15,3.13,581.62,384.28
12.62,1.17,3.13,615.84,387.37
12.82,1.15,3.15,596.29,382.64
13.02,1.16,3.13,601.17,385.83
13.22,1.16,3.14,591.40,385.00
13.42,1.18,3.14,596.29,388.07
13.62,1.15,3.13,615.84,382.73
13.82,1.16,3.15,601.17,384.18
14.02,1.15,3.14,586.51,383.46
14.22,1.16,3.14,601.17,385.00
14.42,1.18,3.15,571.85,387.24
14.62,1.17,3.13,601.17,387.37
14.82,1.17,3.15,581.62,385.72
15.02,1.15,3.14,566.96,383.46
15.22,1.18,3.15,586.51,387.24
15.42,1.17,3.14,566.96,386.54
