# material: Nylon PA6
# geometry: Solid cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 290.0
# drawdown_ratio: 50.0
# trial_number: 032
# operator: Ahmed_Akila
# start_time: 2026-04-21 12:59:35
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,4.99,366.57,400.46
1.42,2.01,4.99,356.79,401.39
1.62,2.01,4.99,376.34,401.39
1.82,2.01,4.99,386.12,401.39
2.02,2.00,4.98,376.34,401.00
2.22,2.01,4.99,356.79,401.39
2.42,2.00,4.99,361.68,400.46
2.62,2.01,4.99,342.13,401.39
2.82,2.00,4.99,361.68,400.46
3.02,1.99,4.98,356.79,400.07
3.22,2.01,4.99,371.46,401.39
3.42,2.00,4.99,376.34,400.46
3.62,2.01,4.99,381.23,401.39
3.82,2.00,4.98,361.68,401.00
4.02,1.99,4.99,351.91,399.53
4.22,1.99,4.98,351.91,400.07
4.42,2.02,5.01,361.68,401.78
4.62,2.01,5.01,347.02,400.86
4.82,1.99,4.98,356.79,400.07
5.02,1.99,4.99,337.24,399.53
5.22,1.99,4.99,327.47,399.53
5.42,2.01,5.01,337.24,400.86
5.62,2.01,4.99,337.24,401.39
5.82,2.00,4.99,342.13,400.46
6.02,2.00,4.98,347.02,401.00
6.22,2.01,4.99,381.23,401.39
6.42,2.01,4.99,386.12,401.39
6.62,2.00,4.99,371.46,400.46
6.82,1.99,4.99,376.34,399.53
7.02,2.00,4.97,376.34,401.55
7.22,2.00,4.99,381.23,400.46
7.42,2.01,4.99,376.34,401.39
7.62,2.00,4.99,371.46,400.46
7.82,2.02,4.99,381.23,402.32
8.02,2.01,4.99,376.34,401.39
8.22,2.01,4.99,347.02,401.39
8.42,1.99,4.99,332.36,399.53
8.62,1.98,4.98,312.81,399.13
8.82,2.01,4.99,317.69,401.39
9.02,2.01,4.98,322.58,401.94
9.22,2.00,5.01,312.81,399.93
9.42,2.00,4.99,317.69,400.46
9.62,1.99,4.99,327.47,399.53
9.82,2.00,4.98,327.47,401.00
10.02,2.00,5.02,347.02,399.39
10.22,2.02,5.01,371.46,401.78
10.42,2.02,4.99,351.91,402.32
10.62,1.99,4.98,356.79,400.07
10.82,2.02,4.99,376.34,402.32
11.02,2.00,5.01,381.23,399.93
11.22,2.01,4.99,366.57,401.39
11.42,1.99,4.99,376.34,399.53
11.62,2.00,4.99,391.01,400.46
11.82,2.01,5.01,400.78,400.86
12.02,2.00,4.98,400.78,401.00
12.22,2.01,5.01,400.78,400.86
12.42,1.99,4.99,381.23,399.53
12.62,1.99,4.98,381.23,400.07
12.82,2.01,4.99,381.23,401.39
13.02,2.00,4.99,366.57,400.46
13.22,2.01,5.01,361.68,400.86
13.42,1.99,4.98,400.78,400.07
13.62,2.00,4.99,366.57,400.46
13.82,2.00,4.99,356.79,400.46
14.02,1.98,4.99,366.57,398.60
14.22,2.00,4.98,371.46,401.00
14.42,2.00,4.99,361.68,400.46
14.62,2.00,4.99,356.79,400.46
14.82,2.01,4.99,347.02,401.39
15.02,2.01,4.99,356.79,401.39
15.22,1.99,5.01,347.02,399.00
15.42,2.00,4.98,356.79,401.00
15.62,2.00,4.99,361.68,400.46
15.82,2.02,5.01,356.79,401.78
16.02,2.00,4.99,376.34,400.46
16.22,1.99,4.98,356.79,400.07
16.42,2.01,4.98,366.57,401.94
16.62,1.99,4.99,376.34,399.53
16.82,2.00,4.99,371.46,400.46
17.02,1.99,4.99,386.12,399.53
17.22,2.00,5.01,386.12,399.93
17.42,2.00,4.97,391.01,401.55
17.62,2.02,4.98,395.89,402.86
17.82,1.99,4.98,376.34,400.07
18.02,1.99,4.98,400.78,400.07
18.22,2.00,4.99,400.78,400.46
18.42,2.00,4.99,415.44,400.46
18.62,2.01,5.02,400.78,400.32
18.82,1.99,5.01,381.23,399.00
19.02,2.01,4.98,381.23,401.94
19.22,2.00,4.97,405.67,401.55
19.42,2.01,5.01,395.89,400.86
19.62,1.99,5.01,435.00,399.00
19.82,2.00,5.01,391.01,399.93
20.02,1.99,4.97,381.23,400.61
20.22,1.99,4.99,351.91,399.53
20.42,2.00,4.99,351.91,400.46
20.62,1.99,4.99,342.13,399.53
20.82,2.00,4.97,337.24,401.55
21.02,2.00,4.99,347.02,400.46
21.22,2.01,5.01,351.91,400.86
21.42,2.01,4.99,361.68,401.39
21.62,2.01,4.99,361.68,401.39
21.82,1.99,4.98,366.57,400.07
22.02,2.01,4.99,371.46,401.39
22.22,2.01,4.99,366.57,401.39
22.42,2.01,5.01,366.57,400.86
22.62,2.00,4.98,371.46,401.00
22.82,2.00,4.98,371.46,401.00
23.02,2.00,4.99,366.57,400.46
23.22,1.99,4.99,366.57,399.53
23.42,2.01,4.99,361.68,401.39
23.62,2.00,4.98,376.34,401.00
23.82,2.00,4.99,366.57,400.46
24.02,2.00,4.99,381.23,400.46
24.22,2.01,5.01,381.23,400.86
24.42,1.99,4.99,356.79,399.53
24.62,2.01,4.99,376.34,401.39
24.82,2.01,4.99,347.02,401.39
25.02,1.99,4.99,361.68,399.53
25.22,1.99,4.99,356.79,399.53
25.42,1.99,4.98,356.79,400.07
25.62,2.00,4.99,381.23,400.46
25.82,2.01,4.99,376.34,401.39
26.02,2.01,4.99,381.23,401.39
26.22,1.98,4.99,371.46,398.60
26.42,2.00,4.99,356.79,400.46
26.62,2.00,5.01,356.79,399.93
26.82,2.00,4.99,361.68,400.46
27.02,1.99,4.99,342.13,399.53
27.22,2.00,4.99,366.57,400.46
27.42,2.00,4.99,342.13,400.46
27.62,2.00,4.99,356.79,400.46
27.82,1.99,4.99,351.91,399.53
28.02,2.01,5.01,351.91,400.86
28.22,1.99,4.99,376.34,399.53
28.42,2.00,5.01,381.23,399.93
28.62,2.00,5.02,356.79,399.39
28.82,2.00,4.99,366.57,400.46
29.02,2.00,4.98,361.68,401.00
29.22,2.00,4.99,347.02,400.46
29.42,2.01,4.99,361.68,401.39
29.62,1.99,4.99,351.91,399.53
29.82,2.00,4.99,356.79,400.46
30.02,1.99,4.98,342.13,400.07
30.22,2.00,4.98,371.46,401.00
30.42,2.01,4.99,366.57,401.39
30.62,1.99,5.01,351.91,399.00
30.82,1.99,4.99,366.57,399.53
31.02,2.00,4.98,356.79,401.00
31.22,2.00,4.99,342.13,400.46
31.42,2.00,4.99,361.68,400.46
31.62,1.99,4.98,356.79,400.07
31.82,1.99,4.98,381.23,400.07
32.02,2.00,4.98,371.46,401.00
32.22,2.00,4.99,361.68,400.46
32.42,2.00,4.99,361.68,400.46
32.62,2.00,4.99,337.24,400.46
32.82,2.01,4.98,332.36,401.94
33.02,2.00,4.99,342.13,400.46
33.22,1.99,5.02,342.13,398.46
33.42,2.01,4.99,361.68,401.39
33.62,2.00,4.99,371.46,400.46
33.82,1.99,4.98,371.46,400.07
34.02,2.01,4.99,381.23,401.39
34.22,2.01,5.01,366.57,400.86
34.42,2.00,4.99,381.23,400.46
34.62,2.00,4.99,332.36,400.46
34.82,2.00,4.99,337.24,400.46
35.02,2.00,4.99,342.13,400.46
35.22,2.00,5.01,356.79,399.93
