# material: Nylon PA6
# geometry: Solid
# preform_diameter: 20.0
# material_color: White
# temperature_C: 290.0
# drawdown_ratio: 50.0
# trial_number: 033
# operator: Ahmed_Akila
# start_time: 2026-04-21 13:37:49
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.19,3.03,826.00,396.43
1.42,1.21,3.01,786.90,401.29
1.62,1.19,3.02,752.69,397.31
1.82,1.21,3.02,742.91,400.40
2.02,1.18,3.02,747.80,395.76
2.22,1.21,3.03,733.14,399.52
2.42,1.19,3.03,723.36,396.43
2.62,1.20,3.01,723.36,399.75
2.82,1.19,3.03,728.25,396.43
3.02,1.20,3.05,733.14,397.10
3.22,1.20,3.03,733.14,397.98
3.42,1.20,3.03,713.59,397.98
3.62,1.21,3.03,733.14,399.52
3.82,1.19,3.03,738.03,396.43
4.02,1.19,3.02,723.36,397.31
4.22,1.20,3.02,733.14,398.86
4.42,1.21,3.03,733.14,399.52
4.62,1.19,3.01,742.91,398.20
4.82,1.20,3.02,767.35,398.86
5.02,1.20,3.03,777.13,397.98
5.22,1.19,3.01,767.35,398.20
5.42,1.21,3.03,782.01,399.52
5.62,1.21,3.02,777.13,400.40
5.82,1.19,3.02,767.35,397.31
6.02,1.21,3.02,757.58,400.40
6.22,1.21,3.02,762.46,400.40
6.42,1.19,3.01,752.69,398.20
6.62,1.20,3.02,757.58,398.86
6.82,1.20,3.02,767.35,398.86
7.02,1.21,3.02,772.24,400.40
7.22,1.19,3.02,796.68,397.31
7.42,1.20,3.02,835.78,398.86
7.62,1.18,3.03,845.55,394.88
7.82,1.20,3.01,816.23,399.75
8.02,1.21,3.03,811.34,399.52
8.22,1.21,3.02,796.68,400.40
8.42,1.18,3.01,811.34,396.64
8.62,1.20,3.02,791.79,398.86
8.82,1.21,3.03,791.79,399.52
9.02,1.21,3.02,782.01,400.40
9.22,1.21,3.02,782.01,400.40
9.42,1.19,3.02,801.56,397.31
9.62,1.19,3.03,796.68,396.43
9.82,1.17,3.02,767.35,394.19
10.02,1.21,3.03,772.24,399.52
10.22,1.19,3.02,738.03,397.31
10.42,1.20,3.02,738.03,398.86
10.62,1.20,3.01,747.80,399.75
10.82,1.21,3.02,757.58,400.40
11.02,1.18,3.01,747.80,396.64
11.22,1.21,3.02,733.14,400.40
11.42,1.21,3.03,733.14,399.52
11.62,1.19,3.02,733.14,397.31
11.82,1.20,3.02,747.80,398.86
12.02,1.21,3.02,742.91,400.40
12.22,1.19,3.02,708.70,397.31
12.42,1.20,3.02,718.48,398.86
12.62,1.20,3.03,708.70,397.98
12.82,1.19,3.01,689.15,398.20
13.02,1.19,3.01,694.04,398.20
13.22,1.20,3.03,703.81,397.98
13.42,1.18,3.02,694.04,395.76
13.62,1.18,3.01,708.70,396.64
13.82,1.20,3.03,708.70,397.98
14.02,1.21,3.03,694.04,399.52
14.22,1.19,3.01,694.04,398.20
14.42,1.21,3.03,728.25,399.52
14.62,1.20,3.02,723.36,398.86
14.82,1.17,3.01,703.81,395.07
15.02,1.20,3.02,728.25,398.86
15.22,1.20,3.03,728.25,397.98
15.42,1.21,3.01,708.70,401.29
15.62,1.20,3.01,708.70,399.75
15.82,1.20,3.05,694.04,397.10
16.02,1.21,3.02,684.26,400.40
16.22,1.19,3.01,684.26,398.20
16.42,1.19,3.02,718.48,397.31
16.62,1.19,3.05,723.36,395.56
16.82,1.17,3.02,718.48,394.19
17.02,1.21,3.02,708.70,400.40
17.22,1.20,3.02,708.70,398.86
17.42,1.19,3.01,698.92,398.20
17.62,1.20,3.02,713.59,398.86
17.82,1.21,3.03,723.36,399.52
18.02,1.19,3.01,703.81,398.20
18.22,1.21,3.02,723.36,400.40
18.42,1.21,3.03,708.70,399.52
18.62,1.19,3.01,713.59,398.20
18.82,1.20,3.02,747.80,398.86
19.02,1.21,3.02,762.46,400.40
19.22,1.18,3.06,747.80,393.14
19.42,1.19,3.01,752.69,398.20
19.62,1.20,3.02,747.80,398.86
19.82,1.20,3.03,742.91,397.98
20.02,1.18,3.01,718.48,396.64
20.22,1.20,3.02,689.15,398.86
20.42,1.19,3.03,645.16,396.43
20.62,1.19,3.06,635.39,394.69
20.82,1.20,3.03,645.16,397.98
21.02,1.18,3.03,630.50,394.88
21.22,1.20,3.01,635.39,399.75
21.42,1.19,3.05,645.16,395.56
21.62,1.19,3.03,650.05,396.43
21.82,1.20,3.02,635.39,398.86
22.02,1.19,3.03,635.39,396.43
22.22,1.20,3.02,640.27,398.86
22.42,1.21,3.03,645.16,399.52
22.62,1.19,3.01,640.27,398.20
22.82,1.20,3.02,654.94,398.86
23.02,1.21,3.03,669.60,399.52
23.22,1.20,3.03,664.71,397.98
23.42,1.21,3.01,684.26,401.29
23.62,1.21,3.03,694.04,399.52
23.82,1.19,3.03,698.92,396.43
24.02,1.19,3.01,728.25,398.20
24.22,1.20,3.02,728.25,398.86
24.42,1.21,3.03,703.81,399.52
24.62,1.19,3.02,703.81,397.31
24.82,1.20,3.03,708.70,397.98
25.02,1.20,3.03,679.37,397.98
25.22,1.22,3.02,664.71,401.94
25.42,1.21,3.02,674.49,400.40
25.62,1.21,3.03,694.04,399.52
25.82,1.20,3.02,694.04,398.86
26.02,1.17,3.02,689.15,394.19
26.22,1.18,3.02,654.94,395.76
26.42,1.20,3.01,630.50,399.75
26.62,1.19,3.03,620.72,396.43
26.82,1.21,3.03,606.06,399.52
27.02,1.20,3.03,601.17,397.98
27.22,1.20,3.01,581.62,399.75
27.42,1.21,3.02,596.29,400.40
27.62,1.20,3.03,591.40,397.98
27.82,1.19,3.02,586.51,397.31
28.02,1.21,3.01,620.72,401.29
28.22,1.21,3.05,591.40,398.63
28.42,1.19,3.01,596.29,398.20
28.62,1.21,3.03,625.61,399.52
28.82,1.21,3.02,630.50,400.40
29.02,1.20,3.01,635.39,399.75
29.22,1.19,3.01,630.50,398.20
29.42,1.20,3.02,635.39,398.86
29.62,1.20,3.02,630.50,398.86
29.82,1.19,3.01,625.61,398.20
30.02,1.20,3.02,635.39,398.86
30.22,1.21,3.03,650.05,399.52
30.42,1.21,3.01,625.61,401.29
30.62,1.21,3.03,630.50,399.52
30.82,1.19,3.03,635.39,396.43
31.02,1.19,3.01,625.61,398.20
31.22,1.18,3.05,620.72,394.01
31.42,1.21,3.03,625.61,399.52
31.62,1.20,3.01,620.72,399.75
31.82,1.19,3.01,615.84,398.20
32.02,1.20,3.01,635.39,399.75
32.22,1.20,3.02,640.27,398.86
32.42,1.18,3.01,625.61,396.64
32.62,1.20,3.02,630.50,398.86
32.82,1.21,3.03,635.39,399.52
33.02,1.19,3.03,620.72,396.43
33.22,1.18,3.01,630.50,396.64
33.42,1.20,3.02,640.27,398.86
33.62,1.20,3.02,635.39,398.86
33.82,1.19,3.01,615.84,398.20
34.02,1.21,3.02,625.61,400.40
34.22,1.20,3.02,606.06,398.86
34.42,1.18,3.01,610.95,396.64
34.62,1.19,3.02,610.95,397.31
34.82,1.19,3.03,601.17,396.43
35.02,1.21,3.03,586.51,399.52
35.22,1.18,3.02,591.40,395.76
35.42,1.19,3.05,566.96,395.56
35.62,1.18,3.03,566.96,394.88
35.82,1.19,3.03,571.85,396.43
36.02,1.21,3.03,596.29,399.52
36.22,1.19,3.01,571.85,398.20
36.42,1.20,3.02,586.51,398.86
36.62,1.20,3.01,596.29,399.75
36.82,1.20,3.02,586.51,398.86
37.02,1.18,3.01,571.85,396.64
37.22,1.18,3.02,576.74,395.76
37.42,1.19,3.02,562.07,397.31
37.62,1.19,3.02,566.96,397.31
37.82,1.20,3.02,571.85,398.86
38.02,1.20,2.99,576.74,400.64
38.22,1.18,3.02,557.18,395.76
38.42,1.20,3.02,586.51,398.86
38.62,1.21,3.02,586.51,400.40
38.82,1.19,3.01,576.74,398.20
39.02,1.19,3.01,591.40,398.20
39.22,1.20,3.02,571.85,398.86
39.42,1.19,3.03,576.74,396.43
39.62,1.18,3.02,586.51,395.76
39.82,1.21,3.06,596.29,397.76
40.02,1.20,3.03,586.51,397.98
40.22,1.21,3.02,586.51,400.40
40.42,1.19,3.03,601.17,396.43
40.62,1.21,3.02,596.29,400.40
40.82,1.19,3.01,571.85,398.20
41.02,1.19,3.01,576.74,398.20
41.22,1.21,3.03,606.06,399.52
41.42,1.19,3.02,625.61,397.31
41.62,1.18,3.02,615.84,395.76
41.82,1.21,3.03,620.72,399.52
42.02,1.21,3.03,635.39,399.52
42.22,1.19,3.02,625.61,397.31
42.42,1.20,3.03,630.50,397.98
42.62,1.19,3.03,625.61,396.43
42.82,1.19,3.03,635.39,396.43
43.02,1.20,3.01,645.16,399.75
43.22,1.20,3.05,654.94,397.10
43.42,1.19,3.01,654.94,398.20
43.62,1.19,3.01,669.60,398.20
43.82,1.20,3.02,664.71,398.86
44.02,1.21,3.03,669.60,399.52
44.22,1.21,3.03,679.37,399.52
44.42,1.20,3.02,689.15,398.86
44.62,1.20,3.03,659.82,397.98
44.82,1.19,3.02,659.82,397.31
45.02,1.17,3.01,703.81,395.07
45.22,1.20,3.03,713.59,397.98
45.42,1.18,3.02,703.81,395.76
45.62,1.18,3.01,713.59,396.64
45.82,1.20,3.01,738.03,399.75
46.02,1.21,3.02,752.69,400.40
46.22,1.20,3.01,738.03,399.75
46.42,1.18,3.01,733.14,396.64
46.62,1.20,3.02,728.25,398.86
46.82,1.20,3.03,733.14,397.98
47.02,1.18,3.02,738.03,395.76
47.22,1.20,3.02,733.14,398.86
47.42,1.20,3.02,718.48,398.86
47.62,1.19,3.01,703.81,398.20
47.82,1.19,3.03,698.92,396.43
48.02,1.21,3.01,679.37,401.29
48.22,1.18,3.01,694.04,396.64
48.42,1.20,3.03,669.60,397.98
48.62,1.21,3.03,664.71,399.52
48.82,1.19,3.01,664.71,398.20
49.02,1.19,3.03,654.94,396.43
49.22,1.21,3.02,669.60,400.40
49.42,1.20,3.01,645.16,399.75
49.62,1.19,3.01,635.39,398.20
49.82,1.21,3.02,620.72,400.40
50.02,1.17,3.02,591.40,394.19
50.22,1.19,3.02,601.17,397.31
50.42,1.20,3.02,620.72,398.86
50.62,1.20,3.03,620.72,397.98
50.82,1.19,3.02,630.50,397.31
51.02,1.20,3.01,645.16,399.75
51.22,1.21,3.03,635.39,399.52
51.42,1.18,3.03,645.16,394.88
51.62,1.20,3.02,640.27,398.86
51.82,1.21,3.03,630.50,399.52
52.02,1.20,3.03,625.61,397.98
52.22,1.18,3.02,610.95,395.76
52.42,1.20,3.03,601.17,397.98
52.62,1.19,3.02,615.84,397.31
52.82,1.20,3.01,620.72,399.75
53.02,1.20,3.02,625.61,398.86
53.22,1.20,3.03,615.84,397.98
53.42,1.21,3.02,645.16,400.40
53.62,1.19,3.02,640.27,397.31
53.82,1.18,3.03,630.50,394.88
54.02,1.18,3.03,635.39,394.88
54.22,1.18,3.02,606.06,395.76
54.42,1.19,3.03,615.84,396.43
54.62,1.19,3.01,620.72,398.20
54.82,1.18,3.02,610.95,395.76
55.02,1.20,3.03,620.72,397.98
55.22,1.21,3.02,620.72,400.40
55.42,1.18,3.01,601.17,396.64
55.62,1.20,3.01,601.17,399.75
55.82,1.22,3.03,591.40,401.05
56.02,1.18,3.01,606.06,396.64
56.22,1.21,3.01,596.29,401.29
56.42,1.20,3.03,586.51,397.98
56.62,1.18,3.02,586.51,395.76
56.82,1.20,3.01,596.29,399.75
57.02,1.21,3.03,606.06,399.52
57.22,1.21,3.02,601.17,400.40
57.42,1.17,3.01,586.51,395.07
57.62,1.20,3.02,591.40,398.86
57.82,1.20,3.03,576.74,397.98
58.02,1.19,3.02,591.40,397.31
58.22,1.20,3.02,586.51,398.86
58.42,1.20,3.03,596.29,397.98
58.62,1.20,3.03,581.62,397.98
58.82,1.17,3.01,591.40,395.07
59.02,1.19,3.05,620.72,395.56
59.22,1.19,2.99,620.72,399.09
59.42,1.18,3.01,620.72,396.64
59.62,1.19,3.05,640.27,395.56
59.82,1.20,3.01,635.39,399.75
60.02,1.17,3.01,640.27,395.07
60.22,1.21,3.02,645.16,400.40
60.42,1.21,3.03,635.39,399.52
60.62,1.19,3.03,640.27,396.43
60.82,1.20,3.03,645.16,397.98
61.02,1.19,3.03,645.16,396.43
