# material: Nylon PA6
# geometry: Three-Channel 1st AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 101_2
# operator: Akila_Ahmed
# start_time: 2026-07-27 10:10:14
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Corrected 1st AR with 0.3 mm layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.02,317.69,400.40
1.42,1.21,3.01,342.13,401.29
1.62,1.21,3.02,342.13,400.40
1.82,1.19,3.01,361.68,398.20
2.02,1.19,2.99,351.91,399.09
2.22,1.19,3.01,366.57,398.20
2.42,1.20,3.01,322.58,399.75
2.62,1.19,3.02,298.14,397.31
2.82,1.18,3.01,327.47,396.64
3.02,1.19,3.01,351.91,398.20
3.22,1.20,3.01,342.13,399.75
3.42,1.21,2.99,332.36,402.19
3.62,1.19,3.01,317.69,398.20
3.82,1.19,2.99,307.92,399.09
4.02,1.18,2.99,303.03,397.53
4.22,1.20,3.01,307.92,399.75
4.42,1.19,3.03,288.37,396.43
4.62,1.20,3.01,283.48,399.75
4.82,1.21,3.01,298.14,401.29
5.02,1.20,3.01,303.03,399.75
5.22,1.19,3.02,298.14,397.31
5.42,1.22,3.02,283.48,401.94
5.62,1.18,2.99,307.92,397.53
5.82,1.20,2.99,317.69,400.64
6.02,1.19,3.01,332.36,398.20
6.22,1.19,3.01,322.58,398.20
6.42,1.21,3.01,317.69,401.29
6.62,1.19,3.01,322.58,398.20
6.82,1.19,3.01,351.91,398.20
7.02,1.20,3.01,337.24,399.75
7.22,1.22,3.02,303.03,401.94
7.42,1.20,3.05,288.37,397.10
7.62,1.21,3.01,259.04,401.29
7.82,1.21,3.01,263.93,401.29
8.02,1.20,3.01,283.48,399.75
8.22,1.22,3.01,283.48,402.84
8.42,1.18,3.02,283.48,395.76
8.62,1.19,3.01,288.37,398.20
8.82,1.21,2.99,288.37,402.19
