# material: Nylon PA6
# geometry: Three-Channel 2nd AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 102
# operator: Akila_Ahmed
# start_time: 2026-07-22 13:08:55
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. 2nd Aspect Ratio with corrected dimensions. 0.3 mm layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.15,1.19,3.01,488.76,398.20
1.35,1.18,3.01,513.20,396.64
1.55,1.21,3.02,513.20,400.40
1.75,1.21,3.01,522.97,401.29
1.95,1.20,3.03,508.31,397.98
2.15,1.21,3.02,474.10,400.40
2.35,1.21,3.01,459.43,401.29
2.55,1.21,3.01,444.77,401.29
2.75,1.19,3.02,454.55,397.31
2.95,1.20,3.01,459.43,399.75
3.15,1.21,3.01,464.32,401.29
3.35,1.20,3.01,439.88,399.75
3.55,1.21,3.01,430.11,401.29
3.75,1.19,2.99,420.33,399.09
3.95,1.20,2.98,395.89,401.55
4.15,1.21,3.01,386.12,401.29
4.35,1.20,3.02,366.57,398.86
4.55,1.20,2.98,356.79,401.55
4.75,1.19,3.02,351.91,397.31
4.95,1.19,3.02,371.46,397.31
5.15,1.21,3.02,386.12,400.40
5.35,1.21,2.99,395.89,402.19
5.55,1.20,3.01,425.22,399.75
5.75,1.21,3.01,449.66,401.29
5.95,1.19,3.01,435.00,398.20
6.15,1.22,2.99,454.55,403.74
6.35,1.21,3.01,469.21,401.29
6.55,1.19,2.99,493.65,399.09
6.75,1.20,3.01,508.31,399.75
6.95,1.19,3.02,493.65,397.31
7.15,1.19,2.99,488.76,399.09
7.35,1.21,3.01,488.76,401.29
7.55,1.20,3.01,488.76,399.75
7.75,1.21,3.01,474.10,401.29
7.95,1.19,3.01,444.77,398.20
8.15,1.21,3.01,439.88,401.29
8.35,1.21,3.02,454.55,400.40
8.55,1.19,3.01,435.00,398.20
8.75,1.21,3.01,444.77,401.29
8.95,1.19,2.99,420.33,399.09
9.15,1.19,3.02,395.89,397.31
9.35,1.21,3.01,391.01,401.29
9.55,1.19,3.01,405.67,398.20
9.75,1.20,3.02,435.00,398.86
9.95,1.19,3.01,410.56,398.20
10.15,1.18,2.99,415.44,397.53
10.35,1.21,3.01,410.56,401.29
10.55,1.19,3.02,381.23,397.31
10.75,1.18,3.02,361.68,395.76
10.95,1.20,3.02,351.91,398.86
11.15,1.20,3.02,337.24,398.86
11.35,1.20,3.01,351.91,399.75
11.55,1.19,3.01,347.02,398.20
11.75,1.21,3.02,347.02,400.40
11.95,1.21,3.01,327.47,401.29
12.15,1.20,2.99,327.47,400.64
12.35,1.22,2.99,347.02,403.74
12.55,1.19,2.97,332.36,400.89
12.75,1.21,2.99,351.91,402.19
12.95,1.18,3.02,337.24,395.76
13.15,1.20,3.02,347.02,398.86
13.35,1.18,3.01,347.02,396.64
13.55,1.18,3.01,332.36,396.64
13.75,1.21,2.99,342.13,402.19
13.95,1.21,3.02,342.13,400.40
14.15,1.18,3.01,347.02,396.64
14.35,1.21,3.02,332.36,400.40
14.55,1.19,3.01,332.36,398.20
14.75,1.19,3.01,347.02,398.20
14.95,1.19,3.02,347.02,397.31
15.15,1.20,2.99,337.24,400.64
15.35,1.21,3.01,332.36,401.29
15.55,1.17,2.99,347.02,395.96
15.75,1.21,3.02,356.79,400.40
15.95,1.21,3.03,361.68,399.52
16.15,1.19,2.99,366.57,399.09
16.35,1.21,3.02,371.46,400.40
16.55,1.20,3.01,366.57,399.75
16.75,1.20,2.99,376.34,400.64
16.95,1.18,3.02,430.11,395.76
17.15,1.19,3.01,464.32,398.20
17.35,1.20,3.01,498.53,399.75
17.55,1.19,3.01,527.86,398.20
17.75,1.20,2.99,562.07,400.64
17.95,1.21,2.99,586.51,402.19
18.15,1.19,3.01,601.17,398.20
18.35,1.20,3.01,537.63,399.75
18.55,1.21,3.01,483.87,401.29
18.75,1.20,3.01,488.76,399.75
18.95,1.19,3.01,469.21,398.20
19.15,1.19,3.02,478.98,397.31
19.35,1.21,3.01,459.43,401.29
19.55,1.19,3.01,430.11,398.20
