# material: Nylon PA6
# geometry: Three-Channel 5th AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 105_2
# operator: Akila_Ahmed
# start_time: 2026-07-27 14:36:29
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Corrected 5th AR with 0.3 Layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.01,283.48,401.29
1.42,1.21,3.01,254.15,401.29
1.62,1.21,3.02,249.27,400.40
1.82,1.21,2.99,249.27,402.19
2.02,1.20,3.01,254.15,399.75
2.22,1.19,3.01,244.38,398.20
2.42,1.21,3.01,259.04,401.29
2.62,1.19,2.99,239.49,399.09
2.82,1.21,3.01,239.49,401.29
3.02,1.19,3.01,244.38,398.20
3.22,1.20,2.97,249.27,402.45
3.42,1.21,3.02,254.15,400.40
3.62,1.17,2.99,263.93,395.96
3.82,1.20,3.02,244.38,398.86
4.02,1.20,3.01,234.60,399.75
4.22,1.21,3.02,244.38,400.40
4.42,1.21,3.02,239.49,400.40
4.62,1.20,2.99,249.27,400.64
4.82,1.20,3.01,254.15,399.75
5.02,1.20,3.02,249.27,398.86
5.22,1.21,3.01,259.04,401.29
5.42,1.19,2.99,239.49,399.09
5.62,1.20,3.01,224.83,399.75
5.82,1.19,3.02,210.17,397.31
6.02,1.20,3.01,234.60,399.75
6.22,1.20,3.02,229.72,398.86
6.42,1.19,2.99,229.72,399.09
6.62,1.21,3.02,234.60,400.40
6.82,1.19,3.01,224.83,398.20
7.02,1.20,2.99,229.72,400.64
7.22,1.20,3.01,224.83,399.75
7.42,1.21,2.99,229.72,402.19
7.62,1.20,3.05,224.83,397.10
7.82,1.20,2.99,229.72,400.64
8.02,1.19,2.99,234.60,399.09
8.22,1.21,3.05,215.05,398.63
8.42,1.20,3.01,239.49,399.75
8.62,1.21,2.99,224.83,402.19
8.82,1.21,2.99,239.49,402.19
9.02,1.21,3.02,249.27,400.40
9.22,1.20,2.99,239.49,400.64
9.42,1.21,3.02,234.60,400.40
9.62,1.21,3.03,224.83,399.52
9.82,1.21,3.02,239.49,400.40
10.02,1.21,3.02,259.04,400.40
10.22,1.21,2.99,234.60,402.19
10.42,1.21,3.02,259.04,400.40
10.62,1.20,3.02,249.27,398.86
10.82,1.20,2.99,259.04,400.64
11.02,1.18,2.99,244.38,397.53
11.22,1.20,3.02,244.38,398.86
11.42,1.20,3.02,254.15,398.86
11.62,1.18,3.01,259.04,396.64
11.82,1.19,3.02,263.93,397.31
12.02,1.19,3.01,254.15,398.20
12.22,1.21,3.02,249.27,400.40
12.42,1.19,3.01,234.60,398.20
12.62,1.20,2.99,244.38,400.64
12.82,1.21,3.02,234.60,400.40
13.02,1.20,2.99,219.94,400.64
13.22,1.21,3.02,219.94,400.40
13.42,1.20,2.99,215.05,400.64
13.62,1.21,3.01,234.60,401.29
13.82,1.21,3.02,229.72,400.40
14.02,1.20,2.98,229.72,401.55
14.22,1.19,3.02,244.38,397.31
14.42,1.18,3.01,234.60,396.64
14.62,1.22,3.02,249.27,401.94
14.82,1.20,3.01,224.83,399.75
15.02,1.20,3.01,229.72,399.75
15.22,1.21,2.99,224.83,402.19
15.42,1.20,3.01,229.72,399.75
15.62,1.21,3.02,219.94,400.40
15.82,1.21,3.01,229.72,401.29
16.02,1.21,3.02,249.27,400.40
16.22,1.20,3.02,249.27,398.86
16.42,1.18,3.01,254.15,396.64
16.62,1.20,3.01,254.15,399.75
16.82,1.20,3.02,239.49,398.86
17.02,1.20,3.02,249.27,398.86
17.22,1.21,3.02,254.15,400.40
17.42,1.20,3.02,254.15,398.86
17.62,1.18,3.02,239.49,395.76
17.82,1.22,3.01,259.04,402.84
18.02,1.21,3.02,259.04,400.40
18.22,1.18,3.02,244.38,395.76
18.42,1.18,2.97,229.72,399.32
18.62,1.20,3.01,239.49,399.75
18.82,1.20,3.02,244.38,398.86
