# material: Nylon PA6
# geometry: Three-Channel 5th AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 105_3
# operator: Akila_Ahmed
# start_time: 2026-07-28 13:56:58
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Corrected 5th AR with 0.3 mm Layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,2.99,337.24,402.19
1.42,1.21,3.02,327.47,400.40
1.62,1.19,3.02,322.58,397.31
1.82,1.21,2.99,303.03,402.19
2.02,1.19,3.02,283.48,397.31
2.22,1.19,3.03,283.48,396.43
2.42,1.20,3.02,317.69,398.86
2.62,1.19,3.01,288.37,398.20
2.82,1.22,3.02,317.69,401.94
3.02,1.20,3.01,303.03,399.75
3.22,1.20,3.01,322.58,399.75
3.42,1.21,3.02,298.14,400.40
3.62,1.18,2.99,312.81,397.53
3.82,1.21,3.02,303.03,400.40
4.02,1.21,2.99,307.92,402.19
4.22,1.21,3.01,288.37,401.29
4.42,1.20,2.99,288.37,400.64
4.62,1.20,3.02,307.92,398.86
4.82,1.18,3.01,322.58,396.64
5.02,1.19,3.02,307.92,397.31
5.22,1.21,3.02,283.48,400.40
5.42,1.19,3.01,288.37,398.20
5.62,1.21,3.02,293.26,400.40
5.82,1.21,3.02,293.26,400.40
6.02,1.20,3.02,278.59,398.86
6.22,1.18,2.99,263.93,397.53
6.42,1.21,3.02,263.93,400.40
6.62,1.19,3.01,254.15,398.20
6.82,1.20,3.02,239.49,398.86
7.02,1.19,3.01,224.83,398.20
7.22,1.20,3.01,234.60,399.75
7.42,1.20,3.02,229.72,398.86
7.62,1.19,2.99,219.94,399.09
7.82,1.18,3.02,244.38,395.76
8.02,1.20,3.03,249.27,397.98
8.22,1.19,3.01,244.38,398.20
8.42,1.20,3.01,239.49,399.75
8.62,1.21,3.01,249.27,401.29
8.82,1.20,2.99,234.60,400.64
9.02,1.21,3.02,259.04,400.40
9.22,1.21,3.01,249.27,401.29
9.42,1.20,3.01,224.83,399.75
9.62,1.20,3.02,215.05,398.86
9.82,1.20,3.01,234.60,399.75
10.02,1.20,3.02,239.49,398.86
10.22,1.17,3.01,234.60,395.07
10.42,1.22,3.02,239.49,401.94
10.62,1.20,3.01,229.72,399.75
10.82,1.21,2.99,229.72,402.19
11.02,1.18,3.01,234.60,396.64
11.22,1.21,3.02,239.49,400.40
11.42,1.21,3.02,229.72,400.40
11.62,1.21,3.02,244.38,400.40
11.82,1.20,3.01,234.60,399.75
12.02,1.20,3.01,239.49,399.75
12.22,1.22,3.01,244.38,402.84
12.42,1.20,3.02,244.38,398.86
12.62,1.20,3.02,234.60,398.86
12.82,1.20,2.99,210.17,400.64
13.02,1.21,3.02,205.28,400.40
13.22,1.19,3.02,229.72,397.31
13.42,1.21,3.02,219.94,400.40
13.62,1.20,3.01,219.94,399.75
13.82,1.21,3.02,229.72,400.40
14.02,1.19,3.02,215.05,397.31
14.22,1.20,3.02,219.94,398.86
14.42,1.21,3.01,205.28,401.29
14.62,1.20,3.01,200.39,399.75
14.82,1.21,3.02,215.05,400.40
15.02,1.20,2.99,215.05,400.64
15.22,1.21,3.02,215.05,400.40
15.42,1.19,3.02,205.28,397.31
15.62,1.21,3.01,219.94,401.29
15.82,1.21,3.01,234.60,401.29
16.02,1.20,3.02,215.05,398.86
16.22,1.21,2.99,210.17,402.19
16.42,1.20,2.99,229.72,400.64
16.62,1.21,3.01,234.60,401.29
16.82,1.20,3.01,219.94,399.75
17.02,1.20,3.01,210.17,399.75
17.22,1.21,3.01,205.28,401.29
17.42,1.19,3.02,215.05,397.31
17.62,1.20,3.03,200.39,397.98
17.82,1.21,3.01,205.28,401.29
18.02,1.19,2.97,195.50,400.89
18.22,1.20,3.03,200.39,397.98
18.42,1.21,2.99,200.39,402.19
18.62,1.20,3.01,190.62,399.75
18.82,1.21,3.02,180.84,400.40
19.02,1.19,2.99,180.84,399.09
19.22,1.18,3.02,200.39,395.76
19.42,1.21,3.01,185.73,401.29
19.62,1.20,3.02,219.94,398.86
19.82,1.19,3.01,205.28,398.20
20.02,1.20,3.01,205.28,399.75
20.22,1.22,3.01,205.28,402.84
20.42,1.20,3.01,215.05,399.75
20.62,1.20,3.03,234.60,397.98
20.82,1.19,3.01,224.83,398.20
21.02,1.20,3.02,200.39,398.86
21.22,1.21,3.02,185.73,400.40
21.42,1.21,3.02,200.39,400.40
21.62,1.19,3.02,195.50,397.31
21.82,1.20,3.01,219.94,399.75
22.02,1.21,3.02,205.28,400.40
22.22,1.20,3.02,224.83,398.86
22.42,1.20,3.02,219.94,398.86
22.62,1.19,2.99,200.39,399.09
22.82,1.20,3.01,215.05,399.75
23.02,1.20,3.03,215.05,397.98
23.22,1.20,3.01,215.05,399.75
23.42,1.21,3.02,210.17,400.40
23.62,1.21,3.01,224.83,401.29
23.82,1.21,3.01,210.17,401.29
24.02,1.20,3.03,200.39,397.98
24.22,1.21,3.02,195.50,400.40
24.42,1.19,2.99,219.94,399.09
24.62,1.21,3.02,224.83,400.40
24.82,1.21,3.02,190.62,400.40
25.02,1.20,3.01,185.73,399.75
25.22,1.19,3.03,190.62,396.43
25.42,1.18,2.99,205.28,397.53
25.62,1.19,3.02,205.28,397.31
25.82,1.20,3.01,190.62,399.75
26.02,1.21,3.01,200.39,401.29
26.22,1.20,3.03,185.73,397.98
26.42,1.21,3.02,185.73,400.40
26.62,1.19,2.99,215.05,399.09
26.82,1.19,3.02,195.50,397.31
27.02,1.20,3.01,185.73,399.75
27.22,1.20,3.01,200.39,399.75
27.42,1.18,3.03,200.39,394.88
27.62,1.20,2.99,205.28,400.64
27.82,1.20,3.02,205.28,398.86
28.02,1.18,2.98,205.28,398.42
28.22,1.21,2.99,210.17,402.19
28.42,1.18,3.01,200.39,396.64
28.62,1.20,3.01,219.94,399.75
28.82,1.21,3.01,210.17,401.29
29.02,1.20,3.01,215.05,399.75
29.22,1.19,3.02,195.50,397.31
29.42,1.21,2.99,185.73,402.19
29.62,1.21,3.01,195.50,401.29
29.82,1.18,2.99,200.39,397.53
30.02,1.20,2.99,215.05,400.64
30.22,1.18,3.01,205.28,396.64
30.42,1.20,3.01,210.17,399.75
30.62,1.19,2.99,195.50,399.09
30.82,1.20,3.01,215.05,399.75
31.02,1.21,2.99,205.28,402.19
