# material: PA6
# geometry: 7 ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 32085.0
# drawdown_ratio: 50.0
# trial_number: 002
# operator: Ahmed_Akila
# start_time: 2026-02-02 11:42:11
# notes: second heating 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.02,278.59,401.25
1.42,2.02,5.02,293.26,401.25
1.62,2.02,5.02,312.81,401.25
1.82,2.01,5.01,347.02,400.86
2.02,2.02,5.02,415.44,401.25
2.22,2.02,5.02,566.96,401.25
2.42,2.02,5.01,689.15,401.78
2.62,2.02,5.02,689.15,401.25
2.82,2.01,5.02,703.81,400.32
3.02,2.03,5.02,542.52,402.17
3.22,2.02,5.02,430.11,401.25
3.42,2.03,5.02,381.23,402.17
3.62,2.02,5.02,351.91,401.25
3.82,2.01,5.01,366.57,400.86
4.02,2.02,5.02,351.91,401.25
4.22,2.01,5.02,347.02,400.32
4.42,2.02,5.02,342.13,401.25
4.62,2.01,5.01,337.24,400.86
4.82,2.02,5.02,351.91,401.25
5.02,2.01,5.03,337.24,399.79
5.22,2.02,5.02,347.02,401.25
5.42,2.02,5.03,347.02,400.71
5.62,2.01,5.02,351.91,400.32
5.82,2.02,5.02,361.68,401.25
6.02,2.01,5.02,366.57,400.32
6.22,2.00,5.02,376.34,399.39
6.42,2.01,5.02,391.01,400.32
6.62,2.01,5.01,395.89,400.86
6.82,2.01,5.02,391.01,400.32
7.02,2.02,5.03,381.23,400.71
7.22,2.02,5.02,386.12,401.25
7.42,2.02,5.02,391.01,401.25
7.62,2.02,5.02,400.78,401.25
7.82,2.02,5.02,386.12,401.25
8.02,2.01,5.02,395.89,400.32
8.22,2.00,5.02,405.67,399.39
8.42,2.02,5.02,405.67,401.25
8.62,2.01,5.02,386.12,400.32
8.82,2.02,5.03,391.01,400.71
9.02,2.02,5.02,386.12,401.25
9.22,2.01,5.01,395.89,400.86
9.42,2.02,5.01,400.78,401.78
9.62,2.02,5.02,371.46,401.25
9.82,2.02,5.02,386.12,401.25
10.02,2.02,5.02,391.01,401.25
10.22,2.00,5.02,376.34,399.39
10.42,2.01,5.02,381.23,400.32
10.62,2.01,5.02,381.23,400.32
10.82,2.01,5.03,361.68,399.79
11.02,2.02,5.02,371.46,401.25
11.22,2.00,5.01,386.12,399.93
11.42,2.02,5.03,391.01,400.71
11.62,2.01,5.02,386.12,400.32
11.82,2.01,5.02,400.78,400.32
12.02,2.03,5.03,395.89,401.63
12.22,2.01,5.02,391.01,400.32
12.42,2.01,5.02,415.44,400.32
12.62,2.01,5.03,410.56,399.79
12.82,2.01,5.02,400.78,400.32
13.02,2.01,5.02,405.67,400.32
13.22,2.00,5.01,395.89,399.93
13.42,2.02,5.03,400.78,400.71
13.62,2.01,5.01,391.01,400.86
13.82,2.02,5.01,405.67,401.78
14.02,2.03,5.02,395.89,402.17
14.22,2.00,5.02,395.89,399.39
14.42,2.01,5.02,439.88,400.32
14.62,2.01,5.02,454.55,400.32
14.82,2.02,5.02,474.10,401.25
15.02,2.02,5.02,478.98,401.25
15.22,2.01,5.01,469.21,400.86
15.42,2.03,5.02,478.98,402.17
15.62,2.03,5.03,459.43,401.63
15.82,2.01,5.01,454.55,400.86
16.02,2.02,5.02,439.88,401.25
16.22,2.01,5.02,435.00,400.32
16.42,2.02,5.02,459.43,401.25
16.62,2.01,5.02,464.32,400.32
16.82,2.02,5.05,449.66,400.18
17.02,2.01,5.02,454.55,400.32
17.22,2.02,5.02,444.77,401.25
17.42,2.02,5.02,444.77,401.25
17.62,2.02,5.03,459.43,400.71
17.82,2.02,5.01,454.55,401.78
18.02,2.02,5.02,435.00,401.25
18.22,2.01,5.02,430.11,400.32
18.42,2.02,5.02,425.22,401.25
18.62,2.02,5.02,425.22,401.25
18.82,2.00,5.02,439.88,399.39
19.02,2.02,5.02,469.21,401.25
19.22,2.02,5.02,464.32,401.25
19.42,2.00,5.02,454.55,399.39
19.62,2.02,5.02,469.21,401.25
19.82,2.02,5.02,474.10,401.25
20.02,2.00,5.02,464.32,399.39
20.22,2.02,5.01,469.21,401.78
20.42,2.02,5.02,464.32,401.25
20.62,2.02,5.02,464.32,401.25
20.82,2.01,5.02,483.87,400.32
21.02,2.02,5.02,483.87,401.25
21.22,2.02,5.05,498.53,400.18
21.42,2.02,5.01,503.42,401.78
21.62,2.02,5.02,503.42,401.25
21.82,2.02,5.02,518.08,401.25
22.02,2.01,5.03,518.08,399.79
22.22,2.02,5.02,522.97,401.25
22.42,2.02,5.02,518.08,401.25
22.62,2.02,5.02,508.31,401.25
22.82,2.02,5.01,527.86,401.78
23.02,2.00,5.01,522.97,399.93
23.22,2.02,5.03,542.52,400.71
23.42,2.01,5.02,552.30,400.32
23.62,2.01,5.01,547.41,400.86
23.82,2.02,5.02,527.86,401.25
24.02,2.02,5.01,527.86,401.78
24.22,2.02,5.02,547.41,401.25
24.42,2.03,5.02,542.52,402.17
24.62,2.00,5.02,542.52,399.39
24.82,2.02,5.02,552.30,401.25
25.02,2.01,5.02,547.41,400.32
25.22,2.02,5.02,562.07,401.25
25.42,2.01,5.02,557.18,400.32
25.62,2.02,5.02,542.52,401.25
25.82,2.02,5.02,547.41,401.25
26.02,2.01,5.01,557.18,400.86
26.22,2.02,5.03,542.52,400.71
26.42,2.02,5.03,557.18,400.71
26.62,2.01,5.01,547.41,400.86
26.82,2.02,5.02,547.41,401.25
27.02,2.00,4.98,547.41,401.00
27.22,2.01,5.02,552.30,400.32
27.42,2.02,5.02,552.30,401.25
27.62,2.02,5.02,537.63,401.25
27.82,2.02,5.02,557.18,401.25
28.02,2.02,5.02,547.41,401.25
28.22,2.01,5.01,537.63,400.86
28.42,2.03,5.03,532.75,401.63
28.62,2.01,5.05,527.86,399.25
28.82,2.02,5.02,527.86,401.25
29.02,2.02,5.01,532.75,401.78
29.22,2.00,5.01,532.75,399.93
29.42,2.01,5.02,527.86,400.32
29.62,2.02,5.01,527.86,401.78
29.82,2.01,5.01,537.63,400.86
30.02,2.02,5.02,542.52,401.25
30.22,2.02,5.01,542.52,401.78
30.42,2.02,5.03,547.41,400.71
30.62,2.02,5.02,522.97,401.25
30.82,2.02,5.02,527.86,401.25
31.02,2.01,5.02,518.08,400.32
31.22,2.00,5.01,527.86,399.93
31.42,2.01,5.02,562.07,400.32
31.62,2.00,5.01,562.07,399.93
31.82,2.02,5.03,552.30,400.71
32.02,2.02,5.02,552.30,401.25
32.22,2.01,5.01,542.52,400.86
32.42,2.02,5.02,547.41,401.25
32.62,2.01,5.01,537.63,400.86
32.82,2.03,5.02,562.07,402.17
33.02,2.02,5.03,562.07,400.71
33.22,2.00,5.01,571.85,399.93
33.42,2.02,5.02,581.62,401.25
33.62,2.01,5.02,547.41,400.32
33.82,2.00,5.02,566.96,399.39
34.02,2.03,5.02,547.41,402.17
34.22,2.02,5.01,571.85,401.78
34.42,2.02,5.01,571.85,401.78
34.62,2.01,5.02,576.74,400.32
34.82,2.02,5.02,596.29,401.25
35.02,2.02,5.02,571.85,401.25
35.22,2.01,5.02,557.18,400.32
