# material: PA6
# geometry: CYlinder 3 channel 
# preform_diameter: 20.0
# material_color: White 
# temperature_C: NONE
# drawdown_ratio: 50.0
# trial_number: 009_002
# operator: Hamdi 
# start_time: 2026-03-19 12:22:38
# notes: Measuring the fiber diameter
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.93,4.63,513.20,408.03
1.42,1.94,4.63,498.53,409.01
1.62,1.95,4.63,488.76,410.00
1.82,1.94,4.63,503.42,409.01
2.02,1.95,4.63,478.98,410.00
2.22,1.94,4.63,469.21,409.01
2.42,1.94,4.62,474.10,409.61
2.62,1.93,4.62,474.10,408.62
2.82,1.95,4.63,483.87,410.00
3.02,1.94,4.63,498.53,409.01
3.22,1.94,4.63,493.65,409.01
3.42,1.94,4.63,493.65,409.01
3.62,1.93,4.63,478.98,408.03
3.82,1.93,4.63,478.98,408.03
4.02,1.94,4.62,474.10,409.61
