# material: PA6
# geometry: Cylinder 3 channal
# preform_diameter: 20.0
# material_color: White
# temperature_C: NONE
# drawdown_ratio: 50.0
# trial_number: 009_004
# operator: Hamdi
# start_time: 2026-03-19 12:26:11
# notes: Measuring the fiber diameter
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.94,4.62,650.05,409.61
1.42,1.94,4.63,669.60,409.01
1.62,1.94,4.63,703.81,409.01
1.82,1.94,4.63,694.04,409.01
2.02,1.95,4.64,708.70,409.40
2.22,1.95,4.63,713.59,410.00
2.42,1.93,4.63,718.48,408.03
2.62,1.93,4.62,747.80,408.62
2.82,1.95,4.63,757.58,410.00
3.02,1.93,4.63,767.35,408.03
3.22,1.94,4.63,747.80,409.01
3.42,1.93,4.64,733.14,407.44
3.62,1.94,4.63,733.14,409.01
3.82,1.93,4.63,738.03,408.03
4.02,1.94,4.64,733.14,408.42
