# material: PA6
# geometry: Cylinder 3 channel 
# preform_diameter: 20.0
# material_color: White 
# temperature_C: NONE
# drawdown_ratio: 50.0
# trial_number: 009_005
# operator: Hamdi 
# start_time: 2026-03-19 12:27:04
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.94,4.62,767.35,409.61
1.42,1.95,4.63,752.69,410.00
1.62,1.95,4.63,762.46,410.00
1.82,1.95,4.63,747.80,410.00
2.02,1.94,4.63,738.03,409.01
2.22,1.95,4.63,728.25,410.00
2.42,1.93,4.62,733.14,408.62
2.62,1.93,4.63,733.14,408.03
2.82,1.95,4.63,742.91,410.00
3.02,1.93,4.63,738.03,408.03
3.22,1.93,4.64,747.80,407.44
3.42,1.93,4.63,733.14,408.03
