# material: PA6
# geometry: Cylinder 3 channel 
# preform_diameter: 20.0
# material_color: White
# temperature_C: NONE
# drawdown_ratio: 50.0
# trial_number: 009_006
# operator: Hamdi
# start_time: 2026-03-19 12:28:13
# notes: Measuring the fiber diameter
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.93,4.62,782.01,408.62
1.42,1.94,4.63,777.13,409.01
1.62,1.94,4.63,791.79,409.01
1.82,1.95,4.63,801.56,410.00
2.02,1.94,4.63,742.91,409.01
2.22,1.94,4.63,757.58,409.01
2.42,1.94,4.62,757.58,409.61
2.62,1.95,4.62,762.46,410.59
2.82,1.94,4.63,752.69,409.01
3.02,1.93,4.63,742.91,408.03
3.22,1.93,4.64,738.03,407.44
3.42,1.94,4.63,757.58,409.01
3.62,1.94,4.63,738.03,409.01
3.82,1.92,4.63,742.91,407.04
