# material: PA6
# geometry: Cylinder 3 channel
# preform_diameter: 20.0
# material_color: White 
# temperature_C: NONE
# drawdown_ratio: 50.0
# trial_number: 009_001
# operator: Hamdi
# start_time: 2026-03-19 12:21:37
# notes: Measuring the diameter of the fiber 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.92,4.63,498.53,407.04
1.42,1.94,4.63,498.53,409.01
1.62,1.94,4.63,522.97,409.01
1.82,1.94,4.63,557.18,409.01
2.02,1.95,4.63,552.30,410.00
2.22,1.94,4.63,522.97,409.01
2.42,1.93,4.63,508.31,408.03
2.62,1.95,4.63,508.31,410.00
2.82,1.94,4.63,532.75,409.01
3.02,1.95,4.63,537.63,410.00
3.22,1.94,4.63,532.75,409.01
3.42,1.94,4.63,542.52,409.01
3.62,1.93,4.64,566.96,407.44
3.82,1.94,4.63,537.63,409.01
4.02,1.94,4.62,537.63,409.61
4.22,1.94,4.63,547.41,409.01
4.42,1.94,4.62,532.75,409.61
4.62,1.94,4.63,557.18,409.01
4.82,1.93,4.63,552.30,408.03
5.02,1.95,4.63,552.30,410.00
5.22,1.94,4.63,537.63,409.01
5.42,1.93,4.62,542.52,408.62
5.62,1.93,4.63,527.86,408.03
5.82,1.94,4.63,547.41,409.01
6.02,1.94,4.63,552.30,409.01
