# material: PA6
# geometry: Cylinder 3Ch
# preform_diameter: 20.0
# material_color: White 
# temperature_C: 310.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Ahmed_Akila
# start_time: 2026-02-02 11:14:24
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.02,493.65,401.25
1.42,2.02,5.03,508.31,400.71
1.62,2.02,5.03,518.08,400.71
1.82,2.00,5.02,518.08,399.39
2.02,2.02,5.02,527.86,401.25
2.22,2.01,5.03,518.08,399.79
2.42,2.02,5.02,518.08,401.25
2.62,2.00,5.02,522.97,399.39
2.82,2.02,5.02,518.08,401.25
3.02,2.02,5.03,522.97,400.71
3.22,2.01,5.02,508.31,400.32
3.42,2.03,5.03,513.20,401.63
3.62,2.02,5.03,518.08,400.71
3.82,2.02,5.05,508.31,400.18
4.02,2.01,5.02,513.20,400.32
4.22,2.02,5.03,503.42,400.71
4.42,2.02,5.02,503.42,401.25
4.62,2.00,5.02,498.53,399.39
4.82,2.03,5.02,503.42,402.17
5.02,2.02,5.03,493.65,400.71
5.22,2.02,5.03,503.42,400.71
5.42,2.01,5.02,522.97,400.32
5.62,2.02,5.02,527.86,401.25
5.82,2.02,5.02,532.75,401.25
6.02,2.01,5.02,527.86,400.32
6.22,2.02,5.02,483.87,401.25
6.42,2.01,5.03,464.32,399.79
6.62,2.02,5.02,454.55,401.25
6.82,2.01,5.01,449.66,400.86
7.02,2.02,5.03,459.43,400.71
7.22,2.00,5.02,469.21,399.39
7.42,2.00,5.02,478.98,399.39
7.62,2.02,5.02,493.65,401.25
7.82,2.01,5.02,493.65,400.32
8.02,2.02,5.02,498.53,401.25
8.22,2.02,5.02,503.42,401.25
8.42,2.01,5.02,503.42,400.32
8.62,2.00,5.05,488.76,398.33
8.82,2.00,5.03,503.42,398.86
9.02,2.02,5.03,503.42,400.71
9.22,2.01,5.02,483.87,400.32
9.42,2.01,5.02,498.53,400.32
9.62,2.02,5.02,488.76,401.25
9.82,2.02,5.03,488.76,400.71
10.02,2.02,5.02,474.10,401.25
10.22,2.01,5.03,483.87,399.79
10.42,2.02,5.03,488.76,400.71
10.62,2.02,5.02,493.65,401.25
10.82,2.01,5.02,483.87,400.32
11.02,2.02,5.02,474.10,401.25
11.22,2.03,5.02,474.10,402.17
11.42,2.01,5.02,469.21,400.32
11.62,2.02,5.03,474.10,400.71
11.82,2.01,5.03,488.76,399.79
12.02,2.01,5.02,498.53,400.32
12.22,2.02,5.02,488.76,401.25
12.42,2.02,5.02,498.53,401.25
12.62,2.01,5.02,503.42,400.32
12.82,2.02,5.02,522.97,401.25
13.02,2.02,5.03,537.63,400.71
13.22,2.02,5.05,552.30,400.18
13.42,2.02,5.03,532.75,400.71
13.62,2.02,5.05,542.52,400.18
13.82,2.03,5.03,557.18,401.63
14.02,2.03,5.03,547.41,401.63
14.22,2.02,5.02,527.86,401.25
14.42,2.02,5.03,508.31,400.71
14.62,2.00,5.03,474.10,398.86
14.82,2.02,5.03,483.87,400.71
15.02,2.02,5.02,493.65,401.25
15.22,2.02,5.02,513.20,401.25
15.42,2.00,5.03,503.42,398.86
15.62,2.02,5.03,513.20,400.71
15.82,2.03,5.02,498.53,402.17
16.02,2.00,5.02,483.87,399.39
16.22,2.02,5.01,474.10,401.78
16.42,2.02,5.03,478.98,400.71
16.62,2.02,5.03,469.21,400.71
16.82,2.01,5.02,474.10,400.32
17.02,2.02,5.02,498.53,401.25
17.22,2.01,5.03,508.31,399.79
17.42,2.02,5.02,513.20,401.25
17.62,2.02,5.02,513.20,401.25
17.82,2.02,5.02,503.42,401.25
18.02,2.02,5.02,503.42,401.25
18.22,2.02,5.03,513.20,400.71
18.42,2.02,5.02,513.20,401.25
18.62,2.02,5.03,513.20,400.71
18.82,2.00,5.02,488.76,399.39
19.02,2.03,5.02,503.42,402.17
19.22,2.02,5.03,547.41,400.71
19.42,2.01,5.03,566.96,399.79
19.62,2.02,5.01,630.50,401.78
19.82,2.02,5.02,674.49,401.25
20.02,2.02,5.02,679.37,401.25
20.22,2.01,5.02,645.16,400.32
20.42,2.02,5.03,610.95,400.71
20.62,2.03,5.03,557.18,401.63
20.82,2.01,5.02,557.18,400.32
21.02,2.02,5.03,537.63,400.71
21.22,2.01,5.03,513.20,399.79
21.42,2.01,5.03,488.76,399.79
21.62,2.00,5.03,474.10,398.86
21.82,2.02,5.03,488.76,400.71
22.02,2.03,5.02,478.98,402.17
22.22,2.00,5.03,488.76,398.86
22.42,2.02,5.02,498.53,401.25
22.62,2.02,5.02,508.31,401.25
22.82,2.02,5.03,503.42,400.71
23.02,2.02,5.02,508.31,401.25
23.22,2.02,5.03,513.20,400.71
23.42,2.02,5.03,522.97,400.71
23.62,2.02,5.03,518.08,400.71
