# material: PA6
# geometry: Cylinder 7CH
# preform_diameter: 20.0
# material_color: White
# temperature_C: 320.0
# drawdown_ratio: 50.0
# trial_number: 003
# operator: Ahmed_Akila
# start_time: 2026-02-04 10:55:22
# notes: Second heating part trial
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.01,904.20,400.86
1.42,2.01,5.01,904.20,400.86
1.62,2.02,5.01,899.32,401.78
1.82,2.01,5.01,889.54,400.86
2.02,2.02,5.02,904.20,401.25
2.22,2.01,5.02,879.77,400.32
2.42,2.01,5.01,850.44,400.86
2.62,2.02,5.01,816.23,401.78
2.82,2.03,5.02,772.24,402.17
3.02,2.01,5.02,718.48,400.32
3.22,2.02,5.01,694.04,401.78
3.42,2.03,5.05,674.49,401.10
3.62,2.02,5.01,650.05,401.78
3.82,2.02,5.01,635.39,401.78
4.02,2.02,5.02,620.72,401.25
4.22,2.02,5.02,601.17,401.25
4.42,2.02,4.99,586.51,402.32
4.62,2.02,5.02,581.62,401.25
4.82,2.01,5.02,606.06,400.32
5.02,2.01,5.02,615.84,400.32
5.22,2.01,5.01,625.61,400.86
5.42,2.02,5.02,635.39,401.25
5.62,2.02,5.02,654.94,401.25
5.82,2.01,5.03,659.82,399.79
6.02,2.02,5.02,659.82,401.25
6.22,2.02,4.99,659.82,402.32
6.42,2.02,5.01,635.39,401.78
6.62,2.01,5.02,640.27,400.32
6.82,2.02,5.01,615.84,401.78
7.02,2.02,5.01,606.06,401.78
7.22,2.02,5.02,610.95,401.25
7.42,2.02,5.02,601.17,401.25
7.62,2.01,5.02,576.74,400.32
7.82,2.02,5.01,591.40,401.78
8.02,2.03,5.02,591.40,402.17
8.22,2.01,5.01,571.85,400.86
8.42,2.02,5.01,562.07,401.78
8.62,2.02,5.02,566.96,401.25
8.82,2.01,5.02,557.18,400.32
9.02,2.03,5.01,566.96,402.71
9.22,2.01,5.01,557.18,400.86
9.42,2.01,5.01,547.41,400.86
9.62,2.02,5.01,547.41,401.78
9.82,2.02,5.01,542.52,401.78
10.02,2.01,5.02,537.63,400.32
10.22,2.02,5.01,562.07,401.78
10.42,2.02,5.02,576.74,401.25
10.62,2.02,5.01,576.74,401.78
10.82,2.01,5.01,557.18,400.86
11.02,2.02,5.02,552.30,401.25
11.22,2.00,5.01,571.85,399.93
11.42,2.01,5.02,581.62,400.32
11.62,2.01,5.02,576.74,400.32
11.82,2.01,5.01,571.85,400.86
12.02,2.03,5.01,576.74,402.71
12.22,2.02,5.01,571.85,401.78
12.42,2.00,5.01,557.18,399.93
12.62,2.02,5.01,547.41,401.78
12.82,2.02,5.01,527.86,401.78
13.02,2.01,5.01,522.97,400.86
13.22,2.02,5.01,532.75,401.78
13.42,2.02,5.01,532.75,401.78
13.62,2.00,5.01,532.75,399.93
13.82,2.01,5.02,522.97,400.32
14.02,2.02,5.02,518.08,401.25
14.22,2.00,5.02,498.53,399.39
14.42,2.03,5.02,508.31,402.17
14.62,2.02,5.02,498.53,401.25
14.82,2.02,5.02,478.98,401.25
15.02,2.03,5.02,474.10,402.17
15.22,2.03,5.02,454.55,402.17
15.42,2.02,5.02,459.43,401.25
15.62,2.01,5.02,444.77,400.32
15.82,2.03,5.02,430.11,402.17
16.02,2.01,5.01,420.33,400.86
16.22,2.01,5.02,430.11,400.32
16.42,2.02,5.02,430.11,401.25
16.62,2.00,5.02,420.33,399.39
16.82,2.02,4.98,435.00,402.86
17.02,2.01,5.02,435.00,400.32
17.22,2.01,5.01,425.22,400.86
17.42,2.02,5.01,430.11,401.78
17.62,2.02,5.02,435.00,401.25
17.82,2.01,5.02,420.33,400.32
18.02,2.03,5.02,439.88,402.17
18.22,2.01,5.02,439.88,400.32
18.42,2.02,5.01,430.11,401.78
18.62,2.02,5.01,435.00,401.78
18.82,2.03,5.01,454.55,402.71
19.02,2.01,5.02,449.66,400.32
19.22,2.01,5.01,454.55,400.86
19.42,2.02,5.01,449.66,401.78
19.62,2.02,5.03,454.55,400.71
19.82,2.02,4.99,449.66,402.32
20.02,2.02,5.03,459.43,400.71
20.22,2.02,5.02,449.66,401.25
20.42,2.03,5.01,459.43,402.71
20.62,2.02,5.02,449.66,401.25
20.82,2.00,5.01,425.22,399.93
21.02,2.02,5.01,430.11,401.78
21.22,2.02,5.02,430.11,401.25
21.42,2.01,5.01,435.00,400.86
21.62,2.01,4.97,425.22,402.48
21.82,2.02,5.02,435.00,401.25
22.02,2.01,5.01,430.11,400.86
22.22,2.00,5.01,454.55,399.93
22.42,2.02,5.01,449.66,401.78
22.62,2.02,5.02,439.88,401.25
22.82,2.02,5.01,435.00,401.78
23.02,2.02,5.02,420.33,401.25
23.22,2.01,5.02,425.22,400.32
23.42,2.02,5.01,415.44,401.78
23.62,2.01,5.02,435.00,400.32
23.82,2.02,5.01,420.33,401.78
24.02,2.02,5.01,420.33,401.78
24.22,2.02,5.02,410.56,401.25
24.42,2.01,5.02,395.89,400.32
24.62,2.02,5.02,410.56,401.25
24.82,2.01,5.01,420.33,400.86
25.02,2.00,5.02,415.44,399.39
25.22,2.00,5.02,415.44,399.39
25.42,2.02,5.02,425.22,401.25
25.62,2.01,5.01,425.22,400.86
25.82,2.00,4.99,420.33,400.46
26.02,2.01,5.01,420.33,400.86
26.22,2.02,5.02,425.22,401.25
26.42,2.00,5.01,420.33,399.93
26.62,2.02,5.01,425.22,401.78
26.82,2.03,5.02,425.22,402.17
27.02,2.01,5.01,435.00,400.86
27.22,2.02,5.02,425.22,401.25
27.42,2.01,5.02,410.56,400.32
27.62,2.00,5.01,410.56,399.93
27.82,2.01,5.02,435.00,400.32
28.02,2.01,5.02,439.88,400.32
28.22,2.01,5.01,439.88,400.86
28.42,2.02,5.01,439.88,401.78
28.62,2.02,5.02,439.88,401.25
28.82,2.02,5.01,444.77,401.78
29.02,2.01,5.01,439.88,400.86
29.22,2.02,5.01,439.88,401.78
29.42,2.01,5.01,435.00,400.86
29.62,2.02,5.01,439.88,401.78
29.82,2.01,5.02,449.66,400.32
30.02,2.01,5.03,425.22,399.79
30.22,2.01,5.02,425.22,400.32
30.42,2.03,5.02,430.11,402.17
30.62,2.01,5.01,410.56,400.86
30.82,2.01,5.01,410.56,400.86
31.02,2.02,5.01,415.44,401.78
31.22,2.02,5.01,425.22,401.78
31.42,2.01,5.01,410.56,400.86
31.62,2.02,5.02,420.33,401.25
31.82,2.03,5.02,410.56,402.17
32.02,2.00,4.99,420.33,400.46
32.22,2.02,5.02,415.44,401.25
32.42,2.01,5.02,410.56,400.32
32.62,2.01,5.02,400.78,400.32
32.82,2.02,5.02,395.89,401.25
33.02,2.02,5.01,386.12,401.78
33.22,2.02,5.01,395.89,401.78
33.42,2.02,5.01,420.33,401.78
33.62,2.02,5.02,415.44,401.25
33.82,2.00,5.01,415.44,399.93
34.02,2.02,5.01,425.22,401.78
34.22,2.01,5.03,425.22,399.79
34.42,2.01,5.01,430.11,400.86
34.62,2.02,5.02,430.11,401.25
34.82,2.01,5.01,420.33,400.86
35.02,2.00,5.02,425.22,399.39
35.22,2.02,5.02,464.32,401.25
35.42,2.01,5.01,469.21,400.86
35.62,2.01,5.01,478.98,400.86
35.82,2.02,5.01,498.53,401.78
36.02,2.02,5.02,498.53,401.25
36.22,2.01,5.01,469.21,400.86
36.42,2.03,5.01,464.32,402.71
36.62,2.01,5.02,474.10,400.32
36.82,2.00,5.03,454.55,398.86
37.02,2.02,5.02,439.88,401.25
37.22,2.02,5.01,425.22,401.78
37.42,2.01,5.01,405.67,400.86
37.62,2.02,5.01,405.67,401.78
37.82,2.02,5.02,395.89,401.25
38.02,2.00,5.01,376.34,399.93
38.22,2.00,5.01,400.78,399.93
38.42,2.03,5.03,405.67,401.63
38.62,2.02,5.03,415.44,400.71
38.82,2.02,5.01,430.11,401.78
39.02,2.02,5.02,444.77,401.25
39.22,2.01,5.01,430.11,400.86
39.42,2.02,5.01,439.88,401.78
39.62,2.02,5.01,439.88,401.78
39.82,2.02,5.01,449.66,401.78
40.02,2.02,5.03,444.77,400.71
40.22,2.02,5.01,449.66,401.78
40.42,2.01,5.01,439.88,400.86
40.62,2.02,5.01,444.77,401.78
40.82,2.02,5.01,459.43,401.78
41.02,2.02,5.01,459.43,401.78
41.22,2.02,5.01,459.43,401.78
41.42,2.02,5.01,454.55,401.78
41.62,2.02,5.02,454.55,401.25
41.82,2.02,5.01,430.11,401.78
42.02,2.02,5.02,430.11,401.25
42.22,2.03,5.02,435.00,402.17
42.42,2.02,5.01,435.00,401.78
42.62,2.02,5.02,430.11,401.25
42.82,2.03,5.02,430.11,402.17
43.02,2.01,5.01,454.55,400.86
43.22,2.02,5.02,464.32,401.25
43.42,2.01,5.02,464.32,400.32
43.62,2.00,5.02,469.21,399.39
43.82,2.02,5.03,483.87,400.71
44.02,2.02,5.02,483.87,401.25
44.22,2.00,5.01,474.10,399.93
44.42,2.02,4.98,503.42,402.86
44.62,2.02,5.02,522.97,401.25
44.82,2.01,5.01,503.42,400.86
45.02,2.02,5.01,478.98,401.78
45.22,2.02,5.02,464.32,401.25
45.42,2.00,5.01,435.00,399.93
45.62,2.00,5.01,420.33,399.93
45.82,2.02,5.01,444.77,401.78
46.02,2.01,5.02,459.43,400.32
46.22,2.00,5.01,464.32,399.93
46.42,2.01,5.02,459.43,400.32
46.62,2.02,5.02,449.66,401.25
46.82,2.02,5.01,474.10,401.78
47.02,2.03,5.03,488.76,401.63
47.22,2.02,5.01,483.87,401.78
47.42,2.02,5.01,474.10,401.78
47.62,2.02,5.02,474.10,401.25
47.82,2.02,5.01,454.55,401.78
48.02,2.02,5.01,449.66,401.78
48.22,2.01,5.02,444.77,400.32
48.42,2.01,5.01,439.88,400.86
48.62,2.02,5.02,425.22,401.25
48.82,2.02,5.02,425.22,401.25
49.02,2.01,5.02,410.56,400.32
49.22,2.02,5.03,420.33,400.71
