# material: PA6
# geometry: Cylinder 7Ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 006
# operator: Ahmed_Akila
# start_time: 2026-02-04 12:54:24
# notes: without preheating; thinner diameter 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,4.99,342.13,402.32
1.42,2.02,5.01,298.14,401.78
1.62,2.00,4.99,288.37,400.46
1.82,2.02,4.99,312.81,402.32
2.02,2.01,4.99,293.26,401.39
2.22,2.02,4.99,317.69,402.32
2.42,2.02,5.01,405.67,401.78
2.62,2.00,4.99,444.77,400.46
2.82,2.02,4.99,483.87,402.32
3.02,2.01,5.01,420.33,400.86
3.22,2.02,4.99,361.68,402.32
3.42,2.02,4.99,337.24,402.32
3.62,2.01,4.99,322.58,401.39
3.82,2.03,5.01,351.91,402.71
4.02,2.02,4.99,342.13,402.32
4.22,2.01,5.01,337.24,400.86
4.42,2.00,4.99,293.26,400.46
4.62,2.02,5.01,244.38,401.78
4.82,2.01,4.99,224.83,401.39
5.02,2.02,4.99,205.28,402.32
5.22,2.02,5.01,175.95,401.78
5.42,2.00,4.99,175.95,400.46
5.62,2.03,4.99,166.18,403.25
5.82,2.00,4.99,156.40,400.46
6.02,2.02,4.99,146.63,402.32
6.22,2.01,4.99,136.85,401.39
6.42,2.02,4.99,141.74,402.32
6.62,2.01,5.02,127.08,400.32
6.82,2.01,4.99,131.96,401.39
7.02,2.01,4.99,146.63,401.39
7.22,2.02,4.99,141.74,402.32
7.42,2.03,4.99,141.74,403.25
7.62,2.02,4.99,156.40,402.32
7.82,2.02,5.01,151.52,401.78
8.02,2.01,4.99,146.63,401.39
8.22,2.02,4.99,146.63,402.32
8.42,2.01,5.01,156.40,400.86
8.62,2.02,4.99,171.07,402.32
8.82,2.02,4.98,161.29,402.86
9.02,2.02,4.99,161.29,402.32
9.22,2.02,5.01,151.52,401.78
9.42,2.02,4.99,136.85,402.32
9.62,2.02,5.01,151.52,401.78
9.82,2.02,4.99,141.74,402.32
10.02,2.02,5.01,156.40,401.78
10.22,2.01,5.01,156.40,400.86
10.42,2.02,5.01,185.73,401.78
10.62,2.01,4.99,156.40,401.39
10.82,2.02,4.99,171.07,402.32
11.02,2.00,4.99,180.84,400.46
11.22,2.02,4.99,195.50,402.32
11.42,2.02,4.99,185.73,402.32
11.62,2.00,4.99,180.84,400.46
11.82,2.01,5.01,166.18,400.86
12.02,2.02,5.01,146.63,401.78
12.22,2.02,4.99,166.18,402.32
12.42,2.00,4.99,166.18,400.46
12.62,2.02,4.99,190.62,402.32
12.82,2.02,4.99,175.95,402.32
13.02,2.01,4.99,166.18,401.39
13.22,2.02,4.99,175.95,402.32
13.42,2.02,4.99,161.29,402.32
13.62,2.03,5.02,171.07,402.17
13.82,2.01,4.99,175.95,401.39
14.02,2.02,5.01,195.50,401.78
14.22,2.01,4.98,224.83,401.94
14.42,2.02,4.99,254.15,402.32
14.62,2.01,4.99,239.49,401.39
14.82,2.02,4.98,254.15,402.86
15.02,2.02,4.99,273.70,402.32
15.22,2.01,4.99,244.38,401.39
15.42,2.01,4.99,254.15,401.39
15.62,2.02,4.99,224.83,402.32
15.82,2.02,4.99,190.62,402.32
16.02,2.01,5.01,185.73,400.86
16.22,2.02,4.97,219.94,403.41
16.42,2.02,4.99,229.72,402.32
16.62,2.00,4.99,200.39,400.46
16.82,2.03,5.01,195.50,402.71
17.02,2.01,4.98,185.73,401.94
17.22,2.03,5.02,185.73,402.17
17.42,2.01,4.99,185.73,401.39
17.62,2.02,4.99,190.62,402.32
17.82,2.01,4.99,175.95,401.39
18.02,2.02,4.99,229.72,402.32
18.22,2.02,5.01,229.72,401.78
18.42,2.02,4.98,210.17,402.86
18.62,2.01,4.99,205.28,401.39
18.82,2.02,5.01,195.50,401.78
19.02,2.03,5.01,156.40,402.71
19.22,2.03,5.01,190.62,402.71
19.42,2.01,5.01,190.62,400.86
19.62,2.00,4.99,185.73,400.46
19.82,2.03,5.03,200.39,401.63
20.02,2.02,4.98,195.50,402.86
20.22,2.02,5.01,190.62,401.78
20.42,2.02,4.99,195.50,402.32
20.62,2.02,4.99,185.73,402.32
20.82,2.03,5.02,180.84,402.17
21.02,2.01,4.99,210.17,401.39
21.22,2.02,5.01,166.18,401.78
21.42,2.02,5.02,180.84,401.25
21.62,2.01,4.99,175.95,401.39
21.82,2.02,4.99,180.84,402.32
22.02,2.03,5.01,195.50,402.71
22.22,2.01,4.99,195.50,401.39
22.42,2.02,5.01,215.05,401.78
22.62,2.01,5.01,249.27,400.86
22.82,2.02,5.01,298.14,401.78
23.02,2.03,4.99,288.37,403.25
23.22,2.02,5.01,273.70,401.78
