# material: PA6
# geometry: Cylinder fiber
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85-290
# drawdown_ratio: 50.0
# trial_number: Solid PA6-1
# operator: Hamdi_Ahmed
# start_time: 2026-04-21 19:11:40
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.02,464.32,398.86
1.42,1.20,3.03,459.43,397.98
1.62,1.20,3.03,459.43,397.98
1.82,1.21,3.03,464.32,399.52
2.02,1.20,3.05,459.43,397.10
2.22,1.21,3.05,488.76,398.63
2.42,1.20,3.02,474.10,398.86
2.62,1.19,3.02,483.87,397.31
2.82,1.21,3.05,493.65,398.63
3.02,1.21,3.03,498.53,399.52
3.22,1.19,3.05,493.65,395.56
3.42,1.19,3.03,493.65,396.43
3.62,1.21,3.02,488.76,400.40
3.82,1.19,3.05,498.53,395.56
4.02,1.20,3.05,503.42,397.10
4.22,1.20,3.03,503.42,397.98
4.42,1.20,3.05,503.42,397.10
4.62,1.21,3.02,498.53,400.40
4.82,1.19,3.02,483.87,397.31
5.02,1.18,3.02,493.65,395.76
5.22,1.20,3.03,488.76,397.98
5.42,1.18,3.05,488.76,394.01
5.62,1.20,3.05,483.87,397.10
5.82,1.19,3.05,478.98,395.56
6.02,1.20,3.05,478.98,397.10
6.22,1.20,3.03,488.76,397.98
6.42,1.21,3.03,488.76,399.52
6.62,1.20,3.05,488.76,397.10
