# material: PA6
# geometry: Fiber
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85-290
# drawdown_ratio: 50.0
# trial_number: Solid PA6-2
# operator: Hamdi_Ahmed
# start_time: 2026-04-21 19:12:40
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.03,420.33,397.98
1.42,1.20,3.05,430.11,397.10
1.62,1.21,3.05,425.22,398.63
1.82,1.20,3.03,439.88,397.98
2.02,1.20,3.03,444.77,397.98
2.22,1.21,3.03,444.77,399.52
2.42,1.18,3.03,454.55,394.88
2.62,1.21,3.03,469.21,399.52
2.82,1.19,3.05,459.43,395.56
3.02,1.21,3.05,469.21,398.63
3.22,1.21,3.03,469.21,399.52
3.42,1.18,3.03,474.10,394.88
3.62,1.19,3.03,469.21,396.43
3.82,1.20,3.03,469.21,397.98
4.02,1.21,3.03,459.43,399.52
4.22,1.19,3.02,454.55,397.31
4.42,1.20,3.02,464.32,398.86
4.62,1.20,3.02,459.43,398.86
4.82,1.21,3.05,459.43,398.63
5.02,1.21,3.03,454.55,399.52
5.22,1.21,3.05,464.32,398.63
5.42,1.20,3.02,454.55,398.86
5.62,1.21,3.03,469.21,399.52
5.82,1.18,3.03,454.55,394.88
6.02,1.21,3.03,464.32,399.52
6.22,1.27,3.11,0.00,403.31
6.42,1.26,3.13,0.00,400.96
6.62,1.24,3.10,0.00,399.70
