# material: PA6
# geometry: Hollow Cykinder_ for nano ink
# preform_diameter: 20.0
# material_color: White 
# temperature_C: 85290.0
# drawdown_ratio: ..............
# trial_number: 030
# operator: Ahmed
# start_time: 2026-04-01 14:14:25
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.96,0.67,327.47,1079.54
1.42,1.95,0.71,337.24,1046.05
1.62,1.96,0.71,337.24,1048.55
1.82,1.94,0.67,351.91,1074.39
2.02,1.96,0.67,366.57,1079.54
2.22,1.95,0.72,371.46,1036.32
2.42,1.96,0.70,351.91,1058.58
2.62,1.95,0.67,361.68,1076.97
2.82,1.96,0.71,376.34,1048.55
3.02,1.95,0.71,351.91,1046.05
3.22,1.95,0.68,351.91,1066.36
3.42,1.96,0.71,337.24,1048.55
3.62,1.96,0.71,351.91,1051.04
3.82,1.96,0.68,347.02,1068.91
4.02,1.96,0.71,347.02,1048.55
4.22,1.96,0.71,361.68,1051.04
4.42,1.96,0.68,356.79,1071.45
4.62,1.94,0.68,356.79,1063.81
4.82,1.95,0.71,376.34,1046.05
5.02,1.96,0.70,376.34,1058.58
5.22,1.94,0.71,376.34,1043.54
5.42,1.96,0.70,376.34,1058.58
5.62,1.96,0.70,376.34,1058.58
5.82,1.95,0.68,376.34,1066.36
6.02,1.96,0.68,386.12,1068.91
6.22,1.96,0.71,400.78,1048.55
6.42,1.96,0.71,391.01,1048.55
6.62,1.96,0.70,395.89,1058.58
6.82,1.96,0.70,386.12,1058.58
7.02,1.95,0.71,361.68,1046.05
7.22,1.95,0.68,361.68,1066.36
7.42,1.95,0.71,361.68,1046.05
7.62,1.96,0.71,381.23,1048.55
7.82,1.96,0.67,361.68,1079.54
8.02,1.95,0.68,361.68,1066.36
8.22,1.96,0.71,366.57,1048.55
8.42,1.96,0.70,366.57,1058.58
8.62,1.96,0.70,351.91,1058.58
8.82,1.96,0.70,351.91,1058.58
9.02,1.96,0.71,351.91,1051.04
9.22,1.96,0.67,317.69,1079.54
9.42,1.96,0.67,312.81,1079.54
9.62,1.95,0.70,317.69,1056.06
