# material: PA6
# geometry: Rectangular solid 
# preform_diameter: 205.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 034
# operator: Ahmed_Akila
# start_time: 2026-04-29 15:31:16
# notes: First trial_ conentric pattern
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.05,630.50,398.63
1.42,1.19,3.01,586.51,398.20
1.62,1.21,3.03,674.49,399.52
1.82,1.20,3.05,865.10,397.10
2.02,1.20,3.02,855.33,398.86
2.22,1.18,3.01,728.25,396.64
2.42,1.20,3.05,518.08,397.10
2.62,1.19,3.06,532.75,394.69
2.82,1.19,3.03,684.26,396.43
3.02,1.20,3.02,816.23,398.86
3.22,1.19,3.03,855.33,396.43
3.42,1.20,3.03,806.45,397.98
3.62,1.21,3.03,728.25,399.52
3.82,1.18,3.02,640.27,395.76
4.02,1.18,3.03,601.17,394.88
4.22,1.21,3.05,557.18,398.63
4.42,1.17,2.98,581.62,396.85
4.62,1.22,3.03,601.17,401.05
4.82,1.19,3.01,591.40,398.20
5.02,1.19,3.02,596.29,397.31
5.22,1.20,3.03,620.72,397.98
5.42,1.21,3.01,615.84,401.29
5.62,1.19,3.05,625.61,395.56
5.82,1.20,3.03,610.95,397.98
6.02,1.19,3.01,615.84,398.20
6.22,1.20,3.03,596.29,397.98
6.42,1.19,3.03,557.18,396.43
6.62,1.20,3.03,522.97,397.98
6.82,1.21,3.01,464.32,401.29
7.02,1.19,3.03,381.23,396.43
7.22,1.19,3.02,356.79,397.31
7.42,1.20,3.03,439.88,397.98
7.62,1.19,3.05,493.65,395.56
7.82,1.19,3.05,596.29,395.56
8.02,1.21,3.05,625.61,398.63
8.22,1.19,3.03,571.85,396.43
8.42,1.19,3.03,483.87,396.43
8.62,1.19,3.02,395.89,397.31
8.82,1.19,3.02,312.81,397.31
9.02,1.20,3.03,351.91,397.98
9.22,1.18,3.02,420.33,395.76
9.42,1.19,3.05,483.87,395.56
9.62,1.20,3.03,522.97,397.98
9.82,1.18,3.01,547.41,396.64
10.02,1.20,3.02,576.74,398.86
10.22,1.20,3.03,562.07,397.98
10.42,1.20,3.01,552.30,399.75
10.62,1.20,3.03,537.63,397.98
10.82,1.20,3.02,552.30,398.86
11.02,1.19,3.02,547.41,397.31
