# material: PA6
# geometry: Solid Cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85335.0
# drawdown_ratio: 50.0
# trial_number: 202
# operator: Akila_Ahmed_Kalan
# start_time: 2026-08-25 10:39:25
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Solid rod experiment 2.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.15,1.12,2.91,596.29,391.72
1.35,1.12,2.90,552.30,392.63
1.55,1.11,2.89,493.65,391.90
1.75,1.11,2.90,464.32,390.99
1.95,1.13,2.90,459.43,394.26
2.15,1.14,2.91,420.33,394.97
2.35,1.14,2.91,410.56,394.97
2.55,1.12,2.87,395.89,394.46
2.75,1.14,2.90,405.67,395.89
2.95,1.12,2.91,415.44,391.72
3.15,1.11,2.95,425.22,387.42
3.35,1.12,2.90,400.78,392.63
3.55,1.10,2.90,420.33,389.34
3.75,1.14,2.89,410.56,396.80
3.95,1.14,2.90,410.56,395.89
4.15,1.13,2.93,376.34,392.45
4.35,1.13,2.89,391.01,395.18
4.55,1.12,2.87,371.46,394.46
4.75,1.14,2.90,361.68,395.89
4.95,1.14,2.91,337.24,394.97
5.15,1.12,2.91,327.47,391.72
5.35,1.15,2.90,337.24,397.50
5.55,1.13,2.91,342.13,393.35
5.75,1.12,2.93,356.79,390.82
5.95,1.13,2.91,351.91,393.35
6.15,1.11,2.91,478.98,390.09
6.35,1.12,2.90,366.57,392.63
6.55,1.13,2.89,347.02,395.18
6.75,1.14,2.93,347.02,394.06
6.95,1.14,2.90,327.47,395.89
7.15,1.12,2.90,347.02,392.63
7.35,1.11,2.86,347.02,393.73
7.55,1.13,2.90,351.91,394.26
7.75,1.14,2.91,332.36,394.97
7.95,1.14,2.91,347.02,394.97
8.15,1.13,2.89,327.47,395.18
8.35,1.13,2.89,361.68,395.18
8.55,1.14,2.87,449.66,397.73
8.75,1.13,2.91,635.39,393.35
8.95,1.11,2.90,400.78,390.99
9.15,1.11,2.89,376.34,391.90
9.35,1.14,2.90,391.01,395.89
9.55,1.14,2.93,391.01,394.06
9.75,1.14,2.91,400.78,394.97
9.95,1.12,2.89,391.01,393.54
10.15,1.13,2.91,400.78,393.35
10.35,1.13,2.90,410.56,394.26
10.55,1.14,2.91,381.23,394.97
10.75,1.12,2.90,371.46,392.63
10.95,1.11,2.89,376.34,391.90
11.15,1.14,2.91,376.34,394.97
11.35,1.15,2.90,351.91,397.50
11.55,1.12,2.91,327.47,391.72
11.75,1.12,2.89,342.13,393.54
11.95,1.14,2.90,337.24,395.89
12.15,1.13,2.93,332.36,392.45
12.35,1.14,2.89,327.47,396.80
12.55,1.13,2.91,327.47,393.35
12.75,1.13,2.90,317.69,394.26
12.95,1.15,2.91,322.58,396.59
13.15,1.14,2.90,327.47,395.89
13.35,1.12,2.91,347.02,391.72
13.55,1.14,2.91,342.13,394.97
13.75,1.14,2.91,327.47,394.97
13.95,1.14,2.91,342.13,394.97
14.15,1.13,2.89,337.24,395.18
14.35,1.11,2.90,342.13,390.99
14.55,1.14,2.89,327.47,396.80
14.75,1.14,2.91,332.36,394.97
14.95,1.14,2.91,337.24,394.97
15.15,1.13,2.89,327.47,395.18
15.35,1.13,2.89,317.69,395.18
15.55,1.14,2.90,307.92,395.89
15.75,1.12,2.91,317.69,391.72
15.95,1.12,2.91,307.92,391.72
16.15,1.15,2.89,307.92,398.43
16.35,1.14,2.93,303.03,394.06
16.55,1.12,2.91,298.14,391.72
16.75,1.14,2.90,283.48,395.89
16.95,1.11,2.90,293.26,390.99
17.15,1.13,2.89,298.14,395.18
17.35,1.14,2.91,303.03,394.97
17.55,1.12,2.91,283.48,391.72
17.75,1.12,2.90,303.03,392.63
17.95,1.12,2.91,312.81,391.72
18.15,1.14,2.87,312.81,397.73
18.35,1.14,2.90,317.69,395.89
18.55,1.13,2.90,293.26,394.26
18.75,1.15,2.89,293.26,398.43
18.95,1.14,2.91,307.92,394.97
19.15,1.14,2.91,298.14,394.97
19.35,1.12,2.91,298.14,391.72
19.55,1.11,2.90,288.37,390.99
19.75,1.13,2.90,293.26,394.26
