# material: PA6
# geometry: Solid Cylinder Rod
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 201
# operator: Akila_Ahmed_Kalan
# start_time: 2026-08-24 14:21:41
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. PA6 rod test 1.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.13,2.98,263.93,388.89
1.42,1.15,2.95,268.82,393.87
1.62,1.13,2.97,263.93,389.77
1.82,1.14,2.97,249.27,391.38
2.02,1.14,2.97,215.05,391.38
2.22,1.11,2.98,205.28,385.67
2.42,1.14,2.95,219.94,392.27
2.62,1.15,2.95,215.05,393.87
2.82,1.14,2.95,224.83,392.27
3.02,1.14,2.98,254.15,390.50
3.22,1.14,2.95,219.94,392.27
3.42,1.15,2.98,205.28,392.10
3.62,1.14,2.97,190.62,391.38
3.82,1.14,2.94,185.73,393.16
4.02,1.16,2.98,185.73,395.27
4.22,1.16,2.98,205.28,395.27
4.42,1.16,2.97,263.93,396.16
4.62,1.15,2.95,293.26,395.47
4.82,1.17,2.98,229.72,396.85
5.02,1.17,2.95,229.72,398.65
5.22,1.19,2.94,215.05,402.72
5.42,1.20,2.98,205.28,401.55
5.62,1.19,2.95,215.05,401.80
5.82,1.20,2.97,210.17,402.45
6.02,1.19,2.95,205.28,401.80
6.22,1.17,2.95,195.50,398.65
6.42,1.20,2.97,190.62,402.45
6.62,1.19,2.98,175.95,399.99
6.82,1.19,2.97,171.07,400.89
7.02,1.19,2.97,171.07,400.89
7.22,1.19,2.95,185.73,401.80
7.42,1.19,2.97,180.84,400.89
7.62,1.19,2.95,205.28,401.80
7.82,1.19,3.03,166.18,396.43
8.02,1.18,3.09,180.84,391.43
8.22,1.17,3.01,175.95,395.07
8.42,1.20,3.10,185.73,393.65
8.62,1.19,3.01,171.07,398.20
8.82,1.19,3.03,161.29,396.43
9.02,1.20,2.99,175.95,400.64
9.22,1.19,3.01,234.60,398.20
9.42,1.20,3.03,200.39,397.98
9.62,1.19,3.01,215.05,398.20
9.82,1.18,3.02,205.28,395.76
10.02,1.19,3.02,175.95,397.31
10.22,1.20,3.01,161.29,399.75
10.42,1.17,3.02,141.74,394.19
10.62,1.19,3.02,156.40,397.31
10.82,1.20,3.02,156.40,398.86
11.02,1.19,3.01,146.63,398.20
11.22,1.19,3.02,141.74,397.31
11.42,1.20,3.01,146.63,399.75
11.62,1.19,3.03,161.29,396.43
11.82,1.21,3.03,161.29,399.52
12.02,1.21,2.99,161.29,402.19
12.22,1.22,3.02,190.62,401.94
12.42,1.21,3.05,200.39,398.63
12.62,1.22,3.01,185.73,402.84
12.82,1.23,3.02,190.62,403.47
13.02,1.21,3.05,200.39,398.63
13.22,1.21,3.02,166.18,400.40
13.42,1.20,3.03,166.18,397.98
13.62,1.20,3.02,161.29,398.86
13.82,1.21,3.03,146.63,399.52
14.02,1.18,3.01,166.18,396.64
14.22,1.20,3.03,175.95,397.98
14.42,1.19,3.03,141.74,396.43
14.62,1.20,3.01,161.29,399.75
14.82,1.20,3.02,156.40,398.86
15.02,1.20,3.01,146.63,399.75
15.22,1.19,3.02,151.52,397.31
15.42,1.21,3.02,141.74,400.40
15.62,1.20,3.02,151.52,398.86
15.82,1.19,3.01,161.29,398.20
16.02,1.21,3.01,141.74,401.29
16.22,1.20,3.02,161.29,398.86
16.42,1.19,3.05,175.95,395.56
16.62,1.21,3.01,166.18,401.29
16.82,1.21,3.01,161.29,401.29
17.02,1.20,3.02,136.85,398.86
17.22,1.20,3.01,136.85,399.75
17.42,1.21,2.99,141.74,402.19
17.62,1.18,3.01,136.85,396.64
17.82,1.19,3.02,244.38,397.31
18.02,1.21,3.01,171.07,401.29
18.22,1.20,3.01,180.84,399.75
18.42,1.20,3.01,166.18,399.75
18.62,1.20,3.01,180.84,399.75
18.82,1.20,2.99,175.95,400.64
19.02,1.19,2.99,161.29,399.09
19.22,1.21,2.99,161.29,402.19
19.42,1.18,3.01,175.95,396.64
19.62,1.20,3.03,210.17,397.98
19.82,1.20,3.01,444.77,399.75
20.02,1.19,2.99,249.27,399.09
20.22,1.21,3.02,268.82,400.40
20.42,1.19,2.99,249.27,399.09
20.62,1.19,3.01,327.47,398.20
20.82,1.18,2.99,606.06,397.53
21.02,1.19,3.03,532.75,396.43
21.22,1.21,3.02,342.13,400.40
21.42,1.19,2.98,395.89,399.99
21.62,1.21,3.02,386.12,400.40
21.82,1.19,3.01,351.91,398.20
22.02,1.21,2.99,317.69,402.19
22.22,1.21,3.02,288.37,400.40
22.42,1.17,2.99,249.27,395.96
22.62,1.19,3.01,234.60,398.20
22.82,1.18,3.01,224.83,396.64
23.02,1.19,3.01,268.82,398.20
23.22,1.19,2.99,254.15,399.09
23.42,1.18,2.99,288.37,397.53
23.62,1.20,3.02,219.94,398.86
23.82,1.20,2.99,210.17,400.64
24.02,1.18,3.02,273.70,395.76
24.22,1.20,3.01,254.15,399.75
24.42,1.20,3.02,249.27,398.86
24.62,1.19,3.02,259.04,397.31
24.82,1.20,2.99,254.15,400.64
25.02,1.19,3.03,229.72,396.43
25.22,1.19,3.02,195.50,397.31
25.42,1.19,2.99,185.73,399.09
25.62,1.19,2.99,195.50,399.09
25.82,1.19,3.01,244.38,398.20
26.02,1.20,3.01,249.27,399.75
26.22,1.20,3.01,239.49,399.75
26.42,1.21,3.01,219.94,401.29
26.62,1.19,3.03,205.28,396.43
26.82,1.19,3.02,293.26,397.31
27.02,1.19,3.01,244.38,398.20
27.22,1.19,2.99,219.94,399.09
27.42,1.20,2.99,249.27,400.64
27.62,1.19,3.01,200.39,398.20
27.82,1.19,3.02,195.50,397.31
28.02,1.21,2.99,205.28,402.19
28.22,1.21,2.99,215.05,402.19
28.42,1.18,3.02,205.28,395.76
28.62,1.19,3.03,190.62,396.43
28.82,1.19,3.01,195.50,398.20
29.02,1.18,2.98,190.62,398.42
29.22,1.20,3.02,190.62,398.86
29.42,1.20,2.99,185.73,400.64
29.62,1.20,2.98,171.07,401.55
29.82,1.21,3.01,171.07,401.29
30.02,1.18,2.99,185.73,397.53
30.22,1.19,3.02,171.07,397.31
30.42,1.19,2.97,268.82,400.89
30.62,1.20,3.02,200.39,398.86
30.82,1.21,3.02,195.50,400.40
31.02,1.20,2.99,190.62,400.64
31.22,1.20,3.01,171.07,399.75
31.42,1.19,3.01,146.63,398.20
31.62,1.20,2.98,146.63,401.55
31.82,1.19,2.98,151.52,399.99
32.02,1.20,3.01,146.63,399.75
32.22,1.21,3.02,136.85,400.40
32.42,1.18,2.98,131.96,398.42
32.62,1.20,3.02,136.85,398.86
32.82,1.19,3.02,151.52,397.31
33.02,1.18,3.01,278.59,396.64
33.22,1.19,2.99,156.40,399.09
33.42,1.20,2.97,171.07,402.45
33.62,1.20,3.01,171.07,399.75
33.82,1.20,2.98,185.73,401.55
34.02,1.20,2.99,171.07,400.64
34.22,1.19,2.99,166.18,399.09
34.42,1.20,3.02,185.73,398.86
34.62,1.20,2.99,210.17,400.64
34.82,1.20,3.05,156.40,397.10
35.02,1.20,3.01,166.18,399.75
35.22,1.20,2.99,156.40,400.64
35.42,1.20,3.01,190.62,399.75
35.62,1.20,3.01,161.29,399.75
35.82,1.19,3.01,151.52,398.20
36.02,1.20,3.02,175.95,398.86
36.22,1.18,2.99,171.07,397.53
36.42,1.21,3.02,205.28,400.40
36.62,1.19,3.01,234.60,398.20
36.82,1.19,3.01,239.49,398.20
37.02,1.20,3.02,190.62,398.86
37.22,1.17,2.99,190.62,395.96
37.42,1.20,2.99,219.94,400.64
37.62,1.19,3.01,175.95,398.20
37.82,1.19,3.01,200.39,398.20
38.02,1.20,3.02,298.14,398.86
38.22,1.18,2.99,259.04,397.53
38.42,1.18,2.99,371.46,397.53
38.62,1.20,2.99,234.60,400.64
38.82,1.20,3.01,224.83,399.75
39.02,1.19,3.01,219.94,398.20
39.22,1.20,2.99,224.83,400.64
39.42,1.20,3.02,215.05,398.86
39.62,1.19,2.99,224.83,399.09
39.82,1.20,3.01,190.62,399.75
40.02,1.20,3.01,180.84,399.75
40.22,1.17,2.99,190.62,395.96
40.42,1.20,3.01,175.95,399.75
40.62,1.20,2.99,166.18,400.64
40.82,1.20,3.02,146.63,398.86
41.02,1.19,2.99,166.18,399.09
41.22,1.20,3.02,224.83,398.86
41.42,1.21,3.01,195.50,401.29
41.62,1.17,2.99,190.62,395.96
41.82,1.20,3.01,175.95,399.75
42.02,1.20,3.02,185.73,398.86
42.22,1.20,3.01,156.40,399.75
42.42,1.18,3.02,146.63,395.76
42.62,1.20,2.98,161.29,401.55
42.82,1.20,3.02,151.52,398.86
43.02,1.19,3.02,156.40,397.31
43.22,1.20,3.02,161.29,398.86
43.42,1.20,2.99,151.52,400.64
43.62,1.20,2.99,151.52,400.64
43.82,1.21,3.03,156.40,399.52
44.02,1.19,3.01,156.40,398.20
44.22,1.19,3.01,141.74,398.20
44.42,1.18,3.01,146.63,396.64
44.62,1.18,2.98,127.08,398.42
44.82,1.20,3.01,161.29,399.75
45.02,1.19,3.01,136.85,398.20
45.22,1.20,3.01,146.63,399.75
45.42,1.19,2.99,131.96,399.09
45.62,1.20,3.01,146.63,399.75
45.82,1.21,3.02,141.74,400.40
46.02,1.19,3.01,141.74,398.20
46.22,1.26,3.09,0.00,403.57
46.42,1.25,3.07,0.00,402.95
46.62,1.19,3.03,161.29,396.43
46.82,1.19,3.02,175.95,397.31
47.02,1.20,2.98,146.63,401.55
47.22,1.18,3.02,146.63,395.76
47.42,1.18,3.01,141.74,396.64
47.62,1.21,3.02,141.74,400.40
47.82,1.19,3.01,136.85,398.20
48.02,1.19,3.01,136.85,398.20
48.22,1.21,3.03,141.74,399.52
48.42,1.20,2.99,136.85,400.64
48.62,1.18,3.02,161.29,395.76
48.82,1.18,2.99,190.62,397.53
49.02,1.20,2.98,156.40,401.55
49.22,1.19,3.02,171.07,397.31
49.42,1.19,2.99,200.39,399.09
49.62,1.20,2.99,166.18,400.64
49.82,1.19,3.01,161.29,398.20
50.02,1.20,3.01,156.40,399.75
50.22,1.19,2.99,171.07,399.09
50.42,1.19,2.99,146.63,399.09
50.62,1.19,3.02,180.84,397.31
50.82,1.18,2.99,146.63,397.53
51.02,1.20,3.02,190.62,398.86
51.22,1.20,3.01,190.62,399.75
51.42,1.21,3.01,190.62,401.29
51.62,1.20,2.99,175.95,400.64
51.82,1.19,3.01,273.70,398.20
52.02,1.20,3.02,586.51,398.86
52.22,1.21,2.99,474.10,402.19
52.42,1.20,3.01,381.23,399.75
52.62,1.19,3.02,278.59,397.31
52.82,1.20,3.01,303.03,399.75
53.02,1.20,3.02,273.70,398.86
53.22,1.19,3.02,254.15,397.31
53.42,1.19,2.99,263.93,399.09
53.62,1.20,2.99,234.60,400.64
53.82,1.19,3.02,205.28,397.31
54.02,1.21,3.01,215.05,401.29
54.22,1.20,2.99,263.93,400.64
54.42,1.19,3.01,298.14,398.20
54.62,1.19,3.02,229.72,397.31
54.82,1.19,3.01,195.50,398.20
55.02,1.19,3.05,219.94,395.56
55.22,1.19,2.99,195.50,399.09
55.42,1.20,2.99,259.04,400.64
55.62,1.19,3.02,215.05,397.31
55.82,1.18,3.02,234.60,395.76
56.02,1.22,3.02,185.73,401.94
56.22,1.19,3.03,185.73,396.43
56.42,1.20,3.02,195.50,398.86
56.62,1.20,2.99,234.60,400.64
56.82,1.20,2.99,195.50,400.64
57.02,1.21,3.03,210.17,399.52
57.22,1.17,2.97,190.62,397.75
57.42,1.20,3.01,200.39,399.75
57.62,1.19,2.99,195.50,399.09
57.82,1.19,3.01,171.07,398.20
58.02,1.20,3.05,180.84,397.10
58.22,1.19,2.99,161.29,399.09
58.42,1.20,3.01,171.07,399.75
58.62,1.20,3.02,146.63,398.86
58.82,1.20,2.99,175.95,400.64
59.02,1.19,3.02,136.85,397.31
59.22,1.20,3.01,151.52,399.75
59.42,1.20,3.01,171.07,399.75
59.62,1.19,2.99,166.18,399.09
59.82,1.20,3.01,175.95,399.75
60.02,1.21,2.99,151.52,402.19
60.22,1.21,3.02,278.59,400.40
60.42,1.21,3.02,205.28,400.40
60.62,1.19,3.01,229.72,398.20
60.82,1.21,3.02,283.48,400.40
61.02,1.20,2.99,244.38,400.64
61.22,1.20,3.01,190.62,399.75
61.42,1.19,3.02,200.39,397.31
61.62,1.19,3.01,175.95,398.20
61.82,1.21,3.02,219.94,400.40
62.02,1.19,3.01,175.95,398.20
62.22,1.21,3.01,185.73,401.29
62.42,1.20,3.02,180.84,398.86
62.62,1.20,3.01,166.18,399.75
62.82,1.21,3.02,180.84,400.40
63.02,1.20,3.01,171.07,399.75
63.22,1.20,3.01,200.39,399.75
63.42,1.20,3.01,190.62,399.75
63.62,1.20,2.99,185.73,400.64
63.82,1.20,2.99,175.95,400.64
64.02,1.19,2.99,205.28,399.09
64.22,1.20,3.01,322.58,399.75
64.42,1.19,3.02,263.93,397.31
64.62,1.19,3.01,210.17,398.20
64.82,1.18,3.01,244.38,396.64
65.02,1.20,2.99,439.88,400.64
65.22,1.20,3.02,283.48,398.86
65.42,1.19,3.02,268.82,397.31
65.62,1.20,2.99,298.14,400.64
65.82,1.21,2.99,303.03,402.19
66.02,1.20,2.99,332.36,400.64
66.22,1.21,3.03,1862.17,399.52
66.42,1.19,3.01,1329.42,398.20
66.62,1.20,3.01,889.54,399.75
66.82,1.19,3.01,845.55,398.20
67.02,1.18,3.01,957.97,396.64
67.22,1.19,3.01,1911.05,398.20
67.42,1.19,3.01,860.21,398.20
67.62,1.18,2.99,664.71,397.53
67.82,1.18,2.99,733.14,397.53
68.02,1.20,3.02,483.87,398.86
68.22,1.20,3.01,493.65,399.75
68.42,1.20,2.99,444.77,400.64
68.62,1.20,3.02,435.00,398.86
68.82,1.19,2.99,425.22,399.09
69.02,1.19,3.01,483.87,398.20
69.22,1.19,3.02,522.97,397.31
69.42,1.19,3.01,601.17,398.20
69.62,1.21,3.01,518.08,401.29
69.82,1.18,3.01,518.08,396.64
70.02,1.20,3.01,752.69,399.75
70.22,1.21,3.02,571.85,400.40
70.42,1.18,3.01,483.87,396.64
70.62,1.20,3.01,488.76,399.75
70.82,1.21,3.02,435.00,400.40
71.02,1.19,2.98,469.21,399.99
71.22,1.18,3.02,532.75,395.76
71.42,1.17,2.99,566.96,395.96
71.62,1.20,3.02,474.10,398.86
71.82,1.18,2.99,454.55,397.53
72.02,1.20,2.99,410.56,400.64
72.22,1.20,3.02,376.34,398.86
72.42,1.20,2.99,366.57,400.64
72.62,1.20,3.02,356.79,398.86
72.82,1.19,3.02,327.47,397.31
73.02,1.21,2.98,342.13,403.10
73.22,1.21,3.02,356.79,400.40
73.42,1.17,2.99,337.24,395.96
73.62,1.19,3.01,332.36,398.20
73.82,1.20,2.98,283.48,401.55
74.02,1.20,3.01,273.70,399.75
74.22,1.21,2.99,278.59,402.19
74.42,1.20,2.98,273.70,401.55
74.62,1.20,3.02,268.82,398.86
74.82,1.18,3.01,239.49,396.64
75.02,1.19,3.01,288.37,398.20
75.22,1.20,2.99,268.82,400.64
75.42,1.19,2.99,288.37,399.09
75.62,1.19,3.01,298.14,398.20
75.82,1.18,2.98,391.01,398.42
76.02,1.19,3.01,307.92,398.20
76.22,1.20,3.01,317.69,399.75
76.42,1.19,2.99,493.65,399.09
76.62,1.20,2.99,444.77,400.64
76.82,1.17,3.01,395.89,395.07
77.02,1.20,3.01,371.46,399.75
77.22,1.20,3.03,391.01,397.98
77.42,1.19,2.99,376.34,399.09
77.62,1.18,3.02,405.67,395.76
77.82,1.20,3.01,307.92,399.75
78.02,1.21,3.01,298.14,401.29
78.22,1.20,3.01,263.93,399.75
78.42,1.21,3.01,263.93,401.29
78.62,1.21,3.01,263.93,401.29
78.82,1.18,2.98,254.15,398.42
79.02,1.21,3.02,263.93,400.40
79.22,1.20,3.01,268.82,399.75
79.42,1.18,2.99,263.93,397.53
79.62,1.19,3.01,254.15,398.20
79.82,1.20,3.02,273.70,398.86
80.02,1.22,2.99,303.03,403.74
80.22,1.19,3.02,263.93,397.31
80.42,1.19,2.99,283.48,399.09
80.62,1.19,2.99,376.34,399.09
80.82,1.19,2.99,376.34,399.09
81.02,1.21,3.01,395.89,401.29
81.22,1.21,3.01,337.24,401.29
81.42,1.21,3.01,376.34,401.29
81.62,1.19,3.02,332.36,397.31
81.82,1.20,3.01,386.12,399.75
82.02,1.19,2.99,351.91,399.09
82.22,1.19,3.01,312.81,398.20
82.42,1.20,3.02,347.02,398.86
82.62,1.19,3.01,283.48,398.20
82.82,1.20,3.02,332.36,398.86
83.02,1.20,3.02,327.47,398.86
83.22,1.20,2.99,347.02,400.64
83.42,1.20,3.01,376.34,399.75
83.62,1.19,3.01,327.47,398.20
83.82,1.19,2.99,332.36,399.09
84.02,1.19,3.01,317.69,398.20
84.22,1.19,2.99,303.03,399.09
84.42,1.19,3.02,259.04,397.31
