# material: PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85350.0
# drawdown_ratio: 50.0
# trial_number: 203
# operator: Akila_Ahmed_Kalan
# start_time: 2026-08-25 11:37:45
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Solid rod experiment 3.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.19,2.99,0.00,399.09
1.42,1.19,2.97,0.00,400.89
1.62,1.19,2.97,0.00,400.89
1.82,1.19,2.98,0.00,399.99
2.02,1.19,2.99,0.00,399.09
2.22,1.17,2.98,0.00,396.85
2.42,1.19,2.99,0.00,399.09
2.62,1.17,2.99,0.00,395.96
2.82,1.19,2.97,0.00,400.89
3.02,1.18,2.99,0.00,397.53
3.22,1.19,2.98,0.00,399.99
3.42,1.20,2.99,0.00,400.64
3.62,1.19,2.98,0.00,399.99
3.82,1.19,2.97,0.00,400.89
4.02,1.20,2.99,0.00,400.64
4.22,1.19,2.99,0.00,399.09
4.42,1.17,2.99,0.00,395.96
4.62,1.18,2.98,0.00,398.42
4.82,1.19,2.97,0.00,400.89
5.02,1.19,2.99,0.00,399.09
5.22,1.18,2.99,0.00,397.53
5.42,1.17,2.97,0.00,397.75
5.62,1.19,3.01,0.00,398.20
5.82,1.17,2.98,0.00,396.85
6.02,1.18,2.99,0.00,397.53
6.22,1.20,2.99,0.00,400.64
6.42,1.16,2.97,0.00,396.16
6.62,1.18,2.99,0.00,397.53
6.82,1.19,3.01,0.00,398.20
7.02,1.19,2.97,0.00,400.89
7.22,1.18,2.98,0.00,398.42
7.42,1.16,2.98,0.00,395.27
7.62,1.19,3.01,0.00,398.20
7.82,1.20,2.99,0.00,400.64
8.02,1.20,2.97,0.00,402.45
8.22,1.19,2.98,0.00,399.99
8.42,1.19,2.98,0.00,399.99
8.62,1.18,2.99,0.00,397.53
8.82,1.18,2.99,0.00,397.53
9.02,1.16,3.02,0.00,392.63
9.22,1.18,2.98,0.00,398.42
9.42,1.17,2.97,0.00,397.75
9.62,1.19,2.99,0.00,399.09
9.82,1.17,2.99,0.00,395.96
10.02,1.17,2.97,0.00,397.75
10.22,1.19,2.99,0.00,399.09
10.42,1.19,2.98,0.00,399.99
10.62,1.17,2.97,0.00,397.75
10.82,1.17,2.99,0.00,395.96
11.02,1.17,2.98,0.00,396.85
11.22,1.20,2.99,0.00,400.64
11.42,1.17,2.98,0.00,396.85
11.62,1.18,2.99,0.00,397.53
11.82,1.19,2.99,0.00,399.09
12.02,1.18,2.98,0.00,398.42
12.22,1.19,2.98,0.00,399.99
12.42,1.17,2.99,0.00,395.96
12.62,1.18,2.98,0.00,398.42
12.82,1.19,2.99,0.00,399.09
13.02,1.19,2.99,0.00,399.09
13.22,1.19,2.98,0.00,399.99
13.42,1.19,2.99,0.00,399.09
13.62,1.17,2.97,0.00,397.75
13.82,1.13,2.91,249.27,393.35
14.02,1.13,2.91,239.49,393.35
14.22,1.12,2.90,229.72,392.63
14.42,1.12,2.91,234.60,391.72
14.62,1.14,2.91,234.60,394.97
14.82,1.12,2.89,244.38,393.54
15.02,1.12,2.90,239.49,392.63
15.22,1.11,2.93,215.05,389.19
15.42,1.10,2.89,234.60,390.25
15.62,1.13,2.89,229.72,395.18
15.82,1.13,2.89,229.72,395.18
16.02,1.11,2.91,219.94,390.09
16.22,1.14,2.91,219.94,394.97
16.42,1.14,2.91,224.83,394.97
16.62,1.13,2.90,219.94,394.26
16.82,1.13,2.93,215.05,392.45
17.02,1.11,2.90,215.05,390.99
17.22,1.13,2.89,210.17,395.18
17.42,1.12,2.93,205.28,390.82
17.62,1.13,2.90,205.28,394.26
17.82,1.12,2.91,219.94,391.72
18.02,1.14,2.93,200.39,394.06
18.22,1.13,2.89,200.39,395.18
18.42,1.13,2.89,180.84,395.18
18.62,1.14,2.90,175.95,395.89
18.82,1.12,2.91,195.50,391.72
19.02,1.13,2.90,219.94,394.26
19.22,1.13,2.93,923.75,392.45
19.42,1.11,2.90,674.49,390.99
19.62,1.12,2.89,420.33,393.54
19.82,1.11,2.91,391.01,390.09
20.02,1.12,2.90,386.12,392.63
20.22,1.13,2.89,366.57,395.18
20.42,1.14,2.91,391.01,394.97
20.62,1.12,2.90,386.12,392.63
20.82,1.13,2.91,386.12,393.35
21.02,1.14,2.93,410.56,394.06
21.22,1.13,2.90,405.67,394.26
21.42,1.12,2.89,391.01,393.54
21.62,1.12,2.91,376.34,391.72
21.82,1.12,2.90,371.46,392.63
22.02,1.14,2.91,332.36,394.97
22.22,1.13,2.93,317.69,392.45
22.42,1.11,2.89,307.92,391.90
22.62,1.13,2.90,303.03,394.26
22.82,1.13,2.91,303.03,393.35
23.02,1.13,2.89,298.14,395.18
23.22,1.13,2.91,303.03,393.35
23.42,1.13,2.91,327.47,393.35
23.62,1.13,2.89,322.58,395.18
23.82,1.13,2.91,317.69,393.35
24.02,1.13,2.90,298.14,394.26
24.22,1.13,2.90,278.59,394.26
24.42,1.14,2.90,268.82,395.89
24.62,1.12,2.89,288.37,393.54
