# material: PA6
# geometry: Spiral
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 209
# operator: Akila_Ahmed_Kalan
# start_time: 2026-09-02 10:59:49
# notes: Feed and draw speeds set to 1.2 mm per min (set to 0.8 considering error of feeder) and 3.0 m per min; repectively. Tension test. 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.15,0.81,3.05,0.00,326.11
1.35,0.74,2.97,713.59,316.93
1.55,0.73,2.95,698.92,313.65
1.75,0.73,2.95,698.92,313.65
1.95,0.80,3.05,0.00,324.23
2.15,0.81,3.05,0.00,326.11
2.35,0.81,3.06,0.00,325.39
2.55,0.78,3.05,0.00,320.44
2.75,0.80,3.03,0.00,324.95
2.95,0.80,3.05,0.00,324.23
3.15,0.79,3.06,0.00,321.63
3.35,0.78,3.06,0.00,319.73
3.55,0.71,2.95,635.39,309.61
3.75,0.80,3.03,0.00,324.95
3.95,0.74,2.97,669.60,314.94
4.15,0.80,3.06,0.00,323.52
4.35,0.72,2.95,698.92,311.64
4.55,0.78,3.03,0.00,321.15
4.75,0.74,2.97,708.70,314.94
4.95,0.74,2.98,718.48,314.23
5.15,0.71,2.95,694.04,309.61
5.35,0.82,3.05,0.00,327.98
5.55,0.81,3.06,0.00,325.39
5.75,0.74,2.97,689.15,314.94
5.95,0.80,3.05,0.00,324.23
6.15,0.71,2.97,679.37,308.91
6.35,0.74,2.95,669.60,315.66
6.55,0.74,2.98,664.71,314.23
6.75,0.74,2.97,645.16,316.93
6.95,0.72,2.94,625.61,312.35
7.15,0.74,2.95,625.61,315.66
7.35,0.74,2.97,615.84,314.94
7.55,0.74,2.98,610.95,314.23
7.75,0.74,2.98,601.17,314.23
7.95,0.74,2.95,596.29,315.66
8.15,0.73,2.95,586.51,313.65
8.35,0.73,2.97,610.95,312.94
8.55,0.74,2.98,596.29,316.22
8.75,0.72,2.97,586.51,310.93
8.95,0.73,2.95,586.51,313.65
9.15,0.73,2.97,581.62,312.94
9.35,0.73,2.98,596.29,312.24
9.55,0.74,2.97,601.17,316.93
9.75,0.73,2.98,591.40,312.24
9.95,0.74,2.95,610.95,315.66
10.15,0.74,2.97,601.17,314.94
10.35,0.74,2.98,596.29,316.22
10.55,0.74,2.97,606.06,316.93
10.75,0.71,2.97,615.84,308.91
10.95,0.74,2.94,615.84,316.38
11.15,0.74,2.97,640.27,316.93
11.35,0.74,2.95,630.50,317.65
11.55,0.73,2.93,625.61,315.09
11.75,0.74,2.97,606.06,314.94
11.95,0.74,2.95,610.95,315.66
12.15,0.74,2.97,615.84,314.94
12.35,0.74,2.98,630.50,314.23
12.55,0.72,2.95,625.61,311.64
12.75,0.74,2.95,615.84,317.65
12.95,0.73,2.97,610.95,312.94
13.15,0.74,2.97,640.27,314.94
13.35,0.74,2.97,620.72,316.93
13.55,0.74,2.98,606.06,314.23
13.75,0.72,2.97,606.06,310.93
13.95,0.75,2.94,591.40,320.36
14.15,0.75,2.97,581.62,318.91
14.35,0.73,2.97,576.74,312.94
14.55,0.71,2.95,557.18,309.61
14.75,0.71,2.95,562.07,309.61
14.95,0.74,2.95,576.74,315.66
15.15,0.74,2.99,566.96,313.53
15.35,0.74,2.97,562.07,314.94
15.55,0.71,2.95,552.30,309.61
15.75,0.73,2.97,557.18,312.94
15.95,0.73,2.97,542.52,312.94
16.15,0.74,2.97,542.52,314.94
16.35,0.73,2.97,552.30,312.94
16.55,0.74,2.95,581.62,315.66
16.75,0.71,2.95,596.29,309.61
16.95,0.74,2.97,610.95,314.94
17.15,0.74,2.98,625.61,316.22
17.35,0.72,2.97,630.50,310.93
17.55,0.73,2.95,635.39,313.65
17.75,0.72,2.95,630.50,311.64
17.95,0.74,2.95,635.39,315.66
18.15,0.74,2.98,620.72,314.23
18.35,0.72,2.97,596.29,310.93
18.55,0.71,2.95,566.96,309.61
18.75,0.72,2.94,576.74,312.35
18.95,0.74,2.98,576.74,314.23
19.15,0.73,2.97,571.85,312.94
19.35,0.74,2.97,552.30,316.93
19.55,0.74,2.95,576.74,315.66
19.75,0.72,2.97,581.62,310.93
19.95,0.74,2.95,601.17,317.65
20.15,0.74,2.98,606.06,314.23
20.35,0.73,2.98,591.40,312.24
20.55,0.73,2.95,576.74,313.65
20.75,0.74,2.97,591.40,314.94
20.95,0.74,2.90,576.74,318.57
21.15,0.74,2.97,581.62,316.93
21.35,0.72,2.97,547.41,310.93
21.55,0.72,2.95,527.86,311.64
21.75,0.74,2.97,537.63,314.94
21.95,0.73,2.98,552.30,312.24
22.15,0.74,2.98,586.51,314.23
22.35,0.74,2.97,557.18,314.94
22.55,0.74,2.97,566.96,314.94
22.75,0.73,2.98,586.51,312.24
22.95,0.74,2.97,581.62,316.93
23.15,0.74,2.97,571.85,316.93
23.35,0.73,2.95,557.18,313.65
23.55,0.73,2.95,542.52,313.65
23.75,0.74,2.97,547.41,314.94
23.95,0.74,2.98,513.20,316.22
24.15,0.74,2.97,508.31,316.93
24.35,0.72,2.97,478.98,310.93
24.55,0.74,2.94,488.76,318.38
24.75,0.75,2.97,478.98,318.91
24.95,0.74,2.97,464.32,314.94
25.15,0.74,2.98,474.10,316.22
25.35,0.74,2.98,478.98,314.23
25.55,0.74,2.95,493.65,317.65
25.75,0.74,2.97,503.42,314.94
25.95,0.73,2.97,518.08,312.94
26.15,0.72,2.95,518.08,311.64
26.35,0.71,2.95,522.97,309.61
26.55,0.73,2.97,513.20,312.94
26.75,0.73,2.95,513.20,313.65
26.95,0.73,2.97,498.53,312.94
27.15,0.74,2.97,469.21,316.93
27.35,0.72,2.95,474.10,311.64
27.55,0.74,2.97,478.98,316.93
27.75,0.74,2.97,478.98,314.94
27.95,0.72,2.97,469.21,310.93
28.15,0.72,3.01,488.76,308.84
28.35,0.74,2.97,483.87,314.94
28.55,0.74,2.97,493.65,314.94
28.75,0.74,2.97,503.42,316.93
28.95,0.72,2.97,522.97,310.93
29.15,0.73,2.94,547.41,314.37
29.35,0.73,2.95,571.85,313.65
29.55,0.74,2.97,542.52,316.93
29.75,0.74,2.98,527.86,316.22
29.95,0.73,2.97,488.76,312.94
30.15,0.73,2.94,483.87,314.37
30.35,0.74,2.97,493.65,314.94
30.55,0.74,2.97,478.98,314.94
30.75,0.73,2.97,464.32,312.94
30.95,0.73,2.97,464.32,312.94
31.15,0.74,2.98,478.98,314.23
31.35,0.74,2.98,483.87,314.23
31.55,0.74,2.97,503.42,314.94
31.75,0.73,2.95,493.65,313.65
31.95,0.74,2.94,478.98,316.38
32.15,0.74,2.97,474.10,314.94
32.35,0.74,2.99,478.98,313.53
32.55,0.74,2.97,478.98,314.94
32.75,0.74,2.98,439.88,316.22
32.95,0.72,2.95,439.88,311.64
33.15,0.73,2.95,444.77,313.65
33.35,0.74,2.97,439.88,314.94
33.55,0.73,2.97,430.11,312.94
33.75,0.72,2.98,415.44,310.23
33.95,0.72,2.97,425.22,310.93
34.15,0.73,2.97,459.43,312.94
34.35,0.74,2.97,478.98,316.93
34.55,0.74,2.97,483.87,314.94
34.75,0.74,2.95,478.98,317.65
34.95,0.74,2.95,464.32,315.66
35.15,0.74,2.94,474.10,316.38
35.35,0.74,2.97,478.98,314.94
35.55,0.74,2.97,464.32,314.94
35.75,0.74,2.98,459.43,316.22
35.95,0.72,2.95,439.88,311.64
36.15,0.73,2.95,444.77,313.65
36.35,0.74,2.97,449.66,314.94
36.55,0.73,2.95,444.77,313.65
36.75,0.72,2.95,425.22,311.64
36.95,0.74,2.98,415.44,314.23
37.15,0.74,2.95,439.88,315.66
37.35,0.74,2.97,435.00,316.93
37.55,0.74,2.98,435.00,316.22
37.75,0.74,2.97,439.88,316.93
37.95,0.73,2.95,420.33,313.65
38.15,0.74,2.94,444.77,318.38
38.35,0.74,2.97,459.43,314.94
38.55,0.74,2.98,454.55,316.22
38.75,0.72,2.97,454.55,310.93
38.95,0.74,2.98,444.77,316.22
39.15,0.74,2.95,439.88,315.66
39.35,0.74,2.95,430.11,315.66
39.55,0.74,2.99,439.88,315.51
39.75,0.74,2.90,435.00,318.57
39.95,0.74,2.95,410.56,317.65
40.15,0.71,2.95,415.44,309.61
40.35,0.74,2.97,430.11,314.94
40.55,0.74,2.97,430.11,314.94
40.75,0.74,2.98,405.67,316.22
40.95,0.74,2.97,420.33,316.93
41.15,0.74,2.95,425.22,315.66
41.35,0.74,2.97,415.44,314.94
41.55,0.74,2.97,430.11,314.94
41.75,0.74,2.98,405.67,314.23
41.95,0.71,2.97,420.33,308.91
42.15,0.74,2.95,430.11,315.66
42.35,0.72,2.95,420.33,311.64
42.55,0.74,2.97,400.78,314.94
42.75,0.74,2.97,376.34,314.94
42.95,0.74,2.95,356.79,317.65
43.15,0.72,2.95,386.12,311.64
43.35,0.73,2.95,386.12,313.65
43.55,0.74,2.97,391.01,314.94
43.75,0.74,2.95,405.67,315.66
43.95,0.72,2.95,395.89,311.64
44.15,0.74,2.95,376.34,317.65
44.35,0.74,2.97,381.23,314.94
44.55,0.73,2.98,381.23,312.24
44.75,0.73,2.97,381.23,312.94
44.95,0.72,2.95,386.12,311.64
45.15,0.74,2.97,405.67,314.94
45.35,0.74,2.97,405.67,314.94
45.55,0.74,2.95,400.78,317.65
45.75,0.72,2.97,420.33,310.93
45.95,0.72,2.94,415.44,312.35
46.15,0.74,2.94,425.22,316.38
46.35,0.74,2.97,415.44,314.94
46.55,0.74,2.97,405.67,316.93
46.75,0.74,2.97,415.44,316.93
46.95,0.71,2.95,405.67,309.61
47.15,0.73,2.97,410.56,312.94
47.35,0.74,2.99,395.89,315.51
47.55,0.73,2.97,371.46,312.94
47.75,0.73,2.95,361.68,313.65
47.95,0.73,2.97,351.91,312.94
48.15,0.74,2.97,381.23,314.94
48.35,0.74,2.93,381.23,319.10
48.55,0.74,2.95,356.79,315.66
