# material: PA6
# geometry: Three-Channel
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 210
# operator: Akila_Ahmed_Kalan
# start_time: 2026-09-02 14:06:29
# notes: Feed and draw speeds set to 2.00 mm per min (corrected to 1.33 to slow it down to get the required feed speed) and 5.00 m per min. Tension Test 2.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.33,4.99,0.00,326.60
1.42,1.32,4.98,0.00,325.89
1.62,1.32,4.98,0.00,325.89
1.82,1.32,5.01,0.00,325.02
2.02,1.30,4.98,0.00,323.59
2.22,1.31,4.99,0.00,324.31
2.42,1.32,4.98,0.00,325.89
2.62,1.33,4.99,0.00,326.60
2.82,1.30,4.98,0.00,323.59
3.02,1.31,4.98,0.00,324.74
3.22,1.34,4.98,0.00,328.18
3.42,1.32,4.99,0.00,325.45
3.62,1.33,4.99,0.00,326.60
3.82,1.31,4.99,0.00,324.31
4.02,1.33,4.99,0.00,326.60
4.22,1.31,4.99,0.00,324.31
4.42,1.33,4.99,0.00,326.60
4.62,1.33,4.99,0.00,326.60
4.82,1.32,4.99,0.00,325.45
5.02,1.33,4.99,0.00,326.60
5.22,1.30,4.98,0.00,323.59
5.42,1.32,4.98,0.00,325.89
5.62,1.34,5.01,0.00,327.30
5.82,1.31,4.99,0.00,324.31
6.02,1.33,4.99,0.00,326.60
6.22,1.30,4.99,0.00,323.15
6.42,1.33,5.02,0.00,325.72
6.62,1.30,4.98,0.00,323.59
6.82,1.32,4.99,0.00,325.45
7.02,1.32,4.99,0.00,325.45
7.22,1.30,4.99,0.00,323.15
7.42,1.27,4.91,254.15,321.10
7.62,1.24,4.91,244.38,317.54
7.82,1.25,4.93,268.82,318.30
8.02,1.26,4.91,288.37,319.92
8.22,1.26,4.93,283.48,319.48
8.42,1.27,4.93,254.15,320.67
8.62,1.27,4.91,195.50,321.10
8.82,1.26,4.93,210.17,319.48
9.02,1.25,4.93,205.28,318.30
9.22,1.26,4.91,219.94,319.92
9.42,1.27,4.93,229.72,320.67
9.62,1.25,4.93,229.72,318.30
9.82,1.26,4.91,254.15,319.92
10.02,1.27,4.93,259.04,320.67
10.22,1.27,4.93,268.82,320.67
10.42,1.25,4.93,283.48,318.30
10.62,1.26,4.93,278.59,319.48
10.82,1.27,4.93,283.48,320.67
11.02,1.26,4.91,283.48,319.92
11.22,1.26,4.91,263.93,319.92
11.42,1.28,4.91,259.04,322.28
11.62,1.25,4.91,249.27,318.73
11.82,1.27,4.93,263.93,320.67
12.02,1.27,4.91,283.48,321.10
12.22,1.25,4.93,268.82,318.30
12.42,1.26,4.93,259.04,319.48
12.62,1.25,4.91,234.60,318.73
12.82,1.26,4.93,268.82,319.48
13.02,1.25,4.89,259.04,319.61
13.22,1.25,4.91,268.82,318.73
13.42,1.26,4.93,283.48,319.48
13.62,1.27,4.91,268.82,321.10
13.82,1.26,4.91,298.14,319.92
14.02,1.27,4.93,278.59,320.67
14.22,1.26,4.91,268.82,319.92
14.42,1.26,4.93,273.70,319.48
14.62,1.26,4.93,268.82,319.48
14.82,1.26,4.93,278.59,319.48
15.02,1.26,4.91,307.92,319.92
15.22,1.25,4.94,268.82,317.87
15.42,1.26,4.93,283.48,319.48
15.62,1.27,4.91,254.15,321.10
15.82,1.25,4.93,259.04,318.30
16.02,1.27,4.93,259.04,320.67
16.22,1.24,4.91,234.60,317.54
16.42,1.26,4.93,259.04,319.48
