# material: PA6
# geometry: Two Solid Cylinders (COMSOL)
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 033
# operator: Ahmed_Akila
# start_time: 2026-04-28 11:41:44
# notes: First Trial to observe the drawn geometry
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.03,303.03,397.98
1.42,1.20,3.03,312.81,397.98
1.62,1.19,3.03,307.92,396.43
1.82,1.19,3.01,312.81,398.20
2.02,1.20,3.05,303.03,397.10
2.22,1.19,3.01,307.92,398.20
2.42,1.20,3.03,298.14,397.98
2.62,1.21,3.03,293.26,399.52
2.82,1.18,3.01,283.48,396.64
3.02,1.20,3.03,293.26,397.98
3.22,1.20,3.02,307.92,398.86
3.42,1.19,3.01,303.03,398.20
3.62,1.20,3.03,278.59,397.98
3.82,1.21,3.03,288.37,399.52
4.02,1.20,3.03,293.26,397.98
4.22,1.20,3.02,288.37,398.86
4.42,1.20,3.03,298.14,397.98
4.62,1.18,3.02,288.37,395.76
4.82,1.20,3.01,307.92,399.75
5.02,1.21,3.03,293.26,399.52
5.22,1.19,3.01,283.48,398.20
5.42,1.19,3.03,298.14,396.43
5.62,1.20,3.03,283.48,397.98
5.82,1.19,3.02,288.37,397.31
6.02,1.20,3.03,307.92,397.98
6.22,1.18,3.02,283.48,395.76
6.42,1.19,3.01,293.26,398.20
6.62,1.20,3.02,298.14,398.86
6.82,1.20,3.03,298.14,397.98
7.02,1.18,3.01,268.82,396.64
7.22,1.19,3.02,303.03,397.31
7.42,1.19,3.03,288.37,396.43
7.62,1.20,3.01,298.14,399.75
7.82,1.20,3.02,303.03,398.86
8.02,1.21,3.03,293.26,399.52
8.22,1.18,3.01,268.82,396.64
8.42,1.19,3.02,307.92,397.31
8.62,1.18,3.03,312.81,394.88
8.82,1.19,3.01,298.14,398.20
9.02,1.20,3.02,303.03,398.86
9.22,1.18,3.03,293.26,394.88
9.42,1.19,3.01,283.48,398.20
9.62,1.19,3.02,278.59,397.31
9.82,1.20,3.03,288.37,397.98
10.02,1.19,3.01,293.26,398.20
10.22,1.20,3.02,293.26,398.86
10.42,1.19,3.03,283.48,396.43
10.62,1.18,3.02,298.14,395.76
10.82,1.19,3.02,307.92,397.31
11.02,1.20,3.02,312.81,398.86
11.22,1.20,3.01,283.48,399.75
11.42,1.20,3.02,268.82,398.86
11.62,1.19,3.03,298.14,396.43
11.82,1.18,3.02,322.58,395.76
12.02,1.20,3.05,298.14,397.10
12.22,1.21,3.02,293.26,400.40
12.42,1.20,3.02,303.03,398.86
12.62,1.19,3.01,298.14,398.20
12.82,1.21,3.03,278.59,399.52
13.02,1.20,2.99,293.26,400.64
13.22,1.20,3.02,278.59,398.86
13.42,1.19,3.03,288.37,396.43
13.62,1.19,3.01,283.48,398.20
13.82,1.20,3.03,307.92,397.98
14.02,1.21,3.03,293.26,399.52
14.22,1.17,3.01,259.04,395.07
14.42,1.20,3.03,278.59,397.98
14.62,1.21,3.03,303.03,399.52
14.82,1.20,3.01,303.03,399.75
15.02,1.19,3.02,293.26,397.31
15.22,1.21,3.05,278.59,398.63
15.42,1.18,3.01,288.37,396.64
15.62,1.20,3.02,327.47,398.86
15.82,1.21,3.03,317.69,399.52
16.02,1.19,3.02,317.69,397.31
16.22,1.20,3.02,347.02,398.86
16.42,1.20,3.03,293.26,397.98
16.62,1.18,3.02,307.92,395.76
16.82,1.20,3.02,288.37,398.86
17.02,1.20,3.03,293.26,397.98
17.22,1.21,3.02,293.26,400.40
17.42,1.19,3.02,288.37,397.31
17.62,1.21,3.03,298.14,399.52
17.82,1.20,3.03,268.82,397.98
18.02,1.20,3.03,293.26,397.98
18.22,1.20,3.03,298.14,397.98
18.42,1.19,3.03,312.81,396.43
18.62,1.19,3.02,278.59,397.31
18.82,1.21,3.03,312.81,399.52
19.02,1.19,3.02,283.48,397.31
19.22,1.19,3.02,298.14,397.31
19.42,1.20,3.05,337.24,397.10
19.62,1.21,3.02,332.36,400.40
19.82,1.20,3.01,288.37,399.75
20.02,1.18,3.02,386.12,395.76
20.22,1.21,3.03,303.03,399.52
20.42,1.19,3.02,439.88,397.31
20.62,1.21,3.03,391.01,399.52
20.82,1.19,3.02,273.70,397.31
21.02,1.18,3.02,327.47,395.76
21.22,1.21,3.02,332.36,400.40
21.42,1.18,3.02,327.47,395.76
21.62,1.18,3.02,303.03,395.76
21.82,1.20,3.03,303.03,397.98
22.02,1.20,3.03,322.58,397.98
22.22,1.18,3.01,337.24,396.64
22.42,1.19,3.03,293.26,396.43
22.62,1.18,3.05,273.70,394.01
22.82,1.19,3.01,263.93,398.20
23.02,1.20,3.02,303.03,398.86
23.22,1.20,3.02,317.69,398.86
23.42,1.18,3.01,293.26,396.64
23.62,1.21,3.03,303.03,399.52
23.82,1.21,3.02,293.26,400.40
24.02,1.20,3.02,307.92,398.86
24.22,1.20,3.03,307.92,397.98
24.42,1.20,3.03,283.48,397.98
24.62,1.17,3.01,298.14,395.07
24.82,1.20,3.03,278.59,397.98
25.02,1.20,3.02,303.03,398.86
25.22,1.18,3.05,288.37,394.01
25.42,1.20,3.02,293.26,398.86
25.62,1.21,3.02,332.36,400.40
25.82,1.19,3.03,317.69,396.43
26.02,1.20,3.03,327.47,397.98
26.22,1.20,3.05,327.47,397.10
26.42,1.18,3.02,337.24,395.76
26.62,1.20,3.01,391.01,399.75
26.82,1.20,3.03,356.79,397.98
27.02,1.17,3.02,307.92,394.19
27.22,1.19,3.02,351.91,397.31
27.42,1.19,3.02,312.81,397.31
27.62,1.17,3.02,312.81,394.19
27.82,1.20,3.03,303.03,397.98
28.02,1.19,3.01,298.14,398.20
28.22,1.20,3.03,288.37,397.98
28.42,1.19,3.02,303.03,397.31
28.62,1.20,3.03,303.03,397.98
28.82,1.19,3.02,293.26,397.31
29.02,1.18,3.03,307.92,394.88
29.22,1.20,3.03,298.14,397.98
29.42,1.18,3.01,303.03,396.64
29.62,1.20,3.03,298.14,397.98
29.82,1.18,3.03,288.37,394.88
30.02,1.20,3.02,288.37,398.86
30.22,1.20,3.03,298.14,397.98
30.42,1.19,3.01,298.14,398.20
30.62,1.17,3.02,293.26,394.19
30.82,1.20,3.03,312.81,397.98
31.02,1.18,3.02,307.92,395.76
31.22,1.19,3.02,278.59,397.31
31.42,1.20,3.03,298.14,397.98
31.62,1.19,3.02,288.37,397.31
31.82,1.18,3.03,303.03,394.88
32.02,1.20,3.02,303.03,398.86
32.22,1.19,3.02,288.37,397.31
32.42,1.18,3.02,298.14,395.76
32.62,1.20,3.03,298.14,397.98
32.82,1.19,3.02,293.26,397.31
33.02,1.19,3.02,293.26,397.31
33.22,1.20,3.02,298.14,398.86
33.42,1.19,3.01,288.37,398.20
33.62,1.19,3.02,288.37,397.31
33.82,1.18,3.03,293.26,394.88
34.02,1.19,3.03,298.14,396.43
34.22,1.17,3.02,307.92,394.19
34.42,1.21,3.02,298.14,400.40
34.62,1.20,3.01,273.70,399.75
34.82,1.19,3.01,303.03,398.20
35.02,1.20,3.02,298.14,398.86
35.22,1.20,3.05,293.26,397.10
35.42,1.18,3.02,298.14,395.76
35.62,1.20,3.02,361.68,398.86
35.82,1.20,3.03,293.26,397.98
36.02,1.20,3.01,293.26,399.75
36.22,1.20,3.02,278.59,398.86
36.42,1.21,3.03,317.69,399.52
36.62,1.19,3.03,283.48,396.43
36.82,1.20,3.02,298.14,398.86
37.02,1.21,3.01,273.70,401.29
37.22,1.19,3.01,278.59,398.20
37.42,1.21,3.02,312.81,400.40
37.62,1.20,3.01,293.26,399.75
37.82,1.19,3.03,293.26,396.43
38.02,1.20,3.01,303.03,399.75
38.22,1.21,3.03,303.03,399.52
38.42,1.21,3.02,298.14,400.40
38.62,1.21,3.02,288.37,400.40
38.82,1.20,3.03,293.26,397.98
39.02,1.19,3.03,298.14,396.43
39.22,1.19,3.01,307.92,398.20
39.42,1.19,3.03,298.14,396.43
39.62,1.20,3.03,298.14,397.98
39.82,1.19,3.02,381.23,397.31
40.02,1.21,3.05,312.81,398.63
40.22,1.19,3.03,303.03,396.43
40.42,1.21,3.03,337.24,399.52
40.62,1.19,3.03,312.81,396.43
40.82,1.21,3.02,288.37,400.40
41.02,1.21,3.01,288.37,401.29
41.22,1.20,3.02,322.58,398.86
41.42,1.20,3.03,303.03,397.98
41.62,1.20,3.01,312.81,399.75
41.82,1.21,3.03,327.47,399.52
42.02,1.21,3.03,303.03,399.52
42.22,1.19,3.02,298.14,397.31
42.42,1.20,3.03,322.58,397.98
42.62,1.21,3.03,283.48,399.52
42.82,1.20,3.01,317.69,399.75
43.02,1.21,3.03,293.26,399.52
43.22,1.20,3.01,298.14,399.75
43.42,1.19,3.02,293.26,397.31
43.62,1.20,2.99,307.92,400.64
43.82,1.19,3.03,317.69,396.43
44.02,1.18,3.01,317.69,396.64
44.22,1.20,3.03,307.92,397.98
44.42,1.19,3.02,322.58,397.31
44.62,1.18,3.01,317.69,396.64
44.82,1.20,3.03,283.48,397.98
45.02,1.21,3.03,337.24,399.52
45.22,1.18,3.01,312.81,396.64
45.42,1.20,3.03,322.58,397.98
45.62,1.19,3.01,312.81,398.20
45.82,1.18,3.01,307.92,396.64
46.02,1.20,3.02,307.92,398.86
46.22,1.19,3.01,298.14,398.20
46.42,1.20,3.02,327.47,398.86
46.62,1.21,3.03,332.36,399.52
46.82,1.19,3.02,307.92,397.31
47.02,1.20,3.03,307.92,397.98
47.22,1.20,3.02,303.03,398.86
47.42,1.19,3.02,298.14,397.31
47.62,1.18,3.02,312.81,395.76
47.82,1.19,3.05,317.69,395.56
48.02,1.19,3.03,303.03,396.43
48.22,1.19,3.02,307.92,397.31
48.42,1.21,3.02,322.58,400.40
48.62,1.19,3.01,307.92,398.20
48.82,1.19,3.02,312.81,397.31
49.02,1.20,3.03,322.58,397.98
49.22,1.17,3.01,298.14,395.07
49.42,1.20,3.03,317.69,397.98
49.62,1.18,3.03,307.92,394.88
49.82,1.19,3.02,322.58,397.31
50.02,1.21,3.02,298.14,400.40
50.22,1.20,3.02,312.81,398.86
50.42,1.19,3.03,293.26,396.43
50.62,1.19,3.02,298.14,397.31
50.82,1.21,3.03,317.69,399.52
51.02,1.18,3.02,298.14,395.76
51.22,1.20,3.01,332.36,399.75
51.42,1.20,3.03,312.81,397.98
51.62,1.19,3.02,312.81,397.31
51.82,1.19,3.02,327.47,397.31
52.02,1.19,3.03,322.58,396.43
52.22,1.19,3.01,303.03,398.20
52.42,1.21,3.03,317.69,399.52
52.62,1.20,3.02,312.81,398.86
52.82,1.19,3.01,312.81,398.20
53.02,1.21,3.02,298.14,400.40
53.22,1.20,3.02,317.69,398.86
53.42,1.18,3.01,303.03,396.64
53.62,1.20,3.03,307.92,397.98
53.82,1.21,3.03,327.47,399.52
54.02,1.18,3.01,322.58,396.64
54.22,1.20,3.02,312.81,398.86
54.42,1.20,3.03,303.03,397.98
54.62,1.18,3.02,327.47,395.76
54.82,1.20,3.01,307.92,399.75
55.02,1.20,3.02,312.81,398.86
55.22,1.18,3.03,298.14,394.88
55.42,1.20,3.01,322.58,399.75
55.62,1.20,3.03,312.81,397.98
55.82,1.18,3.02,312.81,395.76
56.02,1.21,3.02,322.58,400.40
56.22,1.20,3.03,288.37,397.98
56.42,1.19,3.01,342.13,398.20
56.62,1.20,3.02,322.58,398.86
56.82,1.19,3.03,303.03,396.43
57.02,1.20,3.03,312.81,397.98
57.22,1.19,3.02,307.92,397.31
57.42,1.20,3.02,332.36,398.86
57.62,1.21,3.01,312.81,401.29
57.82,1.20,3.03,317.69,397.98
58.02,1.20,3.03,312.81,397.98
58.22,1.20,3.03,303.03,397.98
58.42,1.21,3.03,303.03,399.52
58.62,1.20,3.03,307.92,397.98
58.82,1.21,3.03,312.81,399.52
59.02,1.18,3.02,317.69,395.76
59.22,1.20,3.03,312.81,397.98
59.42,1.20,3.03,303.03,397.98
59.62,1.19,3.01,307.92,398.20
59.82,1.20,3.02,332.36,398.86
60.02,1.19,3.02,312.81,397.31
60.22,1.20,2.99,298.14,400.64
60.42,1.19,3.03,278.59,396.43
60.62,1.20,3.03,283.48,397.98
60.82,1.19,3.01,307.92,398.20
61.02,1.20,3.02,303.03,398.86
61.22,1.19,3.05,307.92,395.56
61.42,1.19,3.01,317.69,398.20
61.62,1.21,3.02,327.47,400.40
61.82,1.19,3.03,307.92,396.43
62.02,1.19,3.01,312.81,398.20
62.22,1.21,3.02,307.92,400.40
62.42,1.18,3.02,317.69,395.76
62.62,1.19,3.01,303.03,398.20
62.82,1.19,3.02,298.14,397.31
63.02,1.20,3.03,303.03,397.98
63.22,1.18,3.02,303.03,395.76
63.42,1.19,3.02,307.92,397.31
63.62,1.21,3.03,298.14,399.52
63.82,1.20,3.02,312.81,398.86
64.02,1.17,3.02,307.92,394.19
64.22,1.20,3.03,307.92,397.98
64.42,1.18,3.02,303.03,395.76
64.62,1.19,3.02,303.03,397.31
64.82,1.20,3.02,298.14,398.86
65.02,1.19,3.02,298.14,397.31
65.22,1.18,3.02,307.92,395.76
65.42,1.19,3.03,293.26,396.43
65.62,1.20,3.03,312.81,397.98
65.82,1.18,3.05,312.81,394.01
66.02,1.21,3.03,307.92,399.52
66.22,1.19,3.01,307.92,398.20
66.42,1.18,3.02,288.37,395.76
66.62,1.20,3.03,303.03,397.98
66.82,1.19,3.01,307.92,398.20
67.02,1.20,3.02,278.59,398.86
67.22,1.20,3.03,307.92,397.98
67.42,1.20,3.03,293.26,397.98
67.62,1.18,3.01,288.37,396.64
67.82,1.20,3.03,307.92,397.98
68.02,1.20,3.02,317.69,398.86
68.22,1.19,3.02,298.14,397.31
68.42,1.20,3.02,298.14,398.86
68.62,1.20,3.01,312.81,399.75
68.82,1.18,3.01,322.58,396.64
69.02,1.20,3.05,298.14,397.10
69.22,1.20,3.02,317.69,398.86
69.42,1.20,3.01,312.81,399.75
69.62,1.19,3.02,293.26,397.31
69.82,1.19,3.02,303.03,397.31
70.02,1.19,3.01,288.37,398.20
70.22,1.18,2.99,283.48,397.53
70.42,1.19,3.03,303.03,396.43
70.62,1.19,3.02,312.81,397.31
70.82,1.20,3.02,288.37,398.86
71.02,1.19,3.02,312.81,397.31
71.22,1.19,3.02,312.81,397.31
71.42,1.19,3.01,303.03,398.20
71.62,1.21,3.02,307.92,400.40
71.82,1.18,3.02,283.48,395.76
72.02,1.20,3.02,317.69,398.86
72.22,1.20,3.02,307.92,398.86
72.42,1.20,3.02,288.37,398.86
72.62,1.21,3.02,307.92,400.40
72.82,1.20,3.03,298.14,397.98
73.02,1.18,3.03,312.81,394.88
73.22,1.19,3.01,327.47,398.20
73.42,1.20,3.03,298.14,397.98
73.62,1.20,3.01,303.03,399.75
73.82,1.20,3.01,298.14,399.75
74.02,1.20,3.03,298.14,397.98
74.22,1.21,3.03,293.26,399.52
74.42,1.19,3.03,298.14,396.43
74.62,1.20,3.03,293.26,397.98
74.82,1.18,3.03,298.14,394.88
75.02,1.19,3.02,283.48,397.31
75.22,1.19,3.02,312.81,397.31
75.42,1.18,3.03,293.26,394.88
75.62,1.19,3.02,288.37,397.31
75.82,1.20,3.03,307.92,397.98
76.02,1.20,3.03,293.26,397.98
76.22,1.19,3.02,303.03,397.31
76.42,1.19,3.01,273.70,398.20
76.62,1.20,3.02,298.14,398.86
76.82,1.19,3.02,307.92,397.31
77.02,1.19,3.03,293.26,396.43
77.22,1.21,3.03,288.37,399.52
77.42,1.18,3.03,283.48,394.88
77.62,1.18,3.02,303.03,395.76
77.82,1.20,3.03,283.48,397.98
78.02,1.19,3.02,263.93,397.31
78.22,1.19,3.01,283.48,398.20
78.42,1.19,3.03,303.03,396.43
78.62,1.20,3.02,298.14,398.86
78.82,1.20,3.01,288.37,399.75
79.02,1.20,3.02,303.03,398.86
79.22,1.20,3.03,268.82,397.98
79.42,1.18,3.02,303.03,395.76
79.62,1.21,3.03,288.37,399.52
79.82,1.19,3.03,273.70,396.43
80.02,1.19,3.02,293.26,397.31
80.22,1.21,3.03,283.48,399.52
80.42,1.19,3.01,278.59,398.20
80.62,1.19,3.01,293.26,398.20
80.82,1.20,3.03,293.26,397.98
81.02,1.18,3.02,288.37,395.76
81.22,1.19,3.01,298.14,398.20
81.42,1.18,3.03,293.26,394.88
81.62,1.18,3.03,268.82,394.88
81.82,1.18,3.02,288.37,395.76
82.02,1.20,3.02,273.70,398.86
82.22,1.19,3.02,283.48,397.31
82.42,1.18,3.02,283.48,395.76
82.62,1.21,3.03,278.59,399.52
82.82,1.18,3.01,288.37,396.64
83.02,1.20,3.03,298.14,397.98
83.22,1.21,3.03,283.48,399.52
83.42,1.18,3.03,288.37,394.88
83.62,1.20,3.01,288.37,399.75
83.82,1.20,3.03,278.59,397.98
84.02,1.19,2.99,288.37,399.09
84.22,1.19,3.03,278.59,396.43
84.42,1.20,3.02,293.26,398.86
84.62,1.18,3.01,307.92,396.64
84.82,1.21,3.03,288.37,399.52
85.02,1.20,3.03,288.37,397.98
85.22,1.19,3.01,288.37,398.20
85.42,1.19,3.03,303.03,396.43
85.62,1.21,3.03,312.81,399.52
85.82,1.18,3.01,293.26,396.64
86.02,1.21,3.02,293.26,400.40
86.22,1.21,3.03,288.37,399.52
86.42,1.18,3.03,293.26,394.88
86.62,1.19,3.02,278.59,397.31
86.82,1.18,3.02,298.14,395.76
87.02,1.19,3.01,278.59,398.20
87.22,1.20,3.01,303.03,399.75
87.42,1.20,3.03,298.14,397.98
87.62,1.19,3.03,298.14,396.43
87.82,1.19,3.05,273.70,395.56
88.02,1.18,3.02,303.03,395.76
88.22,1.20,3.02,307.92,398.86
88.42,1.19,3.02,293.26,397.31
88.62,1.18,3.03,307.92,394.88
88.82,1.19,3.01,293.26,398.20
