# material: PA6
# geometry: cylinder 3 channel (009_2026)
# preform_diameter: 50.0
# material_color: White
# temperature_C: NONE
# drawdown_ratio: 50.0
# trial_number: 009_001
# operator: Hamdi
# start_time: 2026-03-19 11:51:40
# notes: Measuring the diameter 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.94,4.64,566.96,408.42
1.42,1.93,4.63,547.41,408.03
1.62,1.93,4.64,562.07,407.44
1.82,1.93,4.63,562.07,408.03
2.02,1.94,4.63,557.18,409.01
2.22,1.94,4.64,542.52,408.42
2.42,1.95,4.64,542.52,409.40
2.62,1.95,4.64,522.97,409.40
2.82,1.93,4.64,527.86,407.44
3.02,1.95,4.64,527.86,409.40
3.22,1.94,4.64,513.20,408.42
3.42,1.94,4.63,513.20,409.01
3.62,1.94,4.63,513.20,409.01
3.82,1.94,4.63,474.10,409.01
4.02,1.94,4.64,469.21,408.42
4.22,1.93,4.64,474.10,407.44
4.42,1.95,4.64,474.10,409.40
4.62,1.94,4.63,444.77,409.01
4.82,1.94,4.63,459.43,409.01
5.02,1.94,4.63,449.66,409.01
5.22,1.93,4.63,474.10,408.03
5.42,1.94,4.63,503.42,409.01
5.62,1.94,4.63,508.31,409.01
5.82,1.94,4.64,522.97,408.42
6.02,1.95,4.64,503.42,409.40
6.22,1.94,4.64,518.08,408.42
6.42,1.93,4.64,513.20,407.44
6.62,1.93,4.63,547.41,408.03
6.82,1.94,4.63,537.63,409.01
7.02,1.93,4.63,547.41,408.03
7.22,1.94,4.64,542.52,408.42
7.42,1.93,4.64,547.41,407.44
7.62,1.94,4.64,552.30,408.42
7.82,1.94,4.64,547.41,408.42
8.02,1.94,4.63,552.30,409.01
8.22,1.95,4.64,532.75,409.40
8.42,1.93,4.64,547.41,407.44
8.62,1.94,4.64,542.52,408.42
8.82,1.94,4.64,547.41,408.42
9.02,1.94,4.64,547.41,408.42
9.22,1.93,4.64,552.30,407.44
9.42,1.95,4.64,547.41,409.40
9.62,1.93,4.64,547.41,407.44
9.82,1.94,4.63,537.63,409.01
10.02,1.93,4.63,542.52,408.03
10.22,1.94,4.63,537.63,409.01
10.42,1.94,4.64,513.20,408.42
10.62,1.94,4.64,522.97,408.42
10.82,1.95,4.64,518.08,409.40
11.02,1.94,4.63,508.31,409.01
11.22,1.94,4.63,542.52,409.01
11.42,1.93,4.63,518.08,408.03
11.62,1.94,4.63,532.75,409.01
11.82,1.94,4.64,542.52,408.42
12.02,1.95,4.64,522.97,409.40
12.22,1.94,4.64,542.52,408.42
12.42,1.94,4.64,527.86,408.42
12.62,1.94,4.64,542.52,408.42
12.82,1.93,4.64,547.41,407.44
13.02,1.94,4.64,547.41,408.42
13.22,1.93,4.63,557.18,408.03
13.42,1.94,4.64,542.52,408.42
13.62,1.95,4.64,547.41,409.40
13.82,1.93,4.64,532.75,407.44
14.02,1.94,4.64,557.18,408.42
14.22,1.94,4.63,552.30,409.01
14.42,1.93,4.63,557.18,408.03
14.62,1.94,4.64,552.30,408.42
14.82,1.94,4.64,527.86,408.42
