# material: PA6
# geometry: cylinder 3 channel 
# preform_diameter: 20.0
# material_color: White 
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 0027
# operator: Ahmed
# start_time: 2026-03-19 17:50:53
# notes: Trial to test the new Preform  holder 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.94,4.51,317.69,414.46
1.42,1.94,4.56,327.47,412.01
1.62,1.94,4.56,317.69,412.01
1.82,1.94,4.56,312.81,412.01
2.02,1.93,4.56,307.92,411.02
2.22,1.94,4.55,312.81,412.62
2.42,1.94,4.55,303.03,412.62
2.62,1.94,4.55,303.03,412.62
2.82,1.95,4.55,327.47,413.61
3.02,1.93,4.56,312.81,411.02
3.22,1.93,4.54,307.92,412.23
3.42,1.93,4.55,317.69,411.62
3.62,1.94,4.54,312.81,413.23
3.82,1.94,4.55,307.92,412.62
4.02,1.93,4.55,288.37,411.62
4.22,1.94,4.56,298.14,412.01
4.42,1.94,4.55,303.03,412.62
4.62,1.94,4.56,307.92,412.01
4.82,1.94,4.56,332.36,412.01
5.02,1.93,4.55,332.36,411.62
5.22,1.94,4.55,337.24,412.62
5.42,1.93,4.56,327.47,411.02
5.62,1.93,4.55,337.24,411.62
5.82,1.93,4.55,337.24,411.62
6.02,1.94,4.56,322.58,412.01
6.22,1.94,4.55,312.81,412.62
6.42,1.92,4.55,303.03,410.63
6.62,1.93,4.56,317.69,411.02
6.82,1.95,4.56,303.03,413.00
7.02,1.92,4.54,283.48,411.24
7.22,1.93,4.56,278.59,411.02
7.42,1.94,4.56,278.59,412.01
7.62,1.92,4.56,303.03,410.02
7.82,1.94,4.54,307.92,413.23
8.02,1.95,4.55,307.92,413.61
8.22,1.94,4.55,288.37,412.62
8.42,1.94,4.55,273.70,412.62
8.62,1.94,4.55,283.48,412.62
8.82,1.94,4.56,288.37,412.01
9.02,1.93,4.55,288.37,411.62
9.22,1.93,4.56,307.92,411.02
9.42,1.93,4.56,312.81,411.02
9.62,1.94,4.55,303.03,412.62
9.82,1.93,4.55,317.69,411.62
10.02,1.94,4.56,317.69,412.01
10.22,1.93,4.56,312.81,411.02
10.42,1.92,4.55,312.81,410.63
10.62,1.94,4.56,307.92,412.01
10.82,1.94,4.55,307.92,412.62
11.02,1.92,4.56,298.14,410.02
11.22,1.94,4.56,307.92,412.01
11.42,1.94,4.56,317.69,412.01
11.62,1.93,4.56,312.81,411.02
11.82,1.93,4.55,312.81,411.62
12.02,1.94,4.56,332.36,412.01
12.22,1.92,4.56,322.58,410.02
12.42,1.94,4.55,317.69,412.62
12.62,1.94,4.55,312.81,412.62
12.82,1.95,4.56,303.03,413.00
13.02,1.93,4.56,293.26,411.02
13.22,1.93,4.55,303.03,411.62
13.42,1.95,4.56,312.81,413.00
13.62,1.94,4.56,317.69,412.01
13.82,1.93,4.55,317.69,411.62
14.02,1.93,4.55,303.03,411.62
14.22,1.93,4.56,298.14,411.02
14.42,1.93,4.56,283.48,411.02
14.62,1.93,4.55,288.37,411.62
14.82,1.94,4.55,298.14,412.62
15.02,1.94,4.55,298.14,412.62
15.22,1.93,4.55,283.48,411.62
15.42,1.95,4.55,298.14,413.61
15.62,1.94,4.56,288.37,412.01
15.82,1.92,4.54,298.14,411.24
16.02,1.93,4.55,303.03,411.62
16.22,1.95,4.56,322.58,413.00
16.42,1.94,4.56,322.58,412.01
16.62,1.92,4.58,322.58,409.42
16.82,1.94,4.55,312.81,412.62
17.02,1.93,4.56,293.26,411.02
17.22,1.93,4.55,303.03,411.62
17.42,1.94,4.56,293.26,412.01
17.62,1.95,4.55,293.26,413.61
17.82,1.94,4.55,273.70,412.62
18.02,1.94,4.54,293.26,413.23
18.22,1.94,4.56,288.37,412.01
18.42,1.93,4.58,278.59,410.42
18.62,1.93,4.55,293.26,411.62
18.82,1.93,4.55,273.70,411.62
19.02,1.93,4.56,278.59,411.02
19.22,1.93,4.55,293.26,411.62
19.42,1.92,4.55,307.92,410.63
19.62,1.94,4.56,327.47,412.01
19.82,1.93,4.55,312.81,411.62
20.02,1.94,4.56,342.13,412.01
20.22,1.94,4.58,342.13,411.41
20.42,1.93,4.55,342.13,411.62
20.62,1.94,4.54,366.57,413.23
20.82,1.93,4.55,376.34,411.62
21.02,1.94,4.56,356.79,412.01
21.22,1.93,4.55,351.91,411.62
21.42,1.95,4.56,347.02,413.00
21.62,1.93,4.56,337.24,411.02
21.82,1.94,4.55,332.36,412.62
22.02,1.94,4.55,361.68,412.62
22.22,1.95,4.55,366.57,413.61
22.42,1.92,4.55,356.79,410.63
22.62,1.94,4.55,356.79,412.62
22.82,1.95,4.56,347.02,413.00
23.02,1.94,4.54,351.91,413.23
23.22,1.95,4.55,347.02,413.61
23.42,1.94,4.56,371.46,412.01
23.62,1.93,4.58,342.13,410.42
23.82,1.94,4.55,356.79,412.62
24.02,1.95,4.56,351.91,413.00
24.22,1.93,4.56,342.13,411.02
24.42,1.92,4.55,327.47,410.63
24.62,1.94,4.56,332.36,412.01
24.82,1.94,4.56,337.24,412.01
25.02,1.94,4.56,322.58,412.01
25.22,1.94,4.56,312.81,412.01
25.42,1.94,4.56,327.47,412.01
25.62,1.94,4.56,347.02,412.01
25.82,1.94,4.55,317.69,412.62
26.02,1.93,4.56,317.69,411.02
26.22,1.94,4.55,317.69,412.62
26.42,1.94,4.55,307.92,412.62
26.62,1.94,4.54,322.58,413.23
26.82,1.94,4.55,337.24,412.62
27.02,1.93,4.55,342.13,411.62
27.22,1.94,4.56,356.79,412.01
27.42,1.94,4.55,371.46,412.62
27.62,1.93,4.55,366.57,411.62
27.82,1.94,4.55,381.23,412.62
28.02,1.94,4.56,366.57,412.01
28.22,1.94,4.56,361.68,412.01
28.42,1.93,4.55,366.57,411.62
28.62,1.94,4.55,361.68,412.62
28.82,1.93,4.56,361.68,411.02
29.02,1.92,4.55,371.46,410.63
29.22,1.92,4.55,381.23,410.63
29.42,1.93,4.56,391.01,411.02
29.62,1.93,4.54,400.78,412.23
29.82,1.92,4.58,405.67,409.42
30.02,1.94,4.55,410.56,412.62
30.22,1.94,4.56,400.78,412.01
30.42,1.92,4.55,381.23,410.63
30.62,1.93,4.55,381.23,411.62
30.82,1.94,4.56,391.01,412.01
31.02,1.92,4.55,361.68,410.63
31.22,1.93,4.55,361.68,411.62
31.42,1.92,4.55,366.57,410.63
31.62,1.95,4.55,371.46,413.61
31.82,1.92,4.55,347.02,410.63
32.02,1.92,4.55,356.79,410.63
32.22,1.94,4.55,351.91,412.62
32.42,1.93,4.55,366.57,411.62
32.62,1.94,4.55,351.91,412.62
32.82,1.93,4.56,381.23,411.02
33.02,1.94,4.56,371.46,412.01
33.22,1.92,4.54,371.46,411.24
33.42,1.94,4.56,395.89,412.01
33.62,1.94,4.55,410.56,412.62
33.82,1.92,4.55,395.89,410.63
34.02,1.94,4.55,386.12,412.62
34.22,1.93,4.58,386.12,410.42
34.42,1.92,4.55,371.46,410.63
34.62,1.92,4.55,376.34,410.63
34.82,1.93,4.56,371.46,411.02
35.02,1.94,4.56,356.79,412.01
35.22,1.93,4.55,347.02,411.62
35.42,1.95,4.56,361.68,413.00
35.62,1.94,4.56,361.68,412.01
35.82,1.94,4.54,366.57,413.23
36.02,1.93,4.56,386.12,411.02
36.22,1.94,4.55,386.12,412.62
36.42,1.92,4.55,381.23,410.63
36.62,1.93,4.56,386.12,411.02
36.82,1.93,4.59,376.34,409.82
37.02,1.94,4.55,395.89,412.62
37.22,1.94,4.55,395.89,412.62
37.42,1.93,4.55,400.78,411.62
37.62,1.94,4.59,400.78,410.80
37.82,1.92,4.54,395.89,411.24
38.02,1.94,4.56,395.89,412.01
38.22,1.94,4.56,391.01,412.01
38.42,1.94,4.56,405.67,412.01
38.62,1.94,4.55,400.78,412.62
38.82,1.93,4.56,400.78,411.02
39.02,1.94,4.56,381.23,412.01
39.22,1.92,4.54,386.12,411.24
39.42,1.94,4.55,405.67,412.62
39.62,1.94,4.56,405.67,412.01
39.82,1.93,4.58,420.33,410.42
40.02,1.94,4.56,449.66,412.01
40.22,1.93,4.54,464.32,412.23
40.42,1.94,4.55,483.87,412.62
40.62,1.94,4.56,459.43,412.01
40.82,1.93,4.59,474.10,409.82
41.02,1.93,4.56,459.43,411.02
41.22,1.94,4.58,430.11,411.41
41.42,1.94,4.55,415.44,412.62
41.62,1.94,4.56,425.22,412.01
41.82,1.93,4.55,410.56,411.62
42.02,1.93,4.55,395.89,411.62
42.22,1.95,4.56,386.12,413.00
42.42,1.94,4.55,391.01,412.62
42.62,1.94,4.55,415.44,412.62
42.82,1.94,4.56,425.22,412.01
43.02,1.93,4.56,430.11,411.02
43.22,1.93,4.55,444.77,411.62
43.42,1.94,4.58,439.88,411.41
43.62,1.94,4.56,454.55,412.01
43.82,1.94,4.55,464.32,412.62
44.02,1.94,4.56,478.98,412.01
44.22,1.92,4.56,474.10,410.02
44.42,1.94,4.56,454.55,412.01
44.62,1.94,4.55,454.55,412.62
44.82,1.92,4.56,444.77,410.02
45.02,1.93,4.54,444.77,412.23
45.22,1.94,4.56,469.21,412.01
45.42,1.94,4.56,483.87,412.01
45.62,1.94,4.55,474.10,412.62
45.82,1.94,4.56,474.10,412.01
46.02,1.94,4.58,488.76,411.41
46.22,1.92,4.55,493.65,410.63
46.42,1.94,4.55,503.42,412.62
46.62,1.95,4.56,503.42,413.00
46.82,1.93,4.55,513.20,411.62
47.02,1.94,4.56,527.86,412.01
47.22,1.93,4.55,513.20,411.62
47.42,1.92,4.56,537.63,410.02
47.62,1.92,4.55,532.75,410.63
47.82,1.94,4.56,542.52,412.01
48.02,1.94,4.55,542.52,412.62
48.22,1.92,4.55,542.52,410.63
48.42,1.94,4.55,547.41,412.62
48.62,1.95,4.55,527.86,413.61
48.82,1.92,4.55,527.86,410.63
49.02,1.93,4.54,527.86,412.23
49.22,1.93,4.56,522.97,411.02
49.42,1.92,4.55,522.97,410.63
49.62,1.93,4.56,537.63,411.02
49.82,1.94,4.56,532.75,412.01
50.02,1.92,4.56,532.75,410.02
50.22,1.94,4.55,542.52,412.62
50.42,1.94,4.55,532.75,412.62
50.62,1.94,4.56,537.63,412.01
50.82,1.94,4.54,518.08,413.23
51.02,1.93,4.55,513.20,411.62
51.22,1.94,4.56,498.53,412.01
51.42,1.95,4.55,498.53,413.61
51.62,1.94,4.56,518.08,412.01
51.82,1.93,4.56,503.42,411.02
52.02,1.93,4.55,522.97,411.62
52.22,1.95,4.56,522.97,413.00
52.42,1.94,4.55,518.08,412.62
52.62,1.94,4.56,522.97,412.01
52.82,1.92,4.55,522.97,410.63
53.02,1.93,4.55,537.63,411.62
53.22,1.94,4.55,542.52,412.62
53.42,1.92,4.54,522.97,411.24
53.62,1.93,4.55,547.41,411.62
53.82,1.94,4.56,522.97,412.01
54.02,1.92,4.54,527.86,411.24
54.22,1.94,4.55,513.20,412.62
54.42,1.93,4.56,518.08,411.02
54.62,1.93,4.58,537.63,410.42
54.82,1.94,4.55,547.41,412.62
55.02,1.93,4.58,562.07,410.42
55.22,1.94,4.55,542.52,412.62
55.42,1.93,4.55,571.85,411.62
55.62,1.94,4.56,566.96,412.01
55.82,1.93,4.56,547.41,411.02
56.02,1.93,4.55,532.75,411.62
56.22,1.94,4.55,532.75,412.62
56.42,1.93,4.56,557.18,411.02
56.62,1.93,4.56,576.74,411.02
56.82,1.92,4.55,547.41,410.63
57.02,1.93,4.56,552.30,411.02
57.22,1.94,4.55,537.63,412.62
57.42,1.92,4.55,547.41,410.63
57.62,1.93,4.56,542.52,411.02
57.82,1.93,4.58,542.52,410.42
58.02,1.93,4.56,552.30,411.02
58.22,1.94,4.56,527.86,412.01
58.42,1.94,4.56,513.20,412.01
58.62,1.93,4.56,493.65,411.02
58.82,1.95,4.56,474.10,413.00
59.02,1.94,4.56,474.10,412.01
59.22,1.93,4.55,459.43,411.62
59.42,1.94,4.56,478.98,412.01
59.62,1.94,4.56,478.98,412.01
59.82,1.93,4.55,478.98,411.62
60.02,1.92,4.55,469.21,410.63
60.22,1.95,4.55,483.87,413.61
60.42,1.94,4.56,493.65,412.01
60.62,1.93,4.55,498.53,411.62
60.82,1.94,4.56,498.53,412.01
61.02,1.93,4.56,498.53,411.02
61.22,1.94,4.56,474.10,412.01
61.42,1.93,4.58,478.98,410.42
61.62,1.95,4.55,498.53,413.61
61.82,1.93,4.55,503.42,411.62
62.02,1.91,4.55,513.20,409.63
62.22,1.94,4.55,518.08,412.62
62.42,1.93,4.56,513.20,411.02
62.62,1.92,4.55,513.20,410.63
62.82,1.94,4.55,532.75,412.62
63.02,1.94,4.56,547.41,412.01
63.22,1.92,4.56,522.97,410.02
63.42,1.95,4.55,508.31,413.61
63.62,1.94,4.56,498.53,412.01
63.82,1.95,4.56,483.87,413.00
64.02,1.94,4.55,483.87,412.62
64.22,1.94,4.56,474.10,412.01
64.42,1.94,4.56,459.43,412.01
64.62,1.93,4.55,439.88,411.62
64.82,1.94,4.56,449.66,412.01
65.02,1.94,4.55,459.43,412.62
65.22,1.94,4.56,464.32,412.01
65.42,1.94,4.56,454.55,412.01
65.62,1.95,4.56,435.00,413.00
65.82,1.94,4.56,454.55,412.01
66.02,1.93,4.56,425.22,411.02
66.22,1.93,4.56,444.77,411.02
66.42,1.94,4.56,439.88,412.01
66.62,1.94,4.56,464.32,412.01
66.82,1.94,4.55,478.98,412.62
67.02,1.95,4.56,503.42,413.00
67.22,1.93,4.55,498.53,411.62
67.42,1.93,4.56,532.75,411.02
67.62,1.94,4.55,552.30,412.62
67.82,1.93,4.56,557.18,411.02
68.02,1.93,4.56,542.52,411.02
68.22,1.94,4.55,527.86,412.62
68.42,1.93,4.56,537.63,411.02
68.62,1.93,4.56,522.97,411.02
68.82,1.94,4.55,493.65,412.62
69.02,1.94,4.56,488.76,412.01
69.22,1.93,4.55,474.10,411.62
69.42,1.93,4.55,449.66,411.62
69.62,1.94,4.56,439.88,412.01
69.82,1.92,4.55,435.00,410.63
70.02,1.92,4.55,425.22,410.63
70.22,1.94,4.56,430.11,412.01
70.42,1.94,4.56,444.77,412.01
70.62,1.93,4.56,430.11,411.02
70.82,1.92,4.55,425.22,410.63
71.02,1.94,4.58,439.88,411.41
71.22,1.94,4.56,415.44,412.01
71.42,1.92,4.56,400.78,410.02
71.62,1.94,4.56,405.67,412.01
71.82,1.93,4.55,405.67,411.62
72.02,1.94,4.55,439.88,412.62
72.22,1.94,4.55,435.00,412.62
72.42,1.95,4.56,415.44,413.00
72.62,1.93,4.55,420.33,411.62
72.82,1.94,4.56,405.67,412.01
73.02,1.94,4.56,415.44,412.01
73.22,1.93,4.56,415.44,411.02
73.42,1.92,4.55,435.00,410.63
73.62,1.95,4.56,444.77,413.00
73.82,1.94,4.55,435.00,412.62
74.02,1.94,4.56,454.55,412.01
74.22,1.94,4.55,435.00,412.62
74.42,1.94,4.55,430.11,412.62
74.62,1.94,4.55,415.44,412.62
74.82,1.95,4.55,435.00,413.61
75.02,1.94,4.56,415.44,412.01
75.22,1.92,4.55,405.67,410.63
75.42,1.93,4.55,420.33,411.62
75.62,1.94,4.56,439.88,412.01
75.82,1.94,4.55,405.67,412.62
76.02,1.94,4.55,415.44,412.62
76.22,1.93,4.56,415.44,411.02
76.42,1.94,4.55,400.78,412.62
76.62,1.93,4.55,395.89,411.62
76.82,1.94,4.56,425.22,412.01
77.02,1.95,4.56,410.56,413.00
77.22,1.95,4.55,395.89,413.61
77.42,1.93,4.56,371.46,411.02
77.62,1.95,4.56,366.57,413.00
77.82,1.94,4.56,371.46,412.01
78.02,1.94,4.56,356.79,412.01
78.22,1.94,4.56,337.24,412.01
78.42,1.94,4.56,356.79,412.01
78.62,1.94,4.55,356.79,412.62
78.82,1.94,4.55,361.68,412.62
79.02,1.93,4.55,366.57,411.62
79.22,1.94,4.56,361.68,412.01
79.42,1.94,4.55,356.79,412.62
79.62,1.94,4.58,356.79,411.41
79.82,1.93,4.56,381.23,411.02
80.02,1.93,4.56,376.34,411.02
80.22,1.95,4.55,366.57,413.61
80.42,1.94,4.56,361.68,412.01
80.62,1.93,4.56,386.12,411.02
80.82,1.95,4.56,386.12,413.00
81.02,1.93,4.55,371.46,411.62
81.22,1.92,4.56,337.24,410.02
81.42,1.94,4.56,342.13,412.01
81.62,1.93,4.56,351.91,411.02
81.82,1.92,4.55,347.02,410.63
82.02,1.94,4.56,342.13,412.01
82.22,1.94,4.59,347.02,410.80
82.42,1.94,4.56,332.36,412.01
82.62,1.93,4.55,347.02,411.62
