# material: PA6
# geometry: fiber
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85-290
# drawdown_ratio: 50.0
# trial_number: Solid PA6-3
# operator: Hamdi_Ahmed
# start_time: 2026-04-21 19:13:48
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.05,474.10,398.63
1.42,1.21,3.05,478.98,398.63
1.62,1.19,3.03,469.21,396.43
1.82,1.20,3.02,478.98,398.86
2.02,1.26,3.10,0.00,402.70
2.22,1.26,3.11,0.00,401.83
2.42,1.26,3.11,0.00,401.83
2.62,1.20,3.05,459.43,397.10
2.82,1.18,3.03,474.10,394.88
3.02,1.19,3.02,483.87,397.31
3.22,1.19,3.03,488.76,396.43
3.42,1.20,3.02,478.98,398.86
3.62,1.19,3.05,483.87,395.56
3.82,1.19,3.03,488.76,396.43
4.02,1.20,3.03,488.76,397.98
4.22,1.20,3.03,474.10,397.98
4.42,1.20,3.05,488.76,397.10
4.62,1.21,3.05,478.98,398.63
4.82,1.18,3.02,488.76,395.76
