# material: PA6
# geometry: fiber
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85-290
# drawdown_ratio: 50.0
# trial_number: Solid PA6-4
# operator: Hamdi_Ahmed .3
# start_time: 2026-04-21 19:14:42
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.03,454.55,397.98
1.42,1.21,3.05,439.88,398.63
1.62,1.21,3.05,435.00,398.63
1.82,1.21,3.05,420.33,398.63
2.02,1.19,3.03,415.44,396.43
2.22,1.20,3.03,415.44,397.98
2.42,1.20,3.05,415.44,397.10
2.62,1.21,3.05,425.22,398.63
2.82,1.19,3.03,420.33,396.43
3.02,1.20,3.02,425.22,398.86
3.22,1.20,3.02,430.11,398.86
3.42,1.20,3.02,430.11,398.86
3.62,1.19,3.05,444.77,395.56
3.82,1.21,3.03,444.77,399.52
4.02,1.20,3.03,430.11,397.98
4.22,1.19,3.03,435.00,396.43
4.42,1.18,3.03,439.88,394.88
4.62,1.20,3.03,439.88,397.98
4.82,1.21,3.05,435.00,398.63
