# material: PA6
# geometry: fiber
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85-290
# drawdown_ratio: 50.0
# trial_number: Solid PA6-6
# operator: Hamdi_Ahmed 
# start_time: 2026-04-21 19:17:59
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.05,513.20,398.63
1.42,1.21,3.05,522.97,398.63
1.62,1.19,3.02,518.08,397.31
1.82,1.18,3.05,527.86,394.01
2.02,1.20,3.03,527.86,397.98
2.22,1.19,3.05,513.20,395.56
2.42,1.21,3.05,513.20,398.63
2.62,1.21,3.05,503.42,398.63
2.82,1.20,3.02,493.65,398.86
3.02,1.20,3.02,483.87,398.86
3.22,1.26,3.11,0.00,401.83
3.42,1.25,3.10,0.00,401.20
3.62,1.27,3.11,0.00,403.31
3.82,1.26,3.09,0.00,403.57
4.02,1.27,3.10,0.00,404.18
4.22,1.27,3.10,0.00,404.18
4.42,1.26,3.09,0.00,403.57
4.62,1.26,3.11,0.00,401.83
4.82,1.27,3.11,0.00,403.31
5.02,1.26,3.11,0.00,401.83
