# material: PCTG
# geometry: Cylinder 
# preform_diameter: 20.0
# material_color: Dark Grey
# temperature_C: 80200.0
# drawdown_ratio: 50.0
# trial_number: 037
# operator: Ahmed
# start_time: 2026-05-04 14:05:53
# notes: First Trial
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.18,3.03,239.49,394.88
1.42,1.21,3.05,244.38,398.63
1.62,1.20,3.03,229.72,397.98
1.82,1.18,3.01,244.38,396.64
2.02,1.18,3.03,259.04,394.88
2.22,1.19,3.03,254.15,396.43
2.42,1.18,3.01,239.49,396.64
2.62,1.19,3.01,239.49,398.20
2.82,1.21,3.02,244.38,400.40
3.02,1.20,3.05,244.38,397.10
3.22,1.19,3.01,254.15,398.20
3.42,1.20,3.02,234.60,398.86
3.62,1.20,3.03,244.38,397.98
3.82,1.18,3.01,263.93,396.64
4.02,1.19,3.03,273.70,396.43
4.22,1.21,3.05,249.27,398.63
4.42,1.20,3.02,263.93,398.86
4.62,1.20,3.02,278.59,398.86
4.82,1.19,3.03,337.24,396.43
5.02,1.19,3.01,303.03,398.20
5.22,1.17,3.03,288.37,393.32
5.42,1.19,3.03,268.82,396.43
5.62,1.19,3.02,254.15,397.31
5.82,1.19,3.02,244.38,397.31
6.02,1.20,3.03,224.83,397.98
6.22,1.21,3.02,219.94,400.40
6.42,1.18,3.01,215.05,396.64
6.62,1.18,3.02,229.72,395.76
6.82,1.21,3.03,263.93,399.52
7.02,1.19,3.01,219.94,398.20
7.22,1.18,3.03,249.27,394.88
7.42,1.20,3.03,239.49,397.98
7.62,1.19,3.03,224.83,396.43
7.82,1.19,3.01,200.39,398.20
8.02,1.20,3.03,205.28,397.98
8.22,1.20,3.02,210.17,398.86
8.42,1.20,3.02,239.49,398.86
8.62,1.19,3.02,278.59,397.31
8.82,1.22,3.05,210.17,400.16
9.02,1.20,3.02,200.39,398.86
9.22,1.20,3.02,185.73,398.86
9.42,1.18,3.02,195.50,395.76
9.62,1.18,3.03,195.50,394.88
9.82,1.17,3.02,195.50,394.19
10.02,1.20,3.02,180.84,398.86
10.22,1.20,3.02,185.73,398.86
10.42,1.18,3.02,185.73,395.76
10.62,1.20,3.01,180.84,399.75
10.82,1.21,3.03,175.95,399.52
11.02,1.19,3.01,156.40,398.20
11.22,1.19,3.02,171.07,397.31
11.42,1.20,3.03,180.84,397.98
11.62,1.19,3.03,205.28,396.43
11.82,1.20,3.01,259.04,399.75
12.02,1.20,3.02,239.49,398.86
12.22,1.19,3.02,215.05,397.31
12.42,1.20,3.02,224.83,398.86
12.62,1.19,3.03,215.05,396.43
12.82,1.20,3.03,200.39,397.98
13.02,1.18,3.01,180.84,396.64
13.22,1.20,3.03,175.95,397.98
13.42,1.20,3.03,185.73,397.98
13.62,1.20,3.03,185.73,397.98
13.82,1.19,3.02,171.07,397.31
14.02,1.21,3.03,175.95,399.52
14.22,1.20,3.03,185.73,397.98
14.42,1.20,3.03,210.17,397.98
14.62,1.19,3.01,205.28,398.20
14.82,1.20,3.02,200.39,398.86
15.02,1.20,3.02,234.60,398.86
15.22,1.19,3.02,200.39,397.31
15.42,1.20,3.03,195.50,397.98
15.62,1.21,3.03,200.39,399.52
15.82,1.18,3.01,185.73,396.64
16.02,1.20,3.02,180.84,398.86
16.22,1.21,3.03,205.28,399.52
16.42,1.18,3.01,156.40,396.64
16.62,1.20,3.03,175.95,397.98
16.82,1.19,3.03,175.95,396.43
17.02,1.19,3.03,180.84,396.43
17.22,1.18,3.03,185.73,394.88
17.42,1.20,3.05,171.07,397.10
17.62,1.19,3.02,161.29,397.31
17.82,1.17,3.02,171.07,394.19
18.02,1.21,3.02,156.40,400.40
18.22,1.20,3.03,156.40,397.98
18.42,1.19,3.01,161.29,398.20
18.62,1.19,3.03,166.18,396.43
18.82,1.18,3.03,136.85,394.88
19.02,1.19,3.01,141.74,398.20
19.22,1.18,3.02,151.52,395.76
19.42,1.18,3.01,166.18,396.64
19.62,1.19,3.02,180.84,397.31
19.82,1.20,3.02,171.07,398.86
20.02,1.20,3.03,151.52,397.98
20.22,1.19,3.03,156.40,396.43
20.42,1.20,3.01,166.18,399.75
20.62,1.21,3.05,136.85,398.63
20.82,1.19,3.02,161.29,397.31
21.02,1.21,3.03,180.84,399.52
21.22,1.18,3.03,195.50,394.88
21.42,1.17,3.02,175.95,394.19
21.62,1.20,3.02,175.95,398.86
21.82,1.20,3.02,185.73,398.86
22.02,1.19,3.03,161.29,396.43
22.22,1.20,3.01,185.73,399.75
