# material: PCTG
# geometry: Cylinder
# preform_diameter: 20.0
# material_color: Blue_Red
# temperature_C: 80290.0
# drawdown_ratio: 50.0
# trial_number: 042
# operator: Ahmed
# start_time: 2026-05-11 17:40:46
# notes: Trial
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.01,190.62,401.29
1.42,1.19,3.01,185.73,398.20
1.62,1.19,2.99,195.50,399.09
1.82,1.19,3.03,180.84,396.43
2.02,1.18,3.03,166.18,394.88
2.22,1.19,3.03,190.62,396.43
2.42,1.20,3.02,190.62,398.86
2.62,1.19,3.01,175.95,398.20
2.82,1.19,3.02,190.62,397.31
3.02,1.20,3.01,195.50,399.75
3.22,1.20,3.03,205.28,397.98
3.42,1.18,2.99,205.28,397.53
3.62,1.20,3.03,200.39,397.98
3.82,1.19,3.02,185.73,397.31
4.02,1.20,3.02,210.17,398.86
4.22,1.19,3.05,210.17,395.56
4.42,1.19,3.03,210.17,396.43
4.62,1.19,3.01,224.83,398.20
4.82,1.20,3.02,234.60,398.86
5.02,1.21,3.02,249.27,400.40
5.22,1.20,3.02,273.70,398.86
5.42,1.19,3.03,273.70,396.43
5.62,1.18,3.01,278.59,396.64
5.82,1.19,3.03,278.59,396.43
6.02,1.19,3.02,259.04,397.31
6.22,1.20,3.02,268.82,398.86
6.42,1.18,3.01,249.27,396.64
6.62,1.21,3.02,259.04,400.40
6.82,1.20,2.99,229.72,400.64
7.02,1.20,3.01,239.49,399.75
7.22,1.20,3.03,249.27,397.98
7.42,1.19,3.01,224.83,398.20
7.62,1.21,3.01,234.60,401.29
7.82,1.20,3.02,224.83,398.86
8.02,1.21,3.02,210.17,400.40
8.22,1.19,3.03,215.05,396.43
8.42,1.19,3.02,215.05,397.31
8.62,1.19,2.97,219.94,400.89
8.82,1.20,3.03,210.17,397.98
9.02,1.18,3.01,205.28,396.64
9.22,1.18,3.05,210.17,394.01
9.42,1.20,3.03,195.50,397.98
9.62,1.20,3.01,190.62,399.75
9.82,1.19,3.03,195.50,396.43
10.02,1.20,3.02,200.39,398.86
10.22,1.20,3.02,219.94,398.86
10.42,1.18,3.01,219.94,396.64
10.62,1.20,3.02,205.28,398.86
10.82,1.19,3.03,200.39,396.43
11.02,1.19,2.99,195.50,399.09
11.22,1.19,3.06,200.39,394.69
11.42,1.19,3.02,190.62,397.31
11.62,1.18,3.03,190.62,394.88
11.82,1.19,3.03,205.28,396.43
12.02,1.19,3.03,205.28,396.43
12.22,1.19,3.01,190.62,398.20
12.42,1.20,3.02,205.28,398.86
12.62,1.19,3.06,200.39,394.69
12.82,1.21,3.03,219.94,399.52
13.02,1.20,3.01,229.72,399.75
13.22,1.20,3.03,219.94,397.98
13.42,1.19,3.03,234.60,396.43
13.62,1.20,3.02,249.27,398.86
13.82,1.19,3.03,244.38,396.43
14.02,1.20,3.02,249.27,398.86
14.22,1.19,3.01,239.49,398.20
14.42,1.20,3.02,244.38,398.86
14.62,1.19,3.02,254.15,397.31
14.82,1.19,3.02,234.60,397.31
15.02,1.19,3.02,249.27,397.31
15.22,1.18,3.01,259.04,396.64
15.42,1.18,3.03,259.04,394.88
15.62,1.18,3.02,244.38,395.76
15.82,1.19,3.02,263.93,397.31
16.02,1.19,3.01,234.60,398.20
16.22,1.21,3.03,244.38,399.52
16.42,1.19,3.03,224.83,396.43
16.62,1.21,3.02,249.27,400.40
16.82,1.20,3.02,229.72,398.86
17.02,1.19,3.01,224.83,398.20
17.22,1.19,3.03,219.94,396.43
17.42,1.21,2.97,249.27,404.01
17.62,1.19,3.02,249.27,397.31
17.82,1.20,3.03,249.27,397.98
18.02,1.21,3.03,244.38,399.52
18.22,1.20,3.01,234.60,399.75
18.42,1.20,3.02,219.94,398.86
18.62,1.19,3.01,200.39,398.20
18.82,1.20,3.02,210.17,398.86
19.02,1.20,3.03,195.50,397.98
19.22,1.20,3.01,205.28,399.75
19.42,1.18,3.02,210.17,395.76
19.62,1.20,3.03,210.17,397.98
19.82,1.20,3.02,224.83,398.86
20.02,1.19,3.02,219.94,397.31
20.22,1.19,3.02,229.72,397.31
20.42,1.19,3.01,200.39,398.20
20.62,1.20,3.06,195.50,396.23
20.82,1.18,3.01,205.28,396.64
21.02,1.19,3.03,210.17,396.43
21.22,1.19,3.03,215.05,396.43
21.42,1.20,3.02,229.72,398.86
21.62,1.19,3.02,239.49,397.31
21.82,1.20,3.01,254.15,399.75
22.02,1.18,2.99,239.49,397.53
22.22,1.20,3.03,249.27,397.98
22.42,1.20,3.02,239.49,398.86
22.62,1.20,3.02,244.38,398.86
22.82,1.21,3.02,244.38,400.40
23.02,1.18,3.01,239.49,396.64
23.22,1.18,3.02,254.15,395.76
23.42,1.20,3.01,239.49,399.75
23.62,1.20,3.03,249.27,397.98
23.82,1.20,3.01,259.04,399.75
24.02,1.20,3.02,249.27,398.86
24.22,1.19,3.01,239.49,398.20
24.42,1.19,3.02,224.83,397.31
24.62,1.19,3.01,219.94,398.20
24.82,1.20,3.02,229.72,398.86
25.02,1.20,3.03,239.49,397.98
25.22,1.20,3.01,234.60,399.75
25.42,1.19,3.02,234.60,397.31
25.62,1.18,3.02,224.83,395.76
25.82,1.21,3.01,229.72,401.29
26.02,1.19,3.01,219.94,398.20
26.22,1.21,3.02,234.60,400.40
26.42,1.20,3.02,234.60,398.86
26.62,1.19,3.02,219.94,397.31
26.82,1.19,3.03,215.05,396.43
27.02,1.20,3.06,229.72,396.23
27.22,1.18,3.01,210.17,396.64
27.42,1.17,2.99,215.05,395.96
27.62,1.20,3.03,200.39,397.98
27.82,1.19,3.01,219.94,398.20
28.02,1.21,3.02,219.94,400.40
28.22,1.19,3.03,219.94,396.43
