# material: PCTG
# geometry: Cylinder
# preform_diameter: 20.0
# material_color: Dark Grey
# temperature_C: 80210.0
# drawdown_ratio: 50.0
# trial_number: 038
# operator: Ahmed
# start_time: 2026-05-04 14:13:47
# notes: Second trial
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.03,244.38,397.98
1.42,1.20,3.02,219.94,398.86
1.62,1.21,3.03,210.17,399.52
1.82,1.21,3.03,283.48,399.52
2.02,1.19,3.02,229.72,397.31
2.22,1.19,3.02,249.27,397.31
2.42,1.19,3.05,249.27,395.56
2.62,1.20,3.05,273.70,397.10
2.82,1.19,3.02,312.81,397.31
3.02,1.19,2.99,215.05,399.09
3.22,1.20,3.03,219.94,397.98
3.42,1.18,3.02,229.72,395.76
3.62,1.20,3.02,254.15,398.86
3.82,1.20,3.03,254.15,397.98
4.02,1.20,3.02,249.27,398.86
4.22,1.19,3.02,283.48,397.31
4.42,1.20,3.01,259.04,399.75
4.62,1.21,3.03,268.82,399.52
4.82,1.19,3.01,259.04,398.20
5.02,1.19,3.01,244.38,398.20
5.22,1.20,3.02,268.82,398.86
5.42,1.18,3.01,259.04,396.64
5.62,1.20,3.02,244.38,398.86
5.82,1.21,3.03,239.49,399.52
6.02,1.19,3.01,244.38,398.20
6.22,1.21,3.03,219.94,399.52
6.42,1.20,3.01,215.05,399.75
6.62,1.20,3.02,219.94,398.86
6.82,1.18,3.05,219.94,394.01
7.02,1.20,3.01,215.05,399.75
7.22,1.20,3.05,200.39,397.10
7.42,1.20,3.02,205.28,398.86
7.62,1.19,3.02,200.39,397.31
7.82,1.20,3.03,190.62,397.98
8.02,1.20,3.02,161.29,398.86
8.22,1.19,3.03,175.95,396.43
8.42,1.18,3.01,171.07,396.64
8.62,1.20,3.03,180.84,397.98
8.82,1.19,3.02,175.95,397.31
9.02,1.20,3.01,171.07,399.75
9.22,1.20,3.02,161.29,398.86
9.42,1.19,3.02,151.52,397.31
9.62,1.20,3.03,249.27,397.98
9.82,1.20,3.03,263.93,397.98
10.02,1.18,3.03,239.49,394.88
10.22,1.21,3.03,210.17,399.52
10.42,1.18,2.99,205.28,397.53
10.62,1.19,3.02,205.28,397.31
10.82,1.19,3.03,175.95,396.43
11.02,1.20,3.03,166.18,397.98
11.22,1.20,3.02,166.18,398.86
11.42,1.19,3.01,166.18,398.20
11.62,1.20,3.03,151.52,397.98
11.82,1.19,3.01,151.52,398.20
12.02,1.20,3.02,141.74,398.86
12.22,1.19,3.03,175.95,396.43
12.42,1.20,3.01,156.40,399.75
12.62,1.21,3.03,136.85,399.52
12.82,1.19,3.03,122.19,396.43
13.02,1.20,3.03,131.96,397.98
13.22,1.20,3.02,141.74,398.86
13.42,1.20,3.02,166.18,398.86
13.62,1.20,3.02,210.17,398.86
13.82,1.19,3.02,195.50,397.31
14.02,1.20,3.02,190.62,398.86
14.22,1.19,3.03,166.18,396.43
14.42,1.20,3.01,161.29,399.75
14.62,1.20,3.02,161.29,398.86
14.82,1.19,3.02,146.63,397.31
15.02,1.20,3.03,166.18,397.98
15.22,1.20,3.03,180.84,397.98
15.42,1.20,3.02,156.40,398.86
15.62,1.20,3.03,151.52,397.98
15.82,1.20,3.03,151.52,397.98
16.02,1.19,3.02,151.52,397.31
16.22,1.21,3.03,156.40,399.52
16.42,1.18,3.03,156.40,394.88
16.62,1.20,3.05,166.18,397.10
16.82,1.19,3.03,151.52,396.43
17.02,1.20,3.01,171.07,399.75
17.22,1.19,3.01,136.85,398.20
17.42,1.20,3.03,156.40,397.98
17.62,1.21,3.03,146.63,399.52
17.82,1.19,3.01,151.52,398.20
18.02,1.19,3.02,136.85,397.31
18.22,1.21,3.03,131.96,399.52
18.42,1.18,3.01,151.52,396.64
18.62,1.19,3.03,175.95,396.43
18.82,1.19,3.05,156.40,395.56
19.02,1.21,3.02,171.07,400.40
19.22,1.20,3.02,146.63,398.86
19.42,1.18,3.02,175.95,395.76
19.62,1.20,3.03,161.29,397.98
19.82,1.20,3.03,171.07,397.98
20.02,1.19,3.02,210.17,397.31
20.22,1.20,3.05,166.18,397.10
20.42,1.18,3.01,166.18,396.64
20.62,1.21,3.03,151.52,399.52
20.82,1.18,3.03,210.17,394.88
21.02,1.21,3.02,205.28,400.40
21.22,1.19,3.02,190.62,397.31
21.42,1.20,3.01,175.95,399.75
21.62,1.21,3.02,166.18,400.40
21.82,1.18,3.01,180.84,396.64
22.02,1.20,3.03,185.73,397.98
22.22,1.21,3.03,180.84,399.52
22.42,1.18,3.01,180.84,396.64
22.62,1.21,3.03,180.84,399.52
22.82,1.19,3.03,175.95,396.43
23.02,1.20,3.01,185.73,399.75
23.22,1.20,3.02,190.62,398.86
23.42,1.19,3.02,171.07,397.31
23.62,1.20,3.03,180.84,397.98
23.82,1.21,3.03,200.39,399.52
24.02,1.19,3.01,190.62,398.20
24.22,1.20,3.02,161.29,398.86
24.42,1.21,3.01,180.84,401.29
24.62,1.20,3.02,185.73,398.86
24.82,1.19,3.05,175.95,395.56
25.02,1.20,3.01,180.84,399.75
25.22,1.19,3.02,185.73,397.31
25.42,1.19,3.03,195.50,396.43
25.62,1.21,3.03,195.50,399.52
25.82,1.20,3.05,200.39,397.10
26.02,1.20,3.01,190.62,399.75
26.22,1.21,3.03,200.39,399.52
26.42,1.18,3.01,244.38,396.64
26.62,1.20,3.03,249.27,397.98
26.82,1.18,3.03,234.60,394.88
27.02,1.20,3.01,244.38,399.75
27.22,1.21,3.02,219.94,400.40
27.42,1.18,3.03,219.94,394.88
27.62,1.20,3.01,249.27,399.75
27.82,1.21,3.03,239.49,399.52
28.02,1.19,3.01,205.28,398.20
28.22,1.19,3.02,259.04,397.31
28.42,1.20,3.03,234.60,397.98
28.62,1.18,3.02,210.17,395.76
28.82,1.19,3.03,205.28,396.43
29.02,1.18,3.01,215.05,396.64
29.22,1.20,3.02,219.94,398.86
29.42,1.19,3.03,224.83,396.43
29.62,1.19,3.01,224.83,398.20
29.82,1.20,3.02,224.83,398.86
30.02,1.20,3.02,244.38,398.86
30.22,1.19,3.01,210.17,398.20
30.42,1.20,3.03,210.17,397.98
30.62,1.18,3.01,200.39,396.64
30.82,1.18,3.02,205.28,395.76
31.02,1.17,2.99,175.95,395.96
31.22,1.18,3.03,180.84,394.88
31.42,1.19,3.03,175.95,396.43
31.62,1.19,3.01,166.18,398.20
31.82,1.19,3.03,166.18,396.43
32.02,1.19,3.02,185.73,397.31
32.22,1.19,3.01,151.52,398.20
32.42,1.20,3.02,171.07,398.86
