# material: PCTG
# geometry: Cylinder
# preform_diameter: 20.0
# material_color: Dark Grey
# temperature_C: 80220.0
# drawdown_ratio: 50.0
# trial_number: 039
# operator: Ahmed
# start_time: 2026-05-04 14:55:41
# notes: Third trial
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.03,180.84,399.52
1.42,1.19,3.03,171.07,396.43
1.62,1.18,3.02,190.62,395.76
1.82,1.18,3.02,205.28,395.76
2.02,1.19,3.02,171.07,397.31
2.22,1.21,3.05,175.95,398.63
2.42,1.19,3.02,156.40,397.31
2.62,1.20,3.01,161.29,399.75
2.82,1.19,3.03,151.52,396.43
3.02,1.20,3.03,146.63,397.98
3.22,1.19,3.02,141.74,397.31
3.42,1.20,3.05,156.40,397.10
3.62,1.21,3.05,141.74,398.63
3.82,1.20,3.03,146.63,397.98
4.02,1.19,3.03,131.96,396.43
4.22,1.20,3.03,141.74,397.98
4.42,1.20,3.02,151.52,398.86
4.62,1.17,3.02,136.85,394.19
4.82,1.21,3.03,136.85,399.52
5.02,1.20,3.03,151.52,397.98
5.22,1.20,3.03,136.85,397.98
5.42,1.19,3.03,127.08,396.43
5.62,1.19,3.03,141.74,396.43
5.82,1.19,3.02,146.63,397.31
6.02,1.20,3.03,127.08,397.98
6.22,1.19,3.05,131.96,395.56
6.42,1.20,3.03,141.74,397.98
6.62,1.20,3.02,136.85,398.86
6.82,1.18,3.02,136.85,395.76
7.02,1.18,3.03,131.96,394.88
7.22,1.21,3.05,141.74,398.63
7.42,1.21,3.03,131.96,399.52
7.62,1.19,3.03,131.96,396.43
7.82,1.19,3.03,131.96,396.43
8.02,1.20,3.02,136.85,398.86
8.22,1.20,3.03,131.96,397.98
8.42,1.19,3.02,127.08,397.31
8.62,1.20,3.05,131.96,397.10
8.82,1.20,3.02,136.85,398.86
9.02,1.20,3.03,127.08,397.98
9.22,1.20,3.03,127.08,397.98
9.42,1.20,3.02,131.96,398.86
9.62,1.20,3.03,136.85,397.98
9.82,1.19,3.02,131.96,397.31
10.02,1.20,3.03,136.85,397.98
