# material: PCTG
# geometry: Cylinder_Valve
# preform_diameter: 20.0
# material_color: Blue_Red
# temperature_C: 80210.0
# drawdown_ratio: 50.0
# trial_number: 041
# operator: Ahmed
# start_time: 2026-05-11 17:23:08
# notes: Second Trial
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.01,229.72,401.29
1.42,1.20,3.02,288.37,398.86
1.62,1.19,3.05,234.60,395.56
1.82,1.18,2.97,239.49,399.32
2.02,1.21,3.02,239.49,400.40
2.22,1.19,3.03,224.83,396.43
2.42,1.20,3.01,239.49,399.75
2.62,1.20,3.02,283.48,398.86
2.82,1.19,3.02,244.38,397.31
3.02,1.20,3.02,234.60,398.86
3.22,1.19,3.01,215.05,398.20
3.42,1.20,3.03,259.04,397.98
3.62,1.19,3.02,210.17,397.31
3.82,1.21,3.02,210.17,400.40
4.02,1.18,3.02,234.60,395.76
4.22,1.18,3.01,263.93,396.64
4.42,1.18,3.03,278.59,394.88
4.62,1.19,3.01,254.15,398.20
4.82,1.20,3.02,249.27,398.86
5.02,1.20,3.01,234.60,399.75
5.22,1.20,3.02,239.49,398.86
5.42,1.19,3.01,229.72,398.20
5.62,1.19,3.02,244.38,397.31
5.82,1.19,3.02,229.72,397.31
6.02,1.20,3.03,239.49,397.98
6.22,1.20,3.03,239.49,397.98
6.42,1.18,3.03,215.05,394.88
6.62,1.20,3.03,234.60,397.98
6.82,1.17,3.01,215.05,395.07
7.02,1.21,3.02,273.70,400.40
7.22,1.19,3.02,234.60,397.31
7.42,1.19,3.02,249.27,397.31
7.62,1.20,3.06,219.94,396.23
7.82,1.20,3.01,224.83,399.75
8.02,1.20,3.03,234.60,397.98
8.22,1.20,3.01,224.83,399.75
8.42,1.20,3.02,239.49,398.86
8.62,1.18,3.02,244.38,395.76
8.82,1.19,3.01,249.27,398.20
9.02,1.19,3.01,224.83,398.20
9.22,1.20,3.02,229.72,398.86
9.42,1.19,3.02,210.17,397.31
9.62,1.19,3.01,244.38,398.20
9.82,1.19,3.03,229.72,396.43
10.02,1.19,3.01,234.60,398.20
10.22,1.19,3.03,224.83,396.43
