# material: PC
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: Transparent
# temperature_C: 140300.0
# drawdown_ratio: 50.0
# trial_number: 035
# operator: Ahmed
# start_time: 2026-04-30 12:56:43
# notes: Trial
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.19,3.02,469.21,397.31
1.42,1.18,3.02,469.21,395.76
1.62,1.19,3.03,503.42,396.43
1.82,1.21,3.02,542.52,400.40
2.02,1.20,3.03,537.63,397.98
2.22,1.19,3.02,508.31,397.31
2.42,1.19,3.02,483.87,397.31
2.62,1.19,3.03,464.32,396.43
2.82,1.19,3.02,449.66,397.31
3.02,1.20,3.02,454.55,398.86
3.22,1.19,3.02,439.88,397.31
3.42,1.19,3.03,449.66,396.43
3.62,1.18,3.01,444.77,396.64
3.82,1.19,3.02,459.43,397.31
4.02,1.21,3.05,449.66,398.63
4.22,1.19,3.01,474.10,398.20
4.42,1.18,3.01,503.42,396.64
4.62,1.20,3.02,488.76,398.86
4.82,1.19,3.03,474.10,396.43
5.02,1.19,3.02,478.98,397.31
5.22,1.18,3.02,469.21,395.76
5.42,1.19,3.02,449.66,397.31
5.62,1.19,3.03,439.88,396.43
5.82,1.18,3.01,435.00,396.64
6.02,1.20,3.02,454.55,398.86
6.22,1.20,3.03,459.43,397.98
6.42,1.18,3.02,474.10,395.76
6.62,1.18,3.02,493.65,395.76
6.82,1.20,3.02,488.76,398.86
7.02,1.20,3.03,503.42,397.98
7.22,1.18,3.03,478.98,394.88
7.42,1.21,3.01,474.10,401.29
7.62,1.21,3.05,454.55,398.63
7.82,1.20,3.03,435.00,397.98
8.02,1.17,3.01,430.11,395.07
8.22,1.19,3.02,425.22,397.31
8.42,1.21,3.03,425.22,399.52
8.62,1.18,3.03,410.56,394.88
8.82,1.17,3.01,415.44,395.07
9.02,1.21,3.03,420.33,399.52
9.22,1.20,3.02,430.11,398.86
9.42,1.19,3.01,420.33,398.20
9.62,1.18,3.02,435.00,395.76
9.82,1.21,3.03,464.32,399.52
10.02,1.20,3.03,454.55,397.98
10.22,1.19,3.01,449.66,398.20
10.42,1.21,3.02,454.55,400.40
10.62,1.22,3.03,435.00,401.05
10.82,1.20,3.02,405.67,398.86
11.02,1.18,3.02,391.01,395.76
11.22,1.20,3.02,405.67,398.86
11.42,1.19,3.03,400.78,396.43
11.62,1.19,3.02,376.34,397.31
11.82,1.20,3.02,381.23,398.86
12.02,1.20,3.03,371.46,397.98
12.22,1.20,3.03,356.79,397.98
12.42,1.20,3.02,332.36,398.86
12.62,1.18,3.03,366.57,394.88
12.82,1.18,3.03,356.79,394.88
13.02,1.20,3.01,356.79,399.75
13.22,1.17,3.03,332.36,393.32
13.42,1.20,3.02,347.02,398.86
13.62,1.19,3.02,371.46,397.31
13.82,1.19,3.02,356.79,397.31
14.02,1.19,3.01,337.24,398.20
14.22,1.20,3.03,317.69,397.98
14.42,1.20,3.02,303.03,398.86
14.62,1.18,3.02,317.69,395.76
14.82,1.21,3.03,327.47,399.52
15.02,1.18,3.03,312.81,394.88
15.22,1.17,3.02,317.69,394.19
15.42,1.20,3.02,337.24,398.86
15.62,1.19,3.03,337.24,396.43
15.82,1.19,3.02,356.79,397.31
16.02,1.19,3.02,356.79,397.31
16.22,1.20,3.03,371.46,397.98
16.42,1.20,3.03,356.79,397.98
16.62,1.18,3.02,322.58,395.76
16.82,1.20,3.02,332.36,398.86
17.02,1.20,3.03,312.81,397.98
17.22,1.20,3.05,307.92,397.10
17.42,1.20,3.01,312.81,399.75
17.62,1.20,3.03,317.69,397.98
17.82,1.18,3.03,351.91,394.88
18.02,1.20,3.02,351.91,398.86
18.22,1.19,3.01,361.68,398.20
18.42,1.20,3.03,376.34,397.98
18.62,1.21,3.02,376.34,400.40
18.82,1.18,3.01,381.23,396.64
19.02,1.20,3.02,400.78,398.86
19.22,1.20,3.03,391.01,397.98
19.42,1.20,3.03,391.01,397.98
19.62,1.19,3.03,386.12,396.43
19.82,1.20,3.05,391.01,397.10
20.02,1.18,3.03,356.79,394.88
20.22,1.18,3.03,361.68,394.88
20.42,1.17,3.02,366.57,394.19
20.62,1.21,3.03,366.57,399.52
20.82,1.18,3.01,351.91,396.64
21.02,1.17,3.02,366.57,394.19
21.22,1.20,3.03,386.12,397.98
21.42,1.19,3.03,371.46,396.43
21.62,1.18,3.01,391.01,396.64
21.82,1.20,3.03,410.56,397.98
22.02,1.20,3.03,405.67,397.98
22.22,1.19,3.03,400.78,396.43
22.42,1.20,3.01,420.33,399.75
22.62,1.20,3.02,420.33,398.86
22.82,1.18,3.05,439.88,394.01
23.02,1.19,3.01,454.55,398.20
23.22,1.19,3.02,474.10,397.31
23.42,1.21,3.02,498.53,400.40
23.62,1.21,3.02,503.42,400.40
23.82,1.18,3.01,508.31,396.64
24.02,1.19,3.02,493.65,397.31
24.22,1.20,3.03,488.76,397.98
24.42,1.21,3.03,478.98,399.52
24.62,1.19,3.03,469.21,396.43
24.82,1.18,3.01,464.32,396.64
25.02,1.19,3.03,459.43,396.43
25.22,1.19,3.02,454.55,397.31
25.42,1.19,3.02,439.88,397.31
25.62,1.19,3.02,454.55,397.31
25.82,1.18,3.02,439.88,395.76
26.02,1.20,3.01,435.00,399.75
26.22,1.18,3.02,449.66,395.76
26.42,1.20,3.02,459.43,398.86
26.62,1.20,3.03,493.65,397.98
26.82,1.20,3.01,498.53,399.75
27.02,1.21,3.02,503.42,400.40
27.22,1.19,3.03,478.98,396.43
27.42,1.19,3.03,493.65,396.43
27.62,1.19,3.05,474.10,395.56
27.82,1.20,3.03,469.21,397.98
28.02,1.20,3.01,522.97,399.75
28.22,1.18,3.03,557.18,394.88
28.42,1.19,3.02,606.06,397.31
28.62,1.19,3.05,566.96,395.56
28.82,1.19,3.03,552.30,396.43
29.02,1.21,3.01,513.20,401.29
29.22,1.19,3.01,508.31,398.20
29.42,1.18,3.03,488.76,394.88
29.62,1.20,3.02,454.55,398.86
29.82,1.19,3.03,420.33,396.43
30.02,1.21,3.02,405.67,400.40
30.22,1.21,3.02,395.89,400.40
30.42,1.20,3.02,405.67,398.86
30.62,1.19,3.01,415.44,398.20
30.82,1.20,3.03,425.22,397.98
31.02,1.21,3.05,405.67,398.63
31.22,1.19,3.02,376.34,397.31
31.42,1.19,3.03,361.68,396.43
31.62,1.20,3.03,376.34,397.98
31.82,1.20,3.03,391.01,397.98
32.02,1.19,3.03,376.34,396.43
32.22,1.20,3.03,386.12,397.98
32.42,1.20,3.03,361.68,397.98
32.62,1.19,3.03,337.24,396.43
32.82,1.19,3.03,337.24,396.43
33.02,1.20,3.02,366.57,398.86
33.22,1.20,3.03,386.12,397.98
33.42,1.19,3.01,381.23,398.20
33.62,1.19,3.02,386.12,397.31
33.82,1.19,3.03,391.01,396.43
34.02,1.20,3.03,395.89,397.98
34.22,1.19,3.03,386.12,396.43
34.42,1.20,3.03,376.34,397.98
34.62,1.19,3.03,356.79,396.43
34.82,1.19,3.03,371.46,396.43
35.02,1.21,3.03,381.23,399.52
35.22,1.20,3.02,366.57,398.86
35.42,1.18,3.02,342.13,395.76
35.62,1.17,3.02,347.02,394.19
35.82,1.20,3.02,332.36,398.86
36.02,1.21,3.03,322.58,399.52
36.22,1.19,3.03,347.02,396.43
36.42,1.19,3.03,342.13,396.43
36.62,1.19,3.05,361.68,395.56
36.82,1.18,3.02,356.79,395.76
37.02,1.18,3.01,347.02,396.64
37.22,1.20,3.03,347.02,397.98
37.42,1.19,3.02,337.24,397.31
37.62,1.19,3.03,347.02,396.43
37.82,1.19,3.01,337.24,398.20
38.02,1.20,3.02,351.91,398.86
38.22,1.19,3.02,322.58,397.31
38.42,1.17,3.01,356.79,395.07
38.62,1.20,3.05,342.13,397.10
38.82,1.19,3.03,361.68,396.43
39.02,1.18,3.02,381.23,395.76
39.22,1.20,3.03,371.46,397.98
39.42,1.21,3.03,366.57,399.52
39.62,1.21,3.02,386.12,400.40
39.82,1.20,3.02,376.34,398.86
40.02,1.19,3.03,386.12,396.43
40.22,1.20,3.02,376.34,398.86
40.42,1.19,3.02,391.01,397.31
40.62,1.21,3.02,386.12,400.40
40.82,1.20,3.03,361.68,397.98
41.02,1.20,3.03,351.91,397.98
41.22,1.21,3.02,361.68,400.40
41.42,1.19,3.03,351.91,396.43
41.62,1.21,3.03,351.91,399.52
41.82,1.19,3.02,381.23,397.31
42.02,1.19,3.03,371.46,396.43
42.22,1.20,3.02,386.12,398.86
42.42,1.19,3.02,366.57,397.31
42.62,1.19,3.03,366.57,396.43
42.82,1.20,3.02,361.68,398.86
43.02,1.21,3.03,371.46,399.52
43.22,1.20,3.01,347.02,399.75
43.42,1.20,3.01,356.79,399.75
43.62,1.20,3.03,356.79,397.98
43.82,1.21,3.01,366.57,401.29
44.02,1.19,3.01,366.57,398.20
44.22,1.20,3.03,386.12,397.98
44.42,1.20,3.02,376.34,398.86
44.62,1.18,3.03,361.68,394.88
44.82,1.17,3.02,381.23,394.19
45.02,1.21,3.01,381.23,401.29
45.22,1.20,3.03,366.57,397.98
45.42,1.19,3.02,371.46,397.31
45.62,1.20,3.02,391.01,398.86
45.82,1.21,3.02,386.12,400.40
