# material: PEBA 90A
# geometry: 3channel 
# preform_diameter: 20.0
# material_color: red
# temperature_C: 200.0
# drawdown_ratio: 50.0
# trial_number: 060
# operator: Ahmed 
# start_time: 2026-06-30 15:00:13
# notes: First trial for 3 channel PEBA 90A
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.12,2.87,361.68,394.46
1.42,1.10,2.87,356.79,391.16
1.62,1.10,2.87,371.46,391.16
1.82,1.11,2.87,351.91,392.81
2.02,1.13,2.87,361.68,396.10
2.22,1.13,2.91,366.57,393.35
2.42,1.13,2.90,381.23,394.26
2.62,1.12,2.87,381.23,394.46
2.82,1.11,2.90,371.46,390.99
3.02,1.14,2.89,356.79,396.80
3.22,1.11,2.87,342.13,392.81
3.42,1.11,2.87,347.02,392.81
3.62,1.11,2.87,342.13,392.81
3.82,1.13,2.89,371.46,395.18
4.02,1.14,2.89,361.68,396.80
4.22,1.12,2.89,356.79,393.54
4.42,1.09,2.87,351.91,389.50
4.62,1.13,2.87,342.13,396.10
4.82,1.13,2.87,356.79,396.10
5.02,1.12,2.89,356.79,393.54
5.22,1.13,2.85,376.34,397.96
5.42,1.13,2.89,356.79,395.18
5.62,1.13,2.90,371.46,394.26
5.82,1.13,2.90,366.57,394.26
6.02,1.14,2.89,342.13,396.80
6.22,1.14,2.90,342.13,395.89
6.42,1.14,2.90,332.36,395.89
6.62,1.13,2.87,337.24,396.10
6.82,1.13,2.89,351.91,395.18
7.02,1.14,2.86,332.36,398.66
7.22,1.14,2.91,342.13,394.97
7.42,1.14,2.89,342.13,396.80
7.62,1.14,2.89,351.91,396.80
7.82,1.13,2.90,361.68,394.26
8.02,1.11,2.87,376.34,392.81
8.22,1.12,2.89,347.02,393.54
8.42,1.11,2.87,361.68,392.81
8.62,1.13,2.89,356.79,395.18
8.82,1.13,2.89,356.79,395.18
9.02,1.13,2.90,347.02,394.26
9.22,1.12,2.90,361.68,392.63
9.42,1.13,2.89,386.12,395.18
9.62,1.13,2.90,361.68,394.26
9.82,1.12,2.90,337.24,392.63
10.02,1.12,2.87,332.36,394.46
10.22,1.13,2.87,332.36,396.10
10.42,1.13,2.89,327.47,395.18
10.62,1.12,2.90,327.47,392.63
10.82,1.14,2.89,332.36,396.80
11.02,1.14,2.89,332.36,396.80
11.22,1.13,2.86,332.36,397.03
11.42,1.14,2.89,317.69,396.80
11.62,1.11,2.86,327.47,393.73
11.82,1.11,2.87,317.69,392.81
12.02,1.12,2.86,337.24,395.38
12.22,1.13,2.89,332.36,395.18
12.42,1.13,2.89,317.69,395.18
12.62,1.13,2.89,322.58,395.18
12.82,1.13,2.90,322.58,394.26
13.02,1.11,2.87,298.14,392.81
13.22,1.14,2.87,312.81,397.73
13.42,1.11,2.87,303.03,392.81
13.62,1.12,2.87,307.92,394.46
13.82,1.13,2.89,317.69,395.18
14.02,1.13,2.89,312.81,395.18
14.22,1.12,2.90,312.81,392.63
14.42,1.13,2.89,307.92,395.18
14.62,1.13,2.90,322.58,394.26
14.82,1.11,2.87,317.69,392.81
15.02,1.12,2.87,337.24,394.46
15.22,1.14,2.87,337.24,397.73
15.42,1.12,2.89,351.91,393.54
15.62,1.11,2.90,347.02,390.99
15.82,1.13,2.89,356.79,395.18
16.02,1.14,2.90,351.91,395.89
16.22,1.11,2.89,342.13,391.90
16.42,1.11,2.87,337.24,392.81
16.62,1.11,2.87,332.36,392.81
16.82,1.14,2.90,347.02,395.89
17.02,1.14,2.90,337.24,395.89
17.22,1.13,2.89,312.81,395.18
17.42,1.13,2.87,312.81,396.10
17.62,1.11,2.89,288.37,391.90
17.82,1.11,2.89,288.37,391.90
18.02,1.13,2.86,278.59,397.03
18.22,1.12,2.89,283.48,393.54
18.42,1.13,2.90,273.70,394.26
18.62,1.13,2.90,288.37,394.26
18.82,1.11,2.91,278.59,390.09
19.02,1.13,2.90,303.03,394.26
19.22,1.13,2.87,303.03,396.10
19.42,1.12,2.89,317.69,393.54
19.62,1.09,2.89,283.48,388.59
19.82,1.12,2.85,278.59,396.31
20.02,1.13,2.89,288.37,395.18
20.22,1.14,2.87,288.37,397.73
20.42,1.13,2.87,283.48,396.10
20.62,1.13,2.90,288.37,394.26
20.82,1.14,2.87,278.59,397.73
21.02,1.11,2.89,268.82,391.90
21.22,1.11,2.87,278.59,392.81
21.42,1.13,2.87,273.70,396.10
21.62,1.13,2.87,263.93,396.10
21.82,1.13,2.90,268.82,394.26
22.02,1.12,2.90,244.38,392.63
22.22,1.14,2.90,254.15,395.89
22.42,1.11,2.91,259.04,390.09
22.62,1.13,2.89,268.82,395.18
22.82,1.11,2.87,273.70,392.81
23.02,1.13,2.87,268.82,396.10
23.22,1.13,2.90,263.93,394.26
23.42,1.13,2.90,268.82,394.26
23.62,1.13,2.89,268.82,395.18
23.82,1.14,2.89,254.15,396.80
24.02,1.11,2.87,244.38,392.81
24.22,1.11,2.87,254.15,392.81
24.42,1.11,2.89,268.82,391.90
24.62,1.13,2.89,273.70,395.18
24.82,1.13,2.86,259.04,397.03
25.02,1.13,2.89,249.27,395.18
25.22,1.12,2.90,273.70,392.63
25.42,1.14,2.90,288.37,395.89
25.62,1.11,2.89,254.15,391.90
25.82,1.13,2.89,263.93,395.18
26.02,1.11,2.87,263.93,392.81
26.22,1.14,2.89,288.37,396.80
26.42,1.13,2.89,288.37,395.18
26.62,1.14,2.89,293.26,396.80
26.82,1.14,2.89,273.70,396.80
27.02,1.10,2.86,293.26,392.07
27.22,1.13,2.89,293.26,395.18
27.42,1.12,2.89,278.59,393.54
27.62,1.11,2.87,298.14,392.81
27.82,1.13,2.89,293.26,395.18
28.02,1.14,2.87,273.70,397.73
28.22,1.14,2.90,278.59,395.89
28.42,1.12,2.90,273.70,392.63
28.62,1.13,2.89,303.03,395.18
28.82,1.13,2.89,293.26,395.18
29.02,1.13,2.86,288.37,397.03
29.22,1.11,2.87,273.70,392.81
29.42,1.14,2.87,283.48,397.73
29.62,1.13,2.90,288.37,394.26
29.82,1.13,2.89,278.59,395.18
30.02,1.14,2.90,278.59,395.89
30.22,1.14,2.87,293.26,397.73
30.42,1.13,2.87,273.70,396.10
30.62,1.11,2.90,268.82,390.99
30.82,1.11,2.90,288.37,390.99
31.02,1.13,2.89,288.37,395.18
31.22,1.13,2.87,273.70,396.10
31.42,1.13,2.90,278.59,394.26
31.62,1.13,2.91,278.59,393.35
31.82,1.13,2.90,273.70,394.26
32.02,1.12,2.90,259.04,392.63
32.22,1.14,2.87,259.04,397.73
32.42,1.11,2.86,259.04,393.73
32.62,1.12,2.86,268.82,395.38
32.82,1.13,2.90,278.59,394.26
33.02,1.12,2.89,278.59,393.54
33.22,1.14,2.89,263.93,396.80
33.42,1.13,2.90,254.15,394.26
33.62,1.12,2.87,254.15,394.46
33.82,1.14,2.90,239.49,395.89
34.02,1.10,2.87,268.82,391.16
34.22,1.13,2.89,254.15,395.18
34.42,1.13,2.87,239.49,396.10
34.62,1.11,2.89,259.04,391.90
34.82,1.12,2.91,229.72,391.72
35.02,1.14,2.90,244.38,395.89
