# material: PETG (Shell) + PLA (Core)
# geometry: Co-Axial
# preform_diameter: 20.0
# material_color: Clear_Red
# temperature_C: 85-190
# drawdown_ratio: 50.0
# trial_number: 0026
# operator: Ahmed
# start_time: 2026-03-19 16:11:50
# notes: Trial
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.94,4.56,889.54,412.01
1.42,1.94,4.55,718.48,412.62
1.62,1.93,4.55,635.39,411.62
1.82,1.94,4.56,620.72,412.01
2.02,1.94,4.56,557.18,412.01
2.22,1.93,4.56,571.85,411.02
2.42,1.93,4.56,576.74,411.02
2.62,1.93,4.58,645.16,410.42
2.82,1.94,4.55,674.49,412.62
3.02,1.93,4.56,762.46,411.02
3.22,1.94,4.56,860.21,412.01
3.42,1.94,4.55,806.45,412.62
3.62,1.94,4.55,728.25,412.62
3.82,1.94,4.56,591.40,412.01
4.02,1.93,4.55,591.40,411.62
4.22,1.93,4.56,547.41,411.02
4.42,1.93,4.56,474.10,411.02
4.62,1.93,4.56,474.10,411.02
4.82,1.94,4.55,537.63,412.62
5.02,1.93,4.56,513.20,411.02
5.22,1.94,4.56,522.97,412.01
5.42,1.94,4.55,478.98,412.62
5.62,1.93,4.56,478.98,411.02
5.82,1.94,4.56,444.77,412.01
6.02,1.94,4.56,469.21,412.01
6.22,1.93,4.56,498.53,411.02
6.42,1.94,4.55,532.75,412.62
6.62,1.93,4.56,454.55,411.02
6.82,1.91,4.51,420.33,411.46
7.02,1.95,4.56,513.20,413.00
7.22,1.95,4.55,542.52,413.61
7.42,1.94,4.56,557.18,412.01
7.62,1.94,4.55,503.42,412.62
7.82,1.94,4.56,400.78,412.01
8.02,1.94,4.56,351.91,412.01
8.22,1.94,4.56,474.10,412.01
8.42,1.93,4.56,478.98,411.02
8.62,1.94,4.56,513.20,412.01
8.82,1.93,4.56,542.52,411.02
9.02,1.94,4.56,571.85,412.01
9.22,1.93,4.56,522.97,411.02
9.42,1.94,4.55,513.20,412.62
9.62,1.93,4.55,410.56,411.62
9.82,1.94,4.56,430.11,412.01
10.02,1.95,4.56,386.12,413.00
10.22,1.93,4.56,435.00,411.02
10.42,1.94,4.56,415.44,412.01
10.62,1.95,4.56,454.55,413.00
10.82,1.93,4.55,405.67,411.62
11.02,1.95,4.55,410.56,413.61
11.22,1.93,4.56,469.21,411.02
11.42,1.94,4.54,444.77,413.23
11.62,1.94,4.55,478.98,412.62
11.82,1.93,4.52,444.77,412.84
12.02,1.93,4.52,381.23,412.84
12.22,1.93,4.56,391.01,411.02
12.42,1.94,4.56,435.00,412.01
12.62,1.93,4.58,478.98,410.42
12.82,1.94,4.55,420.33,412.62
13.02,1.94,4.55,420.33,412.62
13.22,1.93,4.56,483.87,411.02
13.42,1.94,4.56,469.21,412.01
13.62,1.92,4.55,474.10,410.63
13.82,1.94,4.55,459.43,412.62
14.02,1.93,4.55,395.89,411.62
14.22,1.93,4.55,366.57,411.62
14.42,1.94,4.56,444.77,412.01
14.62,1.94,4.51,459.43,414.46
14.82,1.94,4.55,469.21,412.62
15.02,1.94,4.56,381.23,412.01
15.22,1.95,4.56,361.68,413.00
15.42,1.92,4.56,435.00,410.02
15.62,1.95,4.56,513.20,413.00
15.82,1.92,4.56,498.53,410.02
16.02,1.94,4.55,474.10,412.62
16.22,1.95,4.55,430.11,413.61
16.42,1.92,4.55,391.01,410.63
16.62,1.94,4.56,332.36,412.01
16.82,1.94,4.56,371.46,412.01
17.02,1.93,4.55,415.44,411.62
17.22,1.94,4.55,459.43,412.62
17.42,1.93,4.55,488.76,411.62
17.62,1.93,4.55,449.66,411.62
17.82,1.94,4.55,464.32,412.62
18.02,1.93,4.55,469.21,411.62
18.22,1.94,4.55,478.98,412.62
18.42,1.93,4.54,537.63,412.23
18.62,1.94,4.55,498.53,412.62
18.82,1.93,4.55,474.10,411.62
19.02,1.95,4.55,386.12,413.61
19.22,1.94,4.56,400.78,412.01
19.42,1.93,4.55,410.56,411.62
19.62,1.94,4.56,395.89,412.01
19.82,1.94,4.56,439.88,412.01
20.02,1.93,4.54,522.97,412.23
20.22,1.95,4.56,542.52,413.00
20.42,1.93,4.55,508.31,411.62
20.62,1.94,4.55,449.66,412.62
20.82,1.94,4.55,444.77,412.62
21.02,1.92,4.54,444.77,411.24
21.22,1.94,4.55,395.89,412.62
21.42,1.94,4.56,351.91,412.01
