# material: PETG and PLA
# geometry: Spiral
# preform_diameter: 20.0
# material_color: Black and Transparent
# temperature_C: 85220.0
# drawdown_ratio: 50.0
# trial_number: 301
# operator: Akila_Ahmed_Kalan
# start_time: 2026-08-24 13:24:48
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.15,1.15,0.63,2947.21,852.16
1.35,1.15,0.64,669.60,843.23
1.55,1.14,0.63,566.96,848.69
1.75,1.13,0.60,552.30,863.78
1.95,1.13,0.63,513.20,845.20
2.15,1.14,0.64,498.53,839.80
2.35,1.14,0.64,557.18,839.80
2.55,1.14,0.60,566.96,867.34
2.75,1.15,0.60,576.74,870.89
2.95,1.13,0.66,542.52,827.77
3.15,1.13,0.66,562.07,827.77
3.35,1.12,0.62,581.62,850.80
3.55,1.11,0.63,532.75,838.19
3.75,1.15,0.63,557.18,852.16
3.95,1.15,0.62,557.18,861.37
4.15,1.14,0.60,606.06,867.34
4.35,1.12,0.62,2546.43,850.80
4.55,1.13,0.63,703.81,845.20
4.75,1.14,0.63,532.75,848.69
4.95,1.20,0.74,0.00,806.73
5.15,1.12,0.62,488.76,850.80
5.35,1.13,0.62,444.77,854.34
5.55,1.14,0.66,464.32,831.19
5.75,1.14,0.66,772.24,831.19
5.95,1.13,0.63,1173.02,845.20
6.15,1.12,0.66,1730.21,824.34
6.35,1.13,0.64,1226.78,836.35
6.55,1.14,0.66,542.52,831.19
6.75,1.15,0.63,596.29,852.16
6.95,1.13,0.64,1114.37,836.35
7.15,1.13,0.62,2399.80,854.34
7.35,1.13,0.63,2150.54,845.20
7.55,1.14,0.66,2365.59,831.19
7.75,1.14,0.64,1627.57,839.80
7.95,1.15,0.60,1031.28,870.89
8.15,1.12,0.64,1661.78,832.89
8.35,1.13,0.63,1510.26,845.20
8.55,1.14,0.64,1583.58,839.80
8.75,1.12,0.64,1617.79,832.89
8.95,1.13,0.62,1769.31,854.34
9.15,1.14,0.66,1285.43,831.19
9.35,1.14,0.62,1055.72,857.86
9.55,1.15,0.63,962.85,852.16
9.75,1.14,0.63,772.24,848.69
9.95,1.14,0.60,1422.29,867.34
10.15,1.14,0.63,1666.67,848.69
10.35,1.15,0.63,2336.27,852.16
10.55,1.12,0.60,2302.05,860.20
10.75,1.14,0.64,2282.50,839.80
10.95,1.14,0.60,2458.46,867.34
11.15,1.13,0.63,2629.52,845.20
11.35,1.12,0.64,2781.04,832.89
11.55,1.11,0.62,2961.88,847.25
11.75,1.13,0.63,2697.95,845.20
11.95,1.13,0.62,2595.31,854.34
12.15,1.15,0.66,2712.61,834.58
12.35,1.14,0.63,2790.81,848.69
12.55,1.12,0.62,2605.08,850.80
12.75,1.13,0.62,2653.96,854.34
12.95,1.13,0.63,2834.80,845.20
13.15,1.13,0.64,2844.57,836.35
13.35,1.15,0.66,2013.69,834.58
13.55,1.12,0.62,3137.83,850.80
13.75,1.13,0.62,3123.17,854.34
13.95,1.13,0.63,943.30,845.20
14.15,1.13,0.63,3044.97,845.20
14.35,1.11,0.66,3132.94,820.90
14.55,1.11,0.60,2443.79,856.61
14.75,1.13,0.66,3167.16,827.77
14.95,1.14,0.63,3225.81,848.69
15.15,1.15,0.62,2981.43,861.37
15.35,1.14,0.62,3172.04,857.86
15.55,1.12,0.62,2942.33,850.80
15.75,1.14,0.63,2854.35,848.69
15.95,1.13,0.64,2722.38,836.35
16.15,1.15,0.66,2697.95,834.58
16.35,1.12,0.60,2419.35,860.20
16.55,1.11,0.64,2737.05,829.41
16.75,1.11,0.64,2917.89,829.41
16.95,1.12,0.66,2717.50,824.34
17.15,1.13,0.63,3084.07,845.20
17.35,1.12,0.63,2966.76,841.70
17.55,1.13,0.60,2908.11,863.78
17.75,1.13,0.63,2898.34,845.20
17.95,1.14,0.66,2942.33,831.19
18.15,1.14,0.63,2629.52,848.69
18.35,1.13,0.62,2771.26,854.34
18.55,1.13,0.60,3088.95,863.78
18.75,1.14,0.63,2937.44,848.69
18.95,1.13,0.66,2849.46,827.77
19.15,1.15,0.66,2306.94,834.58
19.35,1.14,0.64,2903.23,839.80
19.55,1.10,0.62,5000.00,843.68
19.75,1.11,0.59,5000.00,866.29
19.95,1.14,0.64,796.68,839.80
20.15,1.12,0.62,840.66,850.80
20.35,1.11,0.66,596.29,820.90
20.55,1.13,0.60,596.29,863.78
20.75,1.13,0.64,527.86,836.35
20.95,1.14,0.64,483.87,839.80
21.15,1.14,0.64,449.66,839.80
21.35,1.13,0.59,464.32,873.54
21.55,1.13,0.63,444.77,845.20
21.75,1.14,0.63,435.00,848.69
21.95,1.12,0.64,395.89,832.89
22.15,1.12,0.66,381.23,824.34
22.35,1.10,0.62,288.37,843.68
22.55,1.13,0.63,327.47,845.20
22.75,1.15,0.63,361.68,852.16
22.95,1.13,0.64,332.36,836.35
23.15,1.12,0.63,332.36,841.70
23.35,1.11,0.63,376.34,838.19
23.55,1.13,0.63,439.88,845.20
23.75,1.14,0.66,483.87,831.19
23.95,1.13,0.62,449.66,854.34
24.15,1.12,0.62,425.22,850.80
24.35,1.13,0.62,425.22,854.34
24.55,1.13,0.63,347.02,845.20
24.75,1.12,0.67,312.81,816.06
24.95,1.14,0.66,293.26,831.19
25.15,1.13,0.60,337.24,863.78
25.35,1.14,0.63,347.02,848.69
25.55,1.13,0.63,376.34,845.20
25.75,1.13,0.62,405.67,854.34
25.95,1.13,0.64,449.66,836.35
26.15,1.13,0.62,420.33,854.34
26.35,1.13,0.64,410.56,836.35
26.55,1.14,0.64,449.66,839.80
26.75,1.14,0.66,522.97,831.19
26.95,1.10,0.62,674.49,843.68
27.15,1.15,0.64,698.92,843.23
27.35,1.14,0.63,630.50,848.69
27.55,1.15,0.66,547.41,834.58
27.75,1.14,0.63,522.97,848.69
27.95,1.14,0.66,508.31,831.19
28.15,1.14,0.63,493.65,848.69
28.35,1.14,0.63,488.76,848.69
28.55,1.12,0.62,478.98,850.80
28.75,1.11,0.62,488.76,847.25
28.95,1.13,0.63,542.52,845.20
29.15,1.15,0.63,532.75,852.16
29.35,1.14,0.63,503.42,848.69
29.55,1.12,0.66,459.43,824.34
29.75,1.15,0.60,474.10,874.42
29.95,1.13,0.64,596.29,836.35
30.15,1.15,0.64,586.51,843.23
30.35,1.12,0.66,610.95,824.34
30.55,1.12,0.64,547.41,832.89
30.75,1.13,0.63,562.07,845.20
30.95,1.14,0.63,606.06,848.69
31.15,1.12,0.64,664.71,832.89
31.35,1.12,0.62,630.50,850.80
31.55,1.12,0.64,698.92,832.89
31.75,1.14,0.64,542.52,839.80
31.95,1.15,0.63,513.20,852.16
32.15,1.14,0.64,566.96,839.80
32.35,1.14,0.62,615.84,857.86
32.55,1.11,0.62,659.82,847.25
32.75,1.13,0.63,581.62,845.20
32.95,1.13,0.64,581.62,836.35
33.15,1.13,0.66,508.31,827.77
33.35,1.12,0.62,474.10,850.80
33.55,1.13,0.66,630.50,827.77
33.75,1.12,0.64,615.84,832.89
33.95,1.12,0.63,610.95,841.70
34.15,1.13,0.62,625.61,854.34
34.35,1.14,0.62,581.62,857.86
34.55,1.13,0.62,596.29,854.34
34.75,1.14,0.66,606.06,831.19
34.95,1.13,0.64,654.94,836.35
35.15,1.12,0.62,913.98,850.80
35.35,1.14,0.64,654.94,839.80
35.55,1.14,0.63,527.86,848.69
35.75,1.13,0.63,488.76,845.20
35.95,1.12,0.62,498.53,850.80
36.15,1.13,0.62,459.43,854.34
36.35,1.14,0.63,439.88,848.69
36.55,1.14,0.63,435.00,848.69
36.75,1.13,0.64,469.21,836.35
36.95,1.11,0.62,498.53,847.25
37.15,1.13,0.64,518.08,836.35
37.35,1.15,0.66,522.97,834.58
37.55,1.15,0.64,542.52,843.23
37.75,1.11,0.60,527.86,856.61
37.95,1.12,0.63,537.63,841.70
38.15,1.14,0.66,591.40,831.19
38.35,1.13,0.66,522.97,827.77
38.55,1.14,0.62,464.32,857.86
38.75,1.13,0.66,469.21,827.77
38.95,1.15,0.62,454.55,861.37
39.15,1.15,0.62,483.87,861.37
39.35,1.12,0.59,518.08,869.92
39.55,1.13,0.60,557.18,863.78
39.75,1.12,0.62,615.84,850.80
39.95,1.13,0.62,669.60,854.34
40.15,1.14,0.64,855.33,839.80
40.35,1.12,0.64,918.87,832.89
40.55,1.14,0.60,1011.73,867.34
40.75,1.13,0.64,830.89,836.35
40.95,1.15,0.63,869.99,852.16
41.15,1.12,0.66,899.32,824.34
41.35,1.11,0.64,948.19,829.41
41.55,1.13,0.62,796.68,854.34
41.75,1.15,0.63,762.46,852.16
41.95,1.14,0.63,703.81,848.69
42.15,1.14,0.63,728.25,848.69
42.35,1.11,0.60,557.18,856.61
42.55,1.13,0.64,518.08,836.35
42.75,1.14,0.64,610.95,839.80
42.95,1.14,0.66,718.48,831.19
43.15,1.13,0.63,811.34,845.20
43.35,1.12,0.64,738.03,832.89
43.55,1.15,0.63,752.69,852.16
43.75,1.14,0.64,826.00,839.80
43.95,1.13,0.64,791.79,836.35
44.15,1.14,0.62,967.74,857.86
44.35,1.14,0.67,972.63,822.83
44.55,1.14,0.64,1065.49,839.80
44.75,1.14,0.63,1124.14,848.69
44.95,1.14,0.60,1065.49,867.34
45.15,1.13,0.64,943.30,836.35
45.35,1.14,0.66,757.58,831.19
45.55,1.14,0.66,615.84,831.19
45.75,1.14,0.63,640.27,848.69
45.95,1.14,0.62,615.84,857.86
46.15,1.15,0.60,674.49,870.89
46.35,1.15,0.66,752.69,837.97
46.55,1.13,0.63,997.07,845.20
46.75,1.12,0.59,855.33,869.92
46.95,1.11,0.63,742.91,838.19
47.15,1.14,0.62,596.29,857.86
47.35,1.14,0.67,459.43,822.83
47.55,1.14,0.66,430.11,831.19
47.75,1.12,0.60,425.22,860.20
47.95,1.14,0.62,503.42,857.86
48.15,1.13,0.60,498.53,863.78
48.35,1.14,0.64,527.86,839.80
48.55,1.12,0.66,566.96,824.34
48.75,1.12,0.62,493.65,850.80
