# material: PETG
# geometry: Co-axial cylinder
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 85190.0
# drawdown_ratio: 50.0
# trial_number: 025
# operator: Ahmed
# start_time: 2026-03-19 15:50:27
# notes: Second trial 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.93,4.54,1099.71,412.23
1.42,1.95,4.56,1212.12,413.00
1.62,1.94,4.56,845.55,412.01
1.82,1.94,4.56,654.94,412.01
2.02,1.93,4.55,606.06,411.62
2.22,1.95,4.56,552.30,413.00
2.42,1.93,4.56,532.75,411.02
2.62,1.94,4.55,488.76,412.62
2.82,1.94,4.55,513.20,412.62
3.02,1.94,4.56,537.63,412.01
3.22,1.94,4.55,562.07,412.62
3.42,1.93,4.55,576.74,411.62
3.62,1.94,4.55,581.62,412.62
3.82,1.95,4.56,435.00,413.00
4.02,1.94,4.56,395.89,412.01
4.22,1.94,4.55,356.79,412.62
4.42,1.94,4.56,420.33,412.01
4.62,1.93,4.56,459.43,411.02
4.82,1.95,4.55,459.43,413.61
5.02,1.93,4.56,498.53,411.02
5.22,1.95,4.56,586.51,413.00
5.42,1.93,4.56,615.84,411.02
5.62,1.93,4.56,591.40,411.02
5.82,1.95,4.56,518.08,413.00
6.02,1.94,4.55,474.10,412.62
6.22,1.94,4.55,493.65,412.62
6.42,1.93,4.55,562.07,411.62
6.62,1.95,4.56,503.42,413.00
6.82,1.94,4.56,459.43,412.01
7.02,1.94,4.55,483.87,412.62
7.22,1.95,4.56,493.65,413.00
7.42,1.93,4.58,469.21,410.42
7.62,1.94,4.56,420.33,412.01
7.82,1.92,4.55,391.01,410.63
8.02,1.95,4.60,425.22,411.19
8.22,1.95,4.56,449.66,413.00
8.42,1.93,4.55,439.88,411.62
8.62,1.94,4.55,488.76,412.62
8.82,1.94,4.55,493.65,412.62
9.02,1.94,4.56,522.97,412.01
9.22,1.93,4.55,601.17,411.62
9.42,1.94,4.58,562.07,411.41
9.62,1.95,4.56,474.10,413.00
9.82,1.94,4.54,391.01,413.23
10.02,1.93,4.55,395.89,411.62
10.22,1.94,4.56,395.89,412.01
10.42,1.94,4.55,430.11,412.62
10.62,1.93,4.56,391.01,411.02
10.82,1.93,4.54,391.01,412.23
11.02,1.94,4.55,430.11,412.62
11.22,1.92,4.55,474.10,410.63
11.42,1.94,4.55,469.21,412.62
11.62,1.94,4.56,469.21,412.01
11.82,1.94,4.55,469.21,412.62
12.02,1.94,4.55,400.78,412.62
12.22,1.94,4.56,351.91,412.01
12.42,1.94,4.56,386.12,412.01
12.62,1.93,4.56,439.88,411.02
12.82,1.94,4.55,503.42,412.62
13.02,1.94,4.55,527.86,412.62
13.22,1.94,4.55,557.18,412.62
13.42,1.93,4.55,498.53,411.62
13.62,1.94,4.55,488.76,412.62
13.82,1.93,4.55,488.76,411.62
14.02,1.94,4.55,483.87,412.62
14.22,1.93,4.55,454.55,411.62
14.42,1.94,4.56,444.77,412.01
14.62,1.94,4.56,391.01,412.01
14.82,1.93,4.56,415.44,411.02
15.02,1.93,4.56,420.33,411.02
15.22,1.93,4.55,415.44,411.62
15.42,1.93,4.55,454.55,411.62
15.62,1.94,4.56,391.01,412.01
15.82,1.94,4.55,391.01,412.62
16.02,1.94,4.55,503.42,412.62
16.22,1.92,4.55,493.65,410.63
16.42,1.94,4.55,522.97,412.62
16.62,1.93,4.55,435.00,411.62
16.82,1.93,4.56,410.56,411.02
17.02,1.93,4.55,395.89,411.62
17.22,1.93,4.55,347.02,411.62
17.42,1.93,4.58,391.01,410.42
17.62,1.93,4.56,518.08,411.02
17.82,1.92,4.55,518.08,410.63
18.02,1.94,4.55,527.86,412.62
18.22,1.94,4.55,454.55,412.62
18.42,1.93,4.55,391.01,411.62
18.62,1.93,4.54,405.67,412.23
18.82,1.94,4.56,444.77,412.01
19.02,1.94,4.55,430.11,412.62
19.22,1.94,4.58,342.13,411.41
19.42,1.95,4.58,298.14,412.39
19.62,1.94,4.56,303.03,412.01
19.82,1.92,4.55,327.47,410.63
20.02,1.93,4.55,317.69,411.62
20.22,1.95,4.55,444.77,413.61
20.42,1.92,4.55,391.01,410.63
20.62,1.94,4.55,391.01,412.62
20.82,1.95,4.55,381.23,413.61
21.02,1.94,4.55,420.33,412.62
21.22,1.92,4.55,415.44,410.63
21.42,1.95,4.56,425.22,413.00
21.62,1.93,4.56,464.32,411.02
21.82,1.92,4.56,371.46,410.02
22.02,1.92,4.55,420.33,410.63
22.22,1.94,4.55,444.77,412.62
22.42,1.93,4.56,449.66,411.02
22.62,1.93,4.56,483.87,411.02
22.82,1.92,4.55,454.55,410.63
23.02,1.94,4.52,435.00,413.84
23.22,1.94,4.55,454.55,412.62
23.42,1.94,4.55,381.23,412.62
23.62,1.94,4.54,395.89,413.23
23.82,1.93,4.55,371.46,411.62
24.02,1.92,4.55,356.79,410.63
24.22,1.93,4.54,381.23,412.23
24.42,1.93,4.56,371.46,411.02
24.62,1.93,4.56,361.68,411.02
24.82,1.93,4.54,376.34,412.23
25.02,1.94,4.56,376.34,412.01
25.22,1.94,4.55,381.23,412.62
25.42,1.93,4.55,405.67,411.62
25.62,1.92,4.55,410.56,410.63
25.82,1.93,4.55,459.43,411.62
26.02,1.94,4.56,566.96,412.01
26.22,1.93,4.56,537.63,411.02
26.42,1.95,4.55,444.77,413.61
26.62,1.93,4.55,454.55,411.62
26.82,1.94,4.55,420.33,412.62
27.02,1.92,4.55,459.43,410.63
27.22,1.94,4.56,483.87,412.01
27.42,1.93,4.55,464.32,411.62
27.62,1.92,4.55,469.21,410.63
27.82,1.94,4.56,444.77,412.01
28.02,1.94,4.56,405.67,412.01
28.22,1.94,4.56,483.87,412.01
28.42,1.93,4.55,454.55,411.62
28.62,1.94,4.55,400.78,412.62
28.82,1.94,4.56,381.23,412.01
29.02,1.93,4.55,381.23,411.62
29.22,1.94,4.56,405.67,412.01
29.42,1.94,4.55,415.44,412.62
29.62,1.93,4.56,410.56,411.02
29.82,1.94,4.55,405.67,412.62
30.02,1.94,4.56,351.91,412.01
30.22,1.94,4.56,332.36,412.01
30.42,1.93,4.55,337.24,411.62
30.62,1.94,4.56,322.58,412.01
30.82,1.93,4.55,337.24,411.62
31.02,1.93,4.56,410.56,411.02
31.22,1.92,4.55,493.65,410.63
31.42,1.93,4.55,576.74,411.62
31.62,1.94,4.55,552.30,412.62
31.82,1.92,4.55,493.65,410.63
32.02,1.93,4.55,493.65,411.62
32.22,1.94,4.55,400.78,412.62
32.42,1.93,4.56,342.13,411.02
32.62,1.93,4.55,332.36,411.62
32.82,1.94,4.56,410.56,412.01
33.02,1.94,4.56,444.77,412.01
33.22,1.93,4.55,444.77,411.62
33.42,1.94,4.58,527.86,411.41
33.62,1.93,4.56,498.53,411.02
33.82,1.94,4.55,513.20,412.62
34.02,1.92,4.55,483.87,410.63
34.22,1.93,4.55,488.76,411.62
34.42,1.94,4.56,425.22,412.01
34.62,1.92,4.56,444.77,410.02
34.82,1.93,4.54,425.22,412.23
35.02,1.94,4.56,425.22,412.01
35.22,1.93,4.55,391.01,411.62
35.42,1.93,4.55,400.78,411.62
35.62,1.93,4.56,469.21,411.02
35.82,1.93,4.56,518.08,411.02
36.02,1.93,4.55,518.08,411.62
36.22,1.94,4.54,449.66,413.23
36.42,1.94,4.55,420.33,412.62
36.62,1.94,4.56,435.00,412.01
36.82,1.92,4.55,493.65,410.63
37.02,1.94,4.55,522.97,412.62
37.22,1.94,4.56,464.32,412.01
37.42,1.93,4.55,459.43,411.62
37.62,1.94,4.54,405.67,413.23
37.82,1.94,4.54,361.68,413.23
38.02,1.94,4.56,337.24,412.01
38.22,1.93,4.55,351.91,411.62
38.42,1.93,4.55,454.55,411.62
38.62,1.93,4.56,371.46,411.02
38.82,1.94,4.55,371.46,412.62
39.02,1.92,4.54,371.46,411.24
39.22,1.93,4.55,400.78,411.62
39.42,1.93,4.55,410.56,411.62
39.62,1.94,4.56,459.43,412.01
39.82,1.94,4.55,420.33,412.62
40.02,1.94,4.55,371.46,412.62
40.22,1.93,4.54,342.13,412.23
40.42,1.94,4.54,342.13,413.23
40.62,1.93,4.56,376.34,411.02
40.82,1.93,4.59,366.57,409.82
41.02,1.93,4.55,425.22,411.62
41.22,1.94,4.56,581.62,412.01
41.42,1.94,4.56,503.42,412.01
41.62,1.93,4.56,410.56,411.02
41.82,1.93,4.55,459.43,411.62
42.02,1.94,4.55,435.00,412.62
42.22,1.94,4.55,435.00,412.62
42.42,1.92,4.55,415.44,410.63
42.62,1.93,4.55,386.12,411.62
42.82,1.94,4.56,347.02,412.01
43.02,1.93,4.56,356.79,411.02
43.22,1.93,4.54,405.67,412.23
43.42,1.93,4.56,405.67,411.02
43.62,1.93,4.56,425.22,411.02
43.82,1.93,4.55,469.21,411.62
44.02,1.93,4.54,459.43,412.23
44.22,1.94,4.55,430.11,412.62
44.42,1.93,4.55,371.46,411.62
44.62,1.92,4.55,366.57,410.63
44.82,1.94,4.55,371.46,412.62
