# material: PETG_PLA
# geometry: Co_axial cylinder
# preform_diameter: 20.0
# material_color: Transparent_Yellow
# temperature_C: 85190.0
# drawdown_ratio: 50.0
# trial_number: 036
# operator: Ahmed
# start_time: 2026-04-30 16:55:05
# notes: Trial for suction 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.03,391.01,397.98
1.42,1.19,3.02,400.78,397.31
1.62,1.19,3.02,391.01,397.31
1.82,1.20,3.02,410.56,398.86
2.02,1.18,3.02,405.67,395.76
2.22,1.19,3.02,410.56,397.31
2.42,1.17,3.01,400.78,395.07
2.62,1.20,3.03,415.44,397.98
2.82,1.20,3.02,410.56,398.86
3.02,1.17,3.05,400.78,392.45
3.22,1.20,3.01,425.22,399.75
3.42,1.18,3.03,435.00,394.88
3.62,1.20,3.01,474.10,399.75
3.82,1.20,3.03,459.43,397.98
4.02,1.19,3.02,435.00,397.31
4.22,1.19,3.02,439.88,397.31
4.42,1.21,3.03,435.00,399.52
4.62,1.18,3.01,405.67,396.64
4.82,1.20,3.03,391.01,397.98
5.02,1.18,3.02,371.46,395.76
5.22,1.19,3.02,381.23,397.31
5.42,1.19,3.05,405.67,395.56
5.62,1.18,3.01,395.89,396.64
5.82,1.19,3.02,405.67,397.31
6.02,1.19,3.03,405.67,396.43
6.22,1.19,3.02,400.78,397.31
6.42,1.20,3.03,391.01,397.98
6.62,1.19,3.02,366.57,397.31
6.82,1.20,3.01,356.79,399.75
7.02,1.18,3.02,332.36,395.76
7.22,1.17,3.01,332.36,395.07
7.42,1.20,3.03,342.13,397.98
7.62,1.18,3.01,342.13,396.64
7.82,1.20,3.03,356.79,397.98
8.02,1.18,3.05,366.57,394.01
8.22,1.19,3.01,347.02,398.20
8.42,1.21,3.02,351.91,400.40
8.62,1.19,3.03,342.13,396.43
8.82,1.18,3.02,356.79,395.76
9.02,1.19,3.02,361.68,397.31
9.22,1.18,3.02,366.57,395.76
9.42,1.20,3.03,347.02,397.98
9.62,1.19,3.02,312.81,397.31
9.82,1.19,3.03,298.14,396.43
10.02,1.21,3.03,283.48,399.52
10.22,1.21,3.02,317.69,400.40
10.42,1.21,3.03,347.02,399.52
10.62,1.19,3.03,366.57,396.43
10.82,1.18,3.01,503.42,396.64
11.02,1.20,3.02,454.55,398.86
11.22,1.19,3.02,425.22,397.31
11.42,1.19,3.05,439.88,395.56
11.62,1.20,3.03,395.89,397.98
11.82,1.19,3.03,425.22,396.43
12.02,1.21,3.03,405.67,399.52
12.22,1.19,3.02,420.33,397.31
12.42,1.19,3.02,439.88,397.31
12.62,1.19,3.03,430.11,396.43
12.82,1.18,3.01,381.23,396.64
13.02,1.21,3.02,366.57,400.40
13.22,1.19,3.03,332.36,396.43
13.42,1.19,3.02,347.02,397.31
13.62,1.20,3.02,342.13,398.86
13.82,1.18,2.99,347.02,397.53
14.02,1.20,3.03,361.68,397.98
14.22,1.20,3.06,366.57,396.23
14.42,1.19,3.03,395.89,396.43
14.62,1.21,3.03,405.67,399.52
14.82,1.19,3.01,361.68,398.20
15.02,1.21,3.02,386.12,400.40
15.22,1.19,3.03,376.34,396.43
15.42,1.17,3.01,376.34,395.07
15.62,1.21,3.03,386.12,399.52
15.82,1.19,3.01,366.57,398.20
16.02,1.20,3.02,376.34,398.86
16.22,1.20,3.03,376.34,397.98
16.42,1.19,3.02,361.68,397.31
16.62,1.19,3.02,386.12,397.31
16.82,1.20,3.02,381.23,398.86
17.02,1.18,3.02,366.57,395.76
17.22,1.20,3.03,371.46,397.98
17.42,1.19,3.01,342.13,398.20
17.62,1.20,3.03,347.02,397.98
17.82,1.20,3.02,337.24,398.86
18.02,1.19,3.02,332.36,397.31
18.22,1.20,3.03,317.69,397.98
18.42,1.20,3.03,307.92,397.98
18.62,1.21,3.03,337.24,399.52
18.82,1.19,3.03,332.36,396.43
19.02,1.19,3.02,351.91,397.31
19.22,1.21,3.02,361.68,400.40
19.42,1.21,3.01,361.68,401.29
19.62,1.19,3.03,361.68,396.43
19.82,1.20,3.03,381.23,397.98
20.02,1.19,3.01,371.46,398.20
20.22,1.19,3.01,337.24,398.20
20.42,1.20,3.03,356.79,397.98
20.62,1.18,3.01,361.68,396.64
20.82,1.21,3.03,386.12,399.52
21.02,1.20,3.05,400.78,397.10
21.22,1.20,3.01,405.67,399.75
21.42,1.20,3.03,405.67,397.98
21.62,1.19,3.03,371.46,396.43
21.82,1.20,3.05,361.68,397.10
22.02,1.18,3.02,337.24,395.76
22.22,1.19,3.02,322.58,397.31
22.42,1.20,3.02,322.58,398.86
22.62,1.20,3.03,347.02,397.98
22.82,1.20,3.02,351.91,398.86
23.02,1.20,3.03,381.23,397.98
23.22,1.21,3.03,371.46,399.52
23.42,1.18,3.03,356.79,394.88
23.62,1.18,3.03,371.46,394.88
23.82,1.20,3.01,351.91,399.75
24.02,1.19,3.02,351.91,397.31
24.22,1.18,3.01,371.46,396.64
24.42,1.21,3.03,351.91,399.52
24.62,1.20,3.03,361.68,397.98
24.82,1.20,3.02,351.91,398.86
25.02,1.18,3.03,332.36,394.88
25.22,1.20,3.01,327.47,399.75
25.42,1.18,3.02,337.24,395.76
25.62,1.18,3.03,347.02,394.88
25.82,1.20,3.01,337.24,399.75
26.02,1.20,3.02,317.69,398.86
26.22,1.19,3.02,312.81,397.31
26.42,1.21,3.02,298.14,400.40
26.62,1.21,3.03,312.81,399.52
26.82,1.20,3.01,307.92,399.75
27.02,1.19,3.05,317.69,395.56
27.22,1.20,3.02,312.81,398.86
27.42,1.20,3.01,312.81,399.75
27.62,1.18,3.03,312.81,394.88
27.82,1.18,3.02,327.47,395.76
28.02,1.20,3.02,347.02,398.86
28.22,1.20,3.01,361.68,399.75
28.42,1.20,3.02,366.57,398.86
28.62,1.21,3.03,347.02,399.52
28.82,1.19,3.01,312.81,398.20
29.02,1.19,3.02,298.14,397.31
29.22,1.20,3.03,317.69,397.98
29.42,1.17,3.02,332.36,394.19
29.62,1.20,3.03,342.13,397.98
29.82,1.18,3.02,312.81,395.76
30.02,1.20,3.03,278.59,397.98
30.22,1.20,3.02,293.26,398.86
30.42,1.19,3.01,303.03,398.20
30.62,1.20,3.05,337.24,397.10
30.82,1.20,3.03,332.36,397.98
31.02,1.20,3.02,327.47,398.86
31.22,1.19,3.02,371.46,397.31
31.42,1.20,3.03,366.57,397.98
31.62,1.20,3.02,366.57,398.86
31.82,1.19,3.03,351.91,396.43
32.02,1.17,3.02,332.36,394.19
32.22,1.20,3.02,327.47,398.86
32.42,1.20,3.02,327.47,398.86
32.62,1.19,3.01,322.58,398.20
32.82,1.21,3.03,293.26,399.52
33.02,1.21,3.02,322.58,400.40
33.22,1.19,3.02,342.13,397.31
33.42,1.20,3.05,400.78,397.10
33.62,1.19,3.02,366.57,397.31
33.82,1.21,3.03,366.57,399.52
34.02,1.19,3.01,342.13,398.20
34.22,1.20,3.02,317.69,398.86
34.42,1.21,3.02,317.69,400.40
34.62,1.19,3.03,337.24,396.43
34.82,1.20,3.02,347.02,398.86
35.02,1.20,3.02,322.58,398.86
35.22,1.19,3.01,307.92,398.20
35.42,1.18,3.03,312.81,394.88
35.62,1.20,3.06,312.81,396.23
35.82,1.20,3.02,293.26,398.86
36.02,1.21,3.03,312.81,399.52
36.22,1.18,3.02,288.37,395.76
36.42,1.19,3.03,317.69,396.43
36.62,1.18,3.03,312.81,394.88
36.82,1.19,3.03,312.81,396.43
37.02,1.19,3.03,288.37,396.43
37.22,1.19,3.02,288.37,397.31
37.42,1.20,3.03,327.47,397.98
37.62,1.21,3.03,327.47,399.52
37.82,1.18,3.01,332.36,396.64
38.02,1.19,3.03,322.58,396.43
38.22,1.20,3.03,293.26,397.98
38.42,1.19,3.03,298.14,396.43
38.62,1.18,3.05,307.92,394.01
38.82,1.19,3.01,332.36,398.20
39.02,1.20,3.03,327.47,397.98
39.22,1.21,3.03,298.14,399.52
39.42,1.18,3.01,293.26,396.64
39.62,1.20,3.03,317.69,397.98
39.82,1.19,3.02,293.26,397.31
40.02,1.20,3.03,298.14,397.98
40.22,1.19,3.03,273.70,396.43
40.42,1.18,3.02,273.70,395.76
40.62,1.20,3.03,298.14,397.98
40.82,1.19,3.01,288.37,398.20
41.02,1.20,3.03,273.70,397.98
41.22,1.20,3.03,239.49,397.98
41.42,1.19,3.02,254.15,397.31
41.62,1.20,3.03,273.70,397.98
41.82,1.19,3.02,283.48,397.31
42.02,1.19,3.02,293.26,397.31
42.22,1.20,3.03,312.81,397.98
42.42,1.19,3.02,337.24,397.31
42.62,1.20,3.02,332.36,398.86
42.82,1.20,3.02,317.69,398.86
43.02,1.19,3.03,317.69,396.43
43.22,1.20,3.03,312.81,397.98
43.42,1.20,3.02,303.03,398.86
43.62,1.19,3.02,293.26,397.31
43.82,1.21,3.03,317.69,399.52
44.02,1.20,3.03,322.58,397.98
44.22,1.20,3.03,347.02,397.98
44.42,1.20,3.03,342.13,397.98
44.62,1.19,3.01,342.13,398.20
44.82,1.20,3.03,332.36,397.98
45.02,1.19,3.01,322.58,398.20
45.22,1.20,3.01,327.47,399.75
45.42,1.20,3.03,322.58,397.98
45.62,1.19,3.02,298.14,397.31
45.82,1.20,3.02,312.81,398.86
46.02,1.19,3.03,283.48,396.43
46.22,1.18,3.02,288.37,395.76
46.42,1.19,3.03,278.59,396.43
46.62,1.18,3.02,273.70,395.76
46.82,1.19,3.05,278.59,395.56
47.02,1.20,3.03,278.59,397.98
47.22,1.19,3.02,268.82,397.31
47.42,1.21,3.01,268.82,401.29
47.62,1.18,3.01,259.04,396.64
47.82,1.18,3.01,288.37,396.64
48.02,1.20,3.03,298.14,397.98
48.22,1.17,3.01,268.82,395.07
48.42,1.19,3.02,254.15,397.31
48.62,1.19,3.03,263.93,396.43
48.82,1.18,3.02,263.93,395.76
49.02,1.20,3.02,303.03,398.86
49.22,1.20,3.02,317.69,398.86
49.42,1.20,3.05,273.70,397.10
49.62,1.19,3.03,254.15,396.43
49.82,1.18,3.01,249.27,396.64
50.02,1.20,3.02,268.82,398.86
50.22,1.19,3.03,254.15,396.43
50.42,1.18,3.01,278.59,396.64
50.62,1.21,3.03,259.04,399.52
50.82,1.17,3.01,254.15,395.07
