# material: PETG
# geometry: concentric system cylinder
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 80-190
# drawdown_ratio: 50.0
# trial_number: 023
# operator: Ahmed
# start_time: 2026-03-16 10:44:57
# notes: Trial 2
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.94,4.79,391.01,402.08
1.42,1.94,4.76,435.00,403.21
1.62,1.94,4.78,444.77,402.65
1.82,1.94,4.79,459.43,402.08
2.02,1.92,4.78,488.76,400.70
2.22,1.94,4.78,571.85,402.65
2.42,1.94,4.79,532.75,402.08
2.62,1.94,4.78,547.41,402.65
2.82,1.94,4.79,459.43,402.08
3.02,1.92,4.78,386.12,400.70
3.22,1.92,4.78,366.57,400.70
3.42,1.94,4.79,347.02,402.08
3.62,1.94,4.76,361.68,403.21
3.82,1.93,4.78,430.11,401.68
4.02,1.94,4.79,483.87,402.08
4.22,1.94,4.79,650.05,402.08
4.42,1.93,4.79,654.94,401.11
4.62,1.93,4.81,689.15,400.55
4.82,1.93,4.76,513.20,402.24
5.02,1.94,4.78,498.53,402.65
5.22,1.92,4.76,513.20,401.27
5.42,1.94,4.78,478.98,402.65
5.62,1.94,4.78,537.63,402.65
5.82,1.93,4.78,537.63,401.68
6.02,1.93,4.79,581.62,401.11
6.22,1.94,4.79,527.86,402.08
6.42,1.92,4.76,488.76,401.27
6.62,1.94,4.78,420.33,402.65
6.82,1.93,4.76,376.34,402.24
7.02,1.94,4.78,435.00,402.65
7.22,1.94,4.76,474.10,403.21
7.42,1.92,4.76,449.66,401.27
7.62,1.93,4.78,464.32,401.68
7.82,1.94,4.78,503.42,402.65
8.02,1.95,4.76,532.75,404.18
8.22,1.93,4.76,547.41,402.24
8.42,1.94,4.76,503.42,403.21
8.62,1.94,4.76,508.31,403.21
8.82,1.94,4.76,586.51,403.21
9.02,1.94,4.76,640.27,403.21
9.22,1.94,4.76,654.94,403.21
9.42,1.94,4.76,586.51,403.21
9.62,1.92,4.76,542.52,401.27
9.82,1.94,4.78,635.39,402.65
10.02,1.93,4.76,669.60,402.24
10.22,1.93,4.75,698.92,402.81
10.42,1.93,4.76,679.37,402.24
10.62,1.94,4.76,562.07,403.21
10.82,1.92,4.75,576.74,401.84
11.02,1.94,4.76,718.48,403.21
11.22,1.92,4.75,703.81,401.84
11.42,1.94,4.78,615.84,402.65
11.62,1.94,4.76,669.60,403.21
11.82,1.92,4.75,586.51,401.84
12.02,1.94,4.76,547.41,403.21
12.22,1.93,4.76,547.41,402.24
12.42,1.94,4.76,610.95,403.21
12.62,1.95,4.76,601.17,404.18
12.82,1.92,4.76,586.51,401.27
13.02,1.94,4.76,542.52,403.21
13.22,1.92,4.76,459.43,401.27
13.42,1.92,4.76,488.76,401.27
13.62,1.95,4.76,459.43,404.18
13.82,1.94,4.75,454.55,403.78
14.02,1.93,4.75,503.42,402.81
14.22,1.94,4.76,576.74,403.21
14.42,1.93,4.75,610.95,402.81
14.62,1.94,4.76,576.74,403.21
14.82,1.94,4.76,640.27,403.21
15.02,1.92,4.75,581.62,401.84
15.22,1.94,4.76,586.51,403.21
15.42,1.94,4.76,571.85,403.21
15.62,1.94,4.75,562.07,403.78
15.82,1.93,4.75,576.74,402.81
16.02,1.93,4.74,679.37,403.38
16.22,1.93,4.75,801.56,402.81
16.42,1.94,4.75,713.59,403.78
16.62,1.93,4.75,615.84,402.81
