# material: PETG
# geometry: cylinder 1CH
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 80110.0
# drawdown_ratio: 50.0
# trial_number: 007
# operator: Ahmed_Akila
# start_time: 2026-02-05 15:19:13
# notes: Trial to observe the drawing temperature
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,4.99,444.77,402.32
1.42,2.00,4.99,366.57,400.46
1.62,2.02,4.99,332.36,402.32
1.82,2.02,5.01,342.13,401.78
2.02,2.01,4.99,327.47,401.39
2.22,2.02,5.02,317.69,401.25
2.42,2.02,5.01,263.93,401.78
2.62,2.00,4.99,254.15,400.46
2.82,2.02,4.99,273.70,402.32
3.02,2.02,5.01,259.04,401.78
3.22,2.02,4.99,239.49,402.32
3.42,2.03,4.99,239.49,403.25
3.62,2.02,4.99,249.27,402.32
3.82,2.01,5.01,259.04,400.86
4.02,2.03,4.99,259.04,403.25
4.22,2.02,4.99,244.38,402.32
4.42,2.00,4.99,312.81,400.46
4.62,2.02,4.99,298.14,402.32
4.82,2.01,4.99,332.36,401.39
5.02,2.02,4.99,317.69,402.32
5.22,2.03,5.01,312.81,402.71
5.42,2.01,4.99,322.58,401.39
5.62,2.02,5.01,435.00,401.78
5.82,2.03,5.01,547.41,402.71
6.02,2.02,4.99,488.76,402.32
6.22,2.01,4.99,444.77,401.39
6.42,2.03,5.01,435.00,402.71
6.62,2.01,4.99,415.44,401.39
6.82,2.01,5.01,454.55,400.86
7.02,2.00,5.01,606.06,399.93
7.22,2.02,4.99,586.51,402.32
7.42,2.02,5.01,581.62,401.78
7.62,2.01,4.99,400.78,401.39
7.82,2.02,4.99,327.47,402.32
8.02,2.03,5.01,312.81,402.71
8.22,2.01,4.99,327.47,401.39
8.42,2.02,4.99,303.03,402.32
8.62,2.01,4.99,351.91,401.39
8.82,2.02,4.99,356.79,402.32
9.02,2.01,4.99,337.24,401.39
9.22,2.00,4.99,518.08,400.46
9.42,2.01,4.99,439.88,401.39
9.62,2.02,4.99,420.33,402.32
9.82,2.00,4.98,366.57,401.00
10.02,2.01,4.99,342.13,401.39
10.22,2.02,4.99,342.13,402.32
10.42,2.02,4.99,351.91,402.32
10.62,2.02,4.99,420.33,402.32
10.82,2.01,5.01,488.76,400.86
11.02,2.02,4.99,430.11,402.32
11.22,2.02,5.02,444.77,401.25
11.42,2.01,5.01,483.87,400.86
11.62,2.02,4.99,493.65,402.32
11.82,2.02,4.99,576.74,402.32
12.02,2.01,4.99,532.75,401.39
12.22,2.01,4.98,449.66,401.94
12.42,2.02,5.01,337.24,401.78
12.62,2.00,4.99,303.03,400.46
12.82,2.02,5.01,239.49,401.78
13.02,2.02,5.02,254.15,401.25
13.22,2.01,4.99,244.38,401.39
13.42,2.02,5.01,219.94,401.78
13.62,2.02,4.99,215.05,402.32
13.82,2.01,5.01,200.39,400.86
14.02,2.02,4.99,244.38,402.32
14.22,2.03,5.02,224.83,402.17
14.42,2.01,4.99,268.82,401.39
14.62,2.02,5.01,205.28,401.78
14.82,2.02,5.01,224.83,401.78
15.02,2.00,4.99,293.26,400.46
15.22,2.01,4.99,234.60,401.39
15.42,2.00,4.99,215.05,400.46
15.62,2.02,4.99,234.60,402.32
15.82,2.02,5.01,219.94,401.78
16.02,2.01,4.99,200.39,401.39
16.22,2.02,4.99,190.62,402.32
16.42,2.02,5.01,195.50,401.78
16.62,2.00,4.98,175.95,401.00
16.82,2.02,5.01,195.50,401.78
17.02,2.02,5.01,249.27,401.78
17.22,2.01,4.99,180.84,401.39
17.42,2.02,5.01,180.84,401.78
17.62,2.01,4.99,205.28,401.39
17.82,2.00,4.99,215.05,400.46
18.02,2.02,4.99,244.38,402.32
18.22,2.02,4.98,259.04,402.86
18.42,2.00,4.99,259.04,400.46
18.62,2.03,5.01,263.93,402.71
18.82,2.01,4.99,244.38,401.39
19.02,2.02,4.99,317.69,402.32
19.22,2.02,4.99,366.57,402.32
19.42,2.01,4.99,444.77,401.39
19.62,2.01,4.99,640.27,401.39
19.82,2.02,5.01,679.37,401.78
20.02,2.01,4.99,591.40,401.39
20.22,2.02,4.99,552.30,402.32
20.42,2.02,4.99,503.42,402.32
20.62,2.01,4.99,474.10,401.39
20.82,2.02,4.99,444.77,402.32
21.02,2.01,5.01,376.34,400.86
21.22,2.02,5.02,307.92,401.25
21.42,2.02,5.01,293.26,401.78
21.62,2.02,5.01,366.57,401.78
21.82,2.02,4.99,298.14,402.32
22.02,2.02,5.01,244.38,401.78
22.22,2.02,5.01,293.26,401.78
22.42,2.02,5.01,254.15,401.78
22.62,2.03,5.02,239.49,402.17
22.82,2.01,4.99,234.60,401.39
23.02,2.02,4.99,234.60,402.32
23.22,2.03,5.01,229.72,402.71
23.42,2.00,4.99,259.04,400.46
23.62,2.01,4.97,259.04,402.48
23.82,2.02,5.02,249.27,401.25
24.02,2.02,4.98,263.93,402.86
24.22,2.02,5.01,283.48,401.78
24.42,2.02,5.01,293.26,401.78
24.62,2.01,4.99,283.48,401.39
24.82,2.02,4.99,483.87,402.32
25.02,2.01,4.99,474.10,401.39
25.22,2.02,4.99,522.97,402.32
25.42,2.02,5.01,698.92,401.78
25.62,2.02,5.01,762.46,401.78
25.82,2.02,4.99,713.59,402.32
26.02,2.03,5.02,576.74,402.17
26.22,2.01,4.99,449.66,401.39
26.42,2.00,4.99,391.01,400.46
26.62,2.02,5.01,317.69,401.78
26.82,2.01,5.01,288.37,400.86
27.02,2.02,4.99,307.92,402.32
27.22,2.02,5.01,283.48,401.78
27.42,2.01,5.02,268.82,400.32
27.62,2.02,4.99,219.94,402.32
27.82,2.02,5.01,210.17,401.78
28.02,2.01,4.98,195.50,401.94
28.22,2.02,4.99,210.17,402.32
28.42,2.02,4.99,210.17,402.32
28.62,2.01,4.99,180.84,401.39
28.82,2.02,4.99,180.84,402.32
29.02,2.01,4.99,161.29,401.39
29.22,2.01,4.99,180.84,401.39
29.42,2.02,4.99,200.39,402.32
29.62,2.02,4.99,210.17,402.32
29.82,2.01,4.99,180.84,401.39
30.02,2.02,4.99,161.29,402.32
30.22,2.02,4.99,166.18,402.32
30.42,2.02,4.99,205.28,402.32
30.62,2.01,5.01,215.05,400.86
30.82,2.02,5.01,210.17,401.78
31.02,2.02,4.99,224.83,402.32
31.22,2.02,5.01,234.60,401.78
31.42,2.00,4.97,254.15,401.55
31.62,2.02,4.99,317.69,402.32
31.82,2.02,4.99,327.47,402.32
32.02,2.02,4.99,337.24,402.32
32.22,2.02,4.99,366.57,402.32
32.42,2.02,5.01,474.10,401.78
32.62,2.01,4.98,562.07,401.94
32.82,2.02,4.99,654.94,402.32
33.02,2.01,4.99,713.59,401.39
33.22,2.02,4.98,728.25,402.86
33.42,2.02,4.99,513.20,402.32
33.62,2.01,5.01,361.68,400.86
33.82,2.02,4.99,351.91,402.32
34.02,2.02,4.99,317.69,402.32
34.22,2.01,4.99,298.14,401.39
34.42,2.02,4.99,288.37,402.32
34.62,2.03,5.01,239.49,402.71
34.82,2.00,4.99,263.93,400.46
35.02,2.01,5.01,263.93,400.86
35.22,2.01,4.99,288.37,401.39
35.42,2.01,5.01,263.93,400.86
35.62,2.02,4.99,283.48,402.32
35.82,2.01,4.99,234.60,401.39
36.02,2.01,5.01,239.49,400.86
36.22,2.02,4.99,239.49,402.32
36.42,2.01,4.99,215.05,401.39
36.62,2.02,4.99,229.72,402.32
